mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	articulation	tempo	qpm	tempo_visible
1	0	0	0	0.0	0	3/4	Tempo	4/4	1	1	0					Allegro	120.0	1.0
1	0	1/4	1/4	0.25	1/16	13/16	Chord	4/4	1	1	1/16	1/16	1	0				
1	0	1/2	1/2	0.25	1/8	7/8	Chord	4/4	1	1	1/16	1/16	1	1				
1	0	3/4	3/4	0.25	3/16	15/16	Chord	4/4	1	1	1/16	1/16	1	2				
2	1	1	1	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	3				
2	1	3/2	3/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16	1/16	1	4				
2	1	7/4	7/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	5				
2	1	2	2	0.25	1/4	1/4	Chord	4/4	1	1	1/16	1/16	1	6				
2	1	9/4	9/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16	1/16	1	7				
2	1	5/2	5/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16	1/16	1	8				
2	1	11/4	11/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	9				
2	1	3	3	0.25	1/2	1/2	Chord	4/4	1	1	1/16	1/16	1	10				
2	1	13/4	13/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16	1/16	1	11				
2	1	7/2	7/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16	1/16	1	12				
2	1	15/4	15/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	13				
2	1	4	4	0.25	3/4	3/4	Chord	4/4	1	1	1/16	1/16	1	14				
2	1	17/4	17/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16	1/16	1	15				
2	1	9/2	9/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16	1/16	1	16				
2	1	19/4	19/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	17				
2	1	1	1	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	18				
2	1	3	3	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	19				
2	1	7/2	7/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	20				
2	1	4	4	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	21				
2	1	9/2	9/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	22				
3	2	5	5	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	23				
