mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	articulation	staff_text	slur
1	0	0	0	0.0	0	11/8	StaffText	12/8	1	1	0					Presto	
1	0	0	0	0.16666666666666666	0	11/8	Chord	12/8	1	1	1/24	1/16	2/3	0			
1	0	1/6	1/6	0.16666666666666666	1/24	17/12	Chord	12/8	1	1	1/24	1/16	2/3	1			
1	0	1/3	1/3	0.16666666666666666	1/12	35/24	Chord	12/8	1	1	1/24	1/16	2/3	2			
2	1	1/2	1/2	0.5	0	0	Chord	12/8	1	1	1/8	1/8	1	3			
2	1	1	1	0.5	1/8	1/8	Chord	12/8	1	1	1/8	1/8	1	4			
2	1	3/2	3/2	0.5	1/4	1/4	Chord	12/8	1	1	1/8	1/8	1	5			
2	1	2	2	0.5	3/8	3/8	Chord	12/8	1	1	1/8	1/8	1	6			
2	1	5/2	5/2	0.5	1/2	1/2	Chord	12/8	1	1	1/8	1/8	1	7			
2	1	3	3	0.5	5/8	5/8	Chord	12/8	1	1	1/8	1/8	1	8			
2	1	11/2	11/2	0.5	5/4	5/4	Chord	12/8	1	1	1/8	1/8	1	9			
2	1	6	6	0.5	11/8	11/8	Chord	12/8	1	1	1/8	1/8	1	10			
2	1	7/2	7/2	0.5	3/4	3/4	Chord	12/8	2	1	1/8	1/8	1	11			
2	1	4	4	0.5	7/8	7/8	Chord	12/8	2	1	1/8	1/8	1	12			
2	1	9/2	9/2	0.5	1	1	Chord	12/8	2	1	1/8	1/8	1	13			
2	1	5	5	0.5	9/8	9/8	Chord	12/8	2	1	1/8	1/8	1	14			
3	2	13/2	13/2	0.5	0	0	Chord	12/8	1	1	1/8	1/8	1	15			
3	2	7	7	0.25	1/8	1/8	Chord	12/8	1	1	1/16	1/16	1	16			0
3	2	29/4	29/4	0.25	3/16	3/16	Chord	12/8	1	1	1/16	1/16	1	17			0
3	2	15/2	15/2	0.25	1/4	1/4	Chord	12/8	1	1	1/16	1/16	1	18			0
3	2	31/4	31/4	0.125	5/16	5/16	Chord	12/8	1	1	1/32	1/32	1	19			0
3	2	63/8	63/8	0.125	11/32	11/32	Chord	12/8	1	1	1/32	1/32	1	20			
3	2	8	8	0.5	3/8	3/8	Chord	12/8	1	1	1/8	1/8	1	21			
3	2	17/2	17/2	0.5	1/2	1/2	Chord	12/8	1	1	1/8	1/8	1	22			
3	2	9	9	0.5	5/8	5/8	Chord	12/8	1	1	1/8	1/8	1	23			
3	2	10	10	0.25	7/8	7/8	Chord	12/8	1	1	1/16	1/16	1	24			1
3	2	41/4	41/4	0.25	15/16	15/16	Chord	12/8	1	1	1/16	1/16	1	25			1
3	2	21/2	21/2	0.25	1	1	Chord	12/8	1	1	1/16	1/16	1	26			1
3	2	43/4	43/4	0.125	17/16	17/16	Chord	12/8	1	1	1/32	1/32	1	27			1
3	2	87/8	87/8	0.125	35/32	35/32	Chord	12/8	1	1	1/32	1/32	1	28			
3	2	11	11	0.5	9/8	9/8	Chord	12/8	1	1	1/8	1/8	1	29			
3	2	23/2	23/2	0.5	5/4	5/4	Chord	12/8	1	1	1/8	1/8	1	30			
3	2	12	12	0.5	11/8	11/8	Chord	12/8	1	1	1/8	1/8	1	31			
