mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	Trill:prallprall
9	9	33	33	0.3333333333333333		1/4	1/4	Chord	2/2	2	1	1/12		1/8	2/3	73									
9	9	100/3	100/3	0.3333333333333333		1/3	1/3	Chord	2/2	2	1	1/12		1/8	2/3	74									
9	9	101/3	101/3	0.3333333333333333		5/12	5/12	Chord	2/2	2	1	1/12		1/8	2/3	75									
9	9	34	34	1.0		1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	76									
9	9	35	35	1.0		3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	77									
10	10	36	36	1.0		0	0	Chord	2/2	1	1	1/4		1/4	1	78									
10	10	37	37	2.0		1/4	1/4	Chord	2/2	1	1	1/2		1/2	1	79									
10	10	39	39	1.0		3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	80									
10	10	38	38	2.0		1/2	1/2	Chord	2/2	2	1	1/2		1/2	1	81									
10	10	36	36	4.0		0	0	Chord	2/2	2	2	1		1	1	82									
11	11	40	40	0.0		0	0	Chord	2/2	1	1	0	grace32	1/32	2/3	83									
11	11	40	40	0.3333333333333333		0	0	Chord	2/2	1	1	1/12		1/8	2/3	84									
11	11	121/3	121/3	0.3333333333333333		1/12	1/12	Chord	2/2	1	1	1/12		1/8	2/3	85									
11	11	122/3	122/3	0.3333333333333333		1/6	1/6	Chord	2/2	1	1	1/12		1/8	2/3	86									
11	11	41	41	0.3333333333333333		1/4	1/4	Chord	2/2	1	1	1/12		1/8	2/3	87									
11	11	124/3	124/3	0.3333333333333333		1/3	1/3	Chord	2/2	1	1	1/12		1/8	2/3	88									
11	11	125/3	125/3	0.3333333333333333		5/12	5/12	Chord	2/2	1	1	1/12		1/8	2/3	89									
11	11	42	42	1.0		1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	90									
11	11	43	43	1.0		3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	91									
11	11	40	40	2.0		0	0	Chord	2/2	2	1	1/2		1/2	1	92									
11	11	42	42	2.0		1/2	1/2	Chord	2/2	2	1	1/2		1/2	1	93									
11	11	40	40	2.0		0	0	Chord	2/2	2	2	1/2		1/2	1	94									
11	11	42	42	2.0		1/2	1/2	Chord	2/2	2	2	1/2		1/2	1	95									
12	12	44	44	1.0		0	0	Chord	2/2	1	1	1/4		1/4	1	96									
12	12	45	45	1.0		1/4	1/4	Chord	2/2	1	1	1/4		1/4	1	97									
12	12	46	46	1.0		1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	98									
12	12	47	47	1.0		3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	99									
12	12	44	44	2.0		0	0	Chord	2/2	2	1	1/2		1/2	1	100									
12	12	46	46	2.0		1/2	1/2	Chord	2/2	2	1	1/2		1/2	1	101									
13	13	48	48	0.0		0	0	Chord	2/2	1	1	0	grace16	1/32	2/3	102									
13	13	48	48	0.3333333333333333		0	0	Chord	2/2	1	1	1/12		1/8	2/3	103									
13	13	145/3	145/3	0.3333333333333333		1/12	1/12	Chord	2/2	1	1	1/12		1/8	2/3	104									
13	13	146/3	146/3	0.3333333333333333		1/6	1/6	Chord	2/2	1	1	1/12		1/8	2/3	105									
13	13	49	49	0.5		1/4	1/4	Chord	2/2	1	1	1/8		1/8	1	106									
13	13	99/2	99/2	0.5		3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	107									
13	13	50	50	1.0		1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	108									
13	13	51	51	1.0		3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	109									
13	13	50	50	2.0		1/2	1/2	Chord	2/2	2	1	1/2		1/2	1	110									
13	13	48	48	4.0		0	0	Chord	2/2	2	2	1		1	1	111									
14	14	52	52	0.3333333333333333		0	0	Chord	2/2	1	1	1/12		1/8	2/3	112									
14	14	157/3	157/3	0.3333333333333333		1/12	1/12	Chord	2/2	1	1	1/12		1/8	2/3	113									
14	14	158/3	158/3	0.3333333333333333		1/6	1/6	Chord	2/2	1	1	1/12		1/8	2/3	114									
14	14	53	53	0.3333333333333333		1/4	1/4	Chord	2/2	1	1	1/12		1/8	2/3	115									
14	14	160/3	160/3	0.3333333333333333		1/3	1/3	Chord	2/2	1	1	1/12		1/8	2/3	116									
14	14	161/3	161/3	0.3333333333333333		5/12	5/12	Chord	2/2	1	1	1/12		1/8	2/3	117									
14	14	54	54	1.0		1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	118									
14	14	55	55	1.0		3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	119									
14	14	52	52	2.0		0	0	Chord	2/2	2	1	1/2		1/2	1	120									
14	14	54	54	2.0		1/2	1/2	Chord	2/2	2	1	1/2		1/2	1	121									
14	14	52	52	4.0		0	0	Chord	2/2	2	2	1		1	1	122									
15	15	56	56	0.5		0	0	Chord	2/2	1	1	1/8		1/8	1	123									
15	15	113/2	113/2	0.25		1/8	1/8	Chord	2/2	1	1	1/16		1/16	1	124									
15	15	227/4	227/4	0.25		3/16	3/16	Chord	2/2	1	1	1/16		1/16	1	125									
15	15	57	57	0.25		1/4	1/4	Chord	2/2	1	1	1/16		1/16	1	126									
15	15	229/4	229/4	0.25		5/16	5/16	Chord	2/2	1	1	1/16		1/16	1	127									
15	15	115/2	115/2	0.25		3/8	3/8	Chord	2/2	1	1	1/16		1/16	1	128									
15	15	231/4	231/4	0.25		7/16	7/16	Chord	2/2	1	1	1/16		1/16	1	129									
15	15	58	58	1.0		1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	130									
15	15	59	59	1.0		3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	131									
15	15	56	56	2.0		0	0	Chord	2/2	2	1	1/2		1/2	1	132									
15	15	58	58	2.0		1/2	1/2	Chord	2/2	2	1	1/2		1/2	1	133									
16	16	60	60	1.0		0	0	Chord	2/2	1	1	1/4		1/4	1	134									
16	16	61	61	1.0		1/4	1/4	Chord	2/2	1	1	1/4		1/4	1	135									
16	16	62	62	0.25		1/2	1/2	Chord	2/2	1	1	1/16		1/16	1	136									
16	16	249/4	249/4	0.25		9/16	9/16	Chord	2/2	1	1	1/16		1/16	1	137									
16	16	125/2	125/2	0.25		5/8	5/8	Chord	2/2	1	1	1/16		1/16	1	138									
16	16	251/4	251/4	0.25		11/16	11/16	Chord	2/2	1	1	1/16		1/16	1	139									
16	16	63	63	0.5		3/4	3/4	Chord	2/2	1	1	1/8		1/8	1	140									
16	16	127/2	127/2	0.5		7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	141									
16	16	60	60	2.0		0	0	Chord	2/2	2	1	1/2		1/2	1	142									
16	16	62	62	2.0		1/2	1/2	Chord	2/2	2	1	1/2		1/2	1	143									
17	17	64	64	0.0		0	0	Chord	2/2	1	1	0	grace32	1/32	1	144									
17	17	64	64	1.5		0	0	Chord	2/2	1	1	3/8		1/4	3/2	145	ornamentTrill								
17	17	131/2	131/2	0.5		3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	146									
17	17	66	66	1.0		1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	147									
17	17	67	67	1.0		3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	148									
17	17	64	64	3.0		0	0	Chord	2/2	2	1	3/4		1/2	3/2	149									
17	17	67	67	1.0		3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	150									
18	18	68	68	0.5		0	0	Chord	2/2	1	1	1/8		1/8	1	151									
18	18	137/2	137/2	0.5		1/8	1/8	Chord	2/2	1	1	1/8		1/8	1	152									
18	18	69	69	0.5		1/4	1/4	Chord	2/2	1	1	1/8		1/8	1	153									
18	18	139/2	139/2	0.5		3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	154									
18	18	70	70	1.0		1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	155									
18	18	71	71	1.0		3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	156									
18	18	68	68	0.5		0	0	Chord	2/2	2	1	1/8		1/8	1	157									
18	18	137/2	137/2	0.5		1/8	1/8	Chord	2/2	2	1	1/8		1/8	1	158									
18	18	69	69	0.5		1/4	1/4	Chord	2/2	2	1	1/8		1/8	1	159									
18	18	139/2	139/2	0.5		3/8	3/8	Chord	2/2	2	1	1/8		1/8	1	160									
18	18	70	70	1.0		1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	161									
18	18	71	71	1.0		3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	162									
19	19	72	72	0.3333333333333333		0	0	Chord	2/2	1	1	1/12		1/8	2/3	163									
19	19	217/3	217/3	0.3333333333333333		1/12	1/12	Chord	2/2	1	1	1/12		1/8	2/3	164									
19	19	218/3	218/3	0.3333333333333333		1/6	1/6	Chord	2/2	1	1	1/12		1/8	2/3	165									
19	19	73	73	0.3333333333333333		1/4	1/4	Chord	2/2	1	1	1/12		1/8	2/3	166									
19	19	220/3	220/3	0.3333333333333333		1/3	1/3	Chord	2/2	1	1	1/12		1/8	2/3	167									
19	19	221/3	221/3	0.3333333333333333		5/12	5/12	Chord	2/2	1	1	1/12		1/8	2/3	168									
19	19	74	74	1.0		1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	169									
19	19	75	75	1.0		3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	170									
19	19	72	72	3.0		0	0	Chord	2/2	2	1	3/4		1/2	3/2	171									
19	19	75	75	1.0		3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	172									
20	20	76	76	0.5		0	0	Chord	2/2	1	1	1/8		1/8	1	173									
20	20	153/2	153/2	0.5		1/8	1/8	Chord	2/2	1	1	1/8		1/8	1	174									
20	20	77	77	0.5		1/4	1/4	Chord	2/2	1	1	1/8		1/8	1	175									
20	20	155/2	155/2	0.5		3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	176									
20	20	78	78	1.0		1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	177									
20	20	79	79	1.0		3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	178									
20	20	76	76	0.5		0	0	Chord	2/2	2	1	1/8		1/8	1	179									
20	20	153/2	153/2	0.5		1/8	1/8	Chord	2/2	2	1	1/8		1/8	1	180									
20	20	77	77	0.5		1/4	1/4	Chord	2/2	2	1	1/8		1/8	1	181									
20	20	155/2	155/2	0.5		3/8	3/8	Chord	2/2	2	1	1/8		1/8	1	182									
20	20	78	78	1.0		1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	183									
20	20	79	79	1.0		3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	184									
21	21	80	80	0.3333333333333333		0	0	Chord	2/2	1	1	1/12		1/8	2/3	185									
21	21	241/3	241/3	0.3333333333333333		1/12	1/12	Chord	2/2	1	1	1/12		1/8	2/3	186									
21	21	242/3	242/3	0.3333333333333333		1/6	1/6	Chord	2/2	1	1	1/12		1/8	2/3	187									
21	21	81	81	0.3333333333333333		1/4	1/4	Chord	2/2	1	1	1/12		1/8	2/3	188									
21	21	244/3	244/3	0.3333333333333333		1/3	1/3	Chord	2/2	1	1	1/12		1/8	2/3	189									
21	21	245/3	245/3	0.3333333333333333		5/12	5/12	Chord	2/2	1	1	1/12		1/8	2/3	190									
21	21	82	82	0.3333333333333333		1/2	1/2	Chord	2/2	1	1	1/12		1/8	2/3	191									
21	21	247/3	247/3	0.3333333333333333		7/12	7/12	Chord	2/2	1	1	1/12		1/8	2/3	192									
21	21	248/3	248/3	0.3333333333333333		2/3	2/3	Chord	2/2	1	1	1/12		1/8	2/3	193									
21	21	83	83	0.3333333333333333		3/4	3/4	Chord	2/2	1	1	1/12		1/8	2/3	194									
21	21	250/3	250/3	0.3333333333333333		5/6	5/6	Chord	2/2	1	1	1/12		1/8	2/3	195									
21	21	251/3	251/3	0.3333333333333333		11/12	11/12	Chord	2/2	1	1	1/12		1/8	2/3	196									
21	21	80	80	3.0		0	0	Chord	2/2	2	1	3/4		1/2	3/2	197									
21	21	83	83	1.0		3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	198									
22	22	84	84	0.3333333333333333		0	0	Chord	2/2	1	1	1/12		1/8	2/3	199									
22	22	253/3	253/3	0.3333333333333333		1/12	1/12	Chord	2/2	1	1	1/12		1/8	2/3	200									
22	22	254/3	254/3	0.3333333333333333		1/6	1/6	Chord	2/2	1	1	1/12		1/8	2/3	201									
22	22	85	85	0.5		1/4	1/4	Chord	2/2	1	1	1/8		1/8	1	202									
22	22	171/2	171/2	0.5		3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	203									
22	22	86	86	1.0		1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	204									
22	22	87	87	1.0		3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	205	ornamentTrill								
22	22	84	84	1.0		0	0	Chord	2/2	2	1	1/4		1/4	1	206									
22	22	85	85	1.0		1/4	1/4	Chord	2/2	2	1	1/4		1/4	1	207									
22	22	86	86	1.0		1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	208									
22	22	87	87	1.0		3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	209									
23	23	88	88	1.0		0	0	Chord	2/2	1	1	1/4		1/4	1	210									
23	23	89	89	1.0		1/4	1/4	Chord	2/2	1	1	1/4		1/4	1	211									
23	23	90	90	1.0		1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	212									
23	23	91	91	1.0		3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	213									
23	23	88	88	3.0		0	0	Chord	2/2	2	1	3/4		1/2	3/2	214									
23	23	91	91	1.0		3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	215									
24	24	92	92	0.5		0	0	Chord	2/2	1	1	1/8		1/8	1	216									
24	24	185/2	185/2	0.5		1/8	1/8	Chord	2/2	1	1	1/8		1/8	1	217									
24	24	93	93	0.5		1/4	1/4	Chord	2/2	1	1	1/8		1/8	1	218									
24	24	187/2	187/2	0.5		3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	219									
24	24	94	94	1.0		1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	220									
24	24	95	95	1.0		3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	221									
24	24	92	92	0.5		0	0	Chord	2/2	2	1	1/8		1/8	1	222									
24	24	185/2	185/2	0.5		1/8	1/8	Chord	2/2	2	1	1/8		1/8	1	223									
24	24	93	93	0.5		1/4	1/4	Chord	2/2	2	1	1/8		1/8	1	224									
24	24	187/2	187/2	0.5		3/8	3/8	Chord	2/2	2	1	1/8		1/8	1	225									
24	24	94	94	1.0		1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	226									
24	24	95	95	1.0		3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	227									
25	25	96	96	0.3333333333333333		0	0	Chord	2/2	1	1	1/12		1/8	2/3	228									
25	25	289/3	289/3	0.3333333333333333		1/12	1/12	Chord	2/2	1	1	1/12		1/8	2/3	229									
25	25	290/3	290/3	0.3333333333333333		1/6	1/6	Chord	2/2	1	1	1/12		1/8	2/3	230									
25	25	97	97	0.3333333333333333		1/4	1/4	Chord	2/2	1	1	1/12		1/8	2/3	231									
25	25	292/3	292/3	0.3333333333333333		1/3	1/3	Chord	2/2	1	1	1/12		1/8	2/3	232									
25	25	293/3	293/3	0.3333333333333333		5/12	5/12	Chord	2/2	1	1	1/12		1/8	2/3	233									
25	25	98	98	1.0		1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	234									
25	25	99	99	1.0		3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	235									
25	25	96	96	3.0		0	0	Chord	2/2	2	1	3/4		1/2	3/2	236									
25	25	99	99	1.0		3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	237									
26	26	100	100	0.5		0	0	Chord	2/2	1	1	1/8		1/8	1	238									
26	26	201/2	201/2	0.5		1/8	1/8	Chord	2/2	1	1	1/8		1/8	1	239									
26	26	101	101	0.5		1/4	1/4	Chord	2/2	1	1	1/8		1/8	1	240									
26	26	203/2	203/2	0.5		3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	241									
26	26	102	102	1.0		1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	242									
26	26	103	103	1.0		3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	243									
26	26	100	100	0.5		0	0	Chord	2/2	2	1	1/8		1/8	1	244									
26	26	201/2	201/2	0.5		1/8	1/8	Chord	2/2	2	1	1/8		1/8	1	245									
26	26	101	101	0.5		1/4	1/4	Chord	2/2	2	1	1/8		1/8	1	246									
26	26	203/2	203/2	0.5		3/8	3/8	Chord	2/2	2	1	1/8		1/8	1	247									
26	26	102	102	1.0		1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	248									
26	26	103	103	1.0		3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	249									
27	27	104	104	0.3333333333333333		0	0	Chord	2/2	1	1	1/12		1/8	2/3	250									
27	27	313/3	313/3	0.3333333333333333		1/12	1/12	Chord	2/2	1	1	1/12		1/8	2/3	251									
27	27	314/3	314/3	0.3333333333333333		1/6	1/6	Chord	2/2	1	1	1/12		1/8	2/3	252									
27	27	105	105	0.3333333333333333		1/4	1/4	Chord	2/2	1	1	1/12		1/8	2/3	253									
27	27	316/3	316/3	0.3333333333333333		1/3	1/3	Chord	2/2	1	1	1/12		1/8	2/3	254									
27	27	317/3	317/3	0.3333333333333333		5/12	5/12	Chord	2/2	1	1	1/12		1/8	2/3	255									
27	27	106	106	0.3333333333333333		1/2	1/2	Chord	2/2	1	1	1/12		1/8	2/3	256									
27	27	319/3	319/3	0.3333333333333333		7/12	7/12	Chord	2/2	1	1	1/12		1/8	2/3	257									
27	27	320/3	320/3	0.3333333333333333		2/3	2/3	Chord	2/2	1	1	1/12		1/8	2/3	258									
27	27	107	107	0.3333333333333333		3/4	3/4	Chord	2/2	1	1	1/12		1/8	2/3	259									
27	27	322/3	322/3	0.3333333333333333		5/6	5/6	Chord	2/2	1	1	1/12		1/8	2/3	260									
27	27	323/3	323/3	0.3333333333333333		11/12	11/12	Chord	2/2	1	1	1/12		1/8	2/3	261									
27	27	104	104	3.0		0	0	Chord	2/2	2	1	3/4		1/2	3/2	262									
27	27	107	107	1.0		3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	263									
28	28	108	108	0.3333333333333333		0	0	Chord	2/2	1	1	1/12		1/8	2/3	264									
28	28	325/3	325/3	0.3333333333333333		1/12	1/12	Chord	2/2	1	1	1/12		1/8	2/3	265									
28	28	326/3	326/3	0.3333333333333333		1/6	1/6	Chord	2/2	1	1	1/12		1/8	2/3	266									
28	28	109	109	0.3333333333333333		1/4	1/4	Chord	2/2	1	1	1/12		1/8	2/3	267									
28	28	328/3	328/3	0.3333333333333333		1/3	1/3	Chord	2/2	1	1	1/12		1/8	2/3	268									
28	28	329/3	329/3	0.3333333333333333		5/12	5/12	Chord	2/2	1	1	1/12		1/8	2/3	269									
28	28	110	110	1.0		1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	270									
28	28	111	111	1.0		3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	271	ornamentTrill								
28	28	108	108	1.0		0	0	Chord	2/2	2	1	1/4		1/4	1	272									
28	28	109	109	1.0		1/4	1/4	Chord	2/2	2	1	1/4		1/4	1	273									
28	28	110	110	1.0		1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	274									
28	28	111	111	1.0		3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	275									
29	29	112	112	1.5		0	0	Chord	2/2	1	1	3/8		1/4	3/2	276									
29	29	227/2	227/2	0.25		3/8	3/8	Chord	2/2	1	1	1/16		1/16	1	277									
29	29	455/4	455/4	0.25		7/16	7/16	Chord	2/2	1	1	1/16		1/16	1	278									
29	29	114	114	1.0		1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	279									
29	29	115	115	0.25		3/4	3/4	Chord	2/2	1	1	1/16		1/16	1	280									
29	29	461/4	461/4	0.25		13/16	13/16	Chord	2/2	1	1	1/16		1/16	1	281									
29	29	231/2	231/2	0.25		7/8	7/8	Chord	2/2	1	1	1/16		1/16	1	282									
29	29	463/4	463/4	0.25		15/16	15/16	Chord	2/2	1	1	1/16		1/16	1	283									
29	29	112	112	1.0		0	0	Chord	2/2	2	1	1/4		1/4	1	284									
29	29	113	113	1.0		1/4	1/4	Chord	2/2	2	1	1/4		1/4	1	285									
29	29	114	114	1.0		1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	286									
