mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	articulation	staff_text	slur
1	1	0	0	0.0	0	0	StaffText	3/4	1	1	0					Allegro	
1	1	0	0	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	0			
1	1	1	1	1.5	1/4	1/4	Chord	3/4	1	1	3/8	1/4	3/2	1	ornamentTrill		
1	1	5/2	5/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16	1/16	1	2			
1	1	11/4	11/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	3			
1	1	0	0	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	4			
1	1	2	2	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	5			
2	2	3	3	0.3333333333333333	0	0	Chord	3/4	1	1	1/12	1/8	2/3	6			0
2	2	10/3	10/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12	1/8	2/3	7			0
2	2	11/3	11/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12	1/8	2/3	8			
2	2	4	4	2.0	1/4	1/4	Chord	3/4	1	1	1/2	1/2	1	9			
2	2	3	3	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	10			
2	2	5	5	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	11			
3	3	6	6	0.3333333333333333	0	0	Chord	3/4	1	1	1/12	1/8	2/3	12			
3	3	19/3	19/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12	1/8	2/3	13			
3	3	20/3	20/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12	1/8	2/3	14			
3	3	7	7	2.0	1/4	1/4	Chord	3/4	1	1	1/2	1/2	1	15			
3	3	6	6	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	16			
3	3	8	8	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	17			
4	4	9	9	0.3333333333333333	0	0	Chord	3/4	1	1	1/12	1/8	2/3	18			
4	4	28/3	28/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12	1/8	2/3	19			
4	4	29/3	29/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12	1/8	2/3	20			
4	4	10	10	2.0	1/4	1/4	Chord	3/4	1	1	1/2	1/2	1	21			
4	4	9	9	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	22			
4	4	11	11	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	23			
5	5	12	12	0.3333333333333333	0	0	Chord	3/4	1	1	1/12	1/8	2/3	24			
5	5	37/3	37/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12	1/8	2/3	25			
5	5	38/3	38/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12	1/8	2/3	26			
5	5	13	13	2.0	1/4	1/4	Chord	3/4	1	1	1/2	1/2	1	27			
5	5	12	12	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	28			
5	5	14	14	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	29			
6	6	15	15	0.3333333333333333	0	0	Chord	3/4	1	1	1/12	1/8	2/3	30			
6	6	46/3	46/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12	1/8	2/3	31			
