mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	staff_text
1	0	0	0	0.0	0	3/4	StaffText	4/4	1	1	0				Presto
1	0	1/4	1/4	0.25	1/16	13/16	Chord	4/4	1	1	1/16	1/16	1	0	
1	0	1/2	1/2	0.25	1/8	7/8	Chord	4/4	1	1	1/16	1/16	1	1	
1	0	3/4	3/4	0.25	3/16	15/16	Chord	4/4	1	1	1/16	1/16	1	2	
2	1	1	1	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	3	
2	1	3/2	3/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	4	
2	1	2	2	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	5	
2	1	5/2	5/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	6	
2	1	3	3	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	7	
2	1	5/4	5/4	0.25	1/16	1/16	Chord	4/4	1	2	1/16	1/16	1	8	
2	1	7/4	7/4	0.25	3/16	3/16	Chord	4/4	1	2	1/16	1/16	1	9	
2	1	9/4	9/4	0.25	5/16	5/16	Chord	4/4	1	2	1/16	1/16	1	10	
2	1	11/4	11/4	0.25	7/16	7/16	Chord	4/4	1	2	1/16	1/16	1	11	
2	1	13/4	13/4	0.25	9/16	9/16	Chord	4/4	1	2	1/16	1/16	1	12	
2	1	7/2	7/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	13	
2	1	4	4	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	14	
2	1	9/2	9/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	15	
2	1	15/4	15/4	0.25	11/16	11/16	Chord	4/4	2	2	1/16	1/16	1	16	
2	1	17/4	17/4	0.25	13/16	13/16	Chord	4/4	2	2	1/16	1/16	1	17	
2	1	19/4	19/4	0.25	15/16	15/16	Chord	4/4	2	2	1/16	1/16	1	18	
3	2	11/2	11/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	19	
3	2	13/2	13/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	20	
3	2	7	7	0.25	1/2	1/2	Chord	4/4	1	1	1/16	1/16	1	21	
3	2	29/4	29/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16	1/16	1	22	
3	2	15/2	15/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16	1/16	1	23	
3	2	31/4	31/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	24	
3	2	8	8	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	25	
3	2	17/2	17/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	26	
3	2	5	5	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	27	
3	2	6	6	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	28	
3	2	7	7	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	29	
3	2	17/2	17/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	30	
4	3	9	9	0.25	0	0	Chord	4/4	1	1	1/16	1/16	1	31	
4	3	37/4	37/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16	1/16	1	32	
4	3	19/2	19/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16	1/16	1	33	
4	3	39/4	39/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	34	
4	3	10	10	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	35	
4	3	21/2	21/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	36	
4	3	11	11	0.25	1/2	1/2	Chord	4/4	1	1	1/16	1/16	1	37	
4	3	45/4	45/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16	1/16	1	38	
4	3	23/2	23/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16	1/16	1	39	
4	3	47/4	47/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	40	
4	3	12	12	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	41	
4	3	25/2	25/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	42	
4	3	9	9	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	43	
4	3	21/2	21/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	44	
4	3	11	11	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	45	
4	3	25/2	25/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	46	
5	4	13	13	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	47	
5	4	57/4	57/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16	1/16	1	48	
5	4	29/2	29/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16	1/16	1	49	
5	4	59/4	59/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	50	
5	4	15	15	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	51	
5	4	31/2	31/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	52	
5	4	16	16	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	53	
5	4	33/2	33/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	54	
5	4	61/4	61/4	0.25	9/16	9/16	Chord	4/4	1	2	1/16	1/16	1	55	
5	4	63/4	63/4	0.25	11/16	11/16	Chord	4/4	1	2	1/16	1/16	1	56	
5	4	65/4	65/4	0.25	13/16	13/16	Chord	4/4	1	2	1/16	1/16	1	57	
5	4	67/4	67/4	0.25	15/16	15/16	Chord	4/4	1	2	1/16	1/16	1	58	
5	4	13	13	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	59	
6	5	39/2	39/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	60	
6	5	41/2	41/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	61	
6	5	17	17	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	62	
6	5	35/2	35/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	63	
6	5	18	18	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	64	
6	5	37/2	37/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	65	
6	5	19	19	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	66	
6	5	20	20	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	67	
6	5	69/4	69/4	0.25	1/16	1/16	Chord	4/4	2	2	1/16	1/16	1	68	
6	5	71/4	71/4	0.25	3/16	3/16	Chord	4/4	2	2	1/16	1/16	1	69	
6	5	73/4	73/4	0.25	5/16	5/16	Chord	4/4	2	2	1/16	1/16	1	70	
6	5	75/4	75/4	0.25	7/16	7/16	Chord	4/4	2	2	1/16	1/16	1	71	
7	6	21	21	0.25	0	0	Chord	4/4	1	1	1/16	1/16	1	72	
7	6	85/4	85/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16	1/16	1	73	
7	6	43/2	43/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16	1/16	1	74	
7	6	87/4	87/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	75	
7	6	22	22	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	76	
7	6	45/2	45/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	77	
7	6	23	23	0.25	1/2	1/2	Chord	4/4	1	1	1/16	1/16	1	78	
7	6	93/4	93/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16	1/16	1	79	
7	6	47/2	47/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16	1/16	1	80	
7	6	95/4	95/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	81	
7	6	24	24	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	82	
7	6	49/2	49/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	83	
7	6	21	21	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	84	
7	6	45/2	45/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	85	
7	6	23	23	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	86	
7	6	49/2	49/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	87	
8	7	25	25	0.25	0	0	Chord	4/4	1	1	1/16	1/16	1	88	
8	7	101/4	101/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16	1/16	1	89	
8	7	51/2	51/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16	1/16	1	90	
8	7	103/4	103/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	91	
8	7	26	26	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	92	
8	7	53/2	53/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	93	
8	7	27	27	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	94	
8	7	57/2	57/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	95	
8	7	25	25	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	96	
8	7	53/2	53/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	97	
8	7	27	27	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	98	
8	7	57/2	57/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	99	
9	8	29	29	0.25	0	0	Chord	4/4	1	1	1/16	1/16	1	100	
9	8	117/4	117/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16	1/16	1	101	
9	8	59/2	59/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16	1/16	1	102	
9	8	119/4	119/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	103	
9	8	30	30	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	104	
9	8	61/2	61/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	105	
9	8	31	31	0.25	1/2	1/2	Chord	4/4	1	1	1/16	1/16	1	106	
9	8	125/4	125/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16	1/16	1	107	
9	8	63/2	63/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16	1/16	1	108	
9	8	127/4	127/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	109	
9	8	32	32	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	110	
9	8	65/2	65/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	111	
9	8	29	29	0.25	0	0	Chord	4/4	2	1	1/16	1/16	1	112	
9	8	117/4	117/4	0.25	1/16	1/16	Chord	4/4	2	1	1/16	1/16	1	113	
9	8	59/2	59/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16	1/16	1	114	
9	8	119/4	119/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16	1/16	1	115	
9	8	30	30	0.25	1/4	1/4	Chord	4/4	2	1	1/16	1/16	1	116	
9	8	121/4	121/4	0.25	5/16	5/16	Chord	4/4	2	1	1/16	1/16	1	117	
9	8	61/2	61/2	0.25	3/8	3/8	Chord	4/4	2	1	1/16	1/16	1	118	
9	8	123/4	123/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16	1/16	1	119	
9	8	31	31	0.25	1/2	1/2	Chord	4/4	2	1	1/16	1/16	1	120	
9	8	125/4	125/4	0.25	9/16	9/16	Chord	4/4	2	1	1/16	1/16	1	121	
9	8	63/2	63/2	0.25	5/8	5/8	Chord	4/4	2	1	1/16	1/16	1	122	
9	8	127/4	127/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16	1/16	1	123	
9	8	32	32	0.25	3/4	3/4	Chord	4/4	2	1	1/16	1/16	1	124	
9	8	129/4	129/4	0.25	13/16	13/16	Chord	4/4	2	1	1/16	1/16	1	125	
9	8	65/2	65/2	0.25	7/8	7/8	Chord	4/4	2	1	1/16	1/16	1	126	
9	8	131/4	131/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16	1/16	1	127	
10	9	33	33	0.25	0	0	Chord	4/4	1	1	1/16	1/16	1	128	
10	9	133/4	133/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16	1/16	1	129	
10	9	67/2	67/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16	1/16	1	130	
10	9	135/4	135/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	131	
10	9	34	34	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	132	
10	9	69/2	69/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	133	
10	9	35	35	0.25	1/2	1/2	Chord	4/4	1	1	1/16	1/16	1	134	
10	9	141/4	141/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16	1/16	1	135	
10	9	71/2	71/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16	1/16	1	136	
10	9	143/4	143/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	137	
10	9	36	36	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	138	
10	9	73/2	73/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	139	
10	9	33	33	0.25	0	0	Chord	4/4	2	1	1/16	1/16	1	140	
10	9	133/4	133/4	0.25	1/16	1/16	Chord	4/4	2	1	1/16	1/16	1	141	
10	9	67/2	67/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16	1/16	1	142	
10	9	135/4	135/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16	1/16	1	143	
10	9	34	34	0.25	1/4	1/4	Chord	4/4	2	1	1/16	1/16	1	144	
10	9	137/4	137/4	0.25	5/16	5/16	Chord	4/4	2	1	1/16	1/16	1	145	
10	9	69/2	69/2	0.25	3/8	3/8	Chord	4/4	2	1	1/16	1/16	1	146	
10	9	139/4	139/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16	1/16	1	147	
10	9	35	35	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	148	
10	9	145/4	145/4	0.25	13/16	13/16	Chord	4/4	2	1	1/16	1/16	1	149	
10	9	73/2	73/2	0.25	7/8	7/8	Chord	4/4	2	1	1/16	1/16	1	150	
10	9	147/4	147/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16	1/16	1	151	
11	10	37	37	0.25	0	0	Chord	4/4	1	1	1/16	1/16	1	152	
11	10	149/4	149/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16	1/16	1	153	
11	10	75/2	75/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16	1/16	1	154	
11	10	151/4	151/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	155	
11	10	38	38	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	156	
11	10	77/2	77/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	157	
11	10	39	39	0.25	1/2	1/2	Chord	4/4	1	1	1/16	1/16	1	158	
11	10	157/4	157/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16	1/16	1	159	
11	10	79/2	79/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16	1/16	1	160	
11	10	159/4	159/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	161	
11	10	40	40	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	162	
11	10	81/2	81/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	163	
11	10	37	37	0.25	0	0	Chord	4/4	2	1	1/16	1/16	1	164	
11	10	149/4	149/4	0.25	1/16	1/16	Chord	4/4	2	1	1/16	1/16	1	165	
11	10	75/2	75/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16	1/16	1	166	
11	10	151/4	151/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16	1/16	1	167	
11	10	38	38	0.25	1/4	1/4	Chord	4/4	2	1	1/16	1/16	1	168	
11	10	153/4	153/4	0.25	5/16	5/16	Chord	4/4	2	1	1/16	1/16	1	169	
11	10	77/2	77/2	0.25	3/8	3/8	Chord	4/4	2	1	1/16	1/16	1	170	
11	10	155/4	155/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16	1/16	1	171	
11	10	39	39	0.25	1/2	1/2	Chord	4/4	2	1	1/16	1/16	1	172	
11	10	157/4	157/4	0.25	9/16	9/16	Chord	4/4	2	1	1/16	1/16	1	173	
11	10	79/2	79/2	0.25	5/8	5/8	Chord	4/4	2	1	1/16	1/16	1	174	
11	10	159/4	159/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16	1/16	1	175	
11	10	40	40	0.25	3/4	3/4	Chord	4/4	2	1	1/16	1/16	1	176	
11	10	161/4	161/4	0.25	13/16	13/16	Chord	4/4	2	1	1/16	1/16	1	177	
11	10	81/2	81/2	0.25	7/8	7/8	Chord	4/4	2	1	1/16	1/16	1	178	
11	10	163/4	163/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16	1/16	1	179	
12	11	41	41	0.25	0	0	Chord	4/4	1	1	1/16	1/16	1	180	
12	11	165/4	165/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16	1/16	1	181	
12	11	83/2	83/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16	1/16	1	182	
12	11	167/4	167/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	183	
12	11	42	42	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	184	
12	11	85/2	85/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	185	
12	11	43	43	0.25	1/2	1/2	Chord	4/4	1	1	1/16	1/16	1	186	
12	11	173/4	173/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16	1/16	1	187	
12	11	87/2	87/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16	1/16	1	188	
12	11	175/4	175/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	189	
12	11	44	44	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	190	
12	11	89/2	89/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	191	
12	11	41	41	0.25	0	0	Chord	4/4	2	1	1/16	1/16	1	192	
12	11	165/4	165/4	0.25	1/16	1/16	Chord	4/4	2	1	1/16	1/16	1	193	
12	11	83/2	83/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16	1/16	1	194	
12	11	167/4	167/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16	1/16	1	195	
12	11	42	42	0.25	1/4	1/4	Chord	4/4	2	1	1/16	1/16	1	196	
12	11	169/4	169/4	0.25	5/16	5/16	Chord	4/4	2	1	1/16	1/16	1	197	
12	11	85/2	85/2	0.25	3/8	3/8	Chord	4/4	2	1	1/16	1/16	1	198	
12	11	171/4	171/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16	1/16	1	199	
12	11	43	43	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	200	
12	11	177/4	177/4	0.25	13/16	13/16	Chord	4/4	2	1	1/16	1/16	1	201	
12	11	89/2	89/2	0.25	7/8	7/8	Chord	4/4	2	1	1/16	1/16	1	202	
12	11	179/4	179/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16	1/16	1	203	
13	12	45	45	0.25	0	0	Chord	4/4	1	1	1/16	1/16	1	204	
13	12	181/4	181/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16	1/16	1	205	
13	12	91/2	91/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16	1/16	1	206	
13	12	183/4	183/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	207	
13	12	46	46	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	208	
13	12	93/2	93/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	209	
13	12	47	47	0.25	1/2	1/2	Chord	4/4	1	1	1/16	1/16	1	210	
13	12	189/4	189/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16	1/16	1	211	
13	12	95/2	95/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16	1/16	1	212	
13	12	191/4	191/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	213	
13	12	48	48	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	214	
13	12	97/2	97/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	215	
13	12	45	45	0.25	0	0	Chord	4/4	2	1	1/16	1/16	1	216	
13	12	181/4	181/4	0.25	1/16	1/16	Chord	4/4	2	1	1/16	1/16	1	217	
13	12	91/2	91/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16	1/16	1	218	
