mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	articulation	staff_text	slur
1	1	0	0	0.0		0	0	StaffText	12/8	1	1	0					Con Spirito (Parme: Allegro con spirito)	
1	1	0	0	0.5		0	0	Chord	12/8	1	1	1/8	1/8	1	0			
1	1	1/2	1/2	0.25		1/8	1/8	Chord	12/8	1	1	1/16	1/16	1	1			
1	1	3/4	3/4	0.25		3/16	3/16	Chord	12/8	1	1	1/16	1/16	1	2			
1	1	1	1	0.25		1/4	1/4	Chord	12/8	1	1	1/16	1/16	1	3			
1	1	5/4	5/4	0.125		5/16	5/16	Chord	12/8	1	1	1/32	1/32	1	4			
1	1	11/8	11/8	0.125		11/32	11/32	Chord	12/8	1	1	1/32	1/32	1	5			
1	1	3/2	3/2	0.5		3/8	3/8	Chord	12/8	1	1	1/8	1/8	1	6			
1	1	2	2	0.5		1/2	1/2	Chord	12/8	1	1	1/8	1/8	1	7			
1	1	5/2	5/2	0.5		5/8	5/8	Chord	12/8	1	1	1/8	1/8	1	8			
1	1	3	3	0.5		3/4	3/4	Chord	12/8	1	1	1/8	1/8	1	9			
1	1	7/2	7/2	0.5		7/8	7/8	Chord	12/8	1	1	1/8	1/8	1	10			
1	1	4	4	0.5		1	1	Chord	12/8	1	1	1/8	1/8	1	11			
1	1	9/2	9/2	0.5		9/8	9/8	Chord	12/8	1	1	1/8	1/8	1	12			
1	1	5	5	0.5		5/4	5/4	Chord	12/8	1	1	1/8	1/8	1	13			
1	1	11/2	11/2	0.5		11/8	11/8	Chord	12/8	1	1	1/8	1/8	1	14			
2	2	6	6	0.5		0	0	Chord	12/8	1	1	1/8	1/8	1	15			
2	2	13/2	13/2	0.5		1/8	1/8	Chord	12/8	1	1	1/8	1/8	1	16			
2	2	7	7	0.5		1/4	1/4	Chord	12/8	1	1	1/8	1/8	1	17			
2	2	19/2	19/2	0.25		7/8	7/8	Chord	12/8	1	1	1/16	1/16	1	18			
2	2	39/4	39/4	0.25		15/16	15/16	Chord	12/8	1	1	1/16	1/16	1	19			
2	2	10	10	0.25		1	1	Chord	12/8	1	1	1/16	1/16	1	20			
2	2	41/4	41/4	0.25		17/16	17/16	Chord	12/8	1	1	1/16	1/16	1	21			
