mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible
1	0	0	0	0.0	0	1/4	StaffText	2/4	1	1	0					Presto					
1	0	0	0	0.0	0	1/4	Tempo	2/4	1	1	0						𝅘𝅥=144	144.0	𝅘𝅥	144.0	0.0
1	0	0	0	0.5	0	1/4	Chord	2/4	1	1	1/8	1/8	1	0							
1	0	1/2	1/2	0.5	1/8	3/8	Chord	2/4	1	1	1/8	1/8	1	1							
2	1	1	1	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	2	ornamentTrill						
2	1	3/2	3/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	3							
2	1	7/4	7/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	4							
2	1	2	2	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	5							
2	1	9/4	9/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	6							
2	1	5/2	5/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	7							
2	1	11/4	11/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	8							
3	2	3	3	0.25	0	0	Chord	2/4	1	1	1/16	1/16	1	9							
3	2	13/4	13/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	10							
3	2	7/2	7/2	1.0	1/8	1/8	Chord	2/4	1	1	1/4	1/4	1	11							
3	2	9/2	9/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	12							
3	2	3	3	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	13							
3	2	7/2	7/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	14							
3	2	4	4	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	15	ornamentTrill						
3	2	9/2	9/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16	1/16	1	16							
3	2	19/4	19/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16	1/16	1	17							
4	3	5	5	0.25	0	0	Chord	2/4	1	1	1/16	1/16	1	18							
4	3	21/4	21/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	19							
4	3	11/2	11/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	20							
4	3	23/4	23/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	21							
4	3	6	6	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	22							
4	3	25/4	25/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	23							
4	3	13/2	13/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	24							
4	3	27/4	27/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	25							
4	3	5	5	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	26							
4	3	6	6	1.0	1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	27							
5	4	7	7	0.25	0	0	Chord	2/4	1	1	1/16	1/16	1	28							
5	4	29/4	29/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	29							
5	4	15/2	15/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	30							
5	4	31/4	31/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	31							
5	4	8	8	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	32							
5	4	17/2	17/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	33							
5	4	7	7	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	34							
5	4	15/2	15/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	35							
5	4	8	8	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	36	ornamentTrill						
5	4	17/2	17/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16	1/16	1	37							
5	4	35/4	35/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16	1/16	1	38							
6	5	9	9	0.25	0	0	Chord	2/4	1	1	1/16	1/16	1	39							
6	5	37/4	37/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	40							
6	5	19/2	19/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	41							
6	5	39/4	39/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	42							
6	5	10	10	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	43							
6	5	41/4	41/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	44							
6	5	21/2	21/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	45							
6	5	43/4	43/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	46							
6	5	9	9	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	47							
6	5	10	10	1.0	1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	48							
7	6	11	11	0.25	0	0	Chord	2/4	1	1	1/16	1/16	1	49							
7	6	45/4	45/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	50							
7	6	23/2	23/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	51							
7	6	47/4	47/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	52							
7	6	12	12	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	53							
7	6	25/2	25/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	54							
7	6	11	11	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	55							
7	6	23/2	23/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	56							
7	6	12	12	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	57	ornamentTrill						
7	6	25/2	25/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16	1/16	1	58							
7	6	51/4	51/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16	1/16	1	59							
8	7	13	13	0.25	0	0	Chord	2/4	1	1	1/16	1/16	1	60							
8	7	53/4	53/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	61							
8	7	27/2	27/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	62							
8	7	55/4	55/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	63							
8	7	14	14	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	64							
8	7	57/4	57/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	65							
8	7	29/2	29/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	66							
8	7	59/4	59/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	67							
8	7	14	14	0.25	1/4	1/4	Chord	2/4	1	2	1/16	1/16	1	68							
8	7	57/4	57/4	0.25	5/16	5/16	Chord	2/4	1	2	1/16	1/16	1	69							
8	7	29/2	29/2	0.25	3/8	3/8	Chord	2/4	1	2	1/16	1/16	1	70							
8	7	59/4	59/4	0.25	7/16	7/16	Chord	2/4	1	2	1/16	1/16	1	71							
8	7	13	13	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	72							
9	8	15	15	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	73							
9	8	31/2	31/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	74							
9	8	16	16	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	75	ornamentTrill						
9	8	33/2	33/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	76							
9	8	67/4	67/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	77							
9	8	15	15	0.5	0	0	Chord	2/4	1	2	1/8	1/8	1	78							
9	8	31/2	31/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	79							
9	8	16	16	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	80	ornamentTrill						
9	8	33/2	33/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16	1/16	1	81							
9	8	67/4	67/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16	1/16	1	82							
10	9	17	17	0.25	0	0	Chord	2/4	1	1	1/16	1/16	1	83							
10	9	69/4	69/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	84							
10	9	35/2	35/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	85							
10	9	71/4	71/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	86							
10	9	18	18	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	87							
10	9	73/4	73/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	88							
10	9	37/2	37/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	89							
10	9	75/4	75/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	90							
10	9	18	18	0.25	1/4	1/4	Chord	2/4	1	2	1/16	1/16	1	91							
10	9	73/4	73/4	0.25	5/16	5/16	Chord	2/4	1	2	1/16	1/16	1	92							
10	9	37/2	37/2	0.25	3/8	3/8	Chord	2/4	1	2	1/16	1/16	1	93							
10	9	75/4	75/4	0.25	7/16	7/16	Chord	2/4	1	2	1/16	1/16	1	94							
10	9	17	17	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	95							
11	10	19	19	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	96							
