mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	articulation	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
1	1	0	0	0.0	0	0	Tempo	3/8	1	1	0					𝅘𝅥=46	46.0	𝅘𝅥	46.0	1.0	
1	1	0	0	0.125	0	0	Chord	3/8	1	1	1/32	1/32	1	0							
1	1	1/8	1/8	0.125	1/32	1/32	Chord	3/8	1	1	1/32	1/32	1	1							
1	1	1/4	1/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16	1/16	1	2							
1	1	1/2	1/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8	1/8	1	3							0
1	1	1	1	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	4							
1	1	0	0	1.5	0	0	Chord	3/8	2	1	3/8	1/4	3/2	5							
2	2	3/2	3/2	0.5	0	0	Chord	3/8	1	1	1/8	1/8	1	6							
2	2	2	2	0.5	1/8	1/8	Chord	3/8	1	1	1/8	1/8	1	7							1
2	2	5/2	5/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	8							
2	2	3/2	3/2	1.5	0	0	Chord	3/8	2	1	3/8	1/4	3/2	9							
3	3	3	3	0.125	0	0	Chord	3/8	1	1	1/32	1/32	1	10							
3	3	25/8	25/8	0.125	1/32	1/32	Chord	3/8	1	1	1/32	1/32	1	11							
3	3	13/4	13/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16	1/16	1	12							
3	3	7/2	7/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8	1/8	1	13							2
3	3	4	4	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	14							
3	3	3	3	1.5	0	0	Chord	3/8	2	1	3/8	1/4	3/2	15							
4	4	9/2	9/2	0.5	0	0	Chord	3/8	1	1	1/8	1/8	1	16							
4	4	5	5	0.5	1/8	1/8	Chord	3/8	1	1	1/8	1/8	1	17							3
4	4	11/2	11/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	18							
4	4	9/2	9/2	1.5	0	0	Chord	3/8	2	1	3/8	1/4	3/2	19							
5	5	6	6	0.125	0	0	Chord	3/8	1	1	1/32	1/32	1	20							
5	5	49/8	49/8	0.125	1/32	1/32	Chord	3/8	1	1	1/32	1/32	1	21							
5	5	25/4	25/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16	1/16	1	22							
5	5	13/2	13/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8	1/8	1	23							4
5	5	7	7	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	24	ornamentTrill						
5	5	6	6	1.5	0	0	Chord	3/8	2	1	3/8	1/4	3/2	25							
6	6	15/2	15/2	0.5	0	0	Chord	3/8	1	1	1/8	1/8	1	26							
6	6	8	8	0.5	1/8	1/8	Chord	3/8	1	1	1/8	1/8	1	27							5
6	6	17/2	17/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	28							
6	6	15/2	15/2	0.5	0	0	Chord	3/8	2	1	1/8	1/8	1	29							
6	6	8	8	0.5	1/8	1/8	Chord	3/8	2	1	1/8	1/8	1	30							6
6	6	17/2	17/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	31							
7	7	9	9	0.25	0	0	Chord	3/8	1	1	1/16	1/16	1	32							
7	7	37/4	37/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16	1/16	1	33							
7	7	19/2	19/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8	1/8	1	34							
7	7	10	10	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	35	ornamentTrill						
7	7	9	9	1.0	0	0	Chord	3/8	2	1	1/4	1/4	1	36							
7	7	10	10	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	37							
8	8	21/2	21/2	1.5	0	0	Chord	3/8	1	1	3/8	1/4	3/2	38							
8	8	21/2	21/2	1.5	0	0	Chord	3/8	2	1	3/8	1/4	3/2	39							
9	9	12	12	0.125	0	0	Chord	3/8	1	1	1/32	1/32	1	40							
9	9	97/8	97/8	0.125	1/32	1/32	Chord	3/8	1	1	1/32	1/32	1	41							
9	9	49/4	49/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16	1/16	1	42							
9	9	25/2	25/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8	1/8	1	43							7
