mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	articulation	staff_text
1	1	0	0	0.0		0	0	StaffText	2/4	1	1	0						Allegro
1	1	0	0	0.0		0	0	Chord	2/4	1	1	0	appoggiatura	1/32	1	0		
1	1	0	0	0.0		0	0	Chord	2/4	1	1	0	appoggiatura	1/32	1	1		
1	1	0	0	1.0		0	0	Chord	2/4	1	1	1/4		1/4	1	2		
1	1	1	1	0.5		1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	3		
1	1	3/2	3/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	4		
1	1	7/4	7/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	5		
1	1	0	0	1.0		0	0	Chord	2/4	1	2	1/4		1/4	1	6		
1	1	1	1	1.0		1/4	1/4	Chord	2/4	1	2	1/4		1/4	1	7		
2	2	2	2	0.0		0	0	Chord	2/4	1	1	0	appoggiatura	1/32	1	8		
2	2	2	2	1.5		0	0	Chord	2/4	1	1	3/8		1/4	3/2	9		
2	2	7/2	7/2	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	10		
2	2	2	2	0.5		0	0	Chord	2/4	1	2	1/8		1/8	1	11		
2	2	5/2	5/2	0.5		1/8	1/8	Chord	2/4	1	2	1/8		1/8	1	12		
2	2	3	3	0.5		1/4	1/4	Chord	2/4	1	2	1/8		1/8	1	13		
2	2	7/2	7/2	0.5		3/8	3/8	Chord	2/4	1	2	1/8		1/8	1	14		
2	2	3	3	1.0		1/4	1/4	Chord	2/4	1	3	1/4		1/4	1	15		
3	3	4	4	0.25		0	0	Chord	2/4	1	1	1/16		1/16	1	16		
3	3	17/4	17/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	17		
3	3	9/2	9/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	18		
3	3	19/4	19/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	19		
3	3	5	5	0.25		1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	20		
