mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	articulation	slur
1	1	0	0	1.5	0	0	Chord	2/4	1	1	3/8	1/4	3/2	0		
1	1	3/2	3/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	1		
1	1	0	0	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	2		
1	1	1	1	1.0	1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	3		
2	2	2	2	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	4		
2	2	5/2	5/2	1.0	1/8	1/8	Chord	2/4	1	1	1/4	1/4	1	5		
2	2	7/2	7/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	6		
2	2	2	2	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	7		
2	2	3	3	1.0	1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	8		
3	3	4	4	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	9		
3	3	9/2	9/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	10		
3	3	5	5	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	11		
3	3	11/2	11/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	12		
3	3	4	4	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	13		
3	3	5	5	1.0	1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	14		
4	4	6	6	1.0	0	0	Chord	2/4	1	1	1/4	1/4	1	15		
4	4	7	7	1.0	1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	16		
4	4	6	6	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	17		
4	4	7	7	1.0	1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	18		
4	4	6	6	0.5	0	0	Chord	2/4	2	2	1/8	1/8	1	19		
4	4	13/2	13/2	0.5	1/8	1/8	Chord	2/4	2	2	1/8	1/8	1	20		
4	4	7	7	0.5	1/4	1/4	Chord	2/4	2	2	1/8	1/8	1	21		
4	4	15/2	15/2	0.5	3/8	3/8	Chord	2/4	2	2	1/8	1/8	1	22		
5	5	8	8	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	23	ornamentTrill	
5	5	17/2	17/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	24		
5	5	35/4	35/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	25		
5	5	9	9	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	26		
5	5	37/4	37/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	27		
5	5	19/2	19/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	28		
5	5	39/4	39/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	29		
5	5	8	8	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	30		
5	5	9	9	1.0	1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	31		
6	6	10	10	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	32		
6	6	21/2	21/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	33		
6	6	11	11	1.0	1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	34		
6	6	10	10	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	35		
6	6	45/4	45/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16	1/16	1	36		
6	6	23/2	23/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16	1/16	1	37		
6	6	47/4	47/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16	1/16	1	38		
6	6	11	11	1.0	1/4	1/4	Chord	2/4	2	2	1/4	1/4	1	39		
7	7	12	12	1.5	0	0	Chord	2/4	1	1	3/8	1/4	3/2	40		
7	7	27/2	27/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	41		
7	7	12	12	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	42		
7	7	13	13	1.0	1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	43		
8	8	14	14	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	44		
8	8	29/2	29/2	1.0	1/8	1/8	Chord	2/4	1	1	1/4	1/4	1	45		
8	8	31/2	31/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	46		
8	8	14	14	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	47		
8	8	15	15	1.0	1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	48		
9	9	16	16	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	49		
9	9	33/2	33/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	50		
9	9	17	17	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	51		
9	9	35/2	35/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	52		
9	9	16	16	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	53		
9	9	17	17	1.0	1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	54		
10	10	18	18	1.0	0	0	Chord	2/4	1	1	1/4	1/4	1	55		
10	10	19	19	1.0	1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	56		
10	10	18	18	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	57		
10	10	19	19	1.0	1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	58		
10	10	18	18	0.5	0	0	Chord	2/4	2	2	1/8	1/8	1	59		
10	10	37/2	37/2	0.5	1/8	1/8	Chord	2/4	2	2	1/8	1/8	1	60		
10	10	19	19	0.5	1/4	1/4	Chord	2/4	2	2	1/8	1/8	1	61		
10	10	39/2	39/2	0.5	3/8	3/8	Chord	2/4	2	2	1/8	1/8	1	62		
11	11	20	20	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	63	ornamentTrill	
11	11	41/2	41/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	64		
11	11	83/4	83/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	65		
11	11	21	21	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	66		
