mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	articulation	staff_text	slur
10	10	27/2	27/2	1.5	0	0	Chord	3/8	1	1	3/8	1/4	3/2	46	ornamentTrill		
10	10	27/2	27/2	1.5	0	0	Chord	3/8	1	2	3/8	1/4	3/2	47			
11	11	31/2	31/2	0.0	1/8	1/8	StaffText	3/8	1	1	0					Tremulo di sopra	
11	11	31/2	31/2	1.0	1/8	1/8	Chord	3/8	1	1	1/4	1/4	1	48			
11	11	15	15	0.5	0	0	Chord	3/8	2	1	1/8	1/8	1	49			
11	11	31/2	31/2	0.5	1/8	1/8	Chord	3/8	2	1	1/8	1/8	1	50			
11	11	16	16	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	51			
11	11	16	16	0.5	1/4	1/4	Chord	3/8	2	2	1/8	1/8	1	52			
12	12	33/2	33/2	1.5	0	0	Chord	3/8	1	1	3/8	1/4	3/2	53			
12	12	33/2	33/2	0.5	0	0	Chord	3/8	2	1	1/8	1/8	1	54			
12	12	17	17	0.5	1/8	1/8	Chord	3/8	2	1	1/8	1/8	1	55			
12	12	35/2	35/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	56			
12	12	33/2	33/2	1.0	0	0	Chord	3/8	2	2	1/4	1/4	1	57			
12	12	35/2	35/2	0.5	1/4	1/4	Chord	3/8	2	2	1/8	1/8	1	58			
13	13	37/2	37/2	1.0	1/8	1/8	Chord	3/8	1	1	1/4	1/4	1	59			
13	13	18	18	1.5	0	0	Chord	3/8	1	2	3/8	1/4	3/2	60			
13	13	18	18	0.5	0	0	Chord	3/8	2	1	1/8	1/8	1	61			
13	13	37/2	37/2	0.5	1/8	1/8	Chord	3/8	2	1	1/8	1/8	1	62			
13	13	19	19	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	63			
13	13	18	18	1.0	0	0	Chord	3/8	2	2	1/4	1/4	1	64			
13	13	19	19	0.5	1/4	1/4	Chord	3/8	2	2	1/8	1/8	1	65			
14	14	39/2	39/2	1.5	0	0	Chord	3/8	1	1	3/8	1/4	3/2	66			
14	14	39/2	39/2	1.5	0	0	Chord	3/8	1	2	3/8	1/4	3/2	67			
14	14	39/2	39/2	0.5	0	0	Chord	3/8	2	1	1/8	1/8	1	68			
14	14	20	20	0.5	1/8	1/8	Chord	3/8	2	1	1/8	1/8	1	69			
14	14	41/2	41/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	70			
14	14	39/2	39/2	1.0	0	0	Chord	3/8	2	2	1/4	1/4	1	71			
14	14	41/2	41/2	0.5	1/4	1/4	Chord	3/8	2	2	1/8	1/8	1	72			
15	15	21	21	0.5	0	0	Chord	3/8	1	1	1/8	1/8	1	73			
15	15	43/2	43/2	1.0	1/8	1/8	Chord	3/8	1	1	1/4	1/4	1	74			
15	15	21	21	1.5	0	0	Chord	3/8	1	2	3/8	1/4	3/2	75			
15	15	21	21	0.5	0	0	Chord	3/8	2	1	1/8	1/8	1	76			
15	15	43/2	43/2	0.5	1/8	1/8	Chord	3/8	2	1	1/8	1/8	1	77			
15	15	22	22	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	78			
15	15	21	21	1.0	0	0	Chord	3/8	2	2	1/4	1/4	1	79			
15	15	22	22	0.5	1/4	1/4	Chord	3/8	2	2	1/8	1/8	1	80			
16	16	45/2	45/2	1.5	0	0	Chord	3/8	1	1	3/8	1/4	3/2	81			
16	16	45/2	45/2	1.5	0	0	Chord	3/8	1	2	3/8	1/4	3/2	82			
16	16	45/2	45/2	0.5	0	0	Chord	3/8	2	1	1/8	1/8	1	83			
16	16	23	23	0.5	1/8	1/8	Chord	3/8	2	1	1/8	1/8	1	84			
16	16	47/2	47/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	85			
16	16	45/2	45/2	1.0	0	0	Chord	3/8	2	2	1/4	1/4	1	86			
16	16	47/2	47/2	0.5	1/4	1/4	Chord	3/8	2	2	1/8	1/8	1	87			
17	17	24	24	0.5	0	0	Chord	3/8	1	1	1/8	1/8	1	88			
17	17	49/2	49/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8	1/8	1	89			
17	17	25	25	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	90			
17	17	24	24	0.5	0	0	Chord	3/8	1	2	1/8	1/8	1	91			
17	17	49/2	49/2	0.5	1/8	1/8	Chord	3/8	1	2	1/8	1/8	1	92			
17	17	25	25	0.5	1/4	1/4	Chord	3/8	1	2	1/8	1/8	1	93			
17	17	24	24	1.0	0	0	Chord	3/8	2	1	1/4	1/4	1	94			
17	17	25	25	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	95			
18	18	51/2	51/2	0.5	0	0	Chord	3/8	1	1	1/8	1/8	1	96			
18	18	26	26	0.5	1/8	1/8	Chord	3/8	1	1	1/8	1/8	1	97			
18	18	53/2	53/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	98			
18	18	51/2	51/2	0.5	0	0	Chord	3/8	1	2	1/8	1/8	1	99			
18	18	26	26	0.5	1/8	1/8	Chord	3/8	1	2	1/8	1/8	1	100			
18	18	53/2	53/2	0.5	1/4	1/4	Chord	3/8	1	2	1/8	1/8	1	101			
18	18	51/2	51/2	1.0	0	0	Chord	3/8	2	1	1/4	1/4	1	102			
18	18	53/2	53/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	103			
19	19	27	27	0.5	0	0	Chord	3/8	1	1	1/8	1/8	1	104			
19	19	55/2	55/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8	1/8	1	105			
19	19	28	28	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	106			
19	19	27	27	0.5	0	0	Chord	3/8	1	2	1/8	1/8	1	107			
19	19	55/2	55/2	0.5	1/8	1/8	Chord	3/8	1	2	1/8	1/8	1	108			
19	19	28	28	0.5	1/4	1/4	Chord	3/8	1	2	1/8	1/8	1	109			
19	19	27	27	1.0	0	0	Chord	3/8	2	1	1/4	1/4	1	110			
19	19	28	28	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	111			
20	20	57/2	57/2	0.5	0	0	Chord	3/8	1	1	1/8	1/8	1	112			
20	20	29	29	0.5	1/8	1/8	Chord	3/8	1	1	1/8	1/8	1	113			
20	20	59/2	59/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	114			
20	20	57/2	57/2	0.5	0	0	Chord	3/8	1	2	1/8	1/8	1	115			
20	20	29	29	0.5	1/8	1/8	Chord	3/8	1	2	1/8	1/8	1	116			
20	20	59/2	59/2	0.5	1/4	1/4	Chord	3/8	1	2	1/8	1/8	1	117			
20	20	57/2	57/2	1.0	0	0	Chord	3/8	2	1	1/4	1/4	1	118			
20	20	59/2	59/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	119			
21	21	30	30	0.5	0	0	Chord	3/8	1	1	1/8	1/8	1	120			
21	21	61/2	61/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8	1/8	1	121			
21	21	31	31	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	122			
21	21	30	30	0.5	0	0	Chord	3/8	1	2	1/8	1/8	1	123			
21	21	61/2	61/2	0.5	1/8	1/8	Chord	3/8	1	2	1/8	1/8	1	124			
21	21	31	31	0.5	1/4	1/4	Chord	3/8	1	2	1/8	1/8	1	125			
21	21	30	30	0.5	0	0	Chord	3/8	2	1	1/8	1/8	1	126			
21	21	61/2	61/2	0.5	1/8	1/8	Chord	3/8	2	1	1/8	1/8	1	127			
21	21	31	31	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	128			
22	22	63/2	63/2	0.5	0	0	Chord	3/8	1	1	1/8	1/8	1	129			
22	22	32	32	0.5	1/8	1/8	Chord	3/8	1	1	1/8	1/8	1	130			
22	22	65/2	65/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	131			
22	22	63/2	63/2	0.5	0	0	Chord	3/8	1	2	1/8	1/8	1	132			
22	22	32	32	0.5	1/8	1/8	Chord	3/8	1	2	1/8	1/8	1	133			
22	22	65/2	65/2	0.5	1/4	1/4	Chord	3/8	1	2	1/8	1/8	1	134			
22	22	63/2	63/2	0.5	0	0	Chord	3/8	2	1	1/8	1/8	1	135			
22	22	32	32	0.5	1/8	1/8	Chord	3/8	2	1	1/8	1/8	1	136			
22	22	65/2	65/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	137			
23	23	33	33	0.5	0	0	Chord	3/8	1	1	1/8	1/8	1	138			
23	23	67/2	67/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8	1/8	1	139			
23	23	34	34	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	140			
23	23	33	33	0.5	0	0	Chord	3/8	1	2	1/8	1/8	1	141			
23	23	67/2	67/2	0.5	1/8	1/8	Chord	3/8	1	2	1/8	1/8	1	142			
23	23	34	34	0.5	1/4	1/4	Chord	3/8	1	2	1/8	1/8	1	143			
23	23	33	33	0.5	0	0	Chord	3/8	2	1	1/8	1/8	1	144			
23	23	67/2	67/2	0.5	1/8	1/8	Chord	3/8	2	1	1/8	1/8	1	145			
23	23	34	34	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	146			
24	24	69/2	69/2	0.5	0	0	Chord	3/8	1	1	1/8	1/8	1	147			
24	24	35	35	0.5	1/8	1/8	Chord	3/8	1	1	1/8	1/8	1	148			
24	24	71/2	71/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	149			
24	24	69/2	69/2	0.5	0	0	Chord	3/8	1	2	1/8	1/8	1	150			
24	24	35	35	0.5	1/8	1/8	Chord	3/8	1	2	1/8	1/8	1	151			
24	24	71/2	71/2	0.5	1/4	1/4	Chord	3/8	1	2	1/8	1/8	1	152			
24	24	69/2	69/2	0.5	0	0	Chord	3/8	2	1	1/8	1/8	1	153			
24	24	35	35	0.5	1/8	1/8	Chord	3/8	2	1	1/8	1/8	1	154			
24	24	71/2	71/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	155			
25	25	36	36	1.5	0	0	Chord	3/8	1	1	3/8	1/4	3/2	156	ornamentTrill		
25	25	36	36	1.5	0	0	Chord	3/8	2	1	3/8	1/4	3/2	157			
26	26	75/2	75/2	0.75	0	0	Chord	3/8	1	1	3/16	1/8	3/2	158	ornamentTrill		
26	26	153/4	153/4	0.125	3/16	3/16	Chord	3/8	1	1	1/32	1/32	1	159			
26	26	307/8	307/8	0.125	7/32	7/32	Chord	3/8	1	1	1/32	1/32	1	160			
26	26	77/2	77/2	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	161			
26	26	155/4	155/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	162			
26	26	75/2	75/2	0.5	0	0	Chord	3/8	2	1	1/8	1/8	1	163			
26	26	38	38	0.5	1/8	1/8	Chord	3/8	2	1	1/8	1/8	1	164			
26	26	77/2	77/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	165			
27	27	39	39	0.5	0	0	Chord	3/8	1	1	1/8	1/8	1	166			
27	27	79/2	79/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8	1/8	1	167			
27	27	40	40	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	168			
27	27	39	39	1.5	0	0	Chord	3/8	2	1	3/8	1/4	3/2	169			
28	28	81/2	81/2	0.75	0	0	Chord	3/8	1	1	3/16	1/8	3/2	170	ornamentTrill		
28	28	165/4	165/4	0.125	3/16	3/16	Chord	3/8	1	1	1/32	1/32	1	171			
28	28	331/8	331/8	0.125	7/32	7/32	Chord	3/8	1	1	1/32	1/32	1	172			
28	28	83/2	83/2	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	173			
28	28	167/4	167/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	174			
28	28	81/2	81/2	0.5	0	0	Chord	3/8	2	1	1/8	1/8	1	175			
28	28	41	41	0.5	1/8	1/8	Chord	3/8	2	1	1/8	1/8	1	176			
28	28	83/2	83/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	177			
29	29	42	42	0.5	0	0	Chord	3/8	1	1	1/8	1/8	1	178			
29	29	85/2	85/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8	1/8	1	179			
29	29	43	43	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	180			
29	29	42	42	1.5	0	0	Chord	3/8	2	1	3/8	1/4	3/2	181			
30	30	87/2	87/2	0.75	0	0	Chord	3/8	1	1	3/16	1/8	3/2	182	ornamentTrill		
30	30	177/4	177/4	0.125	3/16	3/16	Chord	3/8	1	1	1/32	1/32	1	183			
30	30	355/8	355/8	0.125	7/32	7/32	Chord	3/8	1	1	1/32	1/32	1	184			
30	30	89/2	89/2	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	185			
30	30	179/4	179/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	186			
30	30	87/2	87/2	0.5	0	0	Chord	3/8	2	1	1/8	1/8	1	187			
30	30	44	44	0.5	1/8	1/8	Chord	3/8	2	1	1/8	1/8	1	188			
30	30	89/2	89/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	189			
31	31	45	45	0.5	0	0	Chord	3/8	1	1	1/8	1/8	1	190			
31	31	91/2	91/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8	1/8	1	191			
31	31	46	46	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	192			
31	31	45	45	1.5	0	0	Chord	3/8	2	1	3/8	1/4	3/2	193			
32	32	93/2	93/2	0.75	0	0	Chord	3/8	1	1	3/16	1/8	3/2	194	ornamentTrill		
32	32	189/4	189/4	0.125	3/16	3/16	Chord	3/8	1	1	1/32	1/32	1	195			
32	32	379/8	379/8	0.125	7/32	7/32	Chord	3/8	1	1	1/32	1/32	1	196			
32	32	95/2	95/2	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	197			
32	32	191/4	191/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	198			
32	32	93/2	93/2	0.5	0	0	Chord	3/8	2	1	1/8	1/8	1	199			
32	32	47	47	0.5	1/8	1/8	Chord	3/8	2	1	1/8	1/8	1	200			
32	32	95/2	95/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	201			
33	33	48	48	0.0	0	0	StaffText	3/8	1	1	0					Mutandi i deti	
33	33	48	48	0.25	0	0	Chord	3/8	1	1	1/16	1/16	1	202			
33	33	193/4	193/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16	1/16	1	203			
33	33	97/2	97/2	0.25	1/8	1/8	Chord	3/8	1	1	1/16	1/16	1	204			
33	33	195/4	195/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	205			
33	33	49	49	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	206			
33	33	197/4	197/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	207			
33	33	48	48	0.5	0	0	Chord	3/8	2	1	1/8	1/8	1	208			
33	33	97/2	97/2	0.5	1/8	1/8	Chord	3/8	2	1	1/8	1/8	1	209			
33	33	49	49	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	210			
34	34	99/2	99/2	0.25	0	0	Chord	3/8	1	1	1/16	1/16	1	211			
34	34	199/4	199/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16	1/16	1	212			
34	34	50	50	0.25	1/8	1/8	Chord	3/8	1	1	1/16	1/16	1	213			
34	34	201/4	201/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	214			
34	34	101/2	101/2	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	215			
34	34	203/4	203/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	216			
34	34	99/2	99/2	0.5	0	0	Chord	3/8	2	1	1/8	1/8	1	217			
34	34	50	50	0.5	1/8	1/8	Chord	3/8	2	1	1/8	1/8	1	218			
34	34	101/2	101/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	219			
35	35	51	51	0.5	0	0	Chord	3/8	1	1	1/8	1/8	1	220			
35	35	103/2	103/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8	1/8	1	221			
35	35	52	52	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	222			
35	35	51	51	1.0	0	0	Chord	3/8	2	1	1/4	1/4	1	223			
35	35	52	52	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	224			
36	36	105/2	105/2	0.25	0	0	Chord	3/8	1	1	1/16	1/16	1	225			
36	36	211/4	211/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16	1/16	1	226			
36	36	53	53	0.25	1/8	1/8	Chord	3/8	1	1	1/16	1/16	1	227			
36	36	213/4	213/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	228			
36	36	107/2	107/2	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	229			
36	36	215/4	215/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	230			
36	36	53	53	0.5	1/8	1/8	Chord	3/8	2	1	1/8	1/8	1	231			
36	36	107/2	107/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	232			
37	37	54	54	0.25	0	0	Chord	3/8	1	1	1/16	1/16	1	233			
37	37	217/4	217/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16	1/16	1	234			
37	37	109/2	109/2	0.25	1/8	1/8	Chord	3/8	1	1	1/16	1/16	1	235			
37	37	219/4	219/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	236			
37	37	55	55	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	237			
37	37	221/4	221/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	238			
37	37	54	54	0.5	0	0	Chord	3/8	2	1	1/8	1/8	1	239			
37	37	109/2	109/2	0.5	1/8	1/8	Chord	3/8	2	1	1/8	1/8	1	240			
37	37	55	55	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	241			
38	38	111/2	111/2	0.5	0	0	Chord	3/8	1	1	1/8	1/8	1	242			
38	38	56	56	0.5	1/8	1/8	Chord	3/8	1	1	1/8	1/8	1	243			
38	38	113/2	113/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	244			
38	38	56	56	0.5	1/8	1/8	Chord	3/8	2	1	1/8	1/8	1	245			
38	38	113/2	113/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	246			
39	39	57	57	0.25	0	0	Chord	3/8	1	1	1/16	1/16	1	247			
39	39	229/4	229/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16	1/16	1	248			
39	39	115/2	115/2	0.25	1/8	1/8	Chord	3/8	1	1	1/16	1/16	1	249			
39	39	231/4	231/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	250			
39	39	58	58	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	251			
39	39	233/4	233/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	252			
39	39	115/2	115/2	0.5	1/8	1/8	Chord	3/8	2	1	1/8	1/8	1	253			
39	39	58	58	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	254			
40	40	117/2	117/2	0.25	0	0	Chord	3/8	1	1	1/16	1/16	1	255			
40	40	235/4	235/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16	1/16	1	256			
40	40	59	59	0.25	1/8	1/8	Chord	3/8	1	1	1/16	1/16	1	257			
40	40	237/4	237/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	258			
40	40	119/2	119/2	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	259			
40	40	239/4	239/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	260			
40	40	117/2	117/2	0.5	0	0	Chord	3/8	2	1	1/8	1/8	1	261			
40	40	59	59	0.5	1/8	1/8	Chord	3/8	2	1	1/8	1/8	1	262			
40	40	119/2	119/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	263			
41	41	60	60	0.5	0	0	Chord	3/8	1	1	1/8	1/8	1	264			
41	41	121/2	121/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8	1/8	1	265			
41	41	61	61	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	266			
41	41	121/2	121/2	0.5	1/8	1/8	Chord	3/8	2	1	1/8	1/8	1	267			
41	41	61	61	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	268			
42	42	123/2	123/2	0.25	0	0	Chord	3/8	1	1	1/16	1/16	1	269			
42	42	247/4	247/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16	1/16	1	270			
42	42	62	62	0.25	1/8	1/8	Chord	3/8	1	1	1/16	1/16	1	271			
42	42	249/4	249/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	272			
42	42	125/2	125/2	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	273			
42	42	251/4	251/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	274			
42	42	123/2	123/2	1.0	0	0	Chord	3/8	2	1	1/4	1/4	1	275			
42	42	125/2	125/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	276			
43	43	63	63	0.25	0	0	Chord	3/8	1	1	1/16	1/16	1	277			
43	43	253/4	253/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16	1/16	1	278			
43	43	127/2	127/2	0.25	1/8	1/8	Chord	3/8	1	1	1/16	1/16	1	279			
43	43	255/4	255/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	280			
43	43	64	64	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	281			
43	43	257/4	257/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	282			
43	43	63	63	1.0	0	0	Chord	3/8	2	1	1/4	1/4	1	283			
43	43	64	64	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	284			
44	44	129/2	129/2	0.25	0	0	Chord	3/8	1	1	1/16	1/16	1	285			
44	44	259/4	259/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16	1/16	1	286			
44	44	65	65	0.25	1/8	1/8	Chord	3/8	1	1	1/16	1/16	1	287			
44	44	261/4	261/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	288			
44	44	131/2	131/2	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	289			
44	44	263/4	263/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	290			
44	44	129/2	129/2	1.0	0	0	Chord	3/8	2	1	1/4	1/4	1	291			
44	44	131/2	131/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	292			
45	45	66	66	0.25	0	0	Chord	3/8	1	1	1/16	1/16	1	293			
45	45	265/4	265/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16	1/16	1	294			
