mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	articulation	tempo	qpm	tempo_visible
17	17	33	33	1.0	1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	106				
17	17	32	32	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	107				
17	17	33	33	1.0	1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	108				
18	18	34	34	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	109				
18	18	69/2	69/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	110				
18	18	139/4	139/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	111				
18	18	35	35	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	112				
18	18	71/2	71/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	113				
18	18	34	34	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	114				
18	18	71/2	71/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	115				
19	19	36	36	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	116				
19	19	73/2	73/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	117				
19	19	147/4	147/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	118				
19	19	37	37	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	119				
19	19	75/2	75/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	120				
19	19	36	36	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	121				
19	19	75/2	75/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	122				
20	20	38	38	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	123				
20	20	77/2	77/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	124				
20	20	155/4	155/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	125				
20	20	39	39	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	126				
20	20	79/2	79/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	127				
20	20	38	38	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	128				
20	20	39	39	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	129				
20	20	79/2	79/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	130				
21	21	40	40	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	131	ornamentTrill			
21	21	81/2	81/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	132				
21	21	41	41	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	133				
21	21	83/2	83/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	134				
21	21	40	40	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	135				
21	21	81/2	81/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	136				
21	21	41	41	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	137				
21	21	83/2	83/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	138				
22	22	42	42	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	139				
22	22	85/2	85/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	140				
22	22	43	43	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	141				
22	22	87/2	87/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	142				
22	22	42	42	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	143				
22	22	85/2	85/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	144				
22	22	43	43	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	145				
22	22	87/2	87/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	146				
23	23	44	44	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	147				
23	23	89/2	89/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	148				
23	23	45	45	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	149				
23	23	91/2	91/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	150				
23	23	44	44	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	151				
23	23	89/2	89/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	152				
23	23	45	45	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	153				
23	23	91/2	91/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	154				
24	24	46	46	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	155				
24	24	93/2	93/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	156				
24	24	47	47	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	157				
24	24	95/2	95/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	158				
24	24	191/4	191/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	159				
24	24	46	46	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	160				
24	24	47	47	1.0	1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	161				
25	25	48	48	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	162				
25	25	97/2	97/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	163				
25	25	49	49	1.0	1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	164				
25	25	99/2	99/2	0.5	3/8	3/8	Chord	2/4	1	2	1/8	1/8	1	165				
25	25	48	48	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	166				
26	26	50	50	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	167				
26	26	101/2	101/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	168				
26	26	203/4	203/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	169				
26	26	51	51	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	170				
26	26	103/2	103/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	171				
26	26	50	50	1.0	0	0	Chord	2/4	1	2	1/4	1/4	1	172				
26	26	50	50	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	173				
26	26	51	51	1.0	1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	174				
27	27	52	52	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	175				
27	27	105/2	105/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	176				
27	27	53	53	1.0	1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	177				
27	27	107/2	107/2	0.5	3/8	3/8	Chord	2/4	1	2	1/8	1/8	1	178				
27	27	52	52	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	179				
27	27	107/2	107/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	180				
28	28	54	54	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	181				
28	28	109/2	109/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	182				
28	28	219/4	219/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	183				
28	28	55	55	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	184				
28	28	111/2	111/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	185				
28	28	54	54	1.0	0	0	Chord	2/4	1	2	1/4	1/4	1	186				
28	28	54	54	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	187				
28	28	55	55	1.0	1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	188				
29	29	56	56	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	189				
29	29	113/2	113/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	190				
29	29	57	57	1.0	1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	191				
29	29	115/2	115/2	0.5	3/8	3/8	Chord	2/4	1	2	1/8	1/8	1	192				
29	29	56	56	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	193				
29	29	115/2	115/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	194				
30	30	58	58	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	195				
30	30	117/2	117/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	196				
30	30	235/4	235/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	197				
30	30	59	59	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	198				
30	30	119/2	119/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	199				
30	30	58	58	2.0	0	0	Chord	2/4	1	2	1/2	1/2	1	200				
30	30	58	58	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	201				
30	30	59	59	1.0	1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	202				
31	31	60	60	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	203				
31	31	121/2	121/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	204				
31	31	61	61	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	205	ornamentShortTrill			
31	31	123/2	123/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	206				
31	31	60	60	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	207				
31	31	123/2	123/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	208				
32	32	62	62	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	209				
32	32	125/2	125/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	210				
32	32	63	63	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	211	ornamentShortTrill			
32	32	127/2	127/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	212				
32	32	62	62	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	213				
32	32	127/2	127/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	214				
33	33	64	64	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	215				
33	33	129/2	129/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	216				
33	33	65	65	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	217	ornamentShortTrill			
33	33	131/2	131/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	218				
33	33	64	64	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	219				
33	33	131/2	131/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	220				
34	34	66	66	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	221				
34	34	133/2	133/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	222				
34	34	67	67	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	223	ornamentShortTrill			
34	34	135/2	135/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	224				
34	34	66	66	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	225				
34	34	135/2	135/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	226				
35	35	68	68	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	227				
35	35	137/2	137/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	228				
35	35	69	69	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	229				
35	35	139/2	139/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	230				
35	35	68	68	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	231				
35	35	139/2	139/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	232				
36	36	70	70	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	233				
36	36	141/2	141/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	234				
36	36	71	71	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	235				
36	36	143/2	143/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	236				
36	36	70	70	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	237				
36	36	143/2	143/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	238				
37	37	72	72	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	239				
37	37	145/2	145/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	240				
37	37	73	73	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	241				
37	37	147/2	147/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	242				
37	37	72	72	1.0	0	0	Chord	2/4	1	2	1/4	1/4	1	243				
37	37	73	73	1.0	1/4	1/4	Chord	2/4	1	2	1/4	1/4	1	244				
37	37	72	72	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	245				
37	37	73	73	1.0	1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	246				
37	37	73	73	0.5	1/4	1/4	Chord	2/4	2	2	1/8	1/8	1	247				
37	37	147/2	147/2	0.5	3/8	3/8	Chord	2/4	2	2	1/8	1/8	1	248				
38	38	74	74	1.0	0	0	Chord	2/4	1	1	1/4	1/4	1	249				
38	38	75	75	1.0	1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	250				
38	38	74	74	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	251				
38	38	75	75	1.0	1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	252				
39	39	76	76	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	253				
39	39	153/2	153/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	254				
39	39	77	77	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	255	ornamentTrill			
39	39	155/2	155/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	256				
39	39	76	76	1.0	0	0	Chord	2/4	1	2	1/4	1/4	1	257				
39	39	76	76	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	258				
39	39	155/2	155/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	259				
40	40	78	78	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	260				
40	40	157/2	157/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	261				
40	40	79	79	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	262	ornamentTrill			
40	40	159/2	159/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	263				
40	40	78	78	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	264				
40	40	159/2	159/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	265				
41	41	80	80	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	266				
41	41	161/2	161/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	267				
41	41	81	81	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	268	ornamentTrill			
41	41	163/2	163/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	269				
41	41	80	80	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	270				
41	41	163/2	163/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	271				
42	42	82	82	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	272				
42	42	165/2	165/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	273				
42	42	83	83	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	274	ornamentTrill			
42	42	167/2	167/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	275				
42	42	82	82	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	276				
42	42	167/2	167/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	277				
43	43	84	84	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	278				
43	43	169/2	169/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	279				
43	43	85	85	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	280				
43	43	341/4	341/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	281				
43	43	171/2	171/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	282				
43	43	343/4	343/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	283				
43	43	84	84	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	284				
43	43	171/2	171/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	285				
44	44	86	86	0.25	0	0	Chord	2/4	1	1	1/16	1/16	1	286				
44	44	345/4	345/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	287				
44	44	173/2	173/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	288				
44	44	347/4	347/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	289				
44	44	87	87	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	290				
44	44	349/4	349/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	291				
44	44	175/2	175/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	292				
44	44	351/4	351/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	293				
44	44	86	86	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	294				
44	44	175/2	175/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	295				
45	45	88	88	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	296				
45	45	177/2	177/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	297				
