mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	articulation	tempo	qpm	tempo_visible
1	1	0	0	0.0	0	0	Tempo	2/4	1	1	0					Allegro	108.0	1.0
1	1	0	0	1.0	0	0	Chord	2/4	1	1	1/4	1/4	1	0				
1	1	1	1	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	1				
1	1	3/2	3/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	2				
1	1	7/4	7/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	3				
1	1	0	0	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	4				
1	1	1	1	1.0	1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	5				
2	2	2	2	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	6				
2	2	5/2	5/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	7				
2	2	3	3	1.0	1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	8				
2	2	7/2	7/2	0.5	3/8	3/8	Chord	2/4	1	2	1/8	1/8	1	9				
2	2	2	2	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	10				
2	2	7/2	7/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	11				
3	3	4	4	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	12				
3	3	9/2	9/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	13				
3	3	19/4	19/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	14				
3	3	5	5	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	15				
3	3	11/2	11/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	16				
3	3	4	4	1.0	0	0	Chord	2/4	1	2	1/4	1/4	1	17				
3	3	5	5	1.0	1/4	1/4	Chord	2/4	1	2	1/4	1/4	1	18				
3	3	4	4	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	19				
3	3	5	5	1.0	1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	20				
4	4	6	6	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	21				
4	4	13/2	13/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	22				
4	4	27/4	27/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	23				
4	4	7	7	1.0	1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	24				
4	4	6	6	1.0	0	0	Chord	2/4	1	2	1/4	1/4	1	25				
4	4	6	6	1.5	0	0	Chord	2/4	2	1	3/8	1/4	3/2	26				
4	4	15/2	15/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	27				
5	5	8	8	1.0	0	0	Chord	2/4	1	1	1/4	1/4	1	28				
5	5	9	9	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	29				
5	5	19/2	19/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	30				
5	5	39/4	39/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	31				
5	5	8	8	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	32				
5	5	9	9	1.0	1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	33				
6	6	10	10	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	34				
6	6	21/2	21/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	35				
6	6	11	11	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	36				
6	6	23/2	23/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	37				
6	6	10	10	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	38				
6	6	23/2	23/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	39				
7	7	12	12	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	40	ornamentTrill			
7	7	25/2	25/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	41				
7	7	51/4	51/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	42				
7	7	13	13	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	43				
7	7	27/2	27/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	44				
7	7	12	12	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	45				
7	7	13	13	1.0	1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	46				
8	8	14	14	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	47				
8	8	29/2	29/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	48				
8	8	15	15	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	49	ornamentTrill			
8	8	31/2	31/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	50				
8	8	14	14	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	51				
8	8	31/2	31/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	52				
9	9	16	16	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	53				
9	9	33/2	33/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	54				
9	9	17	17	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	55	ornamentShortTrill			
9	9	35/2	35/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	56				
9	9	16	16	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	57				
9	9	35/2	35/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	58				
10	10	18	18	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	59				
10	10	37/2	37/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	60				
10	10	19	19	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	61	ornamentShortTrill			
10	10	39/2	39/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	62				
10	10	18	18	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	63				
10	10	39/2	39/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	64				
11	11	20	20	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	65				
11	11	41/2	41/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	66				
11	11	21	21	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	67	ornamentShortTrill			
11	11	43/2	43/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	68				
11	11	20	20	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	69				
11	11	43/2	43/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	70				
12	12	22	22	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	71				
12	12	45/2	45/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	72				
12	12	23	23	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	73				
12	12	47/2	47/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	74				
12	12	95/4	95/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	75				
12	12	22	22	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	76				
12	12	47/2	47/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	77				
13	13	24	24	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	78	ornamentTrill			
13	13	49/2	49/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	79				
13	13	99/4	99/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	80				
13	13	25	25	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	81				
13	13	51/2	51/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	82				
13	13	24	24	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	83				
13	13	25	25	1.0	1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	84				
14	14	26	26	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	85				
14	14	53/2	53/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	86				
14	14	27	27	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	87	ornamentTrill			
14	14	55/2	55/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	88				
14	14	111/4	111/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	89				
14	14	26	26	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	90				
14	14	55/2	55/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	91				
15	15	28	28	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	92	ornamentShortTrill			
15	15	57/2	57/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	93				
15	15	115/4	115/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	94				
15	15	29	29	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	95				
15	15	59/2	59/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	96				
15	15	28	28	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	97				
15	15	29	29	1.0	1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	98				
16	16	30	30	1.0	0	0	Chord	2/4	1	1	1/4	1/4	1	99				
16	16	30	30	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	100				
16	16	31	31	0.25	1/4	1/4	Chord	2/4	2	1	1/16	1/16	1	101				
16	16	125/4	125/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16	1/16	1	102				
16	16	63/2	63/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16	1/16	1	103				
16	16	127/4	127/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16	1/16	1	104				
17	17	32	32	1.0	0	0	Chord	2/4	1	1	1/4	1/4	1	105				
