mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	articulation	slur
1	1	0	0	0.125	0	0	Chord	3/8	1	1	1/32		1/32	1	0		0
1	1	1/8	1/8	0.125	1/32	1/32	Chord	3/8	1	1	1/32		1/32	1	1		0
1	1	1/4	1/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	2		
1	1	1/2	1/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	3		
1	1	1	1	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	4		
1	1	0	0	1.5	0	0	Chord	3/8	2	1	3/8		1/4	3/2	5		
2	2	3/2	3/2	1.5	0	0	Chord	3/8	1	1	3/8		1/4	3/2	6		
2	2	3/2	3/2	0.125	0	0	Chord	3/8	2	1	1/32		1/32	1	7		
2	2	13/8	13/8	0.125	1/32	1/32	Chord	3/8	2	1	1/32		1/32	1	8		
2	2	7/4	7/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16		1/16	1	9		
2	2	2	2	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	10		
2	2	5/2	5/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	11		
3	3	3	3	0.125	0	0	Chord	3/8	1	1	1/32		1/32	1	12		1
3	3	25/8	25/8	0.125	1/32	1/32	Chord	3/8	1	1	1/32		1/32	1	13		1
3	3	13/4	13/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	14		
3	3	7/2	7/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	15		
3	3	4	4	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	16		
3	3	3	3	1.5	0	0	Chord	3/8	2	1	3/8		1/4	3/2	17		
4	4	9/2	9/2	1.5	0	0	Chord	3/8	1	1	3/8		1/4	3/2	18		
4	4	9/2	9/2	0.125	0	0	Chord	3/8	2	1	1/32		1/32	1	19		
4	4	37/8	37/8	0.125	1/32	1/32	Chord	3/8	2	1	1/32		1/32	1	20		
4	4	19/4	19/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16		1/16	1	21		
4	4	5	5	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	22		
4	4	11/2	11/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	23		
5	5	6	6	0.125	0	0	Chord	3/8	1	1	1/32		1/32	1	24		2
5	5	49/8	49/8	0.125	1/32	1/32	Chord	3/8	1	1	1/32		1/32	1	25		2
5	5	25/4	25/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	26		
5	5	13/2	13/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	27		
5	5	7	7	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	28		
5	5	6	6	1.5	0	0	Chord	3/8	2	1	3/8		1/4	3/2	29		
6	6	15/2	15/2	1.5	0	0	Chord	3/8	1	1	3/8		1/4	3/2	30		
6	6	15/2	15/2	0.125	0	0	Chord	3/8	2	1	1/32		1/32	1	31		
6	6	61/8	61/8	0.125	1/32	1/32	Chord	3/8	2	1	1/32		1/32	1	32		
6	6	31/4	31/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16		1/16	1	33		
6	6	8	8	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	34		
6	6	17/2	17/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	35		
7	7	9	9	0.25	0	0	Chord	3/8	1	1	1/16		1/16	1	36		
7	7	37/4	37/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	37		
7	7	19/2	19/2	0.25	1/8	1/8	Chord	3/8	1	1	1/16		1/16	1	38		
7	7	39/4	39/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	39		
7	7	10	10	0.25	1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	40		
7	7	41/4	41/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	41		
7	7	9	9	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	42		
7	7	19/2	19/2	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	43		
7	7	10	10	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	44		
8	8	21/2	21/2	0.25	0	0	Chord	3/8	1	1	1/16		1/16	1	45		
