mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	articulation	tempo	qpm	tempo_visible
6	6	35/4	35/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	31				
6	6	15/2	15/2	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	32				
6	6	8	8	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	33				
6	6	17/2	17/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	34				
7	7	9	9	1.5	0	0	Chord	3/8	1	1	3/8		1/4	3/2	35				
7	7	9	9	0.25	0	0	Chord	3/8	2	1	1/16		1/16	1	36				
7	7	37/4	37/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16		1/16	1	37				
7	7	19/2	19/2	0.25	1/8	1/8	Chord	3/8	2	1	1/16		1/16	1	38				
7	7	39/4	39/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16		1/16	1	39				
7	7	10	10	0.25	1/4	1/4	Chord	3/8	2	1	1/16		1/16	1	40				
7	7	41/4	41/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16		1/16	1	41				
8	8	21/2	21/2	0.25	0	0	Chord	3/8	1	1	1/16		1/16	1	42				
8	8	43/4	43/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	43				
8	8	11	11	0.25	1/8	1/8	Chord	3/8	1	1	1/16		1/16	1	44				
8	8	45/4	45/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	45				
8	8	23/2	23/2	0.25	1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	46				
8	8	47/4	47/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	47				
8	8	21/2	21/2	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	48				
8	8	11	11	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	49				
8	8	23/2	23/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	50				
9	9	12	12	1.5	0	0	Chord	3/8	1	1	3/8		1/4	3/2	51				
9	9	12	12	0.25	0	0	Chord	3/8	2	1	1/16		1/16	1	52				
9	9	49/4	49/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16		1/16	1	53				
9	9	25/2	25/2	0.25	1/8	1/8	Chord	3/8	2	1	1/16		1/16	1	54				
9	9	51/4	51/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16		1/16	1	55				
9	9	13	13	0.25	1/4	1/4	Chord	3/8	2	1	1/16		1/16	1	56				
9	9	53/4	53/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16		1/16	1	57				
10	10	27/2	27/2	0.25	0	0	Chord	3/8	1	1	1/16		1/16	1	58				
10	10	55/4	55/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	59				
10	10	14	14	0.25	1/8	1/8	Chord	3/8	1	1	1/16		1/16	1	60				
10	10	57/4	57/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	61				
10	10	29/2	29/2	0.25	1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	62				
10	10	59/4	59/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	63				
10	10	27/2	27/2	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	64				
10	10	14	14	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	65				
10	10	29/2	29/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	66				
11	11	15	15	0.0	0	0	Chord	3/8	1	1	0	grace16	1/16	1	67				
11	11	15	15	1.5	0	0	Chord	3/8	1	1	3/8		1/4	3/2	68				
11	11	15	15	1.5	0	0	Chord	3/8	2	1	3/8		1/4	3/2	69				
12	12	33/2	33/2	1.0	0	0	Chord	3/8	1	1	1/4		1/4	1	70				
12	12	35/2	35/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	71				
12	12	33/2	33/2	0.5	0	0	Chord	3/8	1	2	1/8		1/8	1	72				
12	12	17	17	0.5	1/8	1/8	Chord	3/8	1	2	1/8		1/8	1	73				
12	12	35/2	35/2	0.5	1/4	1/4	Chord	3/8	1	2	1/8		1/8	1	74				
12	12	35/2	35/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	75				
13	13	18	18	1.0	0	0	Chord	3/8	1	1	1/4		1/4	1	76	ornamentTrill			
13	13	19	19	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	77				
13	13	18	18	1.0	0	0	Chord	3/8	1	2	1/4		1/4	1	78	ornamentTrill			
13	13	19	19	0.5	1/4	1/4	Chord	3/8	1	2	1/8		1/8	1	79				
13	13	18	18	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	80				
13	13	37/2	37/2	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	81				
13	13	19	19	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	82				
14	14	39/2	39/2	1.0	0	0	Chord	3/8	1	1	1/4		1/4	1	83				
14	14	41/2	41/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	84				
14	14	39/2	39/2	0.5	0	0	Chord	3/8	1	2	1/8		1/8	1	85				
14	14	20	20	0.5	1/8	1/8	Chord	3/8	1	2	1/8		1/8	1	86				
14	14	41/2	41/2	0.5	1/4	1/4	Chord	3/8	1	2	1/8		1/8	1	87				
14	14	41/2	41/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	88				
15	15	21	21	1.0	0	0	Chord	3/8	1	1	1/4		1/4	1	89	ornamentTrill			
15	15	22	22	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	90				
15	15	21	21	1.0	0	0	Chord	3/8	1	2	1/4		1/4	1	91	ornamentTrill			
15	15	22	22	0.5	1/4	1/4	Chord	3/8	1	2	1/8		1/8	1	92				
15	15	21	21	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	93				
15	15	43/2	43/2	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	94				
15	15	22	22	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	95				
16	16	45/2	45/2	1.0	0	0	Chord	3/8	1	1	1/4		1/4	1	96				
16	16	47/2	47/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	97				
16	16	45/2	45/2	0.5	0	0	Chord	3/8	1	2	1/8		1/8	1	98				
16	16	23	23	0.5	1/8	1/8	Chord	3/8	1	2	1/8		1/8	1	99				
16	16	47/2	47/2	0.5	1/4	1/4	Chord	3/8	1	2	1/8		1/8	1	100				
16	16	47/2	47/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	101				
17	17	24	24	1.0	0	0	Chord	3/8	1	1	1/4		1/4	1	102	ornamentTrill			
17	17	25	25	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	103				
17	17	24	24	1.0	0	0	Chord	3/8	1	2	1/4		1/4	1	104	ornamentTrill			
17	17	25	25	0.5	1/4	1/4	Chord	3/8	1	2	1/8		1/8	1	105				
17	17	24	24	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	106				
17	17	49/2	49/2	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	107				
17	17	25	25	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	108				
18	18	51/2	51/2	1.0	0	0	Chord	3/8	1	1	1/4		1/4	1	109				
18	18	53/2	53/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	110				
18	18	51/2	51/2	0.5	0	0	Chord	3/8	1	2	1/8		1/8	1	111				
18	18	26	26	0.5	1/8	1/8	Chord	3/8	1	2	1/8		1/8	1	112				
18	18	53/2	53/2	0.5	1/4	1/4	Chord	3/8	1	2	1/8		1/8	1	113				
18	18	53/2	53/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	114				
19	19	27	27	1.0	0	0	Chord	3/8	1	1	1/4		1/4	1	115	ornamentTrill			
19	19	28	28	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	116				
19	19	27	27	1.0	0	0	Chord	3/8	1	2	1/4		1/4	1	117	ornamentTrill			
19	19	28	28	0.5	1/4	1/4	Chord	3/8	1	2	1/8		1/8	1	118				
19	19	27	27	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	119				
19	19	55/2	55/2	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	120				
19	19	28	28	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	121				
20	20	115/4	115/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	122				
20	20	29	29	0.25	1/8	1/8	Chord	3/8	1	1	1/16		1/16	1	123				
20	20	117/4	117/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	124				
20	20	59/2	59/2	0.25	1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	125				
20	20	119/4	119/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	126				
20	20	57/2	57/2	1.5	0	0	Chord	3/8	2	1	3/8		1/4	3/2	127				
21	21	30	30	0.25	0	0	Chord	3/8	1	1	1/16		1/16	1	128				
21	21	121/4	121/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	129				
21	21	61/2	61/2	0.25	1/8	1/8	Chord	3/8	1	1	1/16		1/16	1	130				
21	21	123/4	123/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	131				
21	21	31	31	0.25	1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	132				
21	21	125/4	125/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	133				
21	21	30	30	1.5	0	0	Chord	3/8	2	1	3/8		1/4	3/2	134				
22	22	127/4	127/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	135				
22	22	32	32	0.25	1/8	1/8	Chord	3/8	1	1	1/16		1/16	1	136				
22	22	129/4	129/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	137				
22	22	65/2	65/2	0.25	1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	138				
22	22	131/4	131/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	139				
22	22	63/2	63/2	1.5	0	0	Chord	3/8	2	1	3/8		1/4	3/2	140				
23	23	33	33	0.25	0	0	Chord	3/8	1	1	1/16		1/16	1	141				
23	23	133/4	133/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	142				
23	23	67/2	67/2	0.25	1/8	1/8	Chord	3/8	1	1	1/16		1/16	1	143				
23	23	135/4	135/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	144				
23	23	34	34	0.25	1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	145				
23	23	137/4	137/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	146				
23	23	33	33	1.5	0	0	Chord	3/8	2	1	3/8		1/4	3/2	147				
24	24	139/4	139/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	148				
24	24	35	35	0.25	1/8	1/8	Chord	3/8	1	1	1/16		1/16	1	149				
24	24	141/4	141/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	150				
24	24	71/2	71/2	0.25	1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	151				
24	24	143/4	143/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	152				
24	24	69/2	69/2	1.0	0	0	Chord	3/8	2	1	1/4		1/4	1	153				
24	24	71/2	71/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	154				
25	25	36	36	0.25	0	0	Chord	3/8	1	1	1/16		1/16	1	155				
25	25	145/4	145/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	156				
25	25	73/2	73/2	0.25	1/8	1/8	Chord	3/8	1	1	1/16		1/16	1	157				
25	25	147/4	147/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	158				
25	25	37	37	0.25	1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	159				
25	25	149/4	149/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	160				
25	25	36	36	1.0	0	0	Chord	3/8	2	1	1/4		1/4	1	161				
25	25	37	37	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	162				
26	26	151/4	151/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	163				
26	26	38	38	0.25	1/8	1/8	Chord	3/8	1	1	1/16		1/16	1	164				
26	26	153/4	153/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	165				
26	26	77/2	77/2	0.25	1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	166				
26	26	155/4	155/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	167				
26	26	75/2	75/2	1.0	0	0	Chord	3/8	2	1	1/4		1/4	1	168				
26	26	77/2	77/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	169				
27	27	39	39	0.25	0	0	Chord	3/8	1	1	1/16		1/16	1	170				
27	27	157/4	157/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	171				
27	27	79/2	79/2	0.25	1/8	1/8	Chord	3/8	1	1	1/16		1/16	1	172				
27	27	159/4	159/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	173				
27	27	40	40	0.25	1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	174				
27	27	161/4	161/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	175				
27	27	39	39	1.0	0	0	Chord	3/8	2	1	1/4		1/4	1	176				
27	27	40	40	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	177				
28	28	163/4	163/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	178				
28	28	41	41	0.25	1/8	1/8	Chord	3/8	1	1	1/16		1/16	1	179				
28	28	165/4	165/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	180				
28	28	83/2	83/2	0.25	1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	181				
28	28	167/4	167/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	182				
28	28	81/2	81/2	1.0	0	0	Chord	3/8	2	1	1/4		1/4	1	183				
28	28	83/2	83/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	184				
29	29	42	42	0.25	0	0	Chord	3/8	1	1	1/16		1/16	1	185				
29	29	169/4	169/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	186				
29	29	85/2	85/2	0.25	1/8	1/8	Chord	3/8	1	1	1/16		1/16	1	187				
29	29	171/4	171/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	188				
29	29	43	43	0.25	1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	189				
29	29	173/4	173/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	190				
29	29	42	42	1.0	0	0	Chord	3/8	2	1	1/4		1/4	1	191				
29	29	43	43	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	192				
30	30	87/2	87/2	1.5	0	0	Chord	3/8	1	1	3/8		1/4	3/2	193	ornamentTrill			
30	30	87/2	87/2	0.25	0	0	Chord	3/8	2	1	1/16		1/16	1	194				
30	30	175/4	175/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16		1/16	1	195				
30	30	44	44	0.25	1/8	1/8	Chord	3/8	2	1	1/16		1/16	1	196				
30	30	177/4	177/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16		1/16	1	197				
30	30	89/2	89/2	0.25	1/4	1/4	Chord	3/8	2	1	1/16		1/16	1	198				
30	30	179/4	179/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16		1/16	1	199				
31	31	45	45	0.25	0	0	Chord	3/8	1	1	1/16		1/16	1	200				
31	31	181/4	181/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	201				
31	31	91/2	91/2	0.25	1/8	1/8	Chord	3/8	1	1	1/16		1/16	1	202				
31	31	183/4	183/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	203				
31	31	46	46	0.25	1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	204				
31	31	185/4	185/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	205				
31	31	45	45	1.5	0	0	Chord	3/8	2	1	3/8		1/4	3/2	206				
32	32	93/2	93/2	1.5	0	0	Chord	3/8	1	1	3/8		1/4	3/2	207	ornamentTrill			
32	32	93/2	93/2	0.25	0	0	Chord	3/8	2	1	1/16		1/16	1	208				
32	32	187/4	187/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16		1/16	1	209				
32	32	47	47	0.25	1/8	1/8	Chord	3/8	2	1	1/16		1/16	1	210				
32	32	189/4	189/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16		1/16	1	211				
32	32	95/2	95/2	0.25	1/4	1/4	Chord	3/8	2	1	1/16		1/16	1	212				
32	32	191/4	191/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16		1/16	1	213				
33	33	48	48	0.25	0	0	Chord	3/8	1	1	1/16		1/16	1	214				
33	33	193/4	193/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	215				
33	33	97/2	97/2	0.25	1/8	1/8	Chord	3/8	1	1	1/16		1/16	1	216				
33	33	195/4	195/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	217				
33	33	49	49	0.25	1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	218				
33	33	197/4	197/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	219				
33	33	48	48	1.5	0	0	Chord	3/8	2	1	3/8		1/4	3/2	220				
34	34	99/2	99/2	1.5	0	0	Chord	3/8	1	1	3/8		1/4	3/2	221	ornamentTrill			
34	34	99/2	99/2	0.25	0	0	Chord	3/8	2	1	1/16		1/16	1	222				
34	34	199/4	199/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16		1/16	1	223				
34	34	50	50	0.25	1/8	1/8	Chord	3/8	2	1	1/16		1/16	1	224				
34	34	201/4	201/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16		1/16	1	225				
34	34	101/2	101/2	0.25	1/4	1/4	Chord	3/8	2	1	1/16		1/16	1	226				
34	34	203/4	203/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16		1/16	1	227				
35	35	51	51	0.25	0	0	Chord	3/8	1	1	1/16		1/16	1	228				
35	35	205/4	205/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	229				
35	35	103/2	103/2	0.25	1/8	1/8	Chord	3/8	1	1	1/16		1/16	1	230				
35	35	207/4	207/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	231				
35	35	52	52	0.25	1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	232				
35	35	209/4	209/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	233				
35	35	51	51	1.5	0	0	Chord	3/8	2	1	3/8		1/4	3/2	234				
36	36	105/2	105/2	0.25	0	0	Chord	3/8	1	1	1/16		1/16	1	235				
36	36	211/4	211/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	236				
36	36	53	53	0.25	1/8	1/8	Chord	3/8	1	1	1/16		1/16	1	237				
36	36	213/4	213/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	238				
36	36	107/2	107/2	0.25	1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	239				
36	36	215/4	215/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	240				
36	36	105/2	105/2	1.5	0	0	Chord	3/8	2	1	3/8		1/4	3/2	241				
37	37	54	54	0.25	0	0	Chord	3/8	1	1	1/16		1/16	1	242				
37	37	217/4	217/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	243				
37	37	109/2	109/2	0.25	1/8	1/8	Chord	3/8	1	1	1/16		1/16	1	244				
37	37	219/4	219/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	245				
37	37	55	55	0.25	1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	246				
37	37	221/4	221/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	247				
37	37	54	54	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	248				
37	37	109/2	109/2	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	249				
37	37	55	55	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	250				
38	38	111/2	111/2	0.25	0	0	Chord	3/8	1	1	1/16		1/16	1	251				
38	38	223/4	223/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	252				
38	38	56	56	0.25	1/8	1/8	Chord	3/8	1	1	1/16		1/16	1	253				
38	38	225/4	225/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	254				
38	38	113/2	113/2	0.25	1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	255				
38	38	227/4	227/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	256				
38	38	111/2	111/2	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	257				
38	38	56	56	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	258				
38	38	113/2	113/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	259				
39	39	57	57	0.25	0	0	Chord	3/8	1	1	1/16		1/16	1	260				
39	39	229/4	229/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	261				
39	39	115/2	115/2	0.25	1/8	1/8	Chord	3/8	1	1	1/16		1/16	1	262				
39	39	231/4	231/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	263				
39	39	58	58	0.25	1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	264				
39	39	233/4	233/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	265				
39	39	57	57	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	266				
39	39	115/2	115/2	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	267				
39	39	58	58	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	268				
40	40	117/2	117/2	0.25	0	0	Chord	3/8	1	1	1/16		1/16	1	269				
40	40	235/4	235/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	270				
40	40	59	59	0.25	1/8	1/8	Chord	3/8	1	1	1/16		1/16	1	271				
40	40	237/4	237/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	272				
40	40	119/2	119/2	0.25	1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	273				
40	40	239/4	239/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	274				
40	40	117/2	117/2	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	275				
40	40	59	59	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	276				
40	40	119/2	119/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	277				
41	41	60	60	0.25	0	0	Chord	3/8	1	1	1/16		1/16	1	278				
41	41	241/4	241/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	279				
41	41	121/2	121/2	0.25	1/8	1/8	Chord	3/8	1	1	1/16		1/16	1	280				
41	41	243/4	243/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	281				
41	41	61	61	0.25	1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	282				
41	41	245/4	245/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	283				
41	41	60	60	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	284				
41	41	121/2	121/2	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	285				
41	41	61	61	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	286				
42	42	123/2	123/2	0.25	0	0	Chord	3/8	1	1	1/16		1/16	1	287				
42	42	247/4	247/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	288				
42	42	62	62	0.25	1/8	1/8	Chord	3/8	1	1	1/16		1/16	1	289				
42	42	249/4	249/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	290				
42	42	125/2	125/2	0.25	1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	291				
42	42	251/4	251/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	292				
