mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	articulation	staff_text
1	1	0	0	0.0	0	0	StaffText	2/4	1	1	0						Presto
1	1	0	0	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	0		
1	1	1	1	1.0	1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	1	ornamentTrill	
2	2	2	2	0.0	0	0	Chord	2/4	1	1	0	grace32	1/32	1	2		
2	2	2	2	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	3		
2	2	2	2	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	4		
2	2	5/2	5/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	5		
2	2	3	3	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	6		
2	2	7/2	7/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	7		
3	3	4	4	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	8		
3	3	5	5	1.0	1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	9	ornamentTrill	
4	4	6	6	0.0	0	0	Chord	2/4	1	1	0	grace32	1/32	1	10		
4	4	6	6	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	11		
4	4	6	6	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	12		
4	4	13/2	13/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	13		
4	4	7	7	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	14		
4	4	15/2	15/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	15		
5	5	8	8	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	16		
5	5	9	9	1.0	1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	17	ornamentTrill	
6	6	10	10	0.0	0	0	Chord	2/4	1	1	0	grace32	1/32	1	18		
6	6	10	10	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	19		
6	6	10	10	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	20		
6	6	21/2	21/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	21		
6	6	11	11	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	22		
6	6	23/2	23/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	23		
7	7	12	12	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	24		
7	7	13	13	1.0	1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	25	ornamentTrill	
8	8	14	14	0.0	0	0	Chord	2/4	1	1	0	grace32	1/32	1	26		
8	8	14	14	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	27		
8	8	14	14	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	28		
8	8	29/2	29/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	29		
8	8	15	15	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	30		
8	8	31/2	31/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	31		
9	9	16	16	0.0	0	0	Chord	2/4	1	1	0	appoggiatura	1/32	1	32		
9	9	16	16	0.0	0	0	Chord	2/4	1	1	0	appoggiatura	1/32	1	33		
9	9	16	16	1.5	0	0	Chord	2/4	1	1	3/8		1/4	3/2	34		
9	9	35/2	35/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	35		
9	9	16	16	0.5	0	0	Chord	2/4	1	2	1/8		1/8	1	36		
9	9	33/2	33/2	0.5	1/8	1/8	Chord	2/4	1	2	1/8		1/8	1	37		
9	9	17	17	0.5	1/4	1/4	Chord	2/4	1	2	1/8		1/8	1	38		
9	9	35/2	35/2	0.5	3/8	3/8	Chord	2/4	1	2	1/8		1/8	1	39		
10	10	18	18	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	40		
10	10	37/2	37/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	41		
10	10	19	19	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	42		
10	10	39/2	39/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	43		
10	10	18	18	0.5	0	0	Chord	2/4	1	2	1/8		1/8	1	44		
10	10	37/2	37/2	0.5	1/8	1/8	Chord	2/4	1	2	1/8		1/8	1	45		
10	10	19	19	0.5	1/4	1/4	Chord	2/4	1	2	1/8		1/8	1	46		
10	10	39/2	39/2	0.5	3/8	3/8	Chord	2/4	1	2	1/8		1/8	1	47		
11	11	20	20	0.0	0	0	Chord	2/4	1	1	0	appoggiatura	1/32	1	48		
11	11	20	20	0.0	0	0	Chord	2/4	1	1	0	appoggiatura	1/32	1	49		
11	11	20	20	1.5	0	0	Chord	2/4	1	1	3/8		1/4	3/2	50		
11	11	43/2	43/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	51		
11	11	20	20	0.5	0	0	Chord	2/4	1	2	1/8		1/8	1	52		
11	11	41/2	41/2	0.5	1/8	1/8	Chord	2/4	1	2	1/8		1/8	1	53		
11	11	21	21	0.5	1/4	1/4	Chord	2/4	1	2	1/8		1/8	1	54		
11	11	43/2	43/2	0.5	3/8	3/8	Chord	2/4	1	2	1/8		1/8	1	55		
12	12	22	22	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	56		
12	12	45/2	45/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	57		
12	12	23	23	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	58		
