mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	articulation	tempo	qpm	tempo_visible
1	1	0	0	0.0	0	0	Tempo	3/8	1	1	0						Allegro	120.0	1.0
1	1	0	0	1.5	0	0	Chord	3/8	1	1	3/8		1/4	3/2	0				
1	1	1/4	1/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16		1/16	1	1				
1	1	1/2	1/2	0.25	1/8	1/8	Chord	3/8	2	1	1/16		1/16	1	2				
1	1	3/4	3/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16		1/16	1	3				
1	1	1	1	0.25	1/4	1/4	Chord	3/8	2	1	1/16		1/16	1	4				
1	1	5/4	5/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16		1/16	1	5				
2	2	3/2	3/2	1.5	0	0	Chord	3/8	1	1	3/8		1/4	3/2	6				
2	2	3/2	3/2	0.25	0	0	Chord	3/8	2	1	1/16		1/16	1	7				
2	2	7/4	7/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16		1/16	1	8				
2	2	2	2	0.25	1/8	1/8	Chord	3/8	2	1	1/16		1/16	1	9				
2	2	9/4	9/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16		1/16	1	10				
2	2	5/2	5/2	0.25	1/4	1/4	Chord	3/8	2	1	1/16		1/16	1	11				
2	2	11/4	11/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16		1/16	1	12				
3	3	3	3	0.25	0	0	Chord	3/8	1	1	1/16		1/16	1	13				
3	3	13/4	13/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	14				
3	3	7/2	7/2	0.25	1/8	1/8	Chord	3/8	1	1	1/16		1/16	1	15				
3	3	15/4	15/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	16				
3	3	4	4	0.25	1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	17				
3	3	17/4	17/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	18				
3	3	3	3	1.5	0	0	Chord	3/8	2	1	3/8		1/4	3/2	19				
4	4	9/2	9/2	0.25	0	0	Chord	3/8	1	1	1/16		1/16	1	20				
4	4	19/4	19/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	21				
4	4	5	5	0.25	1/8	1/8	Chord	3/8	1	1	1/16		1/16	1	22				
4	4	21/4	21/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	23				
4	4	11/2	11/2	0.25	1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	24				
4	4	23/4	23/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	25				
4	4	9/2	9/2	1.5	0	0	Chord	3/8	2	1	3/8		1/4	3/2	26				
5	5	6	6	0.25	0	0	Chord	3/8	1	1	1/16		1/16	1	27				
5	5	25/4	25/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	28				
5	5	13/2	13/2	0.25	1/8	1/8	Chord	3/8	1	1	1/16		1/16	1	29				
5	5	27/4	27/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	30				
5	5	7	7	0.25	1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	31				
5	5	29/4	29/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	32				
5	5	6	6	1.5	0	0	Chord	3/8	2	1	3/8		1/4	3/2	33				
6	6	15/2	15/2	1.5	0	0	Chord	3/8	1	1	3/8		1/4	3/2	34				
6	6	31/4	31/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16		1/16	1	35				
6	6	8	8	0.25	1/8	1/8	Chord	3/8	2	1	1/16		1/16	1	36				
6	6	33/4	33/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16		1/16	1	37				
6	6	17/2	17/2	0.25	1/4	1/4	Chord	3/8	2	1	1/16		1/16	1	38				
6	6	35/4	35/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16		1/16	1	39				
7	7	9	9	1.5	0	0	Chord	3/8	1	1	3/8		1/4	3/2	40				
7	7	9	9	0.25	0	0	Chord	3/8	2	1	1/16		1/16	1	41				
7	7	37/4	37/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16		1/16	1	42				
7	7	19/2	19/2	0.25	1/8	1/8	Chord	3/8	2	1	1/16		1/16	1	43				
7	7	39/4	39/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16		1/16	1	44				
7	7	10	10	0.25	1/4	1/4	Chord	3/8	2	1	1/16		1/16	1	45				
7	7	41/4	41/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16		1/16	1	46				
8	8	21/2	21/2	0.25	0	0	Chord	3/8	1	1	1/16		1/16	1	47				
8	8	43/4	43/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	48				
8	8	11	11	0.25	1/8	1/8	Chord	3/8	1	1	1/16		1/16	1	49				
8	8	45/4	45/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	50				
8	8	23/2	23/2	0.25	1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	51				
8	8	47/4	47/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	52				
8	8	21/2	21/2	1.5	0	0	Chord	3/8	2	1	3/8		1/4	3/2	53				
9	9	12	12	0.25	0	0	Chord	3/8	1	1	1/16		1/16	1	54				
9	9	49/4	49/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	55				
9	9	25/2	25/2	0.25	1/8	1/8	Chord	3/8	1	1	1/16		1/16	1	56				
9	9	51/4	51/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	57				
9	9	13	13	0.25	1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	58				
9	9	53/4	53/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	59				
9	9	12	12	1.5	0	0	Chord	3/8	2	1	3/8		1/4	3/2	60				
10	10	27/2	27/2	1.5	0	0	Chord	3/8	1	1	3/8		1/4	3/2	61	ornamentShortTrill			
10	10	27/2	27/2	1.5	0	0	Chord	3/8	2	1	3/8		1/4	3/2	62				
11	11	121/8	121/8	0.125	1/32	1/32	Chord	3/8	1	1	1/32		1/32	1	63				
11	11	61/4	61/4	0.125	1/16	1/16	Chord	3/8	1	1	1/32		1/32	1	64				
11	11	123/8	123/8	0.125	3/32	3/32	Chord	3/8	1	1	1/32		1/32	1	65				
