mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	articulation	staff_text	slur
1	1	0	0	0.0	0	0	StaffText	4/4	1	1	0					Presto	
1	1	1/2	1/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	0			
1	1	1	1	1.5	1/4	1/4	Chord	4/4	1	1	3/8	1/4	3/2	1			
1	1	5/2	5/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	2			
1	1	3	3	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	3			
1	1	7/2	7/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	4			
1	1	0	0	1.5	0	0	Chord	4/4	2	1	3/8	1/4	3/2	5			
1	1	3/2	3/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	6			
1	1	2	2	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	7			
1	1	3	3	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	8			
2	2	4	4	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	9	ornamentTrill		
2	2	9/2	9/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	10			
2	2	5	5	1.5	1/4	1/4	Chord	4/4	1	1	3/8	1/4	3/2	11			
2	2	13/2	13/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16	1/16	1	12			
2	2	27/4	27/4	0.125	11/16	11/16	Chord	4/4	1	1	1/32	1/32	1	13			
2	2	55/8	55/8	0.125	23/32	23/32	Chord	4/4	1	1	1/32	1/32	1	14			
2	2	7	7	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	15			
2	2	15/2	15/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	16			
2	2	4	4	1.5	0	0	Chord	4/4	2	1	3/8	1/4	3/2	17			
2	2	11/2	11/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	18			
2	2	6	6	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	19			
2	2	7	7	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	20			
2	2	15/2	15/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	21			
2	2	7	7	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	22			
3	3	8	8	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	23			
3	3	17/2	17/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	24			
3	3	9	9	1.5	1/4	1/4	Chord	4/4	1	1	3/8	1/4	3/2	25			
3	3	21/2	21/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16	1/16	1	26			
3	3	43/4	43/4	0.125	11/16	11/16	Chord	4/4	1	1	1/32	1/32	1	27			
3	3	87/8	87/8	0.125	23/32	23/32	Chord	4/4	1	1	1/32	1/32	1	28			
3	3	11	11	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	29			
3	3	23/2	23/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	30			
3	3	8	8	1.5	0	0	Chord	4/4	2	1	3/8	1/4	3/2	31			
3	3	19/2	19/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	32			
3	3	10	10	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	33			
3	3	11	11	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	34			
3	3	23/2	23/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	35			
3	3	11	11	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	36			
4	4	12	12	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	37			
4	4	25/2	25/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	38			
4	4	13	13	1.5	1/4	1/4	Chord	4/4	1	1	3/8	1/4	3/2	39			
4	4	29/2	29/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16	1/16	1	40			
4	4	59/4	59/4	0.125	11/16	11/16	Chord	4/4	1	1	1/32	1/32	1	41			
4	4	119/8	119/8	0.125	23/32	23/32	Chord	4/4	1	1	1/32	1/32	1	42			
4	4	15	15	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	43			
4	4	31/2	31/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	44			
4	4	12	12	1.5	0	0	Chord	4/4	2	1	3/8	1/4	3/2	45			
4	4	27/2	27/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	46			
4	4	14	14	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	47			
4	4	15	15	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	48			
4	4	31/2	31/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	49			
4	4	15	15	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	50			
5	5	16	16	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	51			
5	5	18	18	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	52			
5	5	37/2	37/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	53			
5	5	19	19	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	54			
5	5	39/2	39/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	55			
5	5	16	16	0.25	0	0	Chord	4/4	2	1	1/16	1/16	1	56			
5	5	65/4	65/4	0.25	1/16	1/16	Chord	4/4	2	1	1/16	1/16	1	57			0
5	5	33/2	33/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16	1/16	1	58			0
5	5	67/4	67/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16	1/16	1	59			0
5	5	17	17	0.125	1/4	1/4	Chord	4/4	2	1	1/32	1/32	1	60			0
5	5	137/8	137/8	0.125	9/32	9/32	Chord	4/4	2	1	1/32	1/32	1	61			0
5	5	69/4	69/4	0.125	5/16	5/16	Chord	4/4	2	1	1/32	1/32	1	62			0
5	5	139/8	139/8	0.125	11/32	11/32	Chord	4/4	2	1	1/32	1/32	1	63			0
5	5	35/2	35/2	0.125	3/8	3/8	Chord	4/4	2	1	1/32	1/32	1	64			0
5	5	141/8	141/8	0.125	13/32	13/32	Chord	4/4	2	1	1/32	1/32	1	65			0
5	5	71/4	71/4	0.125	7/16	7/16	Chord	4/4	2	1	1/32	1/32	1	66			0
5	5	143/8	143/8	0.125	15/32	15/32	Chord	4/4	2	1	1/32	1/32	1	67			
5	5	18	18	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	68			
5	5	37/2	37/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	69			
5	5	19	19	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	70			
5	5	39/2	39/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	71			
6	6	20	20	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	72			
6	6	22	22	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	73			
6	6	45/2	45/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	74			
6	6	23	23	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	75			
6	6	47/2	47/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	76			
6	6	20	20	0.25	0	0	Chord	4/4	2	1	1/16	1/16	1	77			
6	6	81/4	81/4	0.25	1/16	1/16	Chord	4/4	2	1	1/16	1/16	1	78			1
6	6	41/2	41/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16	1/16	1	79			1
6	6	83/4	83/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16	1/16	1	80			1
6	6	21	21	0.125	1/4	1/4	Chord	4/4	2	1	1/32	1/32	1	81			1
6	6	169/8	169/8	0.125	9/32	9/32	Chord	4/4	2	1	1/32	1/32	1	82			1
6	6	85/4	85/4	0.125	5/16	5/16	Chord	4/4	2	1	1/32	1/32	1	83			1
6	6	171/8	171/8	0.125	11/32	11/32	Chord	4/4	2	1	1/32	1/32	1	84			1
6	6	43/2	43/2	0.125	3/8	3/8	Chord	4/4	2	1	1/32	1/32	1	85			1
6	6	173/8	173/8	0.125	13/32	13/32	Chord	4/4	2	1	1/32	1/32	1	86			1
6	6	87/4	87/4	0.125	7/16	7/16	Chord	4/4	2	1	1/32	1/32	1	87			1
6	6	175/8	175/8	0.125	15/32	15/32	Chord	4/4	2	1	1/32	1/32	1	88			
6	6	22	22	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	89			
6	6	45/2	45/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	90			
6	6	23	23	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	91			
6	6	47/2	47/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	92			
7	7	24	24	0.3333333333333333	0	0	Chord	4/4	1	1	1/12	1/8	2/3	93			
7	7	73/3	73/3	0.3333333333333333	1/12	1/12	Chord	4/4	1	1	1/12	1/8	2/3	94			2
7	7	74/3	74/3	0.3333333333333333	1/6	1/6	Chord	4/4	1	1	1/12	1/8	2/3	95			2
7	7	25	25	0.125	1/4	1/4	Chord	4/4	1	1	1/32	1/32	1	96			2
7	7	201/8	201/8	0.125	9/32	9/32	Chord	4/4	1	1	1/32	1/32	1	97			2
7	7	101/4	101/4	0.125	5/16	5/16	Chord	4/4	1	1	1/32	1/32	1	98			2
7	7	203/8	203/8	0.125	11/32	11/32	Chord	4/4	1	1	1/32	1/32	1	99			2
7	7	51/2	51/2	0.125	3/8	3/8	Chord	4/4	1	1	1/32	1/32	1	100			2
7	7	205/8	205/8	0.125	13/32	13/32	Chord	4/4	1	1	1/32	1/32	1	101			2
7	7	103/4	103/4	0.125	7/16	7/16	Chord	4/4	1	1	1/32	1/32	1	102			2
7	7	207/8	207/8	0.125	15/32	15/32	Chord	4/4	1	1	1/32	1/32	1	103			
7	7	26	26	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	104			
7	7	53/2	53/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	105			
7	7	27	27	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	106			
7	7	55/2	55/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	107			
7	7	24	24	1.5	0	0	Chord	4/4	2	1	3/8	1/4	3/2	108			
7	7	51/2	51/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	109			
7	7	26	26	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	110			
8	8	28	28	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	111			
8	8	57/2	57/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	112			
8	8	29	29	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	113			
8	8	59/2	59/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	114			
8	8	30	30	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	115			
8	8	61/2	61/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	116			
8	8	31	31	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	117			
8	8	63/2	63/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	118			
8	8	28	28	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	119			
8	8	29	29	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	120			
8	8	30	30	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	121			
