mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	label_type
1	1	0	0	12/8	2	1	a.i	1 (dcml)
1	1	1/2	1/2	12/8	2	1	#viio6	1 (dcml)
1	1	3/4	3/4	12/8	2	1	i	1 (dcml)
1	1	5/4	5/4	12/8	2	1	viio	1 (dcml)
2	2	0	0	12/8	2	1	i	1 (dcml)
2	2	1/2	1/2	12/8	2	1	#viio6	1 (dcml)
2	2	3/4	3/4	12/8	2	1	i	1 (dcml)
2	2	11/8	11/8	12/8	2	1	iv	1 (dcml)
3	3	0	0	12/8	2	1	i	1 (dcml)
3	3	1/2	1/2	12/8	2	1	#viio(42)	1 (dcml)
3	3	5/8	5/8	12/8	2	1	#viio6	1 (dcml)
3	3	3/4	3/4	12/8	2	1	i(42)	1 (dcml)
3	3	9/8	9/8	12/8	2	1	i	1 (dcml)
3	3	5/4	5/4	12/8	2	1	#viio6	1 (dcml)
4	4	0	0	12/8	2	1	i(42)	1 (dcml)
4	4	3/8	3/8	12/8	2	1	i	1 (dcml)
4	4	1/2	1/2	12/8	2	1	#viio(42)	1 (dcml)
4	4	5/8	5/8	12/8	2	1	i	1 (dcml)
4	4	3/4	3/4	12/8	2	1	i	1 (dcml)
5	5	0	0	12/8	2	1	i	1 (dcml)
5	5	3/8	3/8	12/8	2	1	VI6	1 (dcml)
5	5	3/4	3/4	12/8	2	1	v6(7)	1 (dcml)
5	5	9/8	9/8	12/8	2	1	v6	1 (dcml)
6	6	0	0	12/8	2	1	iv6(7)	1 (dcml)
6	6	3/8	3/8	12/8	2	1	vi6	1 (dcml)
6	6	3/4	3/4	12/8	2	1	III6(7)	1 (dcml)
6	6	9/8	9/8	12/8	2	1	III6	1 (dcml)
7	7	0	0	12/8	2	1	iio6(7)	1 (dcml)
7	7	3/8	3/8	12/8	2	1	iio6	1 (dcml)
7	7	3/4	3/4	12/8	2	1	i6(7)	1 (dcml)
7	7	9/8	9/8	12/8	2	1	i6	1 (dcml)
8	8	0	0	12/8	2	1	V43	1 (dcml)
8	8	3/8	3/8	12/8	2	1	i	1 (dcml)
8	8	3/4	3/4	12/8	2	1	V(64)	1 (dcml)
8	8	9/8	9/8	12/8	2	1	V	1 (dcml)
9	9	0	0	12/8	2	1	V-V7	1 (dcml)
9	9	3/4	3/4	12/8	2	1	i	1 (dcml)
10	10	0	0	12/8	2	1	V-V7	1 (dcml)
11	11	0	0	12/8	2	1	e.V7	1 (dcml)
11	11	3/4	3/4	12/8	2	1	i	1 (dcml)
12	12	0	0	12/8	2	1	V7	1 (dcml)
12	12	3/4	3/4	12/8	2	1	i	1 (dcml)
12	12	11/8	11/8	12/8	2	1	iv6	1 (dcml)
13	13	0	0	12/8	2	1	V	1 (dcml)
