mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	chord_tones	added_tones	root	bass_note
1	1	0	0	2/4	2	1		c.i{		c			i	i							{	m	0, -3, 1		0	0
4	4	0	0	2/4	2	1		}{													}{					
5	5	0	0	2/4	2	1		iv					iv	iv								m	-1, -4, 0		-1	-1
5	5	1/4	1/4	2/4	2	1		#viio6					#viio6	#vii	o	6						o	2, -1, 5		5	2
6	6	0	0	2/4	2	1		i6					i6	i		6						m	-3, 1, 0		0	-3
6	6	1/4	1/4	2/4	2	1		i					i	i								m	0, -3, 1		0	0
7	7	0	0	2/4	2	1		iio	#viio6				iio	ii	o							o	2, -1, -4		2	2
7	7	1/4	1/4	2/4	2	1		i					i	i								m	0, -3, 1		0	0
8	8	0	0	2/4	2	1		V|HC}{					V	V						HC	}{	M	1, 5, 2		1	1
8	8	1/4	1/4	2/4	2	1		i6					i6	i		6						m	-3, 1, 0		0	-3
9	9	0	0	2/4	2	1		iv6					iv6	iv		6						m	-4, 0, -1		-1	-4
9	9	1/4	1/4	2/4	2	1		VII					VII	VII								M	-2, 2, -1		-2	-2
10	10	0	0	2/4	2	1		III6					III6	III		6						M	1, -2, -3		-3	1
10	10	1/4	1/4	2/4	2	1		VI					VI	VI								M	-4, 0, -3		-4	-4
11	11	0	0	2/4	2	1		Eb.V7		Eb			V7	V		7						Mm7	1, 5, 2, -1		1	1
12	12	0	0	2/4	2	1		I}					I	I							}	M	0, 4, 1		0	0
12	12	1/4	1/4	2/4	2	1		{													{					
13	13	0	0	2/4	2	1		IV					IV	IV								M	-1, 3, 0		-1	-1
13	13	1/4	1/4	2/4	2	1		ii					ii	ii								m	2, -1, 3		2	2
13	13	3/8	3/8	2/4	2	1		V6					V6	V		6						M	5, 2, 1		1	5
14	14	0	0	2/4	2	1		I|IAC}{					I	I						IAC	}{	M	0, 4, 1		0	0
14	14	1/4	1/4	2/4	2	1		V					V	V								M	1, 5, 2		1	1
15	15	0	0	2/4	2	1		ii					ii	ii								m	2, -1, 3		2	2
15	15	1/4	1/4	2/4	2	1		vi					vi	vi								m	-4, -7, -3		-4	-4
16	16	0	0	2/4	2	1		iii					iii	iii								m	-3, -6, -2		-3	-3
16	16	1/4	1/4	2/4	2	1		v.V			v		V	V								M	1, 5, 2		1	1
17	17	0	0	2/4	2	1		VI}{					VI	VI							}{	M	-4, 0, -3		-4	-4
17	17	1/8	1/8	2/4	2	1		v					v	v								m	1, -2, 2		1	1
17	17	1/4	1/4	2/4	2	1		iv					iv	iv								m	-1, -4, 0		-1	-1
17	17	3/8	3/8	2/4	2	1		III					III	III								M	-3, 1, -2		-3	-3
18	18	0	0	2/4	2	1		iio					iio	ii	o							o	2, -1, -4		2	2
18	18	1/8	1/8	2/4	2	1		i					i	i								m	0, -3, 1		0	0
18	18	1/4	1/4	2/4	2	1		#viio					#viio	#vii	o							o	5, 2, -1		5	5
18	18	3/8	3/8	2/4	2	1		i					i	i								m	0, -3, 1		0	0
19	19	0	0	2/4	2	1		V|HC}{					V	V						HC	}{	M	1, 5, 2		1	1
19	19	1/8	1/8	2/4	2	1		V(64)					V(64)	V			64					M	1, 0, -3		1	1
19	19	1/4	1/4	2/4	2	1		iio64					iio64	ii	o	64						o	-4, 2, -1		2	-4
19	19	3/8	3/8	2/4	2	1		i64					i64	i		64						m	1, 0, -3		0	1
20	20	0	0	2/4	2	1		iio6					iio6	ii	o	6						o	-1, -4, 2		2	-1
20	20	1/8	1/8	2/4	2	1		i6					i6	i		6						m	-3, 1, 0		0	-3
20	20	1/4	1/4	2/4	2	1		#viio6					#viio6	#vii	o	6						o	2, -1, 5		5	2
20	20	3/8	3/8	2/4	2	1		i					i	i								m	0, -3, 1		0	0
21	21	0	0	2/4	2	1		#viio					#viio	#vii	o							o	5, 2, -1		5	5
21	21	1/8	1/8	2/4	2	1		i					i	i								m	0, -3, 1		0	0
21	21	1/4	1/4	2/4	2	1		iv7					iv7	iv		7						mm7	-1, -4, 0, -3		-1	-1
21	21	3/8	3/8	2/4	2	1		V					V	V								M	1, 5, 2		1	1
22	22	0	0	2/4	2	1		i|PAC}{					i	i						PAC	}{	m	0, -3, 1		0	0
22	22	3/8	3/8	2/4	2	1		#viio					#viio	#vii	o							o	5, 2, -1		5	5
23	23	0	0	2/4	2	1		i					i	i								m	0, -3, 1		0	0
23	23	3/8	3/8	2/4	2	1		#viio					#viio	#vii	o							o	5, 2, -1		5	5
24	24	0	0	2/4	2	1		i					i	i								m	0, -3, 1		0	0
24	24	3/8	3/8	2/4	2	1		#viio					#viio	#vii	o							o	5, 2, -1		5	5
25	25	0	0	2/4	2	1		i					i	i								m	0, -3, 1		0	0
25	25	1/8	1/8	2/4	2	1		iv					iv	iv								m	-1, -4, 0		-1	-1
25	25	1/4	1/4	2/4	2	1		V(64)					V(64)	V			64					M	1, 0, -3		1	1
25	25	3/8	3/8	2/4	2	1		V					V	V								M	1, 5, 2		1	1
26	26	0	0	2/4	2	1		i|PAC}{					i	i						PAC	}{	m	0, -3, 1		0	0
26	26	3/8	3/8	2/4	2	1		#viio					#viio	#vii	o							o	5, 2, -1		5	5
27	27	0	0	2/4	2	1		i					i	i								m	0, -3, 1		0	0
27	27	3/8	3/8	2/4	2	1		#viio					#viio	#vii	o							o	5, 2, -1		5	5
28	28	0	0	2/4	2	1		i					i	i								m	0, -3, 1		0	0
28	28	3/8	3/8	2/4	2	1		#viio					#viio	#vii	o							o	5, 2, -1		5	5
29	29	0	0	2/4	2	1		i					i	i								m	0, -3, 1		0	0
29	29	1/8	1/8	2/4	2	1		iv					iv	iv								m	-1, -4, 0		-1	-1
29	29	1/4	1/4	2/4	2	1		V(64)					V(64)	V			64					M	1, 0, -3		1	1
29	29	3/8	3/8	2/4	2	1		V					V	V								M	1, 5, 2		1	1
30	30	0	0	2/4	2	1		i[i|PAC}{				i	i	i						PAC	}{	m	0, -3, 1		0	0
30	30	1/4	1/4	2/4	2	1		iv					iv	iv								m	-1, -4, 0		-1	-1
30	30	3/8	3/8	2/4	2	1		V					V	V								M	1, 5, 2		1	1
31	31	0	0	2/4	2	1		i					i	i								m	0, -3, 1		0	0
31	31	1/4	1/4	2/4	2	1		iv					iv	iv								m	-1, -4, 0		-1	-1
31	31	3/8	3/8	2/4	2	1		V					V	V								M	1, 5, 2		1	1
