mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	1.0	0	0	2/4	2	1		f.i{		f	i		i	i						{	m	1	1	0, -3, 1		0	0
1	1	1	1.0	1/4	1/4	2/4	2	1		#viio6		f	i		#viio6	#vii	o	6					o	1	1	2, -1, 5		5	2
2	2	2	1.5	0	0	2/4	2	1		i6		f	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
2	2	7/2	0.5	3/8	3/8	2/4	2	1		i		f	i		i	i							m	1	1	0, -3, 1		0	0
3	3	4	0.5	0	0	2/4	2	1		iio6		f	i		iio6	ii	o	6					o	1	1	-1, -4, 2		2	-1
3	3	9/2	0.5	1/8	1/8	2/4	2	1		i6		f	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
3	3	5	0.5	1/4	1/4	2/4	2	1		#viio6		f	i		#viio6	#vii	o	6					o	1	1	2, -1, 5		5	2
3	3	11/2	0.5	3/8	3/8	2/4	2	1		i		f	i		i	i							m	1	1	0, -3, 1		0	0
4	4	6	2.0	0	0	2/4	2	1		V|HC		f	i		V	V					HC		M	1	1	1, 5, 2		1	1
5	5	8	1.0	0	0	2/4	2	1		i		f	i		i	i							m	1	1	0, -3, 1		0	0
5	5	9	1.0	1/4	1/4	2/4	2	1		#viio6		f	i		#viio6	#vii	o	6					o	1	1	2, -1, 5		5	2
6	6	10	1.5	0	0	2/4	2	1		i6		f	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
6	6	23/2	0.5	3/8	3/8	2/4	2	1		i		f	i		i	i							m	1	1	0, -3, 1		0	0
7	7	12	1.0	0	0	2/4	2	1		iio6		f	i		iio6	ii	o	6					o	1	1	-1, -4, 2		2	-1
7	7	13	0.5	1/4	1/4	2/4	2	1		V(64)		f	i		V(64)	V			64				M	1	1	1, 0, -3		1	1
7	7	27/2	0.5	3/8	3/8	2/4	2	1		V		f	i		V	V							M	1	1	1, 5, 2		1	1
8	8	14	2.0	0	0	2/4	2	1		i|PAC}		f	i		i	i					PAC	}	m	1	1	0, -3, 1		0	0
8	8	31/2	0.0	3/8	3/8	2/4	2	1		{		f	i									{		1	1				
9	9	16	2.0	0	0	2/4	2	1		iv64		f	i		iv64	iv		64					m	1	1	0, -1, -4		-1	0
10	10	18	0.5	0	0	2/4	2	1		i(64)		f	i		i(64)	i			64				m	1	1	0, -1, -4		0	0
10	10	37/2	1.5	1/8	1/8	2/4	2	1		i		f	i		i	i							m	1	1	0, -3, 1		0	0
11	11	20	2.0	0	0	2/4	2	1		iv64		f	i		iv64	iv		64					m	1	1	0, -1, -4		-1	0
12	12	22	0.5	0	0	2/4	2	1		i(64)}		f	i		i(64)	i			64			}	m	1	1	0, -1, -4		0	0
12	12	45/2	1.5	1/8	1/8	2/4	2	1		i		f	i		i	i							m	1	1	0, -3, 1		0	0
12	12	47/2	0.0	3/8	3/8	2/4	2	1		{		f	i									{		1	1				
13	13	24	0.5	0	0	2/4	2	1		III.ii6		f	III		ii6	ii		6					m	1	0	-1, 3, 2		2	-1
13	13	49/2	0.5	1/8	1/8	2/4	2	1		I6		f	III		I6	I		6					M	1	0	4, 1, 0		0	4
13	13	25	0.5	1/4	1/4	2/4	2	1		viio6		f	III		viio6	vii	o	6					o	1	0	2, -1, 5		5	2
13	13	51/2	0.5	3/8	3/8	2/4	2	1		vi6		f	III		vi6	vi		6					m	1	0	0, 4, 3		3	0
14	14	26	0.5	0	0	2/4	2	1		V6		f	III		V6	V		6					M	1	0	5, 2, 1		1	5
14	14	53/2	0.5	1/8	1/8	2/4	2	1		IV6		f	III		IV6	IV		6					M	1	0	3, 0, -1		-1	3
14	14	27	0.5	1/4	1/4	2/4	2	1		iii6		f	III		iii6	iii		6					m	1	0	1, 5, 4		4	1
14	14	55/2	0.5	3/8	3/8	2/4	2	1		ii6		f	III		ii6	ii		6					m	1	0	-1, 3, 2		2	-1
15	15	28	1.0	0	0	2/4	2	1		I6		f	III		I6	I		6					M	1	0	4, 1, 0		0	4
15	15	29	0.5	1/4	1/4	2/4	2	1		ii6		f	III		ii6	ii		6					m	1	0	-1, 3, 2		2	-1
15	15	59/2	0.5	3/8	3/8	2/4	2	1		viio/V		f	III		viio/V	vii	o			V			o	1	0	6, 3, 0		6	6
16	16	30	1.0	0	0	2/4	2	1		V|HC}		f	III		V	V					HC	}	M	1	0	1, 5, 2		1	1
16	16	31	1.0	1/4	1/4	2/4	2	1		V7		f	III		V7	V		7					Mm7	1	0	1, 5, 2, -1		1	1
17	17	32	1.0	0	0	2/4	2	1		I6		f	III		I6	I		6					M	1	0	4, 1, 0		0	4
17	17	33	1.0	1/4	1/4	2/4	2	1		viio		f	III		viio	vii	o						o	1	0	5, 2, -1		5	5
18	18	34	0.5	0	0	2/4	2	1		I6	iii{	f	III		I6	I		6					M	1	0	4, 1, 0		0	4
18	18	69/2	0.5	1/8	1/8	2/4	2	1		vii		f	III		vii	vii							m	1	0	5, 2, 6		5	5
18	18	35	0.5	1/4	1/4	2/4	2	1		I		f	III		I	I							M	1	0	0, 4, 1		0	0
18	18	71/2	0.5	3/8	3/8	2/4	2	1		V		f	III		V	V							M	1	0	1, 5, 2		1	1
19	19	36	0.5	0	0	2/4	2	1		vi		f	III		vi	vi							m	1	0	3, 0, 4		3	3
19	19	73/2	0.5	1/8	1/8	2/4	2	1		iii		f	III		iii	iii							m	1	0	4, 1, 5		4	4
19	19	37	0.5	1/4	1/4	2/4	2	1		IV		f	III		IV	IV							M	1	0	-1, 3, 0		-1	-1
19	19	75/2	0.5	3/8	3/8	2/4	2	1		I		f	III		I	I							M	1	0	0, 4, 1		0	0
20	20	38	2.0	0	0	2/4	2	1		V		f	III		V	V							M	1	0	1, 5, 2		1	1
21	21	40	0.5	0	0	2/4	2	1		I		f	III		I	I							M	1	0	0, 4, 1		0	0
21	21	81/2	0.5	1/8	1/8	2/4	2	1		V7		f	III		V7	V		7					Mm7	1	0	1, 5, 2, -1		1	1
21	21	41	0.5	1/4	1/4	2/4	2	1		I		f	III		I	I							M	1	0	0, 4, 1		0	0
21	21	83/2	0.5	3/8	3/8	2/4	2	1		V		f	III		V	V							M	1	0	1, 5, 2		1	1
22	22	42	0.5	0	0	2/4	2	1		vi		f	III		vi	vi							m	1	0	3, 0, 4		3	3
22	22	85/2	0.5	1/8	1/8	2/4	2	1		iii		f	III		iii	iii							m	1	0	4, 1, 5		4	4
22	22	43	0.5	1/4	1/4	2/4	2	1		IV		f	III		IV	IV							M	1	0	-1, 3, 0		-1	-1
22	22	87/2	0.5	3/8	3/8	2/4	2	1		I		f	III		I	I							M	1	0	0, 4, 1		0	0
23	23	44	1.5	0	0	2/4	2	1		V		f	III		V	V							M	1	0	1, 5, 2		1	1
23	23	91/2	0.5	3/8	3/8	2/4	2	1		V6	viio	f	III		V6	V		6					M	1	0	5, 2, 1		1	5
24	24	46	0.5	0	0	2/4	2	1		I		f	III		I	I							M	1	0	0, 4, 1		0	0
24	24	93/2	0.5	1/8	1/8	2/4	2	1		IV		f	III		IV	IV							M	1	0	-1, 3, 0		-1	-1
24	24	47	0.5	1/4	1/4	2/4	2	1		V(64)		f	III		V(64)	V			64				M	1	0	1, 0, 4		1	1
24	24	95/2	0.5	3/8	3/8	2/4	2	1		V		f	III		V	V							M	1	0	1, 5, 2		1	1
25	25	48	1.5	0	0	2/4	2	1		I|PAC}{		f	III		I	I					PAC	}{	M	1	0	0, 4, 1		0	0
25	25	99/2	0.5	3/8	3/8	2/4	2	1		viio6/V		f	III		viio6/V	vii	o	6		V			o	1	0	3, 0, 6		6	3
26	26	50	1.0	0	0	2/4	2	1		V6		f	III		V6	V		6					M	1	0	5, 2, 1		1	5
26	26	51	1.0	1/4	1/4	2/4	2	1		V6/V	V65/V	f	III		V6/V	V		6		V			M	1	0	6, 3, 2		2	6
27	27	52	1.0	0	0	2/4	2	1		V2	viio64	f	III		V2	V		2					Mm7	1	0	-1, 1, 5, 2		1	-1
27	27	53	0.5	1/4	1/4	2/4	2	1		I6		f	III		I6	I		6					M	1	0	4, 1, 0		0	4
27	27	107/2	0.5	3/8	3/8	2/4	2	1		viio		f	III		viio	vii	o						o	1	0	5, 2, -1		5	5
28	28	54	1.5	0	0	2/4	2	1		I		f	III		I	I							M	1	0	0, 4, 1		0	0
28	28	111/2	0.5	3/8	3/8	2/4	2	1		IV		f	III		IV	IV							M	1	0	-1, 3, 0		-1	-1
29	29	56	2.0	0	0	2/4	2	1		V		f	III		V	V							M	1	0	1, 5, 2		1	1
30	30	58	0.5	0	0	2/4	2	1		I		f	III		I	I							M	1	0	0, 4, 1		0	0
30	30	117/2	0.5	1/8	1/8	2/4	2	1		IV		f	III		IV	IV							M	1	0	-1, 3, 0		-1	-1
30	30	59	0.5	1/4	1/4	2/4	2	1		V(64)		f	III		V(64)	V			64				M	1	0	1, 0, 4		1	1
30	30	119/2	0.5	3/8	3/8	2/4	2	1		V		f	III		V	V							M	1	0	1, 5, 2		1	1
31	31	60	1.5	0	0	2/4	2	1		I|PAC}{		f	III		I	I					PAC	}{	M	1	0	0, 4, 1		0	0
31	31	123/2	0.5	3/8	3/8	2/4	2	1		V6		f	III		V6	V		6					M	1	0	5, 2, 1		1	5
32	32	62	1.5	0	0	2/4	2	1		I		f	III		I	I							M	1	0	0, 4, 1		0	0
32	32	127/2	0.5	3/8	3/8	2/4	2	1		V6		f	III		V6	V		6					M	1	0	5, 2, 1		1	5
33	33	64	0.5	0	0	2/4	2	1		I		f	III		I	I							M	1	0	0, 4, 1		0	0
33	33	129/2	0.5	1/8	1/8	2/4	2	1		IV		f	III		IV	IV							M	1	0	-1, 3, 0		-1	-1
33	33	65	0.5	1/4	1/4	2/4	2	1		V(64)		f	III		V(64)	V			64				M	1	0	1, 0, 4		1	1
33	33	131/2	0.5	3/8	3/8	2/4	2	1		V		f	III		V	V							M	1	0	1, 5, 2		1	1
34	34	66	1.5	0	0	2/4	2	1		I|PAC		f	III		I	I					PAC		M	1	0	0, 4, 1		0	0
34	34	135/2	0.5	3/8	3/8	2/4	2	1		V6		f	III		V6	V		6					M	1	0	5, 2, 1		1	5
35	35	68	0.5	0	0	2/4	2	1		I		f	III		I	I							M	1	0	0, 4, 1		0	0
35	35	137/2	0.5	1/8	1/8	2/4	2	1		IV		f	III		IV	IV							M	1	0	-1, 3, 0		-1	-1
35	35	69	0.5	1/4	1/4	2/4	2	1		V(64)		f	III		V(64)	V			64				M	1	0	1, 0, 4		1	1
35	35	139/2	0.5	3/8	3/8	2/4	2	1		V		f	III		V	V							M	1	0	1, 5, 2		1	1
36	36	70	6.0	0	0	2/4	2	1		I|PAC}		f	III		I	I					PAC	}	M	1	0	0, 4, 1		0	0
39	38	75	0.0	1/4	1/4	2/4	2	1	2	{		f	III									{		1	0				
40	39	76	1.0	0	0	2/4	2	1		v.iv6		f	v		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
40	39	77	1.0	1/4	1/4	2/4	2	1		V2/III		f	v		V2/III	V		2		III			Mm7	1	1	-4, -2, 2, -1		-2	-4
41	40	78	2.0	0	0	2/4	2	1		I6/III		f	v		I6/III	I		6		III			M	1	1	1, -2, -3		-3	1
42	41	80	1.0	0	0	2/4	2	1		iv6		f	v		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
42	41	81	1.0	1/4	1/4	2/4	2	1		V2/III		f	v		V2/III	V		2		III			Mm7	1	1	-4, -2, 2, -1		-2	-4
43	42	82	2.0	0	0	2/4	2	1		I6/III}		f	v		I6/III	I		6		III		}	M	1	1	1, -2, -3		-3	1
43	42	167/2	0.0	3/8	3/8	2/4	2	1		{		f	v									{		1	1				
44	43	84	2.0	0	0	2/4	2	1		#viio6/iv		f	v		#viio6/iv	#vii	o	6		iv			o	1	1	1, -2, 4		4	1
45	44	86	0.5	0	0	2/4	2	1		i6(6)/iv		f	v		i6(6)/iv	i		6	6	iv			m	1	1	-4, -5, -1		-1	-4
45	44	173/2	1.5	1/8	1/8	2/4	2	1		i6/iv		f	v		i6/iv	i		6		iv			m	1	1	-4, 0, -1		-1	-4
46	45	88	2.0	0	0	2/4	2	1		#viio6/iv		f	v		#viio6/iv	#vii	o	6		iv			o	1	1	1, -2, 4		4	1
47	46	90	0.5	0	0	2/4	2	1		i6(6)/iv}		f	v		i6(6)/iv	i		6	6	iv		}	m	1	1	-4, -5, -1		-1	-4
47	46	181/2	1.0	1/8	1/8	2/4	2	1		i6/iv		f	v		i6/iv	i		6		iv			m	1	1	-4, 0, -1		-1	-4
47	46	183/2	0.5	3/8	3/8	2/4	2	1		iv{		f	v		iv	iv						{	m	1	1	-1, -4, 0		-1	-1
48	47	92	1.0	0	0	2/4	2	1		III6		f	v		III6	III		6					M	1	1	1, -2, -3		-3	1
48	47	93	1.0	1/4	1/4	2/4	2	1		iio6		f	v		iio6	ii	o	6					o	1	1	-1, -4, 2		2	-1
49	48	94	1.0	0	0	2/4	2	1		i6		f	v		i6	i		6					m	1	1	-3, 1, 0		0	-3
49	48	95	1.0	1/4	1/4	2/4	2	1		#viio6		f	v		#viio6	#vii	o	6					o	1	1	2, -1, 5		5	2
50	49	96	1.0	0	0	2/4	2	1		i6		f	v		i6	i		6					m	1	1	-3, 1, 0		0	-3
50	49	97	1.0	1/4	1/4	2/4	2	1		iio6	iv	f	v		iio6	ii	o	6					o	1	1	-1, -4, 2		2	-1
51	50	98	2.0	0	0	2/4	2	1		V|HC}		f	v		V	V					HC	}	M	1	1	1, 5, 2		1	1
51	50	199/2	0.0	3/8	3/8	2/4	2	1		{		f	v									{		1	1				
52	51	100	2.0	0	0	2/4	2	1		iv64		f	v		iv64	iv		64					m	1	1	0, -1, -4		-1	0
53	52	102	0.5	0	0	2/4	2	1		i(64)		f	v		i(64)	i			64				m	1	1	0, -1, -4		0	0
53	52	205/2	1.5	1/8	1/8	2/4	2	1		i		f	v		i	i							m	1	1	0, -3, 1		0	0
54	53	104	2.0	0	0	2/4	2	1		iv64		f	v		iv64	iv		64					m	1	1	0, -1, -4		-1	0
