mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	1.5	0	0	12/8	2	1		c.i{	c	i		i		i						{	m	1	1	0, -3, 1		0	0
1	1	3/2	7.5	3/8	3/8	12/8	2	1		V	c	i		V		V							M	1	1	1, 5, 2		1	1
2	2	9	1.5	3/4	3/4	12/8	2	1		i}{	c	i		i		i						}{	m	1	1	0, -3, 1		0	0
2	2	21/2	1.5	9/8	9/8	12/8	2	1		#viio64	c	i		#viio64		#vii	o	64					o	1	1	-1, 5, 2		5	-1
3	3	12	1.5	0	0	12/8	2	1		i6	c	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
3	3	27/2	1.5	3/8	3/8	12/8	2	1		#viio64	c	i		#viio64		#vii	o	64					o	1	1	-1, 5, 2		5	-1
3	3	15	1.5	3/4	3/4	12/8	2	1		i6	c	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
3	3	33/2	1.5	9/8	9/8	12/8	2	1		#viio64	c	i		#viio64		#vii	o	64					o	1	1	-1, 5, 2		5	-1
4	4	18	1.0	0	0	12/8	2	1		i6}{	c	i		i6		i		6				}{	m	1	1	-3, 1, 0		0	-3
4	4	19	0.5	1/4	1/4	12/8	2	1		VI	c	i		VI		VI							M	1	1	-4, 0, -3		-4	-4
4	4	39/2	1.0	3/8	3/8	12/8	2	1		iv	c	i		iv		iv							m	1	1	-1, -4, 0		-1	-1
4	4	41/2	0.5	5/8	5/8	12/8	2	1		V7	c	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
4	4	21	1.0	3/4	3/4	12/8	2	1		i	c	i		i		i							m	1	1	0, -3, 1		0	0
4	4	22	0.5	1	1	12/8	2	1		VI	c	i		VI		VI							M	1	1	-4, 0, -3		-4	-4
4	4	45/2	1.0	9/8	9/8	12/8	2	1		iv	c	i		iv		iv							m	1	1	-1, -4, 0		-1	-1
4	4	47/2	0.5	11/8	11/8	12/8	2	1		V7	c	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
5	5	24	1.0	0	0	12/8	2	1		i	c	i		i		i							m	1	1	0, -3, 1		0	0
5	5	25	0.5	1/4	1/4	12/8	2	1		VI	c	i		VI		VI							M	1	1	-4, 0, -3		-4	-4
5	5	51/2	1.0	3/8	3/8	12/8	2	1		iv	c	i		iv		iv							m	1	1	-1, -4, 0		-1	-1
5	5	53/2	0.5	5/8	5/8	12/8	2	1		V7	c	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
5	5	27	1.5	3/4	3/4	12/8	2	1		i	c	i		i		i							m	1	1	0, -3, 1		0	0
