mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	4.5	0	0	3/8	2	1	A.I{		A	I		I		I						{	M	0	0	0, 4, 1		0	0
4	4	9/2	9/2	1.5	0	0	3/8	2	1	IV		A	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
5	5	6	6	1.5	0	0	3/8	2	1	I		A	I		I		I							M	0	0	0, 4, 1		0	0
6	6	15/2	15/2	1.5	0	0	3/8	2	1	IV		A	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
7	7	9	9	1.5	0	0	3/8	2	1	I		A	I		I		I							M	0	0	0, 4, 1		0	0
8	8	21/2	21/2	1.5	0	0	3/8	2	1	IV		A	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
9	9	12	12	2.0	0	0	3/8	2	1	I}		A	I		I		I						}	M	0	0	0, 4, 1		0	0
10	10	27/2	27/2	0.0	0	0	3/8	2	1	{		A	I										{		0	0				
10	10	14	14	0.5	1/8	1/8	3/8	2	1	V6		A	I		V6		V		6					M	0	0	5, 2, 1		1	5
10	10	29/2	29/2	0.5	1/4	1/4	3/8	2	1	viio6/V		A	I		viio6/V		vii	o	6		V			o	0	0	3, 0, 6		6	3
11	11	15	15	1.5	0	0	3/8	2	1	V		A	I		V		V							M	0	0	1, 5, 2		1	1
12	12	33/2	33/2	1.5	0	0	3/8	2	1	I		A	I		I		I							M	0	0	0, 4, 1		0	0
13	13	18	18	1.5	0	0	3/8	2	1	V		A	I		V		V							M	0	0	1, 5, 2		1	1
14	14	39/2	39/2	1.5	0	0	3/8	2	1	I		A	I		I		I							M	0	0	0, 4, 1		0	0
15	15	21	21	1.5	0	0	3/8	2	1	V		A	I		V		V							M	0	0	1, 5, 2		1	1
16	16	45/2	45/2	1.5	0	0	3/8	2	1	I		A	I		I		I							M	0	0	0, 4, 1		0	0
17	17	24	24	1.5	0	0	3/8	2	1	V}		A	I		V		V						}	M	0	0	1, 5, 2		1	1
18	18	51/2	51/2	0.25	0	0	3/8	2	1	i{		A	I		i		i						{	m	0	0	0, -3, 1		0	0
18	18	103/4	103/4	0.25	1/16	1/16	3/8	2	1	viio64/IV		A	I		viio64/IV		vii	o	64		IV			o	0	0	-2, 4, 1		4	-2
18	18	26	26	0.25	1/8	1/8	3/8	2	1	IV		A	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
18	18	105/4	105/4	0.25	3/16	3/16	3/8	2	1	V/V		A	I		V/V		V				V			M	0	0	2, 6, 3		2	2
18	18	53/2	53/2	0.25	1/4	1/4	3/8	2	1	V6		A	I		V6		V		6					M	0	0	5, 2, 1		1	5
18	18	107/4	107/4	0.25	5/16	5/16	3/8	2	1	V64/v	#viio6/v	A	I		V64/v		V		64		v			M	0	0	3, 2, 6		2	3
19	19	27	27	0.25	0	0	3/8	2	1	v		A	I		v		v							m	0	0	1, -2, 2		1	1
19	19	109/4	109/4	0.25	1/16	1/16	3/8	2	1	V2	viio64	A	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
19	19	55/2	55/2	0.25	1/8	1/8	3/8	2	1	i6		A	I		i6		i		6					m	0	0	-3, 1, 0		0	-3
19	19	111/4	111/4	0.25	3/16	3/16	3/8	2	1	v64		A	I		v64		v		64					m	0	0	2, 1, -2		1	2
19	19	28	28	0.5	1/4	1/4	3/8	2	1	V.ii%65		A	V		ii%65		ii	%	65					%7	0	0	-1, -4, 0, 2		2	-1
20	20	57/2	57/2	0.5	0	0	3/8	2	1	V		A	V		V		V							M	0	0	1, 5, 2		1	1
20	20	29	29	0.25	1/8	1/8	3/8	2	1	iv6		A	V		iv6		iv		6					m	0	0	-4, 0, -1		-1	-4
20	20	117/4	117/4	0.25	3/16	3/16	3/8	2	1	viio/bVII		A	V		viio/bVII		vii	o			bVII			o	0	0	3, 0, -3		3	3
20	20	59/2	59/2	0.25	1/4	1/4	3/8	2	1	bVII		A	V		bVII		bVII							M	0	0	-2, 2, -1		-2	-2
20	20	119/4	119/4	0.25	5/16	5/16	3/8	2	1	viio		A	V		viio		vii	o						o	0	0	5, 2, -1		5	5
21	21	30	30	0.5	0	0	3/8	2	1	I		A	V		I		I							M	0	0	0, 4, 1		0	0
21	21	61/2	61/2	0.25	1/8	1/8	3/8	2	1	bII		A	V		bII		bII							M	0	0	-5, -1, -4		-5	-5
21	21	123/4	123/4	0.25	3/16	3/16	3/8	2	1	viio/bIII		A	V		viio/bIII		vii	o			bIII			o	0	0	2, -1, -4		2	2
21	21	31	31	0.25	1/4	1/4	3/8	2	1	bIII		A	V		bIII		bIII							M	0	0	-3, 1, -2		-3	-3
21	21	125/4	125/4	0.25	5/16	5/16	3/8	2	1	viio/IV		A	V		viio/IV		vii	o			IV			o	0	0	4, 1, -2		4	4
22	22	63/2	63/2	0.5	0	0	3/8	2	1	IV		A	V		IV		IV							M	0	0	-1, 3, 0		-1	-1
22	22	32	32	0.5	1/8	1/8	3/8	2	1	V		A	V		V		V							M	0	0	1, 5, 2		1	1
22	22	65/2	65/2	0.5	1/4	1/4	3/8	2	1	It6		A	V		It6	It	vii	o	6	b3	V			It	0	0	-4, 0, 6		6	-4
23	23	33	33	1.0	0	0	3/8	2	1	V|HC}{		A	V		V		V					HC	}{	M	0	0	1, 5, 2		1	1
23	23	34	34	0.5	1/4	1/4	3/8	2	1	V(64)		A	V		V(64)		V			64				M	0	0	1, 0, 4		1	1
24	24	69/2	69/2	1.0	0	0	3/8	2	1	V		A	V		V		V							M	0	0	1, 5, 2		1	1
24	24	71/2	71/2	0.5	1/4	1/4	3/8	2	1	V(64)		A	V		V(64)		V			64				M	0	0	1, 0, 4		1	1
25	25	36	36	1.0	0	0	3/8	2	1	V		A	V		V		V							M	0	0	1, 5, 2		1	1
25	25	37	37	0.5	1/4	1/4	3/8	2	1	V(64)		A	V		V(64)		V			64				M	0	0	1, 0, 4		1	1
26	26	75/2	75/2	1.0	0	0	3/8	2	1	V		A	V		V		V							M	0	0	1, 5, 2		1	1
26	26	77/2	77/2	0.5	1/4	1/4	3/8	2	1	V7		A	V		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
27	27	39	39	1.0	0	0	3/8	2	1	I|PAC}{		A	V		I		I					PAC	}{	M	0	0	0, 4, 1		0	0
27	27	40	40	0.5	1/4	1/4	3/8	2	1	I(64)		A	V		I(64)		I			64				M	0	0	0, -1, 3		0	0
