mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	1.5	0	0	4/4	2	1	d.i{	d	i		i	i						{	m	1	1	0, -3, 1		0	0
1	1	3/2	0.5	3/8	3/8	4/4	2	1	V	d	i		V	V							M	1	1	1, 5, 2		1	1
1	1	2	1.5	1/2	1/2	4/4	2	1	i	d	i		i	i							m	1	1	0, -3, 1		0	0
1	1	7/2	0.5	7/8	7/8	4/4	2	1	V	d	i		V	V							M	1	1	1, 5, 2		1	1
2	2	4	1.5	0	0	4/4	2	1	i	d	i		i	i							m	1	1	0, -3, 1		0	0
2	2	11/2	0.5	3/8	3/8	4/4	2	1	iio6	d	i		iio6	ii	o	6					o	1	1	-1, -4, 2		2	-1
2	2	6	2.0	1/2	1/2	4/4	2	1	V}	d	i		V	V						}	M	1	1	1, 5, 2		1	1
2	2	13/2	0.0	5/8	5/8	4/4	2	1	{	d	i									{		1	1				
3	3	8	2.0	0	0	4/4	2	1	i6	d	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
3	3	10	2.0	1/2	1/2	4/4	2	1	iv	d	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
4	4	12	2.0	0	0	4/4	2	1	VII6	d	i		VII6	VII		6					M	1	1	2, -1, -2		-2	2
4	4	14	2.0	1/2	1/2	4/4	2	1	III	d	i		III	III							M	1	1	-3, 1, -2		-3	-3
5	5	16	2.0	0	0	4/4	2	1	VI6	d	i		VI6	VI		6					M	1	1	0, -3, -4		-4	0
5	5	18	2.0	1/2	1/2	4/4	2	1	iio	d	i		iio	ii	o						o	1	1	2, -1, -4		2	2
6	6	20	2.0	0	0	4/4	2	1	V	d	i		V	V							M	1	1	1, 5, 2		1	1
6	6	22	1.5	1/2	1/2	4/4	2	1	i}{	d	i		i	i						}{	m	1	1	0, -3, 1		0	0
6	6	47/2	0.5	7/8	7/8	4/4	2	1	iio6	d	i		iio6	ii	o	6					o	1	1	-1, -4, 2		2	-1
7	7	24	6.0	0	0	4/4	2	1	V	d	i		V	V							M	1	1	1, 5, 2		1	1
8	8	30	1.0	1/2	1/2	4/4	2	1	iv7(+9)	d	i		iv7(+9)	iv		7	+9				mm7	1	1	-1, -4, 0, -3	1	-1	-1
8	8	31	1.0	3/4	3/4	4/4	2	1	V7	d	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
9	9	32	1.0	0	0	4/4	2	1	iv7(+9)	d	i		iv7(+9)	iv		7	+9				mm7	1	1	-1, -4, 0, -3	1	-1	-1
9	9	33	1.0	1/4	1/4	4/4	2	1	V7	d	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
9	9	34	1.0	1/2	1/2	4/4	2	1	iv7(+9)	d	i		iv7(+9)	iv		7	+9				mm7	1	1	-1, -4, 0, -3	1	-1	-1
9	9	35	1.0	3/4	3/4	4/4	2	1	V7	d	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
10	10	36	1.5	0	0	4/4	2	1	i	d	i		i	i							m	1	1	0, -3, 1		0	0
10	10	75/2	0.5	3/8	3/8	4/4	2	1	iio6	d	i		iio6	ii	o	6					o	1	1	-1, -4, 2		2	-1
10	10	38	2.0	1/2	1/2	4/4	2	1	V7	d	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
11	11	40	1.5	0	0	4/4	2	1	i	d	i		i	i							m	1	1	0, -3, 1		0	0
11	11	83/2	0.5	3/8	3/8	4/4	2	1	iio6	d	i		iio6	ii	o	6					o	1	1	-1, -4, 2		2	-1
11	11	42	1.5	1/2	1/2	4/4	2	1	V	d	i		V	V							M	1	1	1, 5, 2		1	1
11	11	87/2	0.5	7/8	7/8	4/4	2	1	V(64)	d	i		V(64)	V			64				M	1	1	1, 0, -3		1	1
12	12	44	1.0	0	0	4/4	2	1	#viio6	d	i		#viio6	#vii	o	6					o	1	1	2, -1, 5		5	2
12	12	45	0.5	1/4	1/4	4/4	2	1	i	d	i		i	i							m	1	1	0, -3, 1		0	0
12	12	91/2	0.5	3/8	3/8	4/4	2	1	iv6	d	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
12	12	46	6.0	1/2	1/2	4/4	2	1	V|HC}	d	i		V	V					HC	}	M	1	1	1, 5, 2		1	1
14	14	52	1.5	0	0	4/4	2	1	V{	d	i		V	V						{	M	1	1	1, 5, 2		1	1
14	14	107/2	0.5	3/8	3/8	4/4	2	1	V(64)	d	i		V(64)	V			64				M	1	1	1, 0, -3		1	1
14	14	54	1.5	1/2	1/2	4/4	2	1	V	d	i		V	V							M	1	1	1, 5, 2		1	1
14	14	111/2	0.5	7/8	7/8	4/4	2	1	i	d	i		i	i							m	1	1	0, -3, 1		0	0
15	15	56	1.5	0	0	4/4	2	1	IV	d	i		IV	IV							M	1	1	-1, 3, 0		-1	-1
15	15	115/2	0.5	3/8	3/8	4/4	2	1	iv.viio/V	d	iv		viio/V	vii	o			V			o	1	1	6, 3, 0		6	6
15	15	58	2.0	1/2	1/2	4/4	2	1	V7	d	iv		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
16	16	60	1.5	0	0	4/4	2	1	i	d	iv		i	i							m	1	1	0, -3, 1		0	0
16	16	123/2	0.5	3/8	3/8	4/4	2	1	iio6	d	iv		iio6	ii	o	6					o	1	1	-1, -4, 2		2	-1
16	16	62	2.0	1/2	1/2	4/4	2	1	V7	d	iv		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
17	17	64	2.0	0	0	4/4	2	1	i	d	iv		i	i							m	1	1	0, -3, 1		0	0
17	17	66	2.0	1/2	1/2	4/4	2	1	III.vi	d	III		vi	vi							m	1	0	3, 0, 4		3	3
18	18	68	1.0	0	0	4/4	2	1	IVM7(+9)	d	III		IVM7(+9)	IV	M	7	+9				MM7	1	0	-1, 3, 0, 4	1	-1	-1
18	18	69	1.0	1/4	1/4	4/4	2	1	V7	d	III		V7	V		7					Mm7	1	0	1, 5, 2, -1		1	1
18	18	70	1.0	1/2	1/2	4/4	2	1	IVM7(+9)	d	III		IVM7(+9)	IV	M	7	+9				MM7	1	0	-1, 3, 0, 4	1	-1	-1
18	18	71	1.0	3/4	3/4	4/4	2	1	V7	d	III		V7	V		7					Mm7	1	0	1, 5, 2, -1		1	1
19	19	72	1.0	0	0	4/4	2	1	IVM7(+9)	d	III		IVM7(+9)	IV	M	7	+9				MM7	1	0	-1, 3, 0, 4	1	-1	-1
19	19	73	1.0	1/4	1/4	4/4	2	1	V7	d	III		V7	V		7					Mm7	1	0	1, 5, 2, -1		1	1
19	19	74	2.0	1/2	1/2	4/4	2	1	I}{	d	III		I	I						}{	M	1	0	0, 4, 1		0	0
20	20	76	1.5	0	0	4/4	2	1	V	d	III		V	V							M	1	0	1, 5, 2		1	1
20	20	155/2	0.5	3/8	3/8	4/4	2	1	#viio/ii	d	III		#viio/ii	#vii	o			ii			o	1	0	7, 4, 1		7	7
20	20	78	2.0	1/2	1/2	4/4	2	1	ii	d	III		ii	ii							m	1	0	2, -1, 3		2	2
