mn	mn_offset	label
1	0	F.I
2	0	V
2	1/2	IV6
2	3/4	viio
3	0	I
4	0	V6
4	1/4	iii
4	1/2	vi
4	3/4	#viio64/V
5	0	V6
5	1/4	iii
5	1/2	vi
5	3/4	#viio64/V
6	0	V6
6	1/4	V
6	1/2	I
6	3/4	viio
7	0	V
7	3/4	#viio/V
8	0	c.i
9	0	V6
9	1/4	V
9	3/4	#viio
10	0	i
11	0	iv
11	1/4	i6
11	1/2	V65
11	3/4	VI6
12	0	v6
12	1/4	iv6
12	1/2	V
12	7/8	#viio
13	0	i
13	1/8	i6
13	1/4	iio6
13	3/8	V
13	1/2	C.I
14	0	C
15	0	F.V
15	1/2	V7
16	0	I
17	0	#viio6/vi
17	1/4	#viio64/vi
17	1/2	vi6
17	3/4	i6
18	0	#viio6/vi
18	1/4	#viio64/vi
18	1/2	vi6
18	3/4	i6
19	0	IV6
19	1/4	iii6
19	1/2	ii6
19	3/4	viio6/ii
20	0	bV6
20	1/4	iv6
20	1/2	V6
20	3/4	#viio6/V
21	0	i6
21	1/4	ii6
21	1/2	V/iv
21	7/8	#viio/vi
22	0	vi
22	1/4	V/vi
22	1/2	vi
22	3/4	#viio/ii
23	0	ii
23	1/4	V/ii
23	1/2	vi
23	3/4	#viio/V
24	0	V
24	1/4	V/V
24	1/2	V
25	0	IV6
25	1/4	viio
25	1/2	I
25	3/4	I6
26	0	viio6
26	1/4	viio64
26	1/2	I6
26	3/4	vi
27	0	viio6
27	1/4	viio64
27	1/2	I6
27	3/4	I
28	0	IV
28	1/4	I6
28	1/2	viio6
28	3/4	vi6
29	0	V6
29	1/4	iv6
29	1/2	I
29	3/4	I6
30	0	I
30	1/8	I6
30	1/4	iii6
30	3/8	V
30	1/2	I
31	0	I
