mn	mn_offset	label
1	0	d.i
1	1/4	V
2	0	i
2	1/4	iv
3	0	V(642)
3	1/4	V7
4	0	i
4	1/4	#viio6(7)
5	0	i
5	1/4	V
6	0	i6
7	0	V(64)/v
7	1/4	V7/v
8	0	a.i
9	0	V(65)
10	0	i
11	0	V43
12	0	i6
13	0	ii%65
13	1/4	V(4)
14	0	VI
14	1/4	i6
15	0	ii%65
15	1/4	V
16	0	i
17	0	F.I
17	1/4	V6
18	0	I
18	1/4	V6
19	0	I
19	1/4	V6
20	0	I
21	0	IV
22	0	V6
22	1/4	V
22	3/8	V
23	0	I6
23	1/4	I
24	0	IV-vi
24	1/4	V
25	0	I
26	0	V/iv
27	0	iv
28	0	V(74)
29	0	i
30	0	iv6(7)
30	1/4	iv(2)
31	0	V7
32	0	V65
33	0	i
34	0	V43
35	0	i6
36	0	iv
37	0	V(4)
37	1/8	V
37	1/4	iv6(7)
38	0	V(64)
38	1/4	V(74)
39	0	i
40	0	V65
41	0	i
42	0	V43
43	0	i6
44	0	iv
45	0	V(4)
45	1/4	iv6(7)
45	3/8	iv(2)
46	0	V(64)
46	1/4	V(74)
47	0	i
