mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	1.5	0	0	12/8	2	1		c.i{	c	i		i		i						{	m	1	1	0, -3, 1		0	0
1	1	3/2	3/2	7.5	3/8	3/8	12/8	2	1		V	c	i		V		V							M	1	1	1, 5, 2		1	1
2	2	9	9	1.5	3/4	3/4	12/8	2	1		i}{	c	i		i		i						}{	m	1	1	0, -3, 1		0	0
2	2	21/2	21/2	1.5	9/8	9/8	12/8	2	1		#viio64	c	i		#viio64		#vii	o	64					o	1	1	-1, 5, 2		5	-1
3	3	12	12	1.5	0	0	12/8	2	1		i6	c	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
3	3	27/2	27/2	1.5	3/8	3/8	12/8	2	1		#viio64	c	i		#viio64		#vii	o	64					o	1	1	-1, 5, 2		5	-1
3	3	15	15	1.5	3/4	3/4	12/8	2	1		i6	c	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
3	3	33/2	33/2	1.5	9/8	9/8	12/8	2	1		#viio64	c	i		#viio64		#vii	o	64					o	1	1	-1, 5, 2		5	-1
4	4	18	18	1.0	0	0	12/8	2	1		i6}{	c	i		i6		i		6				}{	m	1	1	-3, 1, 0		0	-3
4	4	19	19	0.5	1/4	1/4	12/8	2	1		VI	c	i		VI		VI							M	1	1	-4, 0, -3		-4	-4
4	4	39/2	39/2	1.0	3/8	3/8	12/8	2	1		iv	c	i		iv		iv							m	1	1	-1, -4, 0		-1	-1
4	4	41/2	41/2	0.5	5/8	5/8	12/8	2	1		V7	c	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
4	4	21	21	1.0	3/4	3/4	12/8	2	1		i	c	i		i		i							m	1	1	0, -3, 1		0	0
4	4	22	22	0.5	1	1	12/8	2	1		VI	c	i		VI		VI							M	1	1	-4, 0, -3		-4	-4
4	4	45/2	45/2	1.0	9/8	9/8	12/8	2	1		iv	c	i		iv		iv							m	1	1	-1, -4, 0		-1	-1
4	4	47/2	47/2	0.5	11/8	11/8	12/8	2	1		V7	c	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
5	5	24	24	1.0	0	0	12/8	2	1		i	c	i		i		i							m	1	1	0, -3, 1		0	0
5	5	25	25	0.5	1/4	1/4	12/8	2	1		VI	c	i		VI		VI							M	1	1	-4, 0, -3		-4	-4
5	5	51/2	51/2	1.0	3/8	3/8	12/8	2	1		iv	c	i		iv		iv							m	1	1	-1, -4, 0		-1	-1
5	5	53/2	53/2	0.5	5/8	5/8	12/8	2	1		V7	c	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
5	5	27	27	1.5	3/4	3/4	12/8	2	1		i	c	i		i		i							m	1	1	0, -3, 1		0	0
5	5	57/2	57/2	0.5	9/8	9/8	12/8	2	1		iv(9)	c	i		iv(9)		iv			9				m	1	1	-1, -4, 0	1	-1	-1
5	5	29	29	1.0	5/4	5/4	12/8	2	1		iv	c	i		iv		iv							m	1	1	-1, -4, 0		-1	-1
6	6	30	30	1.5	0	0	12/8	2	1		V[V|HC}{	c	i	V	V		V					HC	}{	M	1	1	1, 5, 2		1	1
6	6	63/2	63/2	1.5	3/8	3/8	12/8	2	1		V7	c	i	V	V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
6	6	33	33	3.0	3/4	3/4	12/8	2	1		viio7/V	c	i	V	viio7/V		vii	o	7		V			o7	1	1	6, 3, 0, -3		6	6
7	7	36	36	1.5	0	0	12/8	2	1		V	c	i	V	V		V							M	1	1	1, 5, 2		1	1
7	7	75/2	75/2	1.5	3/8	3/8	12/8	2	1		V7	c	i	V	V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
7	7	39	39	3.0	3/4	3/4	12/8	2	1		viio7/V	c	i	V	viio7/V		vii	o	7		V			o7	1	1	6, 3, 0, -3		6	6
8	8	42	42	3.0	0	0	12/8	2	1		V	c	i	V	V		V							M	1	1	1, 5, 2		1	1
8	8	45	45	3.0	3/4	3/4	12/8	2	1		#viio7/v]	c	i	V	#viio7/v		#vii	o	7		v			o7	1	1	6, 3, 0, -3		6	6
9	9	48	48	3.0	0	0	12/8	2	1		v.V[i	c	v	V	i		i							m	1	1	0, -3, 1		0	0
9	9	51	51	3.0	3/4	3/4	12/8	2	1		V7	c	v	V	V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
10	10	54	54	3.0	0	0	12/8	2	1		i	c	v	V	i		i							m	1	1	0, -3, 1		0	0
10	10	57	57	3.0	3/4	3/4	12/8	2	1		V7]	c	v	V	V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
11	11	60	60	1.5	0	0	12/8	2	1		VI	c	v		VI		VI							M	1	1	-4, 0, -3		-4	-4
11	11	123/2	123/2	1.5	3/8	3/8	12/8	2	1		#viio64	c	v		#viio64		#vii	o	64					o	1	1	-1, 5, 2		5	-1
11	11	63	63	1.5	3/4	3/4	12/8	2	1		i6	c	v		i6		i		6					m	1	1	-3, 1, 0		0	-3
11	11	129/2	129/2	1.5	9/8	9/8	12/8	2	1		#viio6	c	v		#viio6		#vii	o	6					o	1	1	2, -1, 5		5	2
12	12	66	66	7.5	0	0	12/8	2	1		i|IAC}	c	v		i		i					IAC	}	m	1	1	0, -3, 1		0	0
13	13	72	72	0.0	0	0	12/8	2	1		{	c	v										{		1	1				
13	13	147/2	147/2	1.5	3/8	3/8	12/8	2	1		i6	c	v		i6		i		6					m	1	1	-3, 1, 0		0	-3
13	13	75	75	1.5	3/4	3/4	12/8	2	1		iv	c	v		iv		iv							m	1	1	-1, -4, 0		-1	-1
13	13	153/2	153/2	1.5	9/8	9/8	12/8	2	1		It6	c	v		It6	It	vii	o	6	b3	V			It	1	1	-4, 0, 6		6	-4
14	14	78	78	1.5	0	0	12/8	2	1		V	c	v		V		V							M	1	1	1, 5, 2		1	1
14	14	159/2	159/2	1.5	3/8	3/8	12/8	2	1		i6	c	v		i6		i		6					m	1	1	-3, 1, 0		0	-3
14	14	81	81	1.5	3/4	3/4	12/8	2	1		iv	c	v		iv		iv							m	1	1	-1, -4, 0		-1	-1
14	14	165/2	165/2	1.5	9/8	9/8	12/8	2	1		It6	c	v		It6	It	vii	o	6	b3	V			It	1	1	-4, 0, 6		6	-4
15	15	84	84	1.5	0	0	12/8	2	1		V	c	v		V		V							M	1	1	1, 5, 2		1	1
15	15	171/2	171/2	1.5	3/8	3/8	12/8	2	1		i6	c	v		i6		i		6					m	1	1	-3, 1, 0		0	-3
15	15	87	87	1.5	3/4	3/4	12/8	2	1		iv	c	v		iv		iv							m	1	1	-1, -4, 0		-1	-1
15	15	177/2	177/2	1.5	9/8	9/8	12/8	2	1		It6	c	v		It6	It	vii	o	6	b3	V			It	1	1	-4, 0, 6		6	-4
16	16	90	90	3.0	0	0	12/8	2	1		V7|HC}{	c	v		V7		V		7			HC	}{	Mm7	1	1	1, 5, 2, -1		1	1
16	16	93	93	3.0	3/4	3/4	12/8	2	1		i	c	v		i		i							m	1	1	0, -3, 1		0	0
17	17	96	96	3.0	0	0	12/8	2	1		V7	c	v		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
17	17	99	99	3.0	3/4	3/4	12/8	2	1		i	c	v		i		i							m	1	1	0, -3, 1		0	0
18	18	102	102	3.0	0	0	12/8	2	1		V7	c	v		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
18	18	105	105	1.5	3/4	3/4	12/8	2	1		i	c	v		i		i							m	1	1	0, -3, 1		0	0
18	18	213/2	213/2	1.5	9/8	9/8	12/8	2	1		ii%65	c	v		ii%65		ii	%	65					%7	1	1	-1, -4, 0, 2		2	-1
19	19	108	108	1.5	0	0	12/8	2	1		V(64)	c	v		V(64)		V			64				M	1	1	1, 0, -3		1	1
19	19	219/2	219/2	1.5	3/8	3/8	12/8	2	1		V7	c	v		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
19	19	111	111	3.0	3/4	3/4	12/8	2	1		i|EC}{	c	v		i		i					EC	}{	m	1	1	0, -3, 1		0	0
20	20	114	114	3.0	0	0	12/8	2	1		V7	c	v		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
20	20	117	117	3.0	3/4	3/4	12/8	2	1		i	c	v		i		i							m	1	1	0, -3, 1		0	0
21	21	120	120	3.0	0	0	12/8	2	1		V7	c	v		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
21	21	123	123	1.5	3/4	3/4	12/8	2	1		i	c	v		i		i							m	1	1	0, -3, 1		0	0
21	21	249/2	249/2	1.5	9/8	9/8	12/8	2	1		ii%65	c	v		ii%65		ii	%	65					%7	1	1	-1, -4, 0, 2		2	-1
22	22	126	126	1.5	0	0	12/8	2	1		V(64)	c	v		V(64)		V			64				M	1	1	1, 0, -3		1	1
22	22	255/2	255/2	1.5	3/8	3/8	12/8	2	1		V7	c	v		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
22	22	129	129	1.5	3/4	3/4	12/8	2	1		i|PAC}{	c	v		i		i					PAC	}{	m	1	1	0, -3, 1		0	0
22	22	261/2	261/2	1.5	9/8	9/8	12/8	2	1		iv6	c	v		iv6		iv		6					m	1	1	-4, 0, -1		-1	-4
23	23	132	132	1.5	0	0	12/8	2	1		iio6	c	v		iio6		ii	o	6					o	1	1	-1, -4, 2		2	-1
23	23	267/2	267/2	1.5	3/8	3/8	12/8	2	1		#viio6	c	v		#viio6		#vii	o	6					o	1	1	2, -1, 5		5	2
23	23	135	135	1.5	3/4	3/4	12/8	2	1		#viio7	c	v		#viio7		#vii	o	7					o7	1	1	5, 2, -1, -4		5	5
23	23	273/2	273/2	1.5	9/8	9/8	12/8	2	1		V7(9)	c	v		V7(9)		V		7	9				Mm7	1	1	1, 5, 2, -1	-4	1	1
24	24	138	138	1.0	0	0	12/8	2	1		i	c	v		i		i							m	1	1	0, -3, 1		0	0
24	24	139	139	0.5	1/4	1/4	12/8	2	1		VI	c	v		VI		VI							M	1	1	-4, 0, -3		-4	-4
24	24	279/2	279/2	1.0	3/8	3/8	12/8	2	1		iio6	c	v		iio6		ii	o	6					o	1	1	-1, -4, 2		2	-1
24	24	281/2	281/2	0.5	5/8	5/8	12/8	2	1		V	c	v		V		V							M	1	1	1, 5, 2		1	1
24	24	141	141	1.5	3/4	3/4	12/8	2	1		i|PAC}{	c	v		i		i					PAC	}{	m	1	1	0, -3, 1		0	0
24	24	285/2	285/2	1.5	9/8	9/8	12/8	2	1		iv6	c	v		iv6		iv		6					m	1	1	-4, 0, -1		-1	-4
