mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0.0	4/4	2	1		d.i{		d	i		i	i							{	m	1	1	0, -3, 1		0	0
1	1	3/8	0.375	4/4	2	1		#viio64		d	i		#viio64	#vii	o	64						o	1	1	-1, 5, 2		5	-1
1	1	1/2	0.5	4/4	2	1		i6		d	i		i6	i		6						m	1	1	-3, 1, 0		0	-3
1	1	3/4	0.75	4/4	2	1		i		d	i		i	i								m	1	1	0, -3, 1		0	0
1	1	7/8	0.875	4/4	2	1		#viio7		d	i		#viio7	#vii	o	7						o7	1	1	5, 2, -1, -4		5	5
2	2	0	0.0	4/4	2	1		i6		d	i		i6	i		6						m	1	1	-3, 1, 0		0	-3
2	2	1/8	0.125	4/4	2	1		#viio6		d	i		#viio6	#vii	o	6						o	1	1	2, -1, 5		5	2
2	2	1/4	0.25	4/4	2	1		i6(119)		d	i		i6(119)	i		6	119					m	1	1	-3, 1, 0	-1, 2	0	-3
2	2	3/8	0.375	4/4	2	1		iv7		d	i		iv7	iv		7						mm7	1	1	-1, -4, 0, -3		-1	-1
2	2	1/2	0.5	4/4	2	1		V		d	i		V	V								M	1	1	1, 5, 2		1	1
2	2	3/4	0.75	4/4	2	1		V6		d	i		V6	V		6						M	1	1	5, 2, 1		1	5
2	2	7/8	0.875	4/4	2	1		V7		d	i		V7	V		7						Mm7	1	1	1, 5, 2, -1		1	1
3	3	0	0.0	4/4	2	1		i(9)		d	i		i(9)	i			9					m	1	1	0, -3, 1	2	0	0
3	3	1/8	0.125	4/4	2	1		i6		d	i		i6	i		6						m	1	1	-3, 1, 0		0	-3
3	3	1/4	0.25	4/4	2	1		ii%65		d	i		ii%65	ii	%	65						%7	1	1	-1, -4, 0, 2		2	-1
3	3	3/8	0.375	4/4	2	1		V		d	i		V	V								M	1	1	1, 5, 2		1	1
3	3	1/2	0.5	4/4	2	1		i|IAC}{		d	i		i	i						IAC	}{	m	1	1	0, -3, 1		0	0
3	3	7/8	0.875	4/4	2	1		viio64/III		d	i		viio64/III	vii	o	64		III				o	1	1	-4, 2, -1		2	-4
4	4	0	0.0	4/4	2	1		III.I6		d	III		I6	I		6						M	1	0	4, 1, 0		0	4
4	4	1/4	0.25	4/4	2	1		I		d	III		I	I								M	1	0	0, 4, 1		0	0
4	4	3/8	0.375	4/4	2	1		viio6		d	III		viio6	vii	o	6						o	1	0	2, -1, 5		5	2
4	4	1/2	0.5	4/4	2	1		I6		d	III		I6	I		6						M	1	0	4, 1, 0		0	4
4	4	3/4	0.75	4/4	2	1		IV(116)		d	III		IV(116)	IV			116					M	1	0	-1, 3, 2	5	-1	-1
4	4	7/8	0.875	4/4	2	1		IV		d	III		IV	IV								M	1	0	-1, 3, 0		-1	-1
5	5	0	0.0	4/4	2	1		V2}{		d	III		V2	V		2					}{	Mm7	1	0	-1, 1, 5, 2		1	-1
5	5	1/8	0.125	4/4	2	1		I6		d	III		I6	I		6						M	1	0	4, 1, 0		0	4
5	5	1/4	0.25	4/4	2	1		V64		d	III		V64	V		64						M	1	0	2, 1, 5		1	2
5	5	3/8	0.375	4/4	2	1		I		d	III		I	I								M	1	0	0, 4, 1		0	0
5	5	1/2	0.5	4/4	2	1		V65		d	III		V65	V		65						Mm7	1	0	5, 2, -1, 1		1	5
5	5	3/4	0.75	4/4	2	1		I(9)		d	III		I(9)	I			9					M	1	0	0, 4, 1	2	0	0
5	5	7/8	0.875	4/4	2	1		I		d	III		I	I								M	1	0	0, 4, 1		0	0
6	6	0	0.0	4/4	2	1		V		d	III		V	V								M	1	0	1, 5, 2		1	1
6	6	1/8	0.125	4/4	2	1		V(64)		d	III		V(64)	V			64					M	1	0	1, 0, 4		1	1
6	6	1/4	0.25	4/4	2	1		V7		d	III		V7	V		7						Mm7	1	0	1, 5, 2, -1		1	1
6	6	3/8	0.375	4/4	2	1		V(64)		d	III		V(64)	V			64					M	1	0	1, 0, 4		1	1
6	6	1/2	0.5	4/4	2	1		ii		d	III		ii	ii								m	1	0	2, -1, 3		2	2
6	6	5/8	0.625	4/4	2	1		viio6		d	III		viio6	vii	o	6						o	1	0	2, -1, 5		5	2
6	6	3/4	0.75	4/4	2	1		I(4)		d	III		I(4)	I			4					M	1	0	0, -1, 1		0	0
6	6	7/8	0.875	4/4	2	1		I		d	III		I	I								M	1	0	0, 4, 1		0	0
7	7	0	0.0	4/4	2	1		V(4)}{		d	III		V(4)	V			4				}{	M	1	0	1, 0, 2		1	1
7	7	1/8	0.125	4/4	2	1		V|HC		d	III		V	V						HC		M	1	0	1, 5, 2		1	1
7	7	3/8	0.375	4/4	2	1		V65	viio	d	III		V65	V		65						Mm7	1	0	5, 2, -1, 1		1	5
7	7	1/2	0.5	4/4	2	1		I(4)		d	III		I(4)	I			4					M	1	0	0, -1, 1		0	0
7	7	5/8	0.625	4/4	2	1		I6		d	III		I6	I		6						M	1	0	4, 1, 0		0	4
7	7	3/4	0.75	4/4	2	1		ii65		d	III		ii65	ii		65						mm7	1	0	-1, 3, 0, 2		2	-1
7	7	7/8	0.875	4/4	2	1		V		d	III		V	V								M	1	0	1, 5, 2		1	1
8	8	0	0.0	4/4	2	1		vi(9)		d	III		vi(9)	vi			9					m	1	0	3, 0, 4	5	3	3
8	8	1/8	0.125	4/4	2	1		IV6		d	III		IV6	IV		6						M	1	0	3, 0, -1		-1	3
8	8	1/4	0.25	4/4	2	1		V65		d	III		V65	V		65						Mm7	1	0	5, 2, -1, 1		1	5
8	8	3/8	0.375	4/4	2	1		I		d	III		I	I								M	1	0	0, 4, 1		0	0
8	8	1/2	0.5	4/4	2	1		ii(9)		d	III		ii(9)	ii			9					m	1	0	2, -1, 3	4	2	2
8	8	5/8	0.625	4/4	2	1		viio6		d	III		viio6	vii	o	6						o	1	0	2, -1, 5		5	2
8	8	3/4	0.75	4/4	2	1		I6(2)		d	III		I6(2)	I		6	2					M	1	0	4, 1, 2		0	4
8	8	7/8	0.875	4/4	2	1		IVM7		d	III		IVM7	IV	M	7						MM7	1	0	-1, 3, 0, 4		-1	-1
9	9	0	0.0	4/4	2	1		V(4)		d	III		V(4)	V			4					M	1	0	1, 0, 2		1	1
9	9	1/8	0.125	4/4	2	1		V		d	III		V	V								M	1	0	1, 5, 2		1	1
9	9	3/8	0.375	4/4	2	1		V65	viio	d	III		V65	V		65						Mm7	1	0	5, 2, -1, 1		1	5
9	9	1/2	0.5	4/4	2	1		I(4)}{		d	III		I(4)	I			4				}{	M	1	0	0, -1, 1		0	0
9	9	5/8	0.625	4/4	2	1		I		d	III		I	I								M	1	0	0, 4, 1		0	0
9	9	3/4	0.75	4/4	2	1		V(4)		d	III		V(4)	V			4					M	1	0	1, 0, 2		1	1
9	9	7/8	0.875	4/4	2	1		V		d	III		V	V								M	1	0	1, 5, 2		1	1
10	10	0	0.0	4/4	2	1		IV6(112)		d	III		IV6(112)	IV		6	112					M	1	0	3, 0, 1	5	-1	3
10	10	1/8	0.125	4/4	2	1		IV6		d	III		IV6	IV		6						M	1	0	3, 0, -1		-1	3
10	10	1/4	0.25	4/4	2	1		V65(2)		d	III		V65(2)	V		65	2					Mm7	1	0	5, 2, -1, 3		1	5
10	10	3/8	0.375	4/4	2	1		V6		d	III		V6	V		6						M	1	0	5, 2, 1		1	5
10	10	1/2	0.5	4/4	2	1		I(9)		d	III		I(9)	I			9					M	1	0	0, 4, 1	2	0	0
10	10	5/8	0.625	4/4	2	1		I		d	III		I	I								M	1	0	0, 4, 1		0	0
10	10	3/4	0.75	4/4	2	1		ii7		d	III		ii7	ii		7						mm7	1	0	2, -1, 3, 0		2	2
11	11	0	0.0	4/4	2	1		viio6		d	III		viio6	vii	o	6						o	1	0	2, -1, 5		5	2
11	11	1/8	0.125	4/4	2	1		I6		d	III		I6	I		6						M	1	0	4, 1, 0		0	4
11	11	1/4	0.25	4/4	2	1		viio6		d	III		viio6	vii	o	6						o	1	0	2, -1, 5		5	2
