mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	8.0	0	0	2/2	2	1		C.I{		C	I		I	I						{	M	0	0	0, 4, 1		0	0
3	3	8	8	2.0	0	0	2/2	2	1		IV		C	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
3	3	10	10	1.0	1/2	1/2	2/2	2	1		V(4)		C	I		V(4)	V			4				M	0	0	1, 0, 2		1	1
3	3	11	11	1.0	3/4	3/4	2/2	2	1		V		C	I		V	V							M	0	0	1, 5, 2		1	1
4	4	12	12	1.0	0	0	2/2	2	1		I(^7)		C	I		I(^7)	I			^7				M	0	0	0, 4, 1	5	0	0
4	4	13	13	1.0	1/4	1/4	2/2	2	1		I|PAC		C	I		I	I					PAC		M	0	0	0, 4, 1		0	0
4	4	14	14	1.0	1/2	1/2	2/2	2	1		I6		C	I		I6	I		6					M	0	0	4, 1, 0		0	4
4	4	15	15	1.0	3/4	3/4	2/2	2	1		I		C	I		I	I							M	0	0	0, 4, 1		0	0
5	5	16	16	2.0	0	0	2/2	2	1		IV		C	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
5	5	18	18	1.0	1/2	1/2	2/2	2	1		V(4)		C	I		V(4)	V			4				M	0	0	1, 0, 2		1	1
5	5	19	19	1.0	3/4	3/4	2/2	2	1		V		C	I		V	V							M	0	0	1, 5, 2		1	1
6	6	20	20	1.0	0	0	2/2	2	1		I(^7)}		C	I		I(^7)	I			^7			}	M	0	0	0, 4, 1	5	0	0
6	6	21	21	1.0	1/4	1/4	2/2	2	1		I|PAC		C	I		I	I					PAC		M	0	0	0, 4, 1		0	0
6	6	22	22	1.0	1/2	1/2	2/2	2	1		I6		C	I		I6	I		6					M	0	0	4, 1, 0		0	4
6	6	23	23	1.0	3/4	3/4	2/2	2	1		I{		C	I		I	I						{	M	0	0	0, 4, 1		0	0
7	7	24	24	2.0	0	0	2/2	2	1		ii		C	I		ii	ii							m	0	0	2, -1, 3		2	2
7	7	26	26	1.0	1/2	1/2	2/2	2	1		V64		C	I		V64	V		64					M	0	0	2, 1, 5		1	2
7	7	27	27	1.0	3/4	3/4	2/2	2	1		V7		C	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
8	8	28	28	1.0	0	0	2/2	2	1		I(^2)		C	I		I(^2)	I			^2				M	0	0	0, 2, 1		0	0
8	8	29	29	1.0	1/4	1/4	2/2	2	1		I(#2)		C	I		I(#2)	I			#2				M	0	0	0, 9, 1		0	0
8	8	30	30	1.0	1/2	1/2	2/2	2	1		I		C	I		I	I							M	0	0	0, 4, 1		0	0
8	8	31	31	1.0	3/4	3/4	2/2	2	1		I6		C	I		I6	I		6					M	0	0	4, 1, 0		0	4
9	9	32	32	2.0	0	0	2/2	2	1		ii6		C	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
9	9	34	34	1.0	1/2	1/2	2/2	2	1		V		C	I		V	V							M	0	0	1, 5, 2		1	1
9	9	35	35	1.0	3/4	3/4	2/2	2	1		V2		C	I		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
10	10	36	36	1.0	0	0	2/2	2	1		I6(^7)		C	I		I6(^7)	I		6	^7				M	0	0	4, 1, 5		0	4
10	10	37	37	3.0	1/4	1/4	2/2	2	1		I6		C	I		I6	I		6					M	0	0	4, 1, 0		0	4
