mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	1.0	0	0	2/4	2	1	d.i{	d	i		i	i						{	m	1	1	0, -3, 1		0	0
1	1	1	1.0	1/4	1/4	2/4	2	1	V	d	i		V	V							M	1	1	1, 5, 2		1	1
2	2	2	1.0	0	0	2/4	2	1	i	d	i		i	i							m	1	1	0, -3, 1		0	0
2	2	3	1.0	1/4	1/4	2/4	2	1	iv	d	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
3	3	4	1.0	0	0	2/4	2	1	V(964)	d	i		V(964)	V			964				M	1	1	1, 0, -3	-4	1	1
3	3	5	1.0	1/4	1/4	2/4	2	1	V7	d	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
4	4	6	3.0	0	0	2/4	2	1	i|IAC}	d	i		i	i					IAC	}	m	1	1	0, -3, 1		0	0
5	5	8	0.0	0	0	2/4	2	1	{	d	i									{		1	1				
5	5	9	1.0	1/4	1/4	2/4	2	1	V	d	i		V	V							M	1	1	1, 5, 2		1	1
6	6	10	2.0	0	0	2/4	2	1	i6	d	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
7	7	12	1.0	0	0	2/4	2	1	v.V(64)	d	v		V(64)	V			64				M	1	1	1, 0, -3		1	1
7	7	13	1.0	1/4	1/4	2/4	2	1	V7	d	v		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
8	8	14	2.0	0	0	2/4	2	1	i|PAC}{	d	v		i	i					PAC	}{	m	1	1	0, -3, 1		0	0
9	9	16	2.0	0	0	2/4	2	1	V65(+9)	d	v		V65(+9)	V		65	+9				Mm7	1	1	5, 2, -1, 1	-4	1	5
10	10	18	2.0	0	0	2/4	2	1	i	d	v		i	i							m	1	1	0, -3, 1		0	0
11	11	20	2.0	0	0	2/4	2	1	V43	d	v		V43	V		43					Mm7	1	1	2, -1, 1, 5		1	2
12	12	22	2.0	0	0	2/4	2	1	i6	d	v		i6	i		6					m	1	1	-3, 1, 0		0	-3
13	13	24	1.0	0	0	2/4	2	1	ii%65	d	v		ii%65	ii	%	65					%7	1	1	-1, -4, 0, 2		2	-1
13	13	25	1.0	1/4	1/4	2/4	2	1	V(+4)	d	v		V(+4)	V			+4				M	1	1	1, 5, 2	0	1	1
14	14	26	1.0	0	0	2/4	2	1	VI|DC	d	v		VI	VI					DC		M	1	1	-4, 0, -3		-4	-4
14	14	27	1.0	1/4	1/4	2/4	2	1	i6	d	v		i6	i		6					m	1	1	-3, 1, 0		0	-3
15	15	28	1.0	0	0	2/4	2	1	ii%65	d	v		ii%65	ii	%	65					%7	1	1	-1, -4, 0, 2		2	-1
15	15	29	1.0	1/4	1/4	2/4	2	1	V	d	v		V	V							M	1	1	1, 5, 2		1	1
16	16	30	2.0	0	0	2/4	2	1	i|PAC}	d	v		i	i					PAC	}	m	1	1	0, -3, 1		0	0
17	17	32	1.0	0	0	2/4	2	1	III.I{	d	III		I	I						{	M	1	0	0, 4, 1		0	0
17	17	33	1.0	1/4	1/4	2/4	2	1	V6	d	III		V6	V		6					M	1	0	5, 2, 1		1	5
18	18	34	1.5	0	0	2/4	2	1	I	d	III		I	I							M	1	0	0, 4, 1		0	0
18	18	71/2	0.5	3/8	3/8	2/4	2	1	V6	d	III		V6	V		6					M	1	0	5, 2, 1		1	5
19	19	36	1.5	0	0	2/4	2	1	I	d	III		I	I							M	1	0	0, 4, 1		0	0
19	19	75/2	0.5	3/8	3/8	2/4	2	1	V6	d	III		V6	V		6					M	1	0	5, 2, 1		1	5
20	20	38	2.0	0	0	2/4	2	1	I	d	III		I	I							M	1	0	0, 4, 1		0	0
21	21	40	1.0	0	0	2/4	2	1	IV	d	III		IV	IV							M	1	0	-1, 3, 0		-1	-1
21	21	41	1.0	1/4	1/4	2/4	2	1	ii	d	III		ii	ii							m	1	0	2, -1, 3		2	2
22	22	42	1.0	0	0	2/4	2	1	V6	d	III		V6	V		6					M	1	0	5, 2, 1		1	5
22	22	43	1.0	1/4	1/4	2/4	2	1	V	d	III		V	V							M	1	0	1, 5, 2		1	1
23	23	44	1.0	0	0	2/4	2	1	I6	d	III		I6	I		6					M	1	0	4, 1, 0		0	4
23	23	45	1.0	1/4	1/4	2/4	2	1	I	d	III		I	I							M	1	0	0, 4, 1		0	0
24	24	46	1.0	0	0	2/4	2	1	vi	d	III		vi	vi							m	1	0	3, 0, 4		3	3
24	24	47	1.0	1/4	1/4	2/4	2	1	V	d	III		V	V							M	1	0	1, 5, 2		1	1
25	25	48	2.0	0	0	2/4	2	1	I|PAC}{	d	III		I	I					PAC	}{	M	1	0	0, 4, 1		0	0
26	26	50	1.0	0	0	2/4	2	1	V6/ii	d	III		V6/ii	V		6		ii			M	1	0	7, 4, 3		3	7
26	26	51	1.0	1/4	1/4	2/4	2	1	V/ii	d	III		V/ii	V				ii			M	1	0	3, 7, 4		3	3
27	27	52	2.0	0	0	2/4	2	1	i/ii	d	III		i/ii	i				ii			m	1	0	2, -1, 3		2	2
28	28	54	2.0	0	0	2/4	2	1	i.V7(+4)	d	i		V7(+4)	V		7	+4				Mm7	1	1	1, 5, 2, -1	0	1	1
29	29	56	2.0	0	0	2/4	2	1	i	d	i		i	i							m	1	1	0, -3, 1		0	0
30	30	58	1.0	0	0	2/4	2	1	iv6(+2)	d	i		iv6(+2)	iv		6	+2				m	1	1	-4, 0, -1	1	-1	-4
30	30	59	1.0	1/4	1/4	2/4	2	1	ii%43(+4)	d	i		ii%43(+4)	ii	%	43	+4				%7	1	1	-4, 0, 2, -1	1	2	-4
31	31	60	2.0	0	0	2/4	2	1	V7|HC}{	d	i		V7	V		7			HC	}{	Mm7	1	1	1, 5, 2, -1		1	1
32	32	62	2.0	0	0	2/4	2	1	V65	d	i		V65	V		65					Mm7	1	1	5, 2, -1, 1		1	5
33	33	64	2.0	0	0	2/4	2	1	i	d	i		i	i							m	1	1	0, -3, 1		0	0
34	34	66	2.0	0	0	2/4	2	1	V43	d	i		V43	V		43					Mm7	1	1	2, -1, 1, 5		1	2
35	35	68	2.0	0	0	2/4	2	1	i6	d	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
36	36	70	1.5	0	0	2/4	2	1	iv	d	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
36	36	143/2	0.5	3/8	3/8	2/4	2	1	iv7	d	i		iv7	iv		7					mm7	1	1	-1, -4, 0, -3		-1	-1
37	37	72	1.0	0	0	2/4	2	1	V(+4)	d	i		V(+4)	V			+4				M	1	1	1, 5, 2	0	1	1
37	37	73	0.5	1/4	1/4	2/4	2	1	iv6(+2)	d	i		iv6(+2)	iv		6	+2				m	1	1	-4, 0, -1	1	-1	-4
37	37	147/2	0.5	3/8	3/8	2/4	2	1	iv(+9)	d	i		iv(+9)	iv			+9				m	1	1	-1, -4, 0	1	-1	-1
38	38	74	1.0	0	0	2/4	2	1	V(64)	d	i		V(64)	V			64				M	1	1	1, 0, -3		1	1
38	38	75	1.0	1/4	1/4	2/4	2	1	V7(+4)	d	i		V7(+4)	V		7	+4				Mm7	1	1	1, 5, 2, -1	0	1	1
39	39	76	2.0	0	0	2/4	2	1	i|PAC}{	d	i		i	i					PAC	}{	m	1	1	0, -3, 1		0	0
40	40	78	2.0	0	0	2/4	2	1	V65	d	i		V65	V		65					Mm7	1	1	5, 2, -1, 1		1	5
41	41	80	2.0	0	0	2/4	2	1	i	d	i		i	i							m	1	1	0, -3, 1		0	0
42	42	82	2.0	0	0	2/4	2	1	V43	d	i		V43	V		43					Mm7	1	1	2, -1, 1, 5		1	2
43	43	84	2.0	0	0	2/4	2	1	i6	d	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
44	44	86	1.5	0	0	2/4	2	1	iv	d	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
44	44	175/2	0.5	3/8	3/8	2/4	2	1	iv7	d	i		iv7	iv		7					mm7	1	1	-1, -4, 0, -3		-1	-1
45	45	88	1.0	0	0	2/4	2	1	V(+4)	d	i		V(+4)	V			+4				M	1	1	1, 5, 2	0	1	1
45	45	89	0.5	1/4	1/4	2/4	2	1	iv6(+2)	d	i		iv6(+2)	iv		6	+2				m	1	1	-4, 0, -1	1	-1	-4
45	45	179/2	0.5	3/8	3/8	2/4	2	1	iv(+9)	d	i		iv(+9)	iv			+9				m	1	1	-1, -4, 0	1	-1	-1
46	46	90	1.0	0	0	2/4	2	1	V(64)	d	i		V(64)	V			64				M	1	1	1, 0, -3		1	1
46	46	91	1.0	1/4	1/4	2/4	2	1	V7(+4)	d	i		V7(+4)	V		7	+4				Mm7	1	1	1, 5, 2, -1	0	1	1
47	47	92	2.0	0	0	2/4	2	1	i|PAC}	d	i		i	i					PAC	}	m	1	1	0, -3, 1		0	0
