mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	0	2.5	0	5/8	3/4	2	1	f.i	f	i		i	i							m	1	1	0, -3, 1		0	0
2	1	1/2	1/2	0.0	0	0	3/4	2	1	{	f	i									{		1	1				
2	1	5/2	5/2	1.0	1/2	1/2	3/4	2	1	iv6	f	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
3	2	7/2	7/2	1.5	0	0	3/4	2	1	V	f	i		V	V							M	1	1	1, 5, 2		1	1
3	2	5	5	0.5	3/8	3/8	3/4	2	1	iio6	f	i		iio6	ii	o	6					o	1	1	-1, -4, 2		2	-1
3	2	11/2	11/2	1.0	1/2	1/2	3/4	2	1	i6	f	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
4	3	13/2	13/2	1.0	0	0	3/4	2	1	#viio6	f	i		#viio6	#vii	o	6					o	1	1	2, -1, 5		5	2
4	3	15/2	15/2	1.5	1/4	1/4	3/4	2	1	i	f	i		i	i							m	1	1	0, -3, 1		0	0
4	3	9	9	0.5	5/8	5/8	3/4	2	1	v6	f	i		v6	v		6					m	1	1	-2, 2, 1		1	-2
5	4	19/2	19/2	1.0	0	0	3/4	2	1	iv6	f	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
5	4	21/2	21/2	1.0	1/4	1/4	3/4	2	1	III6	f	i		III6	III		6					M	1	1	1, -2, -3		-3	1
5	4	23/2	23/2	1.0	1/2	1/2	3/4	2	1	viio6/III	f	i		viio6/III	vii	o	6		III			o	1	1	-1, -4, 2		2	-1
6	5	25/2	25/2	1.5	0	0	3/4	2	1	III.I	f	III		I	I							M	1	0	0, 4, 1		0	0
6	5	14	14	0.5	3/8	3/8	3/4	2	1	V6	f	III		V6	V		6					M	1	0	5, 2, 1		1	5
6	5	29/2	29/2	1.0	1/2	1/2	3/4	2	1	IV6	f	III		IV6	IV		6					M	1	0	3, 0, -1		-1	3
7	6	31/2	31/2	1.5	0	0	3/4	2	1	iii6	f	III		iii6	iii		6					m	1	0	1, 5, 4		4	1
7	6	17	17	0.5	3/8	3/8	3/4	2	1	ii6	f	III		ii6	ii		6					m	1	0	-1, 3, 2		2	-1
7	6	35/2	35/2	1.0	1/2	1/2	3/4	2	1	I6	f	III		I6	I		6					M	1	0	4, 1, 0		0	4
8	7	37/2	37/2	1.5	0	0	3/4	2	1	viio6	f	III		viio6	vii	o	6					o	1	0	2, -1, 5		5	2
8	7	20	20	0.5	3/8	3/8	3/4	2	1	vi6	f	III		vi6	vi		6					m	1	0	0, 4, 3		3	0
8	7	41/2	41/2	1.0	1/2	1/2	3/4	2	1	V6	f	III		V6	V		6					M	1	0	5, 2, 1		1	5
9	8	43/2	43/2	1.5	0	0	3/4	2	1	IV6	f	III		IV6	IV		6					M	1	0	3, 0, -1		-1	3
9	8	23	23	0.5	3/8	3/8	3/4	2	1	iii6	f	III		iii6	iii		6					m	1	0	1, 5, 4		4	1
9	8	47/2	47/2	1.0	1/2	1/2	3/4	2	1	ii6	f	III		ii6	ii		6					m	1	0	-1, 3, 2		2	-1
10	9	49/2	49/2	1.0	0	0	3/4	2	1	I6	f	III		I6	I		6					M	1	0	4, 1, 0		0	4
10	9	51/2	51/2	1.0	1/4	1/4	3/4	2	1	viio6	f	III		viio6	vii	o	6					o	1	0	2, -1, 5		5	2
10	9	53/2	53/2	1.0	1/2	1/2	3/4	2	1	V	f	III		V	V							M	1	0	1, 5, 2		1	1
11	10	55/2	55/2	2.0	0	0	3/4	2	1	I|IAC}	f	III		I	I					IAC	}	M	1	0	0, 4, 1		0	0
11	10	57/2	57/2	0.0	1/4	1/4	3/4	2	1	{	f	III									{		1	0				
11	10	59/2	59/2	1.0	1/2	1/2	3/4	2	1	viio6/V	f	III		viio6/V	vii	o	6		V			o	1	0	3, 0, 6		6	3
12	11	61/2	61/2	1.0	0	0	3/4	2	1	V	f	III		V	V							M	1	0	1, 5, 2		1	1
12	11	63/2	63/2	1.0	1/4	1/4	3/4	2	1	v.iv6	f	v		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
12	11	65/2	65/2	1.0	1/2	1/2	3/4	2	1	V7	f	v		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
13	12	67/2	67/2	1.5	0	0	3/4	2	1	i	f	v		i	i							m	1	1	0, -3, 1		0	0
13	12	35	35	0.5	3/8	3/8	3/4	2	1	v6	f	v		v6	v		6					m	1	1	-2, 2, 1		1	-2
13	12	71/2	71/2	1.0	1/2	1/2	3/4	2	1	iv6	f	v		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
14	13	73/2	73/2	1.0	0	0	3/4	2	1	v(4)	f	v		v(4)	v			4				m	1	1	1, 0, 2		1	1
14	13	75/2	75/2	1.0	1/4	1/4	3/4	2	1	v	f	v		v	v							m	1	1	1, -2, 2		1	1
14	13	77/2	77/2	1.0	1/2	1/2	3/4	2	1	V7/iv	f	v		V7/iv	V		7		iv			Mm7	1	1	0, 4, 1, -2		0	0
15	14	79/2	79/2	1.5	0	0	3/4	2	1	iv	f	v		iv	iv							m	1	1	-1, -4, 0		-1	-1
15	14	41	41	0.5	3/8	3/8	3/4	2	1	i6	f	v		i6	i		6					m	1	1	-3, 1, 0		0	-3
15	14	83/2	83/2	1.0	1/2	1/2	3/4	2	1	VII6	f	v		VII6	VII		6					M	1	1	2, -1, -2		-2	2
16	15	85/2	85/2	1.5	0	0	3/4	2	1	VI6	f	v		VI6	VI		6					M	1	1	0, -3, -4		-4	0
16	15	44	44	0.5	3/8	3/8	3/4	2	1	v6	f	v		v6	v		6					m	1	1	-2, 2, 1		1	-2
16	15	89/2	89/2	1.0	1/2	1/2	3/4	2	1	iv6	f	v		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
17	16	91/2	91/2	2.0	0	0	3/4	2	1	V|HC}	f	v		V	V					HC	}	M	1	1	1, 5, 2		1	1
17	16	93/2	93/2	0.0	1/4	1/4	3/4	2	1	{	f	v									{		1	1				
17	16	95/2	95/2	1.0	1/2	1/2	3/4	2	1	VI6	f	v		VI6	VI		6					M	1	1	0, -3, -4		-4	0
18	17	97/2	97/2	2.0	0	0	3/4	2	1	V65	f	v		V65	V		65					Mm7	1	1	5, 2, -1, 1		1	5
18	17	101/2	101/2	1.0	1/2	1/2	3/4	2	1	iv43	f	v		iv43	iv		43					mm7	1	1	0, -3, -1, -4		-1	0
19	18	103/2	103/2	2.0	0	0	3/4	2	1	V65	f	v		V65	V		65					Mm7	1	1	5, 2, -1, 1		1	5
19	18	107/2	107/2	1.0	1/2	1/2	3/4	2	1	iv43	f	v		iv43	iv		43					mm7	1	1	0, -3, -1, -4		-1	0
20	19	109/2	109/2	2.0	0	0	3/4	2	1	V65	f	v		V65	V		65					Mm7	1	1	5, 2, -1, 1		1	5
20	19	113/2	113/2	1.0	1/2	1/2	3/4	2	1	V43/iv	f	v		V43/iv	V		43		iv			Mm7	1	1	1, -2, 0, 4		0	1
21	20	115/2	115/2	2.0	0	0	3/4	2	1	iv6	f	v		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
21	20	119/2	119/2	1.0	1/2	1/2	3/4	2	1	V43/iv	f	v		V43/iv	V		43		iv			Mm7	1	1	1, -2, 0, 4		0	1
22	21	121/2	121/2	2.0	0	0	3/4	2	1	iv6	f	v		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
22	21	125/2	125/2	1.0	1/2	1/2	3/4	2	1	V43/iv	f	v		V43/iv	V		43		iv			Mm7	1	1	1, -2, 0, 4		0	1
23	22	127/2	127/2	1.5	0	0	3/4	2	1	iv6	f	v		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
23	22	65	65	0.5	3/8	3/8	3/4	2	1	III6	f	v		III6	III		6					M	1	1	1, -2, -3		-3	1
