mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	label_type
1	1	0	0	4/4	2	1	G.I	1 (dcml)
1	1	7/8	7/8	4/4	2	1	V	1 (dcml)
2	2	0	0	4/4	2	1	I	1 (dcml)
2	2	3/8	3/8	4/4	2	1	V6	1 (dcml)
2	2	1/2	1/2	4/4	2	1	I	1 (dcml)
2	2	7/8	7/8	4/4	2	1	V	1 (dcml)
3	3	0	0	4/4	2	1	I6	1 (dcml)
3	3	3/8	3/8	4/4	2	1	viio6	1 (dcml)
3	3	1/2	1/2	4/4	2	1	I6	1 (dcml)
3	3	3/4	3/4	4/4	2	1	V64	1 (dcml)
3	3	7/8	7/8	4/4	2	1	I	1 (dcml)
4	4	0	0	4/4	2	1	V6	1 (dcml)
4	4	1/4	1/4	4/4	2	1	V	1 (dcml)
4	4	1/2	1/2	4/4	2	1	I	1 (dcml)
4	4	3/4	3/4	4/4	2	1	viio	1 (dcml)
4	4	7/8	7/8	4/4	2	1	I	1 (dcml)
5	5	0	0	4/4	2	1	V	1 (dcml)
5	5	3/8	3/8	4/4	2	1	V/V	1 (dcml)
5	5	1/2	1/2	4/4	2	1	V	1 (dcml)
5	5	7/8	7/8	4/4	2	1	V/V	1 (dcml)
6	6	0	0	4/4	2	1	V	1 (dcml)
6	6	3/8	3/8	4/4	2	1	V/V	1 (dcml)
6	6	1/2	1/2	4/4	2	1	v	1 (dcml)
7	7	0	0	4/4	2	1	d.i(64)	1 (dcml)
7	7	1/4	1/4	4/4	2	1	i(4)	1 (dcml)
8	8	0	0	4/4	2	1	iv	1 (dcml)
8	8	3/8	3/8	4/4	2	1	iv7	1 (dcml)
8	8	1/2	1/2	4/4	2	1	V	1 (dcml)
9	9	0	0	4/4	2	1	V	1 (dcml)
9	9	1/8	1/8	4/4	2	1	V(64)	1 (dcml)
9	9	1/4	1/4	4/4	2	1	V7	1 (dcml)
9	9	3/8	3/8	4/4	2	1	V(6)	1 (dcml)
9	9	1/2	1/2	4/4	2	1	V7	1 (dcml)
9	9	5/8	5/8	4/4	2	1	V(64)	1 (dcml)
9	9	3/4	3/4	4/4	2	1	V7	1 (dcml)
9	9	7/8	7/8	4/4	2	1	V(4)	1 (dcml)
10	10	0	0	4/4	2	1	V7	1 (dcml)
10	10	1/8	1/8	4/4	2	1	V(64)	1 (dcml)
10	10	1/4	1/4	4/4	2	1	D.V7	1 (dcml)
10	10	3/8	3/8	4/4	2	1	V(64)	1 (dcml)
10	10	1/2	1/2	4/4	2	1	V7	1 (dcml)
10	10	5/8	5/8	4/4	2	1	V(64)	1 (dcml)
10	10	3/4	3/4	4/4	2	1	V7	1 (dcml)
10	10	7/8	7/8	4/4	2	1	V(64)	1 (dcml)
11	11	0	0	4/4	2	1	V65	1 (dcml)
11	11	1/4	1/4	4/4	2	1	V	1 (dcml)
11	11	3/8	3/8	4/4	2	1	V2	1 (dcml)
11	11	1/2	1/2	4/4	2	1	I6	1 (dcml)
11	11	5/8	5/8	4/4	2	1	ii6	1 (dcml)
11	11	3/4	3/4	4/4	2	1	V(64)	1 (dcml)
11	11	7/8	7/8	4/4	2	1	V	1 (dcml)
12	12	0	0	4/4	2	1	I	1 (dcml)
12	12	3/8	3/8	4/4	2	1	V	1 (dcml)
12	12	1/2	1/2	4/4	2	1	I	1 (dcml)
12	12	7/8	7/8	4/4	2	1	V	1 (dcml)
13	13	0	0	4/4	2	1	I6	1 (dcml)
13	13	1/8	1/8	4/4	2	1	ii6	1 (dcml)
13	13	1/4	1/4	4/4	2	1	V(64)	1 (dcml)
13	13	3/8	3/8	4/4	2	1	V	1 (dcml)
13	13	1/2	1/2	4/4	2	1	I	1 (dcml)
14	14	0	0	4/4	2	1	I	1 (dcml)
15	15	0	0	4/4	2	1	I	1 (dcml)
15	15	7/8	7/8	4/4	2	1	V	1 (dcml)
