mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	1.0	0	0	2/4	2	1		f.i{		f	i		i	i						{	m	1	1	0, -3, 1		0	0
1	1	1	1	1.0	1/4	1/4	2/4	2	1		#viio6		f	i		#viio6	#vii	o	6					o	1	1	2, -1, 5		5	2
2	2	2	2	1.5	0	0	2/4	2	1		i6		f	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
2	2	7/2	7/2	0.5	3/8	3/8	2/4	2	1		i		f	i		i	i							m	1	1	0, -3, 1		0	0
3	3	4	4	0.5	0	0	2/4	2	1		iio6		f	i		iio6	ii	o	6					o	1	1	-1, -4, 2		2	-1
3	3	9/2	9/2	0.5	1/8	1/8	2/4	2	1		i6		f	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
3	3	5	5	0.5	1/4	1/4	2/4	2	1		#viio6		f	i		#viio6	#vii	o	6					o	1	1	2, -1, 5		5	2
3	3	11/2	11/2	0.5	3/8	3/8	2/4	2	1		i		f	i		i	i							m	1	1	0, -3, 1		0	0
4	4	6	6	2.0	0	0	2/4	2	1		V|HC}		f	i		V	V					HC	}	M	1	1	1, 5, 2		1	1
5	5	8	8	1.0	0	0	2/4	2	1		i{		f	i		i	i						{	m	1	1	0, -3, 1		0	0
5	5	9	9	1.0	1/4	1/4	2/4	2	1		#viio6		f	i		#viio6	#vii	o	6					o	1	1	2, -1, 5		5	2
6	6	10	10	1.5	0	0	2/4	2	1		i6		f	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
6	6	23/2	23/2	0.5	3/8	3/8	2/4	2	1		i		f	i		i	i							m	1	1	0, -3, 1		0	0
7	7	12	12	1.0	0	0	2/4	2	1		iio6		f	i		iio6	ii	o	6					o	1	1	-1, -4, 2		2	-1
7	7	13	13	0.5	1/4	1/4	2/4	2	1		V(64)		f	i		V(64)	V			64				M	1	1	1, 0, -3		1	1
7	7	27/2	27/2	0.5	3/8	3/8	2/4	2	1		V		f	i		V	V							M	1	1	1, 5, 2		1	1
8	8	14	14	2.0	0	0	2/4	2	1		i|PAC}		f	i		i	i					PAC	}	m	1	1	0, -3, 1		0	0
8	8	31/2	31/2	0.0	3/8	3/8	2/4	2	1		{		f	i									{		1	1				
9	9	16	16	2.0	0	0	2/4	2	1		iv64		f	i		iv64	iv		64					m	1	1	0, -1, -4		-1	0
10	10	18	18	0.5	0	0	2/4	2	1		i(64)		f	i		i(64)	i			64				m	1	1	0, -1, -4		0	0
10	10	37/2	37/2	1.5	1/8	1/8	2/4	2	1		i		f	i		i	i							m	1	1	0, -3, 1		0	0
11	11	20	20	2.0	0	0	2/4	2	1		iv64		f	i		iv64	iv		64					m	1	1	0, -1, -4		-1	0
12	12	22	22	0.5	0	0	2/4	2	1		i(64)		f	i		i(64)	i			64				m	1	1	0, -1, -4		0	0
12	12	45/2	45/2	1.5	1/8	1/8	2/4	2	1		i		f	i		i	i							m	1	1	0, -3, 1		0	0
13	13	24	24	0.5	0	0	2/4	2	1		III.ii6		f	III		ii6	ii		6					m	1	0	-1, 3, 2		2	-1
13	13	49/2	49/2	0.5	1/8	1/8	2/4	2	1		I6		f	III		I6	I		6					M	1	0	4, 1, 0		0	4
13	13	25	25	0.5	1/4	1/4	2/4	2	1		viio6		f	III		viio6	vii	o	6					o	1	0	2, -1, 5		5	2
13	13	51/2	51/2	0.5	3/8	3/8	2/4	2	1		vi6		f	III		vi6	vi		6					m	1	0	0, 4, 3		3	0
14	14	26	26	0.5	0	0	2/4	2	1		V6		f	III		V6	V		6					M	1	0	5, 2, 1		1	5
14	14	53/2	53/2	0.5	1/8	1/8	2/4	2	1		IV6		f	III		IV6	IV		6					M	1	0	3, 0, -1		-1	3
14	14	27	27	0.5	1/4	1/4	2/4	2	1		iii6		f	III		iii6	iii		6					m	1	0	1, 5, 4		4	1
14	14	55/2	55/2	0.5	3/8	3/8	2/4	2	1		ii6		f	III		ii6	ii		6					m	1	0	-1, 3, 2		2	-1
15	15	28	28	1.0	0	0	2/4	2	1		I6		f	III		I6	I		6					M	1	0	4, 1, 0		0	4
15	15	29	29	0.5	1/4	1/4	2/4	2	1		ii6		f	III		ii6	ii		6					m	1	0	-1, 3, 2		2	-1
15	15	59/2	59/2	0.5	3/8	3/8	2/4	2	1		viio/V		f	III		viio/V	vii	o			V			o	1	0	6, 3, 0		6	6
16	16	30	30	1.0	0	0	2/4	2	1		V|HC}		f	III		V	V					HC	}	M	1	0	1, 5, 2		1	1
16	16	31	31	1.0	1/4	1/4	2/4	2	1		V7		f	III		V7	V		7					Mm7	1	0	1, 5, 2, -1		1	1
17	17	32	32	1.0	0	0	2/4	2	1		I6		f	III		I6	I		6					M	1	0	4, 1, 0		0	4
17	17	33	33	1.0	1/4	1/4	2/4	2	1		viio		f	III		viio	vii	o						o	1	0	5, 2, -1		5	5
18	18	34	34	0.5	0	0	2/4	2	1		I6{		f	III		I6	I		6				{	M	1	0	4, 1, 0		0	4
18	18	69/2	69/2	0.5	1/8	1/8	2/4	2	1		vii		f	III		vii	vii							m	1	0	5, 2, 6		5	5
18	18	35	35	0.5	1/4	1/4	2/4	2	1		I		f	III		I	I							M	1	0	0, 4, 1		0	0
18	18	71/2	71/2	0.5	3/8	3/8	2/4	2	1		V		f	III		V	V							M	1	0	1, 5, 2		1	1
19	19	36	36	0.5	0	0	2/4	2	1		vi		f	III		vi	vi							m	1	0	3, 0, 4		3	3
19	19	73/2	73/2	0.5	1/8	1/8	2/4	2	1		iii		f	III		iii	iii							m	1	0	4, 1, 5		4	4
19	19	37	37	0.5	1/4	1/4	2/4	2	1		IV		f	III		IV	IV							M	1	0	-1, 3, 0		-1	-1
19	19	75/2	75/2	0.5	3/8	3/8	2/4	2	1		I		f	III		I	I							M	1	0	0, 4, 1		0	0
20	20	38	38	2.0	0	0	2/4	2	1		V		f	III		V	V							M	1	0	1, 5, 2		1	1
21	21	40	40	0.5	0	0	2/4	2	1		I		f	III		I	I							M	1	0	0, 4, 1		0	0
21	21	81/2	81/2	0.5	1/8	1/8	2/4	2	1		V7		f	III		V7	V		7					Mm7	1	0	1, 5, 2, -1		1	1
21	21	41	41	0.5	1/4	1/4	2/4	2	1		I		f	III		I	I							M	1	0	0, 4, 1		0	0
21	21	83/2	83/2	0.5	3/8	3/8	2/4	2	1		V		f	III		V	V							M	1	0	1, 5, 2		1	1
22	22	42	42	0.5	0	0	2/4	2	1		vi		f	III		vi	vi							m	1	0	3, 0, 4		3	3
22	22	85/2	85/2	0.5	1/8	1/8	2/4	2	1		iii		f	III		iii	iii							m	1	0	4, 1, 5		4	4
22	22	43	43	0.5	1/4	1/4	2/4	2	1		IV		f	III		IV	IV							M	1	0	-1, 3, 0		-1	-1
22	22	87/2	87/2	0.5	3/8	3/8	2/4	2	1		I		f	III		I	I							M	1	0	0, 4, 1		0	0
23	23	44	44	1.5	0	0	2/4	2	1		V		f	III		V	V							M	1	0	1, 5, 2		1	1
23	23	91/2	91/2	0.5	3/8	3/8	2/4	2	1		V6	viio	f	III		V6	V		6					M	1	0	5, 2, 1		1	5
24	24	46	46	0.5	0	0	2/4	2	1		I		f	III		I	I							M	1	0	0, 4, 1		0	0
24	24	93/2	93/2	0.5	1/8	1/8	2/4	2	1		IV		f	III		IV	IV							M	1	0	-1, 3, 0		-1	-1
24	24	47	47	0.5	1/4	1/4	2/4	2	1		V(64)		f	III		V(64)	V			64				M	1	0	1, 0, 4		1	1
24	24	95/2	95/2	0.5	3/8	3/8	2/4	2	1		V		f	III		V	V							M	1	0	1, 5, 2		1	1
25	25	48	48	1.5	0	0	2/4	2	1		I|PAC}{		f	III		I	I					PAC	}{	M	1	0	0, 4, 1		0	0
25	25	99/2	99/2	0.5	3/8	3/8	2/4	2	1		viio6/V		f	III		viio6/V	vii	o	6		V			o	1	0	3, 0, 6		6	3
26	26	50	50	1.0	0	0	2/4	2	1		V6		f	III		V6	V		6					M	1	0	5, 2, 1		1	5
26	26	51	51	1.0	1/4	1/4	2/4	2	1		V6/V	V65/V	f	III		V6/V	V		6		V			M	1	0	6, 3, 2		2	6
27	27	52	52	1.0	0	0	2/4	2	1		V2	viio64	f	III		V2	V		2					Mm7	1	0	-1, 1, 5, 2		1	-1
27	27	53	53	0.5	1/4	1/4	2/4	2	1		I6		f	III		I6	I		6					M	1	0	4, 1, 0		0	4
27	27	107/2	107/2	0.5	3/8	3/8	2/4	2	1		viio		f	III		viio	vii	o						o	1	0	5, 2, -1		5	5
28	28	54	54	1.5	0	0	2/4	2	1		I		f	III		I	I							M	1	0	0, 4, 1		0	0
28	28	111/2	111/2	0.5	3/8	3/8	2/4	2	1		IV		f	III		IV	IV							M	1	0	-1, 3, 0		-1	-1
29	29	56	56	2.0	0	0	2/4	2	1		V		f	III		V	V							M	1	0	1, 5, 2		1	1
30	30	58	58	0.5	0	0	2/4	2	1		I		f	III		I	I							M	1	0	0, 4, 1		0	0
30	30	117/2	117/2	0.5	1/8	1/8	2/4	2	1		IV		f	III		IV	IV							M	1	0	-1, 3, 0		-1	-1
30	30	59	59	0.5	1/4	1/4	2/4	2	1		V(64)		f	III		V(64)	V			64				M	1	0	1, 0, 4		1	1
30	30	119/2	119/2	0.5	3/8	3/8	2/4	2	1		V		f	III		V	V							M	1	0	1, 5, 2		1	1
31	31	60	60	1.5	0	0	2/4	2	1		I|PAC}{		f	III		I	I					PAC	}{	M	1	0	0, 4, 1		0	0
31	31	123/2	123/2	0.5	3/8	3/8	2/4	2	1		V6		f	III		V6	V		6					M	1	0	5, 2, 1		1	5
32	32	62	62	1.5	0	0	2/4	2	1		I		f	III		I	I							M	1	0	0, 4, 1		0	0
32	32	127/2	127/2	0.5	3/8	3/8	2/4	2	1		V6		f	III		V6	V		6					M	1	0	5, 2, 1		1	5
33	33	64	64	0.5	0	0	2/4	2	1		I		f	III		I	I							M	1	0	0, 4, 1		0	0
33	33	129/2	129/2	0.5	1/8	1/8	2/4	2	1		IV		f	III		IV	IV							M	1	0	-1, 3, 0		-1	-1
33	33	65	65	0.5	1/4	1/4	2/4	2	1		V(64)		f	III		V(64)	V			64				M	1	0	1, 0, 4		1	1
