mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
11	11	40	1.0	0	0	4/4	2	1	V		Bb	V		V	V								M	0	0	1, 5, 2		1	1
11	11	41	0.5	1/4	1/4	4/4	2	1	viio6(^4)/V		Bb	V		viio6(^4)/V	vii	o	6	^4	V				o	0	0	3, 5, 6		6	3
11	11	83/2	0.5	3/8	3/8	4/4	2	1	viio6/V		Bb	V		viio6/V	vii	o	6		V				o	0	0	3, 0, 6		6	3
11	11	42	1.0	1/2	1/2	4/4	2	1	V		Bb	V		V	V								M	0	0	1, 5, 2		1	1
11	11	43	0.5	3/4	3/4	4/4	2	1	viio6(^4)/V		Bb	V		viio6(^4)/V	vii	o	6	^4	V				o	0	0	3, 5, 6		6	3
11	11	87/2	0.5	7/8	7/8	4/4	2	1	viio6/V		Bb	V		viio6/V	vii	o	6		V				o	0	0	3, 0, 6		6	3
12	12	44	2.0	0	0	4/4	2	1	V[V|HC}{		Bb	V	V	V	V						HC	}{	M	0	0	1, 5, 2		1	1
12	12	46	2.0	1/2	1/2	4/4	2	1	i		Bb	V		i	i								m	0	0	0, -3, 1		0	0
13	13	48	2.0	0	0	4/4	2	1	V		Bb	V		V	V								M	0	0	1, 5, 2		1	1
13	13	50	2.0	1/2	1/2	4/4	2	1	i		Bb	V		i	i								m	0	0	0, -3, 1		0	0
14	14	52	2.0	0	0	4/4	2	1	V		Bb	V		V	V								M	0	0	1, 5, 2		1	1
14	14	54	2.0	1/2	1/2	4/4	2	1	i		Bb	V		i	i								m	0	0	0, -3, 1		0	0
15	15	56	1.5	0	0	4/4	2	1	V		Bb	V		V	V								M	0	0	1, 5, 2		1	1
15	15	115/2	0.5	3/8	3/8	4/4	2	1	V(64)/i		Bb	V		V(64)/i	V			64	i				M	0	0	1, 0, -3		1	1
15	15	58	0.5	1/2	1/2	4/4	2	1	V		Bb	V		V	V								M	0	0	1, 5, 2		1	1
15	15	117/2	0.5	5/8	5/8	4/4	2	1	V(64)/i		Bb	V		V(64)/i	V			64	i				M	0	0	1, 0, -3		1	1
15	15	59	0.5	3/4	3/4	4/4	2	1	V7		Bb	V		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
15	15	119/2	0.5	7/8	7/8	4/4	2	1	V(64)/i		Bb	V		V(64)/i	V			64	i				M	0	0	1, 0, -3		1	1
16	16	60	1.5	0	0	4/4	2	1	V		Bb	V		V	V								M	0	0	1, 5, 2		1	1
16	16	123/2	0.5	3/8	3/8	4/4	2	1	V(64)/i		Bb	V		V(64)/i	V			64	i				M	0	0	1, 0, -3		1	1
16	16	62	0.5	1/2	1/2	4/4	2	1	V		Bb	V		V	V								M	0	0	1, 5, 2		1	1
16	16	125/2	0.5	5/8	5/8	4/4	2	1	V(64)/i		Bb	V		V(64)/i	V			64	i				M	0	0	1, 0, -3		1	1
16	16	63	0.5	3/4	3/4	4/4	2	1	V		Bb	V		V	V								M	0	0	1, 5, 2		1	1
16	16	127/2	0.5	7/8	7/8	4/4	2	1	V(64)/i		Bb	V		V(64)/i	V			64	i				M	0	0	1, 0, -3		1	1
17	17	64	1.5	0	0	4/4	2	1	V]		Bb	V		V	V					]			M	0	0	1, 5, 2		1	1
17	17	131/2	0.5	3/8	3/8	4/4	2	1	#viio65/iv		Bb	V		#viio65/iv	#vii	o	65		iv				o7	0	0	1, -2, -5, 4		4	1
17	17	66	1.5	1/2	1/2	4/4	2	1	iv6		Bb	V		iv6	iv		6						m	0	0	-4, 0, -1		-1	-4
17	17	135/2	0.5	7/8	7/8	4/4	2	1	#viio6/iv		Bb	V		#viio6/iv	#vii	o	6		iv				o	0	0	1, -2, 4		4	1
18	18	68	1.5	0	0	4/4	2	1	iv6		Bb	V		iv6	iv		6						m	0	0	-4, 0, -1		-1	-4
18	18	139/2	0.5	3/8	3/8	4/4	2	1	#viio6/iv		Bb	V		#viio6/iv	#vii	o	6		iv				o	0	0	1, -2, 4		4	1
18	18	70	3.0	1/2	1/2	4/4	2	1	iv6		Bb	V		iv6	iv		6						m	0	0	-4, 0, -1		-1	-4
19	19	73	0.5	1/4	1/4	4/4	2	1	viio		Bb	V		viio	vii	o							o	0	0	5, 2, -1		5	5
19	19	147/2	0.5	3/8	3/8	4/4	2	1	i		Bb	V		i	i								m	0	0	0, -3, 1		0	0
19	19	74	0.5	1/2	1/2	4/4	2	1	V[V7		Bb	V	V	V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
19	19	149/2	0.5	5/8	5/8	4/4	2	1	V(64)/i		Bb	V		V(64)/i	V			64	i				M	0	0	1, 0, -3		1	1
19	19	75	0.5	3/4	3/4	4/4	2	1	V		Bb	V		V	V								M	0	0	1, 5, 2		1	1
19	19	151/2	0.5	7/8	7/8	4/4	2	1	iio/V		Bb	V		iio/V	ii	o			V				o	0	0	3, 0, -3		3	3
20	20	76	0.5	0	0	4/4	2	1	V7		Bb	V		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
20	20	153/2	0.5	1/8	1/8	4/4	2	1	V(64)/i		Bb	V		V(64)/i	V			64	i				M	0	0	1, 0, -3		1	1
20	20	77	0.5	1/4	1/4	4/4	2	1	V		Bb	V		V	V								M	0	0	1, 5, 2		1	1
20	20	155/2	0.5	3/8	3/8	4/4	2	1	V(64)/i		Bb	V		V(64)/i	V			64	i				M	0	0	1, 0, -3		1	1
20	20	78	0.5	1/2	1/2	4/4	2	1	V7		Bb	V		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
20	20	157/2	0.5	5/8	5/8	4/4	2	1	V(64)/i		Bb	V		V(64)/i	V			64	i				M	0	0	1, 0, -3		1	1
20	20	79	0.5	3/4	3/4	4/4	2	1	V		Bb	V		V	V								M	0	0	1, 5, 2		1	1
20	20	159/2	0.5	7/8	7/8	4/4	2	1	V(64)/i		Bb	V		V(64)/i	V			64	i				M	0	0	1, 0, -3		1	1
21	21	80	0.5	0	0	4/4	2	1	V7}		Bb	V		V7	V		7					}	Mm7	0	0	1, 5, 2, -1		1	1
21	21	161/2	0.5	1/8	1/8	4/4	2	1	V(64)/i		Bb	V		V(64)/i	V			64	i				M	0	0	1, 0, -3		1	1
21	21	81	3.0	1/4	1/4	4/4	2	1	V]|HC		Bb	V		V	V					]	HC		M	0	0	1, 5, 2		1	1
22	22	84	1.0	0	0	4/4	2	1	V7{		Bb	V		V7	V		7					{	Mm7	0	0	1, 5, 2, -1		1	1
22	22	85	1.0	1/4	1/4	4/4	2	1	V65	viio	Bb	V		V65	V		65						Mm7	0	0	5, 2, -1, 1		1	5
22	22	86	1.0	1/2	1/2	4/4	2	1	I		Bb	V		I	I								M	0	0	0, 4, 1		0	0
22	22	87	1.0	3/4	3/4	4/4	2	1	ii6	IV	Bb	V		ii6	ii		6						m	0	0	-1, 3, 2		2	-1
23	23	88	1.0	0	0	4/4	2	1	V(64)		Bb	V		V(64)	V			64					M	0	0	1, 0, 4		1	1
23	23	89	1.0	1/4	1/4	4/4	2	1	V7		Bb	V		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
23	23	90	1.0	1/2	1/2	4/4	2	1	I|PAC}{		Bb	V		I	I						PAC	}{	M	0	0	0, 4, 1		0	0
23	23	91	1.0	3/4	3/4	4/4	2	1	I6		Bb	V		I6	I		6						M	0	0	4, 1, 0		0	4
24	24	92	1.0	0	0	4/4	2	1	IV		Bb	V		IV	IV								M	0	0	-1, 3, 0		-1	-1
24	24	93	1.0	1/4	1/4	4/4	2	1	I6		Bb	V		I6	I		6						M	0	0	4, 1, 0		0	4
24	24	94	1.0	1/2	1/2	4/4	2	1	ii	viio6	Bb	V		ii	ii								m	0	0	2, -1, 3		2	2
24	24	95	1.0	3/4	3/4	4/4	2	1	I		Bb	V		I	I								M	0	0	0, 4, 1		0	0
25	25	96	1.0	0	0	4/4	2	1	ii6		Bb	V		ii6	ii		6						m	0	0	-1, 3, 2		2	-1
25	25	97	1.0	1/4	1/4	4/4	2	1	IV6	vi	Bb	V		IV6	IV		6						M	0	0	3, 0, -1		-1	3
25	25	98	1.0	1/2	1/2	4/4	2	1	V		Bb	V		V	V								M	0	0	1, 5, 2		1	1
25	25	99	1.0	3/4	3/4	4/4	2	1	I6		Bb	V		I6	I		6						M	0	0	4, 1, 0		0	4
26	26	100	0.5	0	0	4/4	2	1	V		Bb	V		V	V								M	0	0	1, 5, 2		1	1
26	26	201/2	0.5	1/8	1/8	4/4	2	1	V7		Bb	V		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
26	26	101	0.5	1/4	1/4	4/4	2	1	V(64)		Bb	V		V(64)	V			64					M	0	0	1, 0, 4		1	1
26	26	203/2	0.5	3/8	3/8	4/4	2	1	V		Bb	V		V	V								M	0	0	1, 5, 2		1	1
26	26	102	1.0	1/2	1/2	4/4	2	1	I|IAC}{		Bb	V		I	I						IAC	}{	M	0	0	0, 4, 1		0	0
26	26	103	1.0	3/4	3/4	4/4	2	1	I6		Bb	V		I6	I		6						M	0	0	4, 1, 0		0	4
27	27	104	1.0	0	0	4/4	2	1	IV		Bb	V		IV	IV								M	0	0	-1, 3, 0		-1	-1
27	27	105	1.0	1/4	1/4	4/4	2	1	I6		Bb	V		I6	I		6						M	0	0	4, 1, 0		0	4
27	27	106	1.0	1/2	1/2	4/4	2	1	ii	viio6	Bb	V		ii	ii								m	0	0	2, -1, 3		2	2
27	27	107	1.0	3/4	3/4	4/4	2	1	I		Bb	V		I	I								M	0	0	0, 4, 1		0	0
28	28	108	1.0	0	0	4/4	2	1	ii6		Bb	V		ii6	ii		6						m	0	0	-1, 3, 2		2	-1
28	28	109	1.0	1/4	1/4	4/4	2	1	IV6	vi	Bb	V		IV6	IV		6						M	0	0	3, 0, -1		-1	3
28	28	110	1.0	1/2	1/2	4/4	2	1	V		Bb	V		V	V								M	0	0	1, 5, 2		1	1
28	28	111	0.5	3/4	3/4	4/4	2	1	I6		Bb	V		I6	I		6						M	0	0	4, 1, 0		0	4
28	28	223/2	0.5	7/8	7/8	4/4	2	1	IV		Bb	V		IV	IV								M	0	0	-1, 3, 0		-1	-1
29	29	112	1.0	0	0	4/4	2	1	V(64)		Bb	V		V(64)	V			64					M	0	0	1, 0, 4		1	1
29	29	113	1.0	1/4	1/4	4/4	2	1	V		Bb	V		V	V								M	0	0	1, 5, 2		1	1
29	29	114	2.0	1/2	1/2	4/4	2	1	I|PAC}{		Bb	V		I	I						PAC	}{	M	0	0	0, 4, 1		0	0
30	30	116	2.0	0	0	4/4	2	1	V		Bb	V		V	V								M	0	0	1, 5, 2		1	1
30	30	118	2.0	1/2	1/2	4/4	2	1	I		Bb	V		I	I								M	0	0	0, 4, 1		0	0
31	31	120	2.0	0	0	4/4	2	1	V		Bb	V		V	V								M	0	0	1, 5, 2		1	1
31	31	122	2.0	1/2	1/2	4/4	2	1	I		Bb	V		I	I								M	0	0	0, 4, 1		0	0
32	32	124	2.0	0	0	4/4	2	1	V		Bb	V		V	V								M	0	0	1, 5, 2		1	1
32	32	126	2.0	1/2	1/2	4/4	2	1	I		Bb	V		I	I								M	0	0	0, 4, 1		0	0
33	33	128	2.0	0	0	4/4	2	1	V		Bb	V		V	V								M	0	0	1, 5, 2		1	1
33	33	130	1.0	1/2	1/2	4/4	2	1	I|PAC}{		Bb	V		I	I						PAC	}{	M	0	0	0, 4, 1		0	0
33	33	131	1.0	3/4	3/4	4/4	2	1	IV		Bb	V		IV	IV								M	0	0	-1, 3, 0		-1	-1
34	34	132	1.0	0	0	4/4	2	1	V(64)		Bb	V		V(64)	V			64					M	0	0	1, 0, 4		1	1
34	34	133	0.5	1/4	1/4	4/4	2	1	V7(4)		Bb	V		V7(4)	V		7	4					Mm7	0	0	1, 0, 2, -1		1	1
34	34	267/2	0.5	3/8	3/8	4/4	2	1	V7		Bb	V		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
34	34	134	1.0	1/2	1/2	4/4	2	1	I		Bb	V		I	I								M	0	0	0, 4, 1		0	0
34	34	135	1.0	3/4	3/4	4/4	2	1	IV		Bb	V		IV	IV								M	0	0	-1, 3, 0		-1	-1
35	35	136	1.5	0	0	4/4	2	1	V(4)		Bb	V		V(4)	V			4					M	0	0	1, 0, 2		1	1
35	35	275/2	0.5	3/8	3/8	4/4	2	1	V		Bb	V		V	V								M	0	0	1, 5, 2		1	1
35	35	138	1.0	1/2	1/2	4/4	2	1	I		Bb	V		I	I								M	0	0	0, 4, 1		0	0
35	35	139	1.0	3/4	3/4	4/4	2	1	IV		Bb	V		IV	IV								M	0	0	-1, 3, 0		-1	-1
36	36	140	1.5	0	0	4/4	2	1	V(4)		Bb	V		V(4)	V			4					M	0	0	1, 0, 2		1	1
36	36	283/2	0.5	3/8	3/8	4/4	2	1	V		Bb	V		V	V								M	0	0	1, 5, 2		1	1
36	36	142	4.0	1/2	1/2	4/4	2	1	I|PAC}		Bb	V		I	I						PAC	}	M	0	0	0, 4, 1		0	0
37	37	144	0.0	0	0	4/4	2	1	{		Bb	V										{		0	0				
37	37	146	1.0	1/2	1/2	4/4	2	1	V6		Bb	V		V6	V		6						M	0	0	5, 2, 1		1	5
37	37	147	1.0	3/4	3/4	4/4	2	1	V		Bb	V		V	V								M	0	0	1, 5, 2		1	1
38	38	148	1.5	0	0	4/4	2	1	vi		Bb	V		vi	vi								m	0	0	3, 0, 4		3	3
38	38	299/2	0.5	3/8	3/8	4/4	2	1	I6		Bb	V		I6	I		6						M	0	0	4, 1, 0		0	4
38	38	150	1.0	1/2	1/2	4/4	2	1	IV		Bb	V		IV	IV								M	0	0	-1, 3, 0		-1	-1
38	38	151	0.5	3/4	3/4	4/4	2	1	V(64)		Bb	V		V(64)	V			64					M	0	0	1, 0, 4		1	1
38	38	303/2	0.5	7/8	7/8	4/4	2	1	V		Bb	V		V	V								M	0	0	1, 5, 2		1	1
39	39	152	1.5	0	0	4/4	2	1	I		Bb	V		I	I								M	0	0	0, 4, 1		0	0
39	39	307/2	0.5	3/8	3/8	4/4	2	1	I6		Bb	V		I6	I		6						M	0	0	4, 1, 0		0	4
39	39	154	1.0	1/2	1/2	4/4	2	1	IV		Bb	V		IV	IV								M	0	0	-1, 3, 0		-1	-1
39	39	155	0.5	3/4	3/4	4/4	2	1	V(64)		Bb	V		V(64)	V			64					M	0	0	1, 0, 4		1	1
39	39	311/2	0.5	7/8	7/8	4/4	2	1	V		Bb	V		V	V								M	0	0	1, 5, 2		1	1
40	40	156	1.5	0	0	4/4	2	1	I		Bb	V		I	I								M	0	0	0, 4, 1		0	0
40	40	315/2	0.5	3/8	3/8	4/4	2	1	I6		Bb	V		I6	I		6						M	0	0	4, 1, 0		0	4
40	40	158	1.0	1/2	1/2	4/4	2	1	IV		Bb	V		IV	IV								M	0	0	-1, 3, 0		-1	-1
40	40	159	0.5	3/4	3/4	4/4	2	1	V(64)		Bb	V		V(64)	V			64					M	0	0	1, 0, 4		1	1
40	40	319/2	0.5	7/8	7/8	4/4	2	1	V		Bb	V		V	V								M	0	0	1, 5, 2		1	1
41	41	160	1.5	0	0	4/4	2	1	I		Bb	V		I	I								M	0	0	0, 4, 1		0	0
41	41	323/2	0.5	3/8	3/8	4/4	2	1	I6		Bb	V		I6	I		6						M	0	0	4, 1, 0		0	4
41	41	162	1.0	1/2	1/2	4/4	2	1	IV		Bb	V		IV	IV								M	0	0	-1, 3, 0		-1	-1
41	41	163	0.5	3/4	3/4	4/4	2	1	V(64)		Bb	V		V(64)	V			64					M	0	0	1, 0, 4		1	1
41	41	327/2	0.5	7/8	7/8	4/4	2	1	V		Bb	V		V	V								M	0	0	1, 5, 2		1	1
42	42	164	1.0	0	0	4/4	2	1	I|IAC}{		Bb	V		I	I						IAC	}{	M	0	0	0, 4, 1		0	0
42	42	165	1.0	1/4	1/4	4/4	2	1	I7		Bb	V		I7	I		7						Mm7	0	0	0, 4, 1, -2		0	0
42	42	166	1.0	1/2	1/2	4/4	2	1	iv/ii		Bb	V		iv/ii	iv				ii				m	0	0	1, -2, 2		1	1
42	42	167	1.0	3/4	3/4	4/4	2	1	iio6/ii		Bb	V		iio6/ii	ii	o	6		ii				o	0	0	1, -2, 4		4	1
43	43	168	1.0	0	0	4/4	2	1	V/ii		Bb	V		V/ii	V				ii				M	0	0	3, 7, 4		3	3
43	43	169	1.0	1/4	1/4	4/4	2	1	V(94)/ii		Bb	V		V(94)/ii	V			94	ii				M	0	0	3, 2, 4	-2	3	3
43	43	170	1.0	1/2	1/2	4/4	2	1	iv/ii		Bb	V		iv/ii	iv				ii				m	0	0	1, -2, 2		1	1
43	43	171	1.0	3/4	3/4	4/4	2	1	iio6/ii		Bb	V		iio6/ii	ii	o	6		ii				o	0	0	1, -2, 4		4	1
44	44	172	1.0	0	0	4/4	2	1	V/ii[V/ii|HC}{		Bb	V	V/ii	V/ii	V				ii		HC	}{	M	0	0	3, 7, 4		3	3
44	44	173	0.5	1/4	1/4	4/4	2	1	V7/ii		Bb	V		V7/ii	V		7		ii				Mm7	0	0	3, 7, 4, 1		3	3
44	44	347/2	0.5	3/8	3/8	4/4	2	1	V(64)/ii		Bb	V		V(64)/ii	V			64	ii				M	0	0	3, 2, -1		3	3
44	44	174	0.5	1/2	1/2	4/4	2	1	V/ii		Bb	V		V/ii	V				ii				M	0	0	3, 7, 4		3	3
44	44	349/2	0.5	5/8	5/8	4/4	2	1	V(64)/ii		Bb	V		V(64)/ii	V			64	ii				M	0	0	3, 2, -1		3	3
44	44	175	0.5	3/4	3/4	4/4	2	1	V7/ii		Bb	V		V7/ii	V		7		ii				Mm7	0	0	3, 7, 4, 1		3	3
44	44	351/2	0.5	7/8	7/8	4/4	2	1	V(64)/ii		Bb	V		V(64)/ii	V			64	ii				M	0	0	3, 2, -1		3	3
45	45	176	1.0	0	0	4/4	2	1	V/ii		Bb	V		V/ii	V				ii				M	0	0	3, 7, 4		3	3
45	45	177	0.5	1/4	1/4	4/4	2	1	V7/ii		Bb	V		V7/ii	V		7		ii				Mm7	0	0	3, 7, 4, 1		3	3
45	45	355/2	0.5	3/8	3/8	4/4	2	1	V(64)/ii		Bb	V		V(64)/ii	V			64	ii				M	0	0	3, 2, -1		3	3
45	45	178	0.5	1/2	1/2	4/4	2	1	V/ii		Bb	V		V/ii	V				ii				M	0	0	3, 7, 4		3	3
45	45	357/2	0.5	5/8	5/8	4/4	2	1	V(64)/ii		Bb	V		V(64)/ii	V			64	ii				M	0	0	3, 2, -1		3	3
45	45	179	0.5	3/4	3/4	4/4	2	1	V7/ii		Bb	V		V7/ii	V		7		ii				Mm7	0	0	3, 7, 4, 1		3	3
45	45	359/2	0.5	7/8	7/8	4/4	2	1	V(64)/ii		Bb	V		V(64)/ii	V			64	ii				M	0	0	3, 2, -1		3	3
46	46	180	1.0	0	0	4/4	2	1	V/ii		Bb	V		V/ii	V				ii				M	0	0	3, 7, 4		3	3
46	46	181	0.5	1/4	1/4	4/4	2	1	V7/ii		Bb	V		V7/ii	V		7		ii				Mm7	0	0	3, 7, 4, 1		3	3
46	46	363/2	0.5	3/8	3/8	4/4	2	1	V(64)/ii		Bb	V		V(64)/ii	V			64	ii				M	0	0	3, 2, -1		3	3
46	46	182	0.5	1/2	1/2	4/4	2	1	V/ii		Bb	V		V/ii	V				ii				M	0	0	3, 7, 4		3	3
46	46	365/2	0.5	5/8	5/8	4/4	2	1	V(64)/ii		Bb	V		V(64)/ii	V			64	ii				M	0	0	3, 2, -1		3	3
46	46	183	0.5	3/4	3/4	4/4	2	1	V7/ii		Bb	V		V7/ii	V		7		ii				Mm7	0	0	3, 7, 4, 1		3	3
46	46	367/2	0.5	7/8	7/8	4/4	2	1	V(64)/ii		Bb	V		V(64)/ii	V			64	ii				M	0	0	3, 2, -1		3	3
47	47	184	2.0	0	0	4/4	2	1	V7/ii]		Bb	V		V7/ii	V		7		ii	]			Mm7	0	0	3, 7, 4, 1		3	3
47	47	186	1.0	1/2	1/2	4/4	2	1	i/ii		Bb	V		i/ii	i				ii				m	0	0	2, -1, 3		2	2
47	47	187	1.0	3/4	3/4	4/4	2	1	V7/ii		Bb	V		V7/ii	V		7		ii				Mm7	0	0	3, 7, 4, 1		3	3
48	48	188	2.0	0	0	4/4	2	1	i/ii|IAC}{		Bb	V		i/ii	i				ii		IAC	}{	m	0	0	2, -1, 3		2	2
48	48	190	1.0	1/2	1/2	4/4	2	1	I		Bb	V		I	I								M	0	0	0, 4, 1		0	0
48	48	191	1.0	3/4	3/4	4/4	2	1	V7		Bb	V		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
49	49	192	2.0	0	0	4/4	2	1	I|IAC}{		Bb	V		I	I						IAC	}{	M	0	0	0, 4, 1		0	0
49	49	194	1.0	1/2	1/2	4/4	2	1	#viio6/vi		Bb	V		#viio6/vi	#vii	o	6		vi				o	0	0	5, 2, 8		8	5
49	49	195	1.0	3/4	3/4	4/4	2	1	i/vi		Bb	V		i/vi	i				vi				m	0	0	3, 0, 4		3	3
50	50	196	2.0	0	0	4/4	2	1	V43/vi		Bb	V		V43/vi	V		43		vi				Mm7	0	0	5, 2, 4, 8		4	5
50	50	198	1.0	1/2	1/2	4/4	2	1	i/vi		Bb	V		i/vi	i				vi				m	0	0	3, 0, 4		3	3
50	50	199	1.0	3/4	3/4	4/4	2	1	V7/vi		Bb	V		V7/vi	V		7		vi				Mm7	0	0	4, 8, 5, 2		4	4
51	51	200	2.0	0	0	4/4	2	1	i/vi|IAC}{		Bb	V		i/vi	i				vi		IAC	}{	m	0	0	3, 0, 4		3	3
51	51	202	2.0	1/2	1/2	4/4	2	1	ii		Bb	V		ii	ii								m	0	0	2, -1, 3		2	2
52	52	204	2.0	0	0	4/4	2	1	v		Bb	V		v	v								m	0	0	1, -2, 2		1	1
52	52	206	1.0	1/2	1/2	4/4	2	1	I.V		Bb	I		V	V								M	0	0	1, 5, 2		1	1
52	52	207	1.0	3/4	3/4	4/4	2	1	V7		Bb	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
53	53	208	2.0	0	0	4/4	2	1	I		Bb	I		I	I								M	0	0	0, 4, 1		0	0
53	53	210	2.0	1/2	1/2	4/4	2	1	IV		Bb	I		IV	IV								M	0	0	-1, 3, 0		-1	-1
