mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	2.0	0	0	4/4	2	1	Bb.I{		Bb	I		I	I							{	M	0	0	0, 4, 1		0	0
1	1	2	1.0	1/2	1/2	4/4	2	1	V6		Bb	I		V6	V		6						M	0	0	5, 2, 1		1	5
1	1	3	1.0	3/4	3/4	4/4	2	1	V		Bb	I		V	V								M	0	0	1, 5, 2		1	1
2	2	4	1.5	0	0	4/4	2	1	vi		Bb	I		vi	vi								m	0	0	3, 0, 4		3	3
2	2	11/2	0.5	3/8	3/8	4/4	2	1	I6		Bb	I		I6	I		6						M	0	0	4, 1, 0		0	4
2	2	6	1.0	1/2	1/2	4/4	2	1	IV		Bb	I		IV	IV								M	0	0	-1, 3, 0		-1	-1
2	2	7	0.5	3/4	3/4	4/4	2	1	V(64)		Bb	I		V(64)	V			64					M	0	0	1, 0, 4		1	1
2	2	15/2	0.5	7/8	7/8	4/4	2	1	V		Bb	I		V	V								M	0	0	1, 5, 2		1	1
3	3	8	1.5	0	0	4/4	2	1	I		Bb	I		I	I								M	0	0	0, 4, 1		0	0
3	3	19/2	0.5	3/8	3/8	4/4	2	1	I6		Bb	I		I6	I		6						M	0	0	4, 1, 0		0	4
3	3	10	1.0	1/2	1/2	4/4	2	1	IV		Bb	I		IV	IV								M	0	0	-1, 3, 0		-1	-1
3	3	11	0.5	3/4	3/4	4/4	2	1	V(64)		Bb	I		V(64)	V			64					M	0	0	1, 0, 4		1	1
3	3	23/2	0.5	7/8	7/8	4/4	2	1	V		Bb	I		V	V								M	0	0	1, 5, 2		1	1
4	4	12	1.5	0	0	4/4	2	1	I		Bb	I		I	I								M	0	0	0, 4, 1		0	0
4	4	27/2	0.5	3/8	3/8	4/4	2	1	I6		Bb	I		I6	I		6						M	0	0	4, 1, 0		0	4
4	4	14	1.0	1/2	1/2	4/4	2	1	IV		Bb	I		IV	IV								M	0	0	-1, 3, 0		-1	-1
4	4	15	0.5	3/4	3/4	4/4	2	1	V(64)		Bb	I		V(64)	V			64					M	0	0	1, 0, 4		1	1
4	4	31/2	0.5	7/8	7/8	4/4	2	1	V		Bb	I		V	V								M	0	0	1, 5, 2		1	1
5	5	16	2.0	0	0	4/4	2	1	I|PAC}{		Bb	I		I	I						PAC	}{	M	0	0	0, 4, 1		0	0
5	5	18	2.0	1/2	1/2	4/4	2	1	V		Bb	I		V	V								M	0	0	1, 5, 2		1	1
6	6	20	2.0	0	0	4/4	2	1	I		Bb	I		I	I								M	0	0	0, 4, 1		0	0
6	6	22	2.0	1/2	1/2	4/4	2	1	V		Bb	I		V	V								M	0	0	1, 5, 2		1	1
7	7	24	1.5	0	0	4/4	2	1	I6		Bb	I		I6	I		6						M	0	0	4, 1, 0		0	4
7	7	51/2	0.5	3/8	3/8	4/4	2	1	viio6		Bb	I		viio6	vii	o	6						o	0	0	2, -1, 5		5	2
7	7	26	2.0	1/2	1/2	4/4	2	1	I		Bb	I		I	I								M	0	0	0, 4, 1		0	0
8	8	28	1.0	0	0	4/4	2	1	ii		Bb	I		ii	ii								m	0	0	2, -1, 3		2	2
8	8	29	1.0	1/4	1/4	4/4	2	1	V7		Bb	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
8	8	30	1.0	1/2	1/2	4/4	2	1	I		Bb	I		I	I								M	0	0	0, 4, 1		0	0
8	8	31	1.0	3/4	3/4	4/4	2	1	ii6		Bb	I		ii6	ii		6						m	0	0	-1, 3, 2		2	-1
9	9	32	1.0	0	0	4/4	2	1	V|HC}{		Bb	I		V	V						HC	}{	M	0	0	1, 5, 2		1	1
9	9	33	0.5	1/4	1/4	4/4	2	1	V.viio6(6)		Bb	V		viio6(6)	vii	o	6	6					o	0	0	2, 1, 5		5	2
9	9	67/2	0.5	3/8	3/8	4/4	2	1	viio6		Bb	V		viio6	vii	o	6						o	0	0	2, -1, 5		5	2
9	9	34	1.0	1/2	1/2	4/4	2	1	I		Bb	V		I	I								M	0	0	0, 4, 1		0	0
9	9	35	0.5	3/4	3/4	4/4	2	1	viio6(6)		Bb	V		viio6(6)	vii	o	6	6					o	0	0	2, 1, 5		5	2
9	9	71/2	0.5	7/8	7/8	4/4	2	1	viio6		Bb	V		viio6	vii	o	6						o	0	0	2, -1, 5		5	2
10	10	36	1.0	0	0	4/4	2	1	I6		Bb	V		I6	I		6						M	0	0	4, 1, 0		0	4
10	10	37	0.5	1/4	1/4	4/4	2	1	IV(^2)		Bb	V		IV(^2)	IV			^2					M	0	0	-1, 1, 0		-1	-1
10	10	75/2	0.5	3/8	3/8	4/4	2	1	IV		Bb	V		IV	IV								M	0	0	-1, 3, 0		-1	-1
10	10	38	1.0	1/2	1/2	4/4	2	1	I6		Bb	V		I6	I		6						M	0	0	4, 1, 0		0	4
10	10	39	0.5	3/4	3/4	4/4	2	1	IV(^2)		Bb	V		IV(^2)	IV			^2					M	0	0	-1, 1, 0		-1	-1
10	10	79/2	0.5	7/8	7/8	4/4	2	1	IV		Bb	V		IV	IV								M	0	0	-1, 3, 0		-1	-1
