mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	4/4	2	1		c.i{		c	i		i	i							{	m	1	1	0, -3, 1		0	0
1	1	1/4	1/4	4/4	2	1		#viio6		c	i		#viio6	#vii	o	6						o	1	1	2, -1, 5		5	2
1	1	1/2	1/2	4/4	2	1		i6		c	i		i6	i		6						m	1	1	-3, 1, 0		0	-3
1	1	7/8	7/8	4/4	2	1		V6		c	i		V6	V		6						M	1	1	5, 2, 1		1	5
2	2	0	0	4/4	2	1		i		c	i		i	i								m	1	1	0, -3, 1		0	0
2	2	1/4	1/4	4/4	2	1		i6		c	i		i6	i		6						m	1	1	-3, 1, 0		0	-3
2	2	3/8	3/8	4/4	2	1		iv		c	i		iv	iv								m	1	1	-1, -4, 0		-1	-1
2	2	1/2	1/2	4/4	2	1		V		c	i		V	V								M	1	1	1, 5, 2		1	1
2	2	7/8	7/8	4/4	2	1		V7		c	i		V7	V		7						Mm7	1	1	1, 5, 2, -1		1	1
3	3	0	0	4/4	2	1		i		c	i		i	i								m	1	1	0, -3, 1		0	0
3	3	1/4	1/4	4/4	2	1		i6		c	i		i6	i		6						m	1	1	-3, 1, 0		0	-3
3	3	3/8	3/8	4/4	2	1		iv		c	i		iv	iv								m	1	1	-1, -4, 0		-1	-1
3	3	1/2	1/2	4/4	2	1		V		c	i		V	V								M	1	1	1, 5, 2		1	1
3	3	7/8	7/8	4/4	2	1		V6		c	i		V6	V		6						M	1	1	5, 2, 1		1	5
4	4	0	0	4/4	2	1		i		c	i		i	i								m	1	1	0, -3, 1		0	0
4	4	1/4	1/4	4/4	2	1		i6		c	i		i6	i		6						m	1	1	-3, 1, 0		0	-3
4	4	3/8	3/8	4/4	2	1		iv		c	i		iv	iv								m	1	1	-1, -4, 0		-1	-1
4	4	1/2	1/2	4/4	2	1		V|HC}		c	i		V	V						HC	}	M	1	1	1, 5, 2		1	1
5	5	0	0	4/4	2	1		V[i6{		c	i	V	i6	i		6					{	m	1	1	-3, 1, 0		0	-3
5	5	1/4	1/4	4/4	2	1		V7		c	i		V7	V		7						Mm7	1	1	1, 5, 2, -1		1	1
5	5	1/2	1/2	4/4	2	1		V(64)		c	i		V(64)	V			64					M	1	1	1, 0, -3		1	1
5	5	3/4	3/4	4/4	2	1		V		c	i		V	V								M	1	1	1, 5, 2		1	1
6	6	0	0	4/4	2	1		i6		c	i		i6	i		6						m	1	1	-3, 1, 0		0	-3
6	6	1/4	1/4	4/4	2	1		V7		c	i		V7	V		7						Mm7	1	1	1, 5, 2, -1		1	1
6	6	1/2	1/2	4/4	2	1		V(64)		c	i		V(64)	V			64					M	1	1	1, 0, -3		1	1
6	6	3/4	3/4	4/4	2	1		V		c	i		V	V								M	1	1	1, 5, 2		1	1
7	7	0	0	4/4	2	1		iio6	iv	c	i		iio6	ii	o	6						o	1	1	-1, -4, 2		2	-1
7	7	1/4	1/4	4/4	2	1		i6		c	i		i6	i		6						m	1	1	-3, 1, 0		0	-3
7	7	1/2	1/2	4/4	2	1		V7		c	i		V7	V		7						Mm7	1	1	1, 5, 2, -1		1	1
7	7	3/4	3/4	4/4	2	1		V(64)		c	i		V(64)	V			64					M	1	1	1, 0, -3		1	1
8	8	0	0	4/4	2	1		iio6	iv	c	i		iio6	ii	o	6						o	1	1	-1, -4, 2		2	-1
8	8	1/4	1/4	4/4	2	1		i6		c	i		i6	i		6						m	1	1	-3, 1, 0		0	-3
8	8	1/2	1/2	4/4	2	1		V7		c	i		V7	V		7						Mm7	1	1	1, 5, 2, -1		1	1
8	8	3/4	3/4	4/4	2	1		V(64)]		c	i		V(64)	V			64		]			M	1	1	1, 0, -3		1	1
9	9	0	0	4/4	2	1		v.iv6		c	v		iv6	iv		6						m	1	1	-4, 0, -1		-1	-4
9	9	1/4	1/4	4/4	2	1		iio6		c	v		iio6	ii	o	6						o	1	1	-1, -4, 2		2	-1
9	9	1/2	1/2	4/4	2	1		#viio6		c	v		#viio6	#vii	o	6						o	1	1	2, -1, 5		5	2
9	9	3/4	3/4	4/4	2	1		V65		c	v		V65	V		65						Mm7	1	1	5, 2, -1, 1		1	5
10	10	0	0	4/4	2	1		i|IAC}{		c	v		i	i						IAC	}{	m	1	1	0, -3, 1		0	0
10	10	3/8	3/8	4/4	2	1		iv		c	v		iv	iv								m	1	1	-1, -4, 0		-1	-1
10	10	1/2	1/2	4/4	2	1		V(64)		c	v		V(64)	V			64					M	1	1	1, 0, -3		1	1
10	10	3/4	3/4	4/4	2	1		#viio64		c	v		#viio64	#vii	o	64						o	1	1	-1, 5, 2		5	-1
11	11	0	0	4/4	2	1		i6		c	v		i6	i		6						m	1	1	-3, 1, 0		0	-3
11	11	3/8	3/8	4/4	2	1		iv6		c	v		iv6	iv		6						m	1	1	-4, 0, -1		-1	-4
11	11	1/2	1/2	4/4	2	1		V(64)		c	v		V(64)	V			64					M	1	1	1, 0, -3		1	1
11	11	3/4	3/4	4/4	2	1		#viio64		c	v		#viio64	#vii	o	64						o	1	1	-1, 5, 2		5	-1
12	12	0	0	4/4	2	1		i6		c	v		i6	i		6						m	1	1	-3, 1, 0		0	-3
12	12	3/8	3/8	4/4	2	1		iv		c	v		iv	iv								m	1	1	-1, -4, 0		-1	-1
12	12	1/2	1/2	4/4	2	1		V(64)		c	v		V(64)	V			64					M	1	1	1, 0, -3		1	1
12	12	3/4	3/4	4/4	2	1		V		c	v		V	V								M	1	1	1, 5, 2		1	1
13	13	0	0	4/4	2	1		I|PAC}		c	v		I	I						PAC	}	M	1	1	0, 4, 1		0	0
15	15	0	0	4/4	2	1		i.V{		c	i		V	V							{	M	1	1	1, 5, 2		1	1
15	15	1/4	1/4	4/4	2	1		IV6		c	i		IV6	IV		6						M	1	1	3, 0, -1		-1	3
15	15	1/2	1/2	4/4	2	1		V6		c	i		V6	V		6						M	1	1	5, 2, 1		1	5
15	15	3/4	3/4	4/4	2	1		i(^9)		c	i		i(^9)	i			^9					m	1	1	0, -3, 1	2	0	0
15	15	7/8	7/8	4/4	2	1		i		c	i		i	i								m	1	1	0, -3, 1		0	0
16	16	0	0	4/4	2	1		iio		c	i		iio	ii	o							o	1	1	2, -1, -4		2	2
16	16	1/4	1/4	4/4	2	1		V(64)		c	i		V(64)	V			64					M	1	1	1, 0, -3		1	1
16	16	3/8	3/8	4/4	2	1		V		c	i		V	V								M	1	1	1, 5, 2		1	1
16	16	1/2	1/2	4/4	2	1		i|IAC}		c	i		i	i						IAC	}	m	1	1	0, -3, 1		0	0
17	17	0	0	4/4	2	1		iv{		c	i		iv	iv							{	m	1	1	-1, -4, 0		-1	-1
