mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	15/16	4/4	2	1	g.i{		g	i		i	i							{	m	1	1	0, -3, 1		0	0
2	1	1/4	1/4	4/4	2	1	i6		g	i		i6	i		6						m	1	1	-3, 1, 0		0	-3
2	1	1/2	1/2	4/4	2	1	i		g	i		i	i								m	1	1	0, -3, 1		0	0
2	1	3/4	3/4	4/4	2	1	i6		g	i		i6	i		6						m	1	1	-3, 1, 0		0	-3
3	2	0	0	4/4	2	1	V		g	i		V	V								M	1	1	1, 5, 2		1	1
3	2	1/4	1/4	4/4	2	1	V7		g	i		V7	V		7						Mm7	1	1	1, 5, 2, -1		1	1
3	2	1/2	1/2	4/4	2	1	i		g	i		i	i								m	1	1	0, -3, 1		0	0
3	2	3/4	3/4	4/4	2	1	i6		g	i		i6	i		6						m	1	1	-3, 1, 0		0	-3
4	3	0	0	4/4	2	1	V		g	i		V	V								M	1	1	1, 5, 2		1	1
4	3	1/4	1/4	4/4	2	1	V7		g	i		V7	V		7						Mm7	1	1	1, 5, 2, -1		1	1
4	3	1/2	1/2	4/4	2	1	i		g	i		i	i								m	1	1	0, -3, 1		0	0
4	3	3/4	3/4	4/4	2	1	i6		g	i		i6	i		6						m	1	1	-3, 1, 0		0	-3
5	4	0	0	4/4	2	1	V		g	i		V	V								M	1	1	1, 5, 2		1	1
5	4	1/4	1/4	4/4	2	1	V7		g	i		V7	V		7						Mm7	1	1	1, 5, 2, -1		1	1
5	4	1/2	1/2	4/4	2	1	i6		g	i		i6	i		6						m	1	1	-3, 1, 0		0	-3
5	4	3/4	3/4	4/4	2	1	ii65		g	i		ii65	ii		65						mm7	1	1	-1, 3, 0, 2		2	-1
5	4	7/8	7/8	4/4	2	1	V7		g	i		V7	V		7						Mm7	1	1	1, 5, 2, -1		1	1
6	5	0	0	4/4	2	1	i(64)}		g	i		i(64)	i			64				}	m	1	1	0, -1, -4		0	0
6	5	1/8	1/8	4/4	2	1	i		g	i		i	i								m	1	1	0, -3, 1		0	0
6	5	1/4	1/4	4/4	2	1	|IAC}{		g	i									IAC	}{		1	1				
6	5	1/2	1/2	4/4	2	1	V65/III		g	i		V65/III	V		65		III				Mm7	1	1	2, -1, -4, -2		-2	2
