mn	mn_offset	label
1	0	F.I
2	0	ii
3	0	viio
4	0	I
5	0	I6
6	0	ii65
7	0	V7
8	0	I
9	0	I
10	0	ii
11	0	viio
12	0	I
13	0	I6
14	0	ii65
15	0	V
15	1/8	V7
16	0	I
17	0	I
17	1/8	viio6
17	1/4	I6
18	0	V
18	1/8	V7
18	1/4	I
19	0	I
19	1/8	viio6
19	1/4	I
20	0	V
20	1/8	V7
20	1/4	I
21	0	C.IV
22	0	I6
23	0	viio6(7)
23	1/4	viio6
24	0	vi6(7)
24	1/4	vi6
25	0	V6(7)
25	1/4	V6
26	0	IV6(7)
26	1/8	IV6
26	1/4	I6
27	0	ii6
28	0	V
28	1/4	I6
29	0	IV
30	0	V
31	0	I
31	1/8	viio6
31	1/4	I
32	0	V
32	1/8	V7
32	1/4	I
33	0	I
33	1/8	viio6
33	1/4	I6
34	0	V
34	1/8	V7
34	1/4	I
35	0	I
36	0	ii6
37	0	V(4)
37	1/4	V
38	0	I
39	0	I
40	0	ii6
41	0	V(4)
41	1/8	V
42	0	c.I
43	0	i
43	1/8	v6
44	0	iv6
44	1/4	III6
45	0	iv
46	0	V
47	0	i
47	1/4	v6
48	0	iv6
48	1/4	III6
49	0	iv
50	0	V
51	0	V7
52	0	i6
52	1/4	iv6
53	0	V7
54	0	i6
54	1/4	iv6
55	0	V7
56	0	i
57	0	iio6
57	1/8	V(64)
57	1/4	V
58	0	i
59	0	V7
60	0	i6
60	1/4	iv66
61	0	V7
62	0	i6
62	1/4	iv66
63	0	V7
64	0	i
65	0	iio6
65	1/8	V(64)
65	1/4	V
66	0	C.I
67	0	I
68	0	I
69	0	I6
70	0	I6
71	0	IV
71	1/8	V(64)
71	1/4	V
72	0	I
73	0	I
74	0	I
75	0	I6
76	0	I6
77	0	IV
77	1/8	V(64)
77	1/4	V
78	0	I
78	1/4	I6
79	0	IV
79	1/8	V
79	1/4	V
80	0	I
80	1/4	I6
81	0	IV
81	1/8	V
82	0	I
83	0	f.@none
84	0	V7-#viio43
85	0	V7
86	0	i
87	0	iv
87	1/4	V6
88	0	i
89	0	iv
89	1/4	V6
90	0	i
91	0	i
91	1/4	v6
92	0	iv6
92	1/4	III6
93	0	iv
93	1/4	i6
94	0	V43
95	0	V
96	0	i
96	1/4	v6
97	0	iv6
97	1/4	III6
98	0	iv
98	1/4	i6
99	0	V43
99	1/8	i
100	0	V
101	0	c.i
101	1/8	#viio6
101	1/4	i6
102	0	V
102	1/4	i
103	0	i
104	0	V
104	1/4	i
105	0	f.i
105	1/8	#viio6
105	1/4	i6
106	0	V
106	1/4	i
107	0	i
107	1/8	#viio6
107	1/4	i6
108	0	V
108	1/4	I
109	0	I
110	0	i(64)
111	0	#viio7
112	0	i
113	0	i
113	1/8	V7/iv
114	0	iv64
115	0	#viioo7
116	0	i
117	0	i
117	1/8	iv6
117	1/4	i6
118	0	IV
118	1/8	#viio6
118	1/4	i6
119	0	V6
119	1/8	i
119	1/4	iv6
120	0	V
121	0	V7
122	0	i
122	1/4	iv6
123	0	V7
124	0	i
124	1/4	iv6
125	0	V7
126	0	i
127	0	iio6
127	1/8	V(64)
127	1/4	V
128	0	i
129	0	V7
130	0	i
130	1/4	iv6
131	0	V7
132	0	i
132	1/4	iv6
133	0	V7
134	0	i
135	0	iio6
135	1/8	V(64)
135	1/4	V
136	0	F.I
137	0	I
138	0	I
139	0	I6
140	0	I6
141	0	IV
141	1/8	V(64)
141	1/4	V
142	0	I
143	0	I
144	0	I
145	0	I6
146	0	I6
147	0	IV
147	1/8	V(64)
147	1/4	V
148	0	I
148	1/4	I6
149	0	ii6
149	1/8	V
150	0	I
150	1/4	I6
151	0	iv
151	1/8	V
152	0	I
