mn	mn_offset	label
1	0	d.i
1	1/4	i6
1	1/2	V(64)
1	3/4	#viio43
2	0	i6
2	1/4	V64
2	1/2	i
2	5/8	iio6
2	3/4	i6
2	7/8	#viio6
3	0	i
3	1/8	iio6
3	1/4	i6
3	3/8	#viio6
3	1/2	i
3	5/8	ii6
3	3/4	i6
3	7/8	#viio6
4	0	i
4	1/8	iio6
4	1/4	i6
4	3/8	#viio6
4	1/2	i6
4	5/8	iv
4	3/4	V(64)
4	7/8	V
5	0	i
5	1/4	i(64)-iv64
5	1/2	V6
5	5/8	v6
6	0	IV
6	1/8	iv6
6	1/2	II6
6	5/8	VI
6	3/4	III6
6	7/8	#viio6/III
7	0	III
7	1/8	iv6
7	1/4	III6
7	3/8	#viio6/III
7	1/2	III6
7	5/8	VI
7	3/4	III6
7	7/8	#viio/III
8	0	III
8	1/8	iv6
8	1/4	III6
8	3/8	#viio6/III
8	1/2	III
9	0	V6/III
9	3/8	#viio6
9	1/2	i6
9	5/8	V6
9	3/4	i
9	7/8	iv
10	0	V
10	1/4	V7
10	3/8	V(64)
10	1/2	V
10	5/8	V7
10	3/4	V(64)
10	7/8	V
11	0	a.iv
11	1/8	#viio43/VII
11	1/4	VII6
11	3/8	#viio43
11	7/8	iv
11	5/8	#viio
11	3/4	i
12	0	V7
12	1/4	V2
12	3/8	i6
12	1/2	@none
12	5/8	#viio64-#viio43
12	3/4	i6
12	7/8	#viio
13	0	i
13	1/8	iio6
13	1/4	i6
13	3/8	#viio6
13	1/2	i6
13	5/8	iv
13	3/4	iv
13	7/8	#viio6
14	0	i6
14	1/8	iio6
14	1/4	i6
14	3/8	#viio6
14	1/2	i6
14	5/8	iv
14	3/4	i6
14	7/8	#viio6
15	0	i
15	1/8	i(64)
15	1/2	V65
15	5/8	v6
16	0	IV6
16	1/8	iv6
16	1/2	III6
16	5/8	iio6
16	3/4	i6
16	7/8	#viio6
17	0	VI6
17	1/8	v6
17	1/4	iv6
17	3/8	III6
17	1/2	iio6
17	5/8	i6
17	3/4	#viio6
17	7/8	i
18	0	V7
18	1/2	ii%43
19	0	V7
19	1/2	ii%43
20	0	V7
20	1/2	ii%43
21	0	V
21	1/4	iio6
21	3/8	#viio64/VII
21	1/2	VII6
21	5/8	#viio64
21	3/4	i6
21	7/8	#viio6
22	0	i
22	1/8	#viio64/iv
22	1/4	iv6
