mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	4.5	0	0	3/8	2	1	f.i{		f	i		i	i						{	m	1	1	0, -3, 1		0	0
4	4	9/2	9/2	1.5	0	0	3/8	2	1	iv		f	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
5	5	6	6	1.5	0	0	3/8	2	1	V		f	i		V	V							M	1	1	1, 5, 2		1	1
6	6	15/2	15/2	4.5	0	0	3/8	2	1	i		f	i		i	i							m	1	1	0, -3, 1		0	0
9	9	12	12	1.5	0	0	3/8	2	1	viio(b3)/V	V6(b5)/V	f	i		viio(b3)/V	vii	o		b3	V			o	1	1	6, -4, 0		6	6
10	10	27/2	27/2	1.5	0	0	3/8	2	1	V|HC}		f	i		V	V					HC	}	M	1	1	1, 5, 2		1	1
11	11	15	15	0.5	0	0	3/8	2	1	V{		f	i		V	V						{	M	1	1	1, 5, 2		1	1
11	11	31/2	31/2	0.5	1/8	1/8	3/8	2	1	V(6)		f	i		V(6)	V			6				M	1	1	1, 5, -3		1	1
11	11	16	16	0.5	1/4	1/4	3/8	2	1	V		f	i		V	V							M	1	1	1, 5, 2		1	1
12	12	33/2	33/2	1.5	0	0	3/8	2	1	iv		f	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
13	13	18	18	0.5	0	0	3/8	2	1	V		f	i		V	V							M	1	1	1, 5, 2		1	1
13	13	37/2	37/2	0.5	1/8	1/8	3/8	2	1	V(6)		f	i		V(6)	V			6				M	1	1	1, 5, -3		1	1
13	13	19	19	0.5	1/4	1/4	3/8	2	1	V		f	i		V	V							M	1	1	1, 5, 2		1	1
14	14	39/2	39/2	1.5	0	0	3/8	2	1	iv		f	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
15	15	21	21	0.5	0	0	3/8	2	1	V		f	i		V	V							M	1	1	1, 5, 2		1	1
15	15	43/2	43/2	0.5	1/8	1/8	3/8	2	1	V(6)		f	i		V(6)	V			6				M	1	1	1, 5, -3		1	1
15	15	22	22	0.5	1/4	1/4	3/8	2	1	V6		f	i		V6	V		6					M	1	1	5, 2, 1		1	5
16	16	45/2	45/2	1.0	0	0	3/8	2	1	i		f	i		i	i							m	1	1	0, -3, 1		0	0
16	16	47/2	47/2	0.5	1/4	1/4	3/8	2	1	i6	iv6/v	f	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
17	17	24	24	0.5	0	0	3/8	2	1	V/v		f	i		V/v	V				v			M	1	1	2, 6, 3		2	2
17	17	49/2	49/2	0.5	1/8	1/8	3/8	2	1	V(6)/v		f	i		V(6)/v	V			6	v			M	1	1	2, 6, -2		2	2
17	17	25	25	0.5	1/4	1/4	3/8	2	1	V6/v		f	i		V6/v	V		6		v			M	1	1	6, 3, 2		2	6
18	18	51/2	51/2	1.5	0	0	3/8	2	1	i/v		f	i		i/v	i				v			m	1	1	1, -2, 2		1	1
19	19	27	27	1.5	0	0	3/8	2	1	iv/v		f	i		iv/v	iv				v			m	1	1	0, -3, 1		0	0
20	20	57/2	57/2	1.5	0	0	3/8	2	1	V/v|HC}		f	i		V/v	V				v	HC	}	M	1	1	2, 6, 3		2	2
