mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	1.0	0	0	4/4	2	1	Eb.I{		Eb	I		I		I						{	M	0	0	0, 4, 1		0	0
1	1	1	0.5	1/4	1/4	4/4	2	1	I6		Eb	I		I6		I		6					M	0	0	4, 1, 0		0	4
1	1	3/2	0.5	3/8	3/8	4/4	2	1	viio6		Eb	I		viio6		vii	o	6					o	0	0	2, -1, 5		5	2
1	1	2	0.5	1/2	1/2	4/4	2	1	I		Eb	I		I		I							M	0	0	0, 4, 1		0	0
1	1	5/2	0.5	5/8	5/8	4/4	2	1	ii6		Eb	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
1	1	3	0.5	3/4	3/4	4/4	2	1	V(64)		Eb	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
1	1	7/2	0.5	7/8	7/8	4/4	2	1	V		Eb	I		V		V							M	0	0	1, 5, 2		1	1
2	2	4	1.0	0	0	4/4	2	1	I		Eb	I		I		I							M	0	0	0, 4, 1		0	0
2	2	5	0.5	1/4	1/4	4/4	2	1	I6		Eb	I		I6		I		6					M	0	0	4, 1, 0		0	4
2	2	11/2	0.5	3/8	3/8	4/4	2	1	viio6		Eb	I		viio6		vii	o	6					o	0	0	2, -1, 5		5	2
2	2	6	0.5	1/2	1/2	4/4	2	1	I		Eb	I		I		I							M	0	0	0, 4, 1		0	0
2	2	13/2	0.5	5/8	5/8	4/4	2	1	ii6		Eb	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
2	2	7	0.5	3/4	3/4	4/4	2	1	V(64)		Eb	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
2	2	15/2	0.5	7/8	7/8	4/4	2	1	V		Eb	I		V		V							M	0	0	1, 5, 2		1	1
3	3	8	1.0	0	0	4/4	2	1	I|PAC}{		Eb	I		I		I					PAC	}{	M	0	0	0, 4, 1		0	0
3	3	9	1.0	1/4	1/4	4/4	2	1	V7		Eb	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
3	3	10	1.0	1/2	1/2	4/4	2	1	I		Eb	I		I		I							M	0	0	0, 4, 1		0	0
3	3	11	1.0	3/4	3/4	4/4	2	1	V7		Eb	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
4	4	12	1.0	0	0	4/4	2	1	I		Eb	I		I		I							M	0	0	0, 4, 1		0	0
