mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	4/4	2	1		Bb.I{		Bb	I		I	I							{	M	0	0	0, 4, 1		0	0
1	1	1/2	1/2	4/4	2	1		V6		Bb	I		V6	V		6						M	0	0	5, 2, 1		1	5
1	1	3/4	3/4	4/4	2	1		V		Bb	I		V	V								M	0	0	1, 5, 2		1	1
2	2	0	0	4/4	2	1		vi		Bb	I		vi	vi								m	0	0	3, 0, 4		3	3
2	2	3/8	3/8	4/4	2	1		I6		Bb	I		I6	I		6						M	0	0	4, 1, 0		0	4
2	2	1/2	1/2	4/4	2	1		IV		Bb	I		IV	IV								M	0	0	-1, 3, 0		-1	-1
2	2	3/4	3/4	4/4	2	1		V(64)		Bb	I		V(64)	V			64					M	0	0	1, 0, 4		1	1
2	2	7/8	7/8	4/4	2	1		V		Bb	I		V	V								M	0	0	1, 5, 2		1	1
3	3	0	0	4/4	2	1		I		Bb	I		I	I								M	0	0	0, 4, 1		0	0
3	3	3/8	3/8	4/4	2	1		I6		Bb	I		I6	I		6						M	0	0	4, 1, 0		0	4
3	3	1/2	1/2	4/4	2	1		IV		Bb	I		IV	IV								M	0	0	-1, 3, 0		-1	-1
3	3	3/4	3/4	4/4	2	1		V(64)		Bb	I		V(64)	V			64					M	0	0	1, 0, 4		1	1
3	3	7/8	7/8	4/4	2	1		V		Bb	I		V	V								M	0	0	1, 5, 2		1	1
4	4	0	0	4/4	2	1		I		Bb	I		I	I								M	0	0	0, 4, 1		0	0
4	4	3/8	3/8	4/4	2	1		I6		Bb	I		I6	I		6						M	0	0	4, 1, 0		0	4
4	4	1/2	1/2	4/4	2	1		IV		Bb	I		IV	IV								M	0	0	-1, 3, 0		-1	-1
4	4	3/4	3/4	4/4	2	1		V(64)		Bb	I		V(64)	V			64					M	0	0	1, 0, 4		1	1
4	4	7/8	7/8	4/4	2	1		V		Bb	I		V	V								M	0	0	1, 5, 2		1	1
5	5	0	0	4/4	2	1		I|PAC}{		Bb	I		I	I						PAC	}{	M	0	0	0, 4, 1		0	0
