mn	mn_onset	label
1	0	d.i
1	1/4	i6
2	0	iv
2	1/4	V/III
2	1/2	V6/III
3	0	III
3	1/4	V6
3	1/2	V7
4	0	i(4)
4	1/4	V(6)
4	3/8	V
4	1/2	i
5	0	i
5	1/2	i6
6	0	a.V
6	1/4	iv
6	1/2	i
7	0	bII6
7	1/2	bII64
8	0	V
8	1/4	V64
8	1/2	i6
9	0	iio6
9	1/4	V(6)
9	3/8	V
9	1/2	VI
10	0	iio6
10	1/4	V(6)
10	3/8	V
10	1/2	VI
11	0	iio6
11	1/4	V(64)
11	1/2	V
12	0	i
13	0	F.I6
13	1/4	I
13	1/2	I6
14	0	IV
14	1/2	I6
15	0	ii
15	1/4	V
15	1/2	viio
16	0	I(4)
16	1/4	V(6)
16	1/2	I
17	0	d.#viio7/iv
18	0	#viio7/iv
19	0	#viio7/iv
19	1/4	V/iv
19	1/2	V(6)
20	0	iv
20	1/4	V/iv
20	1/2	iv
21	0	iv
21	1/2	iv6-bII64
22	0	V
22	1/4	iv
22	1/2	i6
23	0	bII6
24	0	V
24	1/4	V64
24	1/2	i6
25	0	iio6
25	1/4	V(6)
25	3/8	V
25	1/2	VI
26	0	iio6
26	1/4	V(6)
26	3/8	V
26	1/2	VI
27	0	iv
27	1/4	V(64)
27	1/2	V
