mn	mn_offset	label
1	0	g.i
2	0	i
3	0	i
3	1/8	#viio6
3	1/4	i6
4	0	iio6
4	1/8	V(6)
4	1/4	V
5	0	i
5	1/8	V
5	1/4	i
6	0	Bb.@none
7	0	@none
8	0	I
8	1/4	I6
9	0	viio6
9	1/8	I6
9	1/4	viio
10	0	I
10	1/4	I6
11	0	V7
12	0	I
13	0	IV
14	0	IV
15	0	I(4)
17	0	ii
18	0	IV64
19	0	viio
20	0	V
21	0	V(64)
22	0	IV
23	0	V
24	0	ii6
25	0	ii6
26	0	I6
27	0	viio6
28	0	I
29	0	I
30	0	I
31	0	V/IV
32	0	IV
33	0	viio
34	0	iii
35	0	vi
36	0	ii
37	0	V7
38	0	I
39	0	V
40	0	I
41	0	V
42	0	I
43	0	I
44	0	I
45	0	I
46	0	I
47	0	I
48	0	I
49	0	V
50	0	V
51	0	V
52	0	V2
53	0	I
54	0	bb.i
55	0	VI
56	0	VI6
57	0	V2/v
58	0	V2/v
59	0	v6
60	0	v6
61	0	v6
62	0	v6
63	0	iv6
64	0	iv6
65	0	iv6
66	0	V
67	0	V7
68	0	V(64)
69	0	V(64)
70	0	V7
71	0	V7
72	0	I
73	0	I
74	0	IV
75	0	@none
76	0	viio(6)
77	0	@none
78	0	iii
79	0	@none
80	0	vi(6)
81	0	@none
82	0	ii
83	0	@none
84	0	V7
85	0	V7
86	0	I
87	0	viio
88	0	I
89	0	viio
90	0	I
91	0	@none
92	0	IV
93	0	I
94	0	IV
94	1/8	V(64)
94	1/4	V
95	0	I
96	0	I
97	0	I
98	0	I
99	0	I
100	0	I
101	0	I
102	0	I
103	0	ii6
103	1/8	V(6)
103	1/4	V
104	0	I
105	0	c.V
106	0	V
107	0	V
107	1/4	V2
108	0	i6
108	1/4	i
109	0	V6
110	0	V6
111	0	i
112	0	iv
113	0	iv
114	0	i6
115	0	i6
116	0	V64
117	0	i
118	0	#viio
119	0	iv6
120	0	V7
121	0	iv6
122	0	V7
123	0	i(4)
123	1/4	i
124	0	V
124	1/4	V7
125	0	i
126	0	iv
127	0	V
128	0	VI
129	0	V
130	0	#viio64
131	0	i6
132	0	#viio6
133	0	i
134	0	i
135	0	i
136	0	i7
137	0	iv7
138	0	VII
139	0	III
140	0	VI
141	0	iio
142	0	V
143	0	i
144	0	V
145	0	i
146	0	i
147	0	i
148	0	i
149	0	i
150	0	VI6-iv64
151	0	V2/V
152	0	V2/V
153	0	V6
154	0	V6
155	0	V2/iv
156	0	V2/iv
157	0	iv6
158	0	iv6
158	1/4	i64
159	0	iio6-#viio64
159	1/4	i6
160	0	#viio6
161	0	V6
162	0	i
163	0	g.iio6
164	0	V
165	0	V
166	0	V
167	0	V
168	0	V
169	0	V7
170	0	V7
171	0	i
172	0	i
173	0	i
174	0	@none
175	0	V6
176	0	V6
177	0	V6
178	0	@none
179	0	iv6
180	0	iv6
181	0	iv6
182	0	@none
183	0	V
184	0	i
185	0	#viio
186	0	i
187	0	i
188	0	V7
189	0	i
190	0	V7
191	0	i
192	0	i
193	0	i
194	0	i
195	0	i
196	0	i6
197	0	i
198	0	#viio6
199	0	#viio6
200	0	#viio6
201	0	V7
202	0	i
203	0	i
204	0	VI
205	0	VI
206	0	V2/V
207	0	V2/V
208	0	V6
209	0	V6
210	0	V2/iv
211	0	V2/iv
212	0	iv6
213	0	i
214	0	V
215	0	V7
216	0	V(64)
217	0	V(64)
218	0	V
219	0	V
220	0	i
221	0	i
222	0	iv6
223	0	iv6
224	0	VII65
225	0	VII7
226	0	III
227	0	@none
228	0	VI
229	0	@none
230	0	ii
231	0	@none
232	0	V7
233	0	V7
234	0	i
235	0	#viio
236	0	i
237	0	#viio
238	0	i
239	0	i
240	0	iv
241	0	i
242	0	iio6
242	1/8	V(64)
242	1/4	V
243	0	i
245	0	i
246	0	i
247	0	i
