mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	minDistance	offset	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	3/8	2	1	c.i{						c	i		i	i						{	m	1	1	0, -3, 1		0	0	0	5	0.0	0.0	0.375	0.0
2	2	0	0	3/8	2	1	i(13)						c	i		i(13)	i			13				m	1	1	0, -3, 1	-4	0	0	0	5	0.0	0.0	0.5	0.0
2	2	1/4	1/4	3/8	2	1	i					V	c	i		i	i							m	1	1	0, -3, 1		0	0	0	2	0.0	0.0	0.25	0.0
3	3	0	0	3/8	2	1	VI					iv6	c	i		VI	VI							M	1	1	-4, 0, -3		-4	-4	0	3	0.0	0.0	0.25	0.0
3	3	1/8	1/8	3/8	2	1	iio6						c	i		iio6	ii	o	6					o	1	1	-1, -4, 2		2	-1	0	3	0.0	0.0	0.25	0.0
3	3	1/4	1/4	3/8	2	1	V						c	i		V	V							M	1	1	1, 5, 2		1	1	1	2	0.3333333333333333	0.0625	0.1875	0.25
4	4	0	0	3/8	2	1	i						c	i		i	i							m	1	1	0, -3, 1		0	0	0	3	0.0	0.0	0.3125	0.0
4	4	1/8	1/8	3/8	2	1	#viio6						c	i		#viio6	#vii	o	6					o	1	1	2, -1, 5		5	2	0	3	0.0	0.0	0.1875	0.0
4	4	1/4	1/4	3/8	2	1	i6						c	i		i6	i		6					m	1	1	-3, 1, 0		0	-3	0	2	0.0	0.0	0.125	0.0
4	4	5/16	5/16	3/8	2	1	#viio						c	i		#viio	#vii	o						o	1	1	5, 2, -1		5	5	0	2	0.0	0.0	0.125	0.0
5	5	0	0	3/8	2	1	i						c	i		i	i							m	1	1	0, -3, 1		0	0	3	6	0.3333333333333333	0.25	0.5	0.3333333333333333
6	6	0	0	3/8	2	1	iv						c	i		iv	iv							m	1	1	-1, -4, 0		-1	-1	0	3	0.0	0.0	0.25	0.0
6	6	1/8	1/8	3/8	2	1	V						c	i		V	V							M	1	1	1, 5, 2		1	1	0	3	0.0	0.0	0.25	0.0
6	6	1/4	1/4	3/8	2	1	iv6						c	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4	0	3	0.0	0.0	0.25	0.0
7	7	0	0	3/8	2	1	V						c	i		V	V							M	1	1	1, 5, 2		1	1	0	3	0.0	0.0	0.25	0.0
7	7	1/8	1/8	3/8	2	1	iv6						c	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4	2	4	0.3333333333333333	0.125	0.375	0.25
8	8	0	0	3/8	2	1	V						c	i		V	V							M	1	1	1, 5, 2		1	1	1	3	0.25	0.0625	0.1875	0.25
8	8	1/8	1/8	3/8	2	1	iv6						c	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4	2	4	0.3333333333333333	0.125	0.375	0.25
9	9	0	0	3/8	2	1	V						c	i		V	V							M	1	1	1, 5, 2		1	1	1	3	0.25	0.0625	0.1875	0.25
9	9	1/8	1/8	3/8	2	1	iv6						c	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4	3	3	0.5	0.1875	0.3125	0.375
10	10	0	0	3/8	2	1	V|HC}{						c	i		V	V					HC	}{	M	1	1	1, 5, 2		1	1	4	6	0.4	0.3125	0.4375	0.4166666666666667
11	11	0	0	3/8	2	1	i						c	i		i	i							m	1	1	0, -3, 1		0	0	4	5	0.4444444444444444	0.3125	0.4375	0.4166666666666667
12	12	0	0	3/8	2	1	iv						c	i		iv	iv							m	1	1	-1, -4, 0		-1	-1	4	5	0.4444444444444444	0.3125	0.4375	0.4166666666666667
13	13	0	0	3/8	2	1	III.V						c	III		V	V							M	1	0	-2, 2, -1		-2	-2	4	5	0.4444444444444444	0.3125	0.4375	0.4166666666666667
14	14	0	0	3/8	2	1	I						c	III		I	I							M	1	0	-3, 1, -2		-3	-3	5	4	0.5555555555555556	0.4375	0.3125	0.5833333333333334
15	15	0	0	3/8	2	1	V7}{						c	III		V7	V		7				}{	Mm7	1	0	-2, 2, -1, -4		-2	-2	2	8	0.2	0.125	0.75	0.14285714285714285
16	16	0	0	3/8	2	1	I						c	III		I	I							M	1	0	-3, 1, -2		-3	-3	0	4	0.0	0.0	0.375	0.0
16	16	1/8	1/8	3/8	2	1	viio						c	III		viio	vii	o						o	1	0	2, -1, -4		2	2	0	4	0.0	0.0	0.375	0.0
16	16	1/4	1/4	3/8	2	1	vi						c	III		vi	vi							m	1	0	0, -3, 1		0	0	0	4	0.0	0.0	0.375	0.0
17	17	0	0	3/8	2	1	V7						c	III		V7	V		7					Mm7	1	0	-2, 2, -1, -4		-2	-2	2	8	0.2	0.125	0.75	0.14285714285714285
18	18	0	0	3/8	2	1	I						c	III		I	I							M	1	0	-3, 1, -2		-3	-3	0	4	0.0	0.0	0.375	0.0
18	18	1/8	1/8	3/8	2	1	viio						c	III		viio	vii	o						o	1	0	2, -1, -4		2	2	0	4	0.0	0.0	0.375	0.0
18	18	1/4	1/4	3/8	2	1	vi						c	III		vi	vi							m	1	0	0, -3, 1		0	0	0	4	0.0	0.0	0.375	0.0
19	19	0	0	3/8	2	1	V7						c	III		V7	V		7					Mm7	1	0	-2, 2, -1, -4		-2	-2	2	8	0.2	0.125	0.75	0.14285714285714285
20	20	0	0	3/8	2	1	I						c	III		I	I							M	1	0	-3, 1, -2		-3	-3	0	4	0.0	0.0	0.375	0.0
20	20	1/8	1/8	3/8	2	1	viio						c	III		viio	vii	o						o	1	0	2, -1, -4		2	2	0	4	0.0	0.0	0.375	0.0
