mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	3/8	2	1	G.I{		G	I		I	I						{	M	0	0	1, 5, 2		1	1	3	26	0.10344827586206896	0.25	3.125	0.07407407407407407
6	6	0	0	3/8	2	1	viio		G	I		viio	vii	o						o	0	0	6, 3, 0		6	6	1	3	0.25	0.0	0.5	0.0
6	6	1/4	1/4	3/8	2	1	I		G	I		I	I							M	0	0	1, 5, 2		1	1	0	2	0.0	0.0	0.25	0.0
7	7	0	0	3/8	2	1	ii6		G	I		ii6	ii		6					m	0	0	0, 4, 3		3	0	0	3	0.0	0.0	0.25	0.0
7	7	1/8	1/8	3/8	2	1	V(64)		G	I		V(64)	V			64				M	0	0	2, 1, 5		2	2	0	3	0.0	0.0	0.25	0.0
7	7	1/4	1/4	3/8	2	1	V6		G	I		V6	V		6					M	0	0	6, 3, 2		2	6	0	3	0.0	0.0	0.25	0.0
8	8	0	0	3/8	2	1	I}		G	I		I	I						}	M	0	0	1, 5, 2		1	1	0	3	0.0	0.0	0.25	0.0
8	8	1/8	1/8	3/8	2	1	V		G	I		V	V							M	0	0	2, 6, 3		2	2	0	3	0.0	0.0	0.25	0.0
8	8	1/4	1/4	3/8	2	1	I|PAC		G	I		I	I					PAC		M	0	0	1, 5, 2		1	1	2	6	0.25	0.25	0.75	0.25
10	10	0	0	3/8	2	1	viio		G	I		viio	vii	o						o	0	0	6, 3, 0		6	6	1	3	0.25	0.0	0.5	0.0
10	10	1/4	1/4	3/8	2	1	I		G	I		I	I							M	0	0	1, 5, 2		1	1	0	2	0.0	0.0	0.25	0.0
11	11	0	0	3/8	2	1	ii6		G	I		ii6	ii		6					m	0	0	0, 4, 3		3	0	0	3	0.0	0.0	0.25	0.0
11	11	1/8	1/8	3/8	2	1	V(64)		G	I		V(64)	V			64				M	0	0	2, 1, 5		2	2	0	3	0.0	0.0	0.25	0.0
11	11	1/4	1/4	3/8	2	1	V		G	I		V	V							M	0	0	2, 6, 3		2	2	0	3	0.0	0.0	0.25	0.0
12	12	0	0	3/8	2	1	I}		G	I		I	I						}	M	0	0	1, 5, 2		1	1	0	3	0.0	0.0	0.25	0.0
