mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	minDistance	offset	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	3/8	2	1	A.I{						A	I		I		I						{	M	0	0	3, 7, 4		3	3	0	13	0.0	0.0	1.1875	0.0
4	4	0	0	3/8	2	1	IV						A	I		IV		IV							M	0	0	2, 6, 3		2	2	0	8	0.0	0.0	0.5	0.0
5	5	0	0	3/8	2	1	I						A	I		I		I							M	0	0	3, 7, 4		3	3	0	8	0.0	0.0	0.5	0.0
6	6	0	0	3/8	2	1	IV						A	I		IV		IV							M	0	0	2, 6, 3		2	2	0	8	0.0	0.0	0.5	0.0
7	7	0	0	3/8	2	1	I						A	I		I		I							M	0	0	3, 7, 4		3	3	0	8	0.0	0.0	0.5	0.0
8	8	0	0	3/8	2	1	IV						A	I		IV		IV							M	0	0	2, 6, 3		2	2	0	8	0.0	0.0	0.5	0.0
9	9	0	0	3/8	2	1	I}						A	I		I		I						}	M	0	0	3, 7, 4		3	3	0	10	0.0	0.0	0.6875	0.0
10	10	1/8	1/8	3/8	2	1	V6						A	I		V6		V		6					M	0	0	8, 5, 4		4	8	0	3	0.0	0.0	0.25	0.0
10	10	1/4	1/4	3/8	2	1	viio6/V						A	I		viio6/V		vii	o	6		V			o	0	0	6, 3, 9		9	6	0	3	0.0	0.0	0.25	0.0
11	11	0	0	3/8	2	1	V						A	I		V		V							M	0	0	4, 8, 5		4	4	0	8	0.0	0.0	0.5	0.0
12	12	0	0	3/8	2	1	I						A	I		I		I							M	0	0	3, 7, 4		3	3	0	8	0.0	0.0	0.5	0.0
13	13	0	0	3/8	2	1	V						A	I		V		V							M	0	0	4, 8, 5		4	4	0	8	0.0	0.0	0.5	0.0
14	14	0	0	3/8	2	1	I						A	I		I		I							M	0	0	3, 7, 4		3	3	0	8	0.0	0.0	0.5	0.0
15	15	0	0	3/8	2	1	V						A	I		V		V							M	0	0	4, 8, 5		4	4	0	8	0.0	0.0	0.5	0.0
16	16	0	0	3/8	2	1	I						A	I		I		I							M	0	0	3, 7, 4		3	3	0	8	0.0	0.0	0.5	0.0
17	17	0	0	3/8	2	1	V}						A	I		V		V						}	M	0	0	4, 8, 5		4	4	0	8	0.0	0.0	0.5	0.0
18	18	0	0	3/8	2	1	i{						A	I		i		i						{	m	0	0	3, 0, 4		3	3	0	2	0.0	0.0	0.125	0.0
18	18	1/16	1/16	3/8	2	1	viio64/IV						A	I		viio64/IV		vii	o	64		IV			o	0	0	1, 7, 4		7	1	0	2	0.0	0.0	0.125	0.0
18	18	1/8	1/8	3/8	2	1	IV						A	I		IV		IV							M	0	0	2, 6, 3		2	2	0	2	0.0	0.0	0.125	0.0
18	18	3/16	3/16	3/8	2	1	V/V						A	I		V/V		V				V			M	0	0	5, 9, 6		5	5	0	2	0.0	0.0	0.125	0.0
18	18	1/4	1/4	3/8	2	1	V6						A	I		V6		V		6					M	0	0	8, 5, 4		4	8	1	1	0.5	0.0625	0.0625	0.5
18	18	5/16	5/16	3/8	2	1	V64/v	-1.77644	3.36666	0.444503	/	#viio6/v	A	I		V64/v		V		64		v			M	0	0	6, 5, 9		5	6	0	2	0.0	0.0	0.125	0.0
19	19	0	0	3/8	2	1	v						A	I		v		v							m	0	0	4, 1, 5		4	4	0	2	0.0	0.0	0.125	0.0
19	19	1/16	1/16	3/8	2	1	V2					viio64	A	I		V2		V		2					Mm7	0	0	2, 4, 8, 5		4	2	0	2	0.0	0.0	0.125	0.0
19	19	1/8	1/8	3/8	2	1	i6						A	I		i6		i		6					m	0	0	0, 4, 3		3	0	0	2	0.0	0.0	0.125	0.0
19	19	3/16	3/16	3/8	2	1	v64						A	I		v64		v		64					m	0	0	5, 4, 1		4	5	0	2	0.0	0.0	0.125	0.0
19	19	1/4	1/4	3/8	2	1	V.ii%65						A	V		ii%65		ii	%	65					%7	0	0	3, 0, 4, 6		6	3	0	4	0.0	0.0	0.375	0.0
20	20	0	0	3/8	2	1	V						A	V		V		V							M	0	0	5, 9, 6		5	5	0	4	0.0	0.0	0.25	0.0
20	20	1/8	1/8	3/8	2	1	iv6						A	V		iv6		iv		6					m	0	0	0, 4, 3		3	0	0	2	0.0	0.0	0.125	0.0
20	20	3/16	3/16	3/8	2	1	#viio/bVII						A	V		#viio/bVII		#vii	o			bVII			o	0	0	7, 4, 1		7	7	0	2	0.0	0.0	0.125	0.0
20	20	1/4	1/4	3/8	2	1	bVII						A	V		bVII		bVII							M	0	0	2, 6, 3		2	2	1	1	0.5	0.0625	0.0625	0.5
20	20	5/16	5/16	3/8	2	1	viio						A	V		viio		vii	o						o	0	0	9, 6, 3		9	9	0	2	0.0	0.0	0.125	0.0
21	21	0	0	3/8	2	1	I						A	V		I		I							M	0	0	4, 8, 5		4	4	0	3	0.0	0.0	0.25	0.0
21	21	1/8	1/8	3/8	2	1	bII						A	V		bII		bII							M	0	0	-1, 3, 0		-1	-1	0	2	0.0	0.0	0.125	0.0
21	21	3/16	3/16	3/8	2	1	viio/bIII						A	V		viio/bIII		vii	o			bIII			o	0	0	6, 3, 0		6	6	0	2	0.0	0.0	0.125	0.0
21	21	1/4	1/4	3/8	2	1	bIII						A	V		bIII		bIII							M	0	0	1, 5, 2		1	1	0	2	0.0	0.0	0.125	0.0
21	21	5/16	5/16	3/8	2	1	viio/IV						A	V		viio/IV		vii	o			IV			o	0	0	8, 5, 2		8	8	0	2	0.0	0.0	0.125	0.0
22	22	0	0	3/8	2	1	IV						A	V		IV		IV							M	0	0	3, 7, 4		3	3	0	3	0.0	0.0	0.25	0.0
22	22	1/8	1/8	3/8	2	1	V						A	V		V		V							M	0	0	5, 9, 6		5	5	0	3	0.0	0.0	0.25	0.0
22	22	1/4	1/4	3/8	2	1	It6						A	V		It6	It	vii	o	6	b3	V			It	0	0	0, 4, 10		10	0	0	3	0.0	0.0	0.25	0.0
23	23	0	0	3/8	2	1	V|HC}{						A	V		V		V					HC	}{	M	0	0	5, 9, 6		5	5	0	5	0.0	0.0	0.375	0.0
23	23	1/4	1/4	3/8	2	1	V(64)						A	V		V(64)		V			64				M	0	0	5, 4, 8		5	5	0	3	0.0	0.0	0.25	0.0
24	24	0	0	3/8	2	1	V						A	V		V		V							M	0	0	5, 9, 6		5	5	0	5	0.0	0.0	0.375	0.0
24	24	1/4	1/4	3/8	2	1	V(64)						A	V		V(64)		V			64				M	0	0	5, 4, 8		5	5	0	3	0.0	0.0	0.25	0.0
25	25	0	0	3/8	2	1	V						A	V		V		V							M	0	0	5, 9, 6		5	5	0	5	0.0	0.0	0.375	0.0
25	25	1/4	1/4	3/8	2	1	V(64)						A	V		V(64)		V			64				M	0	0	5, 4, 8		5	5	0	3	0.0	0.0	0.25	0.0
26	26	0	0	3/8	2	1	V						A	V		V		V							M	0	0	5, 9, 6		5	5	2	3	0.4	0.125	0.25	0.3333333333333333
26	26	1/4	1/4	3/8	2	1	V7						A	V		V7		V		7					Mm7	0	0	5, 9, 6, 3		5	5	0	4	0.0	0.0	0.375	0.0
27	27	0	0	3/8	2	1	I|PAC}{						A	V		I		I					PAC	}{	M	0	0	4, 8, 5		4	4	1	5	0.16666666666666666	0.0625	0.4375	0.125
27	27	1/4	1/4	3/8	2	1	I(64)						A	V		I(64)		I			64				M	0	0	4, 3, 7		4	4	0	3	0.0	0.0	0.25	0.0
28	28	0	0	3/8	2	1	I						A	V		I		I							M	0	0	4, 8, 5		4	4	0	5	0.0	0.0	0.375	0.0
28	28	1/4	1/4	3/8	2	1	I(64)						A	V		I(64)		I			64				M	0	0	4, 3, 7		4	4	0	3	0.0	0.0	0.25	0.0
29	29	0	0	3/8	2	1	I						A	V		I		I							M	0	0	4, 8, 5		4	4	0	5	0.0	0.0	0.375	0.0
