mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	minDistance	offset	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	3/8	2	1	a.i{						a	i		i	i						{	m	1	1	3, 0, 4		3	3	1	6	0.14285714285714285	0.0	0.875	0.0
2	2	1/4	1/4	3/8	2	1	V						a	i		V	V							M	1	1	4, 8, 5		4	4	0	2	0.0	0.0	0.25	0.0
3	3	0	0	3/8	2	1	i6						a	i		i6	i		6					m	1	1	0, 4, 3		3	0	0	3	0.0	0.0	0.5	0.0
3	3	1/4	1/4	3/8	2	1	#viio6						a	i		#viio6	#vii	o	6					o	1	1	5, 2, 8		8	5	0	3	0.0	0.0	0.375	0.0
4	4	0	0	3/8	2	1	i						a	i		i	i							m	1	1	3, 0, 4		3	3	1	4	0.2	0.0	0.75	0.0
4	4	1/4	1/4	3/8	2	1	iio6						a	i		iio6	ii	o	6					o	1	1	2, -1, 5		5	2	0	3	0.0	0.0	0.375	0.0
5	5	0	0	3/8	2	1	i6						a	i		i6	i		6					m	1	1	0, 4, 3		3	0	0	3	0.0	0.0	0.5	0.0
5	5	1/4	1/4	3/8	2	1	#viio6						a	i		#viio6	#vii	o	6					o	1	1	5, 2, 8		8	5	0	3	0.0	0.0	0.375	0.0
6	6	0	0	3/8	2	1	i						a	i		i	i							m	1	1	3, 0, 4		3	3	1	4	0.2	0.0	0.75	0.0
6	6	1/4	1/4	3/8	2	1	iio6						a	i		iio6	ii	o	6					o	1	1	2, -1, 5		5	2	0	3	0.0	0.0	0.375	0.0
7	7	0	0	3/8	2	1	i6						a	i		i6	i		6					m	1	1	0, 4, 3		3	0	0	3	0.0	0.0	0.375	0.0
7	7	1/8	1/8	3/8	2	1	iio6						a	i		iio6	ii	o	6					o	1	1	2, -1, 5		5	2	0	2	0.0	0.0	0.375	0.0
7	7	1/4	1/4	3/8	2	1	V						a	i		V	V							M	1	1	4, 8, 5		4	4	0	2	0.0	0.0	0.25	0.0
8	8	0	0	3/8	2	1	i|IAC}						a	i		i	i					IAC	}	m	1	1	3, 0, 4		3	3	1	3	0.25	0.0625	0.3125	0.16666666666666666
9	9	0	0	3/8	2	1	III.vi{						a	III		vi	vi						{	m	1	0	3, 0, 4		3	3	0	9	0.0	0.0	0.75	0.0
