mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	4/4	2	1	c.i{					c	i		i	i						{	m	1	1	0, -3, 1		0	0	10	26	0.2777777777777778	0.625	2.875	0.17857142857142858
2	2	3/4	3/4	4/4	2	1	iv					c	i		iv	iv							m	1	1	-1, -4, 0		-1	-1	2	6	0.25	0.125	0.375	0.25
3	3	0	0	4/4	2	1	i6}					c	i		i6	i		6				}	m	1	1	-3, 1, 0		0	-3	2	4	0.3333333333333333	0.0625	0.4375	0.125
3	3	1/4	1/4	4/4	2	1	i					c	i		i	i							m	1	1	0, -3, 1		0	0	0	45	0.0	0.0	5.75	0.0
5	5	3/4	3/4	4/4	2	1	#viio					c	i		#viio	#vii	o						o	1	1	5, 2, -1		5	5	1	4	0.2	0.0625	0.4375	0.125
6	6	0	0	4/4	2	1	i					c	i		i	i							m	1	1	0, -3, 1		0	0	0	12	0.0	0.0	1.4375	0.0
6	6	3/4	3/4	4/4	2	1	V					c	i		V	V							M	1	1	1, 5, 2		1	1	1	3	0.25	0.0625	0.4375	0.125
6	6	7/8	7/8	4/4	2	1	V7					c	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1	0	3	0.0	0.0	0.25	0.0
7	7	0	0	4/4	2	1	i					c	i		i	i							m	1	1	0, -3, 1		0	0	0	12	0.0	0.0	1.4375	0.0
7	7	3/4	3/4	4/4	2	1	V					c	i		V	V							M	1	1	1, 5, 2		1	1	1	3	0.25	0.0625	0.4375	0.125
7	7	7/8	7/8	4/4	2	1	V7					c	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1	0	3	0.0	0.0	0.25	0.0
8	8	0	0	4/4	2	1	i|IAC}					c	i		i	i					IAC	}	m	1	1	0, -3, 1		0	0	0	17	0.0	0.0	1.625	0.0
9	9	0	0	4/4	2	1	V					c	i		V	V							M	1	1	1, 5, 2		1	1	0	6	0.0	0.0	0.5625	0.0
9	9	3/8	3/8	4/4	2	1	V7					c	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1	0	2	0.0	0.0	0.125	0.0
9	9	1/2	1/2	4/4	2	1	i6					c	i		i6	i		6					m	1	1	-3, 1, 0		0	-3	0	8	0.0	0.0	0.6875	0.0
10	10	0	0	4/4	2	1	V					c	i		V	V							M	1	1	1, 5, 2		1	1	0	6	0.0	0.0	0.5625	0.0
10	10	3/8	3/8	4/4	2	1	V7					c	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1	0	2	0.0	0.0	0.125	0.0
10	10	1/2	1/2	4/4	2	1	i6					c	i		i6	i		6					m	1	1	-3, 1, 0		0	-3	0	8	0.0	0.0	0.6875	0.0
