mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	volta	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	4/4	2	1	d.i{			d	i		i	i							{	m	1	1	2, -1, 3		2	2	1	5	0.16666666666666666	0.125	1.375	0.08333333333333333
1	1	3/8	3/8	4/4	2	1	#viio64			d	i		#viio64	#vii	o	64						o	1	1	1, 7, 4		7	1	0	4	0.0	0.0	0.5	0.0
1	1	1/2	1/2	4/4	2	1	i6			d	i		i6	i		6						m	1	1	-1, 3, 2		2	-1	1	5	0.16666666666666666	0.125	1.5	0.07692307692307693
1	1	3/4	3/4	4/4	2	1	i			d	i		i	i								m	1	1	2, -1, 3		2	2	0	1	0.0	0.0	0.125	0.0
1	1	7/8	7/8	4/4	2	1	#viio7			d	i		#viio7	#vii	o	7						o7	1	1	7, 4, 1, -2		7	7	0	3	0.0	0.0	0.375	0.0
2	2	0	0	4/4	2	1	i6			d	i		i6	i		6						m	1	1	-1, 3, 2		2	-1	0	5	0.0	0.0	0.75	0.0
2	2	1/8	1/8	4/4	2	1	#viio6			d	i		#viio6	#vii	o	6						o	1	1	4, 1, 7		7	4	0	3	0.0	0.0	0.625	0.0
2	2	1/4	1/4	4/4	2	1	i6(119)			d	i		i6(119)	i		6	119					m	1	1	-1, 3, 2	1, 4	2	-1	0	1	0.0	0.0	0.125	0.0
2	2	3/8	3/8	4/4	2	1	iv7			d	i		iv7	iv		7						mm7	1	1	1, -2, 2, -1		1	1	0	3	0.0	0.0	0.375	0.0
2	2	1/2	1/2	4/4	2	1	V			d	i		V	V								M	1	1	3, 7, 4		3	3	2	4	0.3333333333333333	0.25	0.875	0.2222222222222222
2	2	3/4	3/4	4/4	2	1	V6			d	i		V6	V		6						M	1	1	7, 4, 3		3	7	0	2	0.0	0.0	0.375	0.0
2	2	7/8	7/8	4/4	2	1	V7			d	i		V7	V		7						Mm7	1	1	3, 7, 4, 1		3	3	0	2	0.0	0.0	0.25	0.0
