mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	4/4	2	1	Bb.I{					Bb	I		I	I							{	M	0	0	-2, 2, -1		-2	-2	0	5	0.0	0.0	1.125	0.0
1	1	1/2	1/2	4/4	2	1	V6					Bb	I		V6	V		6						M	0	0	3, 0, -1		-1	3	1	2	0.3333333333333333	0.125	0.5	0.2
1	1	3/4	3/4	4/4	2	1	V					Bb	I		V	V								M	0	0	-1, 3, 0		-1	-1	1	3	0.25	0.125	0.625	0.16666666666666666
2	2	0	0	4/4	2	1	vi					Bb	I		vi	vi								m	0	0	1, -2, 2		1	1	1	3	0.25	0.125	0.875	0.125
2	2	3/8	3/8	4/4	2	1	I6					Bb	I		I6	I		6						M	0	0	2, -1, -2		-2	2	0	2	0.0	0.0	0.25	0.0
2	2	1/2	1/2	4/4	2	1	IV					Bb	I		IV	IV								M	0	0	-3, 1, -2		-3	-3	2	3	0.4	0.09375	0.53125	0.15
2	2	3/4	3/4	4/4	2	1	V(64)					Bb	I		V(64)	V			64					M	0	0	-1, -2, 2		-1	-1	0	3	0.0	0.0	0.5	0.0
2	2	7/8	7/8	4/4	2	1	V					Bb	I		V	V								M	0	0	-1, 3, 0		-1	-1	0	2	0.0	0.0	0.25	0.0
3	3	0	0	4/4	2	1	I					Bb	I		I	I								M	0	0	-2, 2, -1		-2	-2	0	4	0.0	0.0	1.0	0.0
3	3	3/8	3/8	4/4	2	1	I6					Bb	I		I6	I		6						M	0	0	2, -1, -2		-2	2	0	2	0.0	0.0	0.25	0.0
3	3	1/2	1/2	4/4	2	1	IV					Bb	I		IV	IV								M	0	0	-3, 1, -2		-3	-3	2	3	0.4	0.09375	0.53125	0.15
3	3	3/4	3/4	4/4	2	1	V(64)					Bb	I		V(64)	V			64					M	0	0	-1, -2, 2		-1	-1	0	3	0.0	0.0	0.5	0.0
3	3	7/8	7/8	4/4	2	1	V					Bb	I		V	V								M	0	0	-1, 3, 0		-1	-1	0	2	0.0	0.0	0.25	0.0
4	4	0	0	4/4	2	1	I					Bb	I		I	I								M	0	0	-2, 2, -1		-2	-2	0	4	0.0	0.0	1.0	0.0
4	4	3/8	3/8	4/4	2	1	I6					Bb	I		I6	I		6						M	0	0	2, -1, -2		-2	2	0	2	0.0	0.0	0.25	0.0
4	4	1/2	1/2	4/4	2	1	IV					Bb	I		IV	IV								M	0	0	-3, 1, -2		-3	-3	2	3	0.4	0.09375	0.53125	0.15
4	4	3/4	3/4	4/4	2	1	V(64)					Bb	I		V(64)	V			64					M	0	0	-1, -2, 2		-1	-1	0	3	0.0	0.0	0.5	0.0
4	4	7/8	7/8	4/4	2	1	V					Bb	I		V	V								M	0	0	-1, 3, 0		-1	-1	0	2	0.0	0.0	0.25	0.0
5	5	0	0	4/4	2	1	I|PAC}{					Bb	I		I	I						PAC	}{	M	0	0	-2, 2, -1		-2	-2	6	7	0.46153846153846156	0.21875	0.78125	0.21875
5	5	1/2	1/2	4/4	2	1	V					Bb	I		V	V								M	0	0	-1, 3, 0		-1	-1	4	4	0.5	0.5	0.5	0.5
6	6	0	0	4/4	2	1	I					Bb	I		I	I								M	0	0	-2, 2, -1		-2	-2	6	7	0.46153846153846156	0.21875	0.78125	0.21875
6	6	1/2	1/2	4/4	2	1	V					Bb	I		V	V								M	0	0	-1, 3, 0		-1	-1	4	4	0.5	0.5	0.5	0.5
7	7	0	0	4/4	2	1	I6					Bb	I		I6	I		6						M	0	0	2, -1, -2		-2	2	3	5	0.375	0.14583333333333334	0.6041666666666666	0.19444444444444445
7	7	3/8	3/8	4/4	2	1	viio6					Bb	I		viio6	vii	o	6						o	0	0	0, -3, 3		3	0	2	3	0.4	0.0625	0.1875	0.25
7	7	1/2	1/2	4/4	2	1	I					Bb	I		I	I								M	0	0	-2, 2, -1		-2	-2	3	6	0.3333333333333333	0.375	1.125	0.25
8	8	0	0	4/4	2	1	ii					Bb	I		ii	ii								m	0	0	0, -3, 1		0	0	1	4	0.2	0.125	0.625	0.16666666666666666
8	8	1/4	1/4	4/4	2	1	V7					Bb	I		V7	V		7						Mm7	0	0	-1, 3, 0, -3		-1	-1	0	5	0.0	0.0	0.75	0.0
8	8	1/2	1/2	4/4	2	1	I					Bb	I		I	I								M	0	0	-2, 2, -1		-2	-2	0	5	0.0	0.0	0.75	0.0
8	8	3/4	3/4	4/4	2	1	ii6					Bb	I		ii6	ii		6						m	0	0	-3, 1, 0		0	-3	2	3	0.4	0.25	0.5	0.3333333333333333
9	9	0	0	4/4	2	1	V|HC}{					Bb	I		V	V						HC	}{	M	0	0	-1, 3, 0		-1	-1	1	6	0.14285714285714285	0.0625	0.8125	0.07142857142857142
9	9	1/4	1/4	4/4	2	1	V.viio6(6)					Bb	V		viio6(6)	vii	o	6	6					o	0	0	1, 0, 4		4	1	0	2	0.0	0.0	0.5	0.0
9	9	3/8	3/8	4/4	2	1	viio6					Bb	V		viio6	vii	o	6						o	0	0	1, -2, 4		4	1	0	1	0.0	0.0	0.125	0.0
9	9	1/2	1/2	4/4	2	1	I					Bb	V		I	I								M	0	0	-1, 3, 0		-1	-1	1	6	0.14285714285714285	0.0625	0.8125	0.07142857142857142
9	9	3/4	3/4	4/4	2	1	viio6(6)					Bb	V		viio6(6)	vii	o	6	6					o	0	0	1, 0, 4		4	1	0	2	0.0	0.0	0.5	0.0
9	9	7/8	7/8	4/4	2	1	viio6	-0.229358	3.5	/		Bb	V		viio6	vii	o	6						o	0	0	1, -2, 4		4	1	0	1	0.0	0.0	0.125	0.0
10	10	0	0	4/4	2	1	I6					Bb	V		I6	I		6						M	0	0	3, 0, -1		-1	3	1	6	0.14285714285714285	0.0625	0.8125	0.07142857142857142
10	10	1/4	1/4	4/4	2	1	IV(^2)					Bb	V		IV(^2)	IV			^2					M	0	0	-2, 0, -1		-2	-2	0	2	0.0	0.0	0.375	0.0
10	10	3/8	3/8	4/4	2	1	IV					Bb	V		IV	IV								M	0	0	-2, 2, -1		-2	-2	0	1	0.0	0.0	0.125	0.0
10	10	1/2	1/2	4/4	2	1	I6					Bb	V		I6	I		6						M	0	0	3, 0, -1		-1	3	1	6	0.14285714285714285	0.0625	0.8125	0.07142857142857142
10	10	3/4	3/4	4/4	2	1	IV(^2)					Bb	V		IV(^2)	IV			^2					M	0	0	-2, 0, -1		-2	-2	0	2	0.0	0.0	0.5	0.0
10	10	7/8	7/8	4/4	2	1	IV					Bb	V		IV	IV								M	0	0	-2, 2, -1		-2	-2	0	1	0.0	0.0	0.125	0.0
11	11	0	0	4/4	2	1	V					Bb	V		V	V								M	0	0	0, 4, 1		0	0	1	6	0.14285714285714285	0.0625	0.8125	0.07142857142857142
11	11	1/4	1/4	4/4	2	1	viio6(^4)/V					Bb	V		viio6(^4)/V	vii	o	6	^4	V				o	0	0	2, 4, 5		5	2	0	2	0.0	0.0	0.5	0.0
11	11	3/8	3/8	4/4	2	1	viio6/V					Bb	V		viio6/V	vii	o	6		V				o	0	0	2, -1, 5		5	2	0	1	0.0	0.0	0.125	0.0
11	11	1/2	1/2	4/4	2	1	V					Bb	V		V	V								M	0	0	0, 4, 1		0	0	1	6	0.14285714285714285	0.0625	0.8125	0.07142857142857142
11	11	3/4	3/4	4/4	2	1	viio6(^4)/V					Bb	V		viio6(^4)/V	vii	o	6	^4	V				o	0	0	2, 4, 5		5	2	0	2	0.0	0.0	0.5	0.0
11	11	7/8	7/8	4/4	2	1	viio6/V					Bb	V		viio6/V	vii	o	6		V				o	0	0	2, -1, 5		5	2	0	1	0.0	0.0	0.125	0.0
12	12	0	0	4/4	2	1	V[V|HC}{					Bb	V	V	V	V						HC	}{	M	0	0	0, 4, 1		0	0	4	5	0.4444444444444444	0.5	1.0	0.3333333333333333
12	12	1/2	1/2	4/4	2	1	i					Bb	V		i	i								m	0	0	-1, -4, 0		-1	-1	2	7	0.2222222222222222	0.25	1.25	0.16666666666666666
13	13	0	0	4/4	2	1	V					Bb	V		V	V								M	0	0	0, 4, 1		0	0	4	5	0.4444444444444444	0.5	1.0	0.3333333333333333
13	13	1/2	1/2	4/4	2	1	i					Bb	V		i	i								m	0	0	-1, -4, 0		-1	-1	2	7	0.2222222222222222	0.25	1.25	0.16666666666666666
14	14	0	0	4/4	2	1	V					Bb	V		V	V								M	0	0	0, 4, 1		0	0	4	5	0.4444444444444444	0.5	1.0	0.3333333333333333
14	14	1/2	1/2	4/4	2	1	i					Bb	V		i	i								m	0	0	-1, -4, 0		-1	-1	3	5	0.375	0.375	1.0	0.2727272727272727
15	15	0	0	4/4	2	1	V					Bb	V		V	V								M	0	0	0, 4, 1		0	0	1	3	0.25	0.125	1.0	0.1111111111111111
15	15	3/8	3/8	4/4	2	1	V(64)/i					Bb	V		V(64)/i	V			64	i				M	0	0	0, -1, -4		0	0	0	2	0.0	0.0	0.25	0.0
15	15	1/2	1/2	4/4	2	1	V					Bb	V		V	V								M	0	0	0, 4, 1		0	0	0	4	0.0	0.0	0.875	0.0
15	15	5/8	5/8	4/4	2	1	V(64)/i					Bb	V		V(64)/i	V			64	i				M	0	0	0, -1, -4		0	0	0	3	0.0	0.0	0.375	0.0
15	15	3/4	3/4	4/4	2	1	V7					Bb	V		V7	V		7						Mm7	0	0	0, 4, 1, -2		0	0	0	3	0.0	0.0	0.375	0.0
15	15	7/8	7/8	4/4	2	1	V(64)/i					Bb	V		V(64)/i	V			64	i				M	0	0	0, -1, -4		0	0	0	3	0.0	0.0	0.375	0.0
16	16	0	0	4/4	2	1	V					Bb	V		V	V								M	0	0	0, 4, 1		0	0	1	5	0.16666666666666666	0.125	1.5	0.07692307692307693
16	16	3/8	3/8	4/4	2	1	V(64)/i					Bb	V		V(64)/i	V			64	i				M	0	0	0, -1, -4		0	0	0	2	0.0	0.0	0.25	0.0
16	16	1/2	1/2	4/4	2	1	V					Bb	V		V	V								M	0	0	0, 4, 1		0	0	0	4	0.0	0.0	0.875	0.0
16	16	5/8	5/8	4/4	2	1	V(64)/i					Bb	V		V(64)/i	V			64	i				M	0	0	0, -1, -4		0	0	0	3	0.0	0.0	0.375	0.0
16	16	3/4	3/4	4/4	2	1	V					Bb	V		V	V								M	0	0	0, 4, 1		0	0	1	2	0.3333333333333333	0.125	0.25	0.3333333333333333
16	16	7/8	7/8	4/4	2	1	V(64)/i					Bb	V		V(64)/i	V			64	i				M	0	0	0, -1, -4		0	0	0	3	0.0	0.0	0.375	0.0
17	17	0	0	4/4	2	1	V]					Bb	V		V	V					]			M	0	0	0, 4, 1		0	0	1	5	0.16666666666666666	0.125	1.5	0.07692307692307693
17	17	3/8	3/8	4/4	2	1	#viio65/iv					Bb	V		#viio65/iv	#vii	o	65		iv				o7	0	0	0, -3, -6, 3		3	0	0	3	0.0	0.0	0.375	0.0
17	17	1/2	1/2	4/4	2	1	iv6					Bb	V		iv6	iv		6						m	0	0	-5, -1, -2		-2	-5	2	5	0.2857142857142857	0.25	0.875	0.2222222222222222
17	17	7/8	7/8	4/4	2	1	#viio6/iv					Bb	V		#viio6/iv	#vii	o	6		iv				o	0	0	0, -3, 3		3	0	0	3	0.0	0.0	0.375	0.0
18	18	0	0	4/4	2	1	iv6					Bb	V		iv6	iv		6						m	0	0	-5, -1, -2		-2	-5	2	5	0.2857142857142857	0.25	0.875	0.2222222222222222
18	18	3/8	3/8	4/4	2	1	#viio6/iv					Bb	V		#viio6/iv	#vii	o	6		iv				o	0	0	0, -3, 3		3	0	0	3	0.0	0.0	0.375	0.0
18	18	1/2	1/2	4/4	2	1	iv6					Bb	V		iv6	iv		6						m	0	0	-5, -1, -2		-2	-5	7	9	0.4375	0.875	1.375	0.3888888888888889
19	19	1/4	1/4	4/4	2	1	viio					Bb	V		viio	vii	o							o	0	0	4, 1, -2		4	4	0	3	0.0	0.0	0.375	0.0
19	19	3/8	3/8	4/4	2	1	i					Bb	V		i	i								m	0	0	-1, -4, 0		-1	-1	0	3	0.0	0.0	0.375	0.0
19	19	1/2	1/2	4/4	2	1	V[V7					Bb	V	V	V7	V		7						Mm7	0	0	0, 4, 1, -2		0	0	0	4	0.0	0.0	0.875	0.0
19	19	5/8	5/8	4/4	2	1	V(64)/i					Bb	V		V(64)/i	V			64	i				M	0	0	0, -1, -4		0	0	0	3	0.0	0.0	0.375	0.0
19	19	3/4	3/4	4/4	2	1	V					Bb	V		V	V								M	0	0	0, 4, 1		0	0	0	3	0.0	0.0	0.375	0.0
19	19	7/8	7/8	4/4	2	1	iio/V					Bb	V		iio/V	ii	o			V				o	0	0	2, -1, -4		2	2	0	3	0.0	0.0	0.375	0.0
20	20	0	0	4/4	2	1	V7					Bb	V		V7	V		7						Mm7	0	0	0, 4, 1, -2		0	0	0	3	0.0	0.0	0.75	0.0
20	20	1/8	1/8	4/4	2	1	V(64)/i					Bb	V		V(64)/i	V			64	i				M	0	0	0, -1, -4		0	0	0	2	0.0	0.0	0.25	0.0
20	20	1/4	1/4	4/4	2	1	V					Bb	V		V	V								M	0	0	0, 4, 1		0	0	0	3	0.0	0.0	0.375	0.0
20	20	3/8	3/8	4/4	2	1	V(64)/i					Bb	V		V(64)/i	V			64	i				M	0	0	0, -1, -4		0	0	0	3	0.0	0.0	0.375	0.0
20	20	1/2	1/2	4/4	2	1	V7					Bb	V		V7	V		7						Mm7	0	0	0, 4, 1, -2		0	0	0	4	0.0	0.0	0.875	0.0
20	20	5/8	5/8	4/4	2	1	V(64)/i					Bb	V		V(64)/i	V			64	i				M	0	0	0, -1, -4		0	0	0	3	0.0	0.0	0.375	0.0
20	20	3/4	3/4	4/4	2	1	V					Bb	V		V	V								M	0	0	0, 4, 1		0	0	0	3	0.0	0.0	0.375	0.0
20	20	7/8	7/8	4/4	2	1	V(64)/i					Bb	V		V(64)/i	V			64	i				M	0	0	0, -1, -4		0	0	0	2	0.0	0.0	0.25	0.0
21	21	0	0	4/4	2	1	V7}					Bb	V		V7	V		7					}	Mm7	0	0	0, 4, 1, -2		0	0	0	3	0.0	0.0	0.75	0.0
21	21	1/8	1/8	4/4	2	1	V(64)/i					Bb	V		V(64)/i	V			64	i				M	0	0	0, -1, -4		0	0	0	2	0.0	0.0	0.25	0.0
21	21	1/4	1/4	4/4	2	1	V]|HC					Bb	V		V	V					]	HC		M	0	0	0, 4, 1		0	0	6	7	0.46153846153846156	0.375	0.625	0.375
22	22	0	0	4/4	2	1	V7{					Bb	V		V7	V		7					{	Mm7	0	0	0, 4, 1, -2		0	0	0	3	0.0	0.0	0.5	0.0
22	22	1/4	1/4	4/4	2	1	V65				viio	Bb	V		V65	V		65						Mm7	0	0	4, 1, -2, 0		0	4	1	3	0.25	0.03125	0.46875	0.0625
22	22	1/2	1/2	4/4	2	1	I					Bb	V		I	I								M	0	0	-1, 3, 0		-1	-1	0	3	0.0	0.0	0.5	0.0
22	22	3/4	3/4	4/4	2	1	ii6				IV	Bb	V		ii6	ii		6						m	0	0	-2, 2, 1		1	-2	2	3	0.4	0.125	0.375	0.25
23	23	0	0	4/4	2	1	V(64)					Bb	V		V(64)	V			64					M	0	0	0, -1, 3		0	0	2	5	0.2857142857142857	0.041666666666666664	0.9583333333333334	0.041666666666666664
23	23	1/4	1/4	4/4	2	1	V7					Bb	V		V7	V		7						Mm7	0	0	0, 4, 1, -2		0	0	1	5	0.16666666666666666	0.03125	0.96875	0.03125
23	23	1/2	1/2	4/4	2	1	I|PAC}{					Bb	V		I	I						PAC	}{	M	0	0	-1, 3, 0		-1	-1	0	3	0.0	0.0	0.5	0.0
23	23	3/4	3/4	4/4	2	1	I6					Bb	V		I6	I		6						M	0	0	3, 0, -1		-1	3	1	2	0.3333333333333333	0.125	0.375	0.25
24	24	0	0	4/4	2	1	IV					Bb	V		IV	IV								M	0	0	-2, 2, -1		-2	-2	1	2	0.3333333333333333	0.125	0.375	0.25
24	24	1/4	1/4	4/4	2	1	I6					Bb	V		I6	I		6						M	0	0	3, 0, -1		-1	3	1	2	0.3333333333333333	0.125	0.375	0.25
24	24	1/2	1/2	4/4	2	1	ii				viio6	Bb	V		ii	ii								m	0	0	1, -2, 2		1	1	1	2	0.3333333333333333	0.125	0.375	0.25
24	24	3/4	3/4	4/4	2	1	I					Bb	V		I	I								M	0	0	-1, 3, 0		-1	-1	1	2	0.3333333333333333	0.125	0.375	0.25
25	25	0	0	4/4	2	1	ii6					Bb	V		ii6	ii		6						m	0	0	-2, 2, 1		1	-2	1	2	0.3333333333333333	0.125	0.375	0.25
25	25	1/4	1/4	4/4	2	1	IV6				vi	Bb	V		IV6	IV		6						M	0	0	2, -1, -2		-2	2	1	2	0.3333333333333333	0.125	0.375	0.25
25	25	1/2	1/2	4/4	2	1	V					Bb	V		V	V								M	0	0	0, 4, 1		0	0	1	3	0.25	0.0625	0.4375	0.125
25	25	3/4	3/4	4/4	2	1	I6					Bb	V		I6	I		6						M	0	0	3, 0, -1		-1	3	1	2	0.3333333333333333	0.125	0.375	0.25
26	26	0	0	4/4	2	1	V					Bb	V		V	V								M	0	0	0, 4, 1		0	0	0	2	0.0	0.0	0.375	0.0
26	26	1/8	1/8	4/4	2	1	V7					Bb	V		V7	V		7						Mm7	0	0	0, 4, 1, -2		0	0	0	2	0.0	0.0	0.25	0.0
26	26	1/4	1/4	4/4	2	1	V(64)					Bb	V		V(64)	V			64					M	0	0	0, -1, 3		0	0	0	3	0.0	0.0	0.5	0.0
26	26	3/8	3/8	4/4	2	1	V					Bb	V		V	V								M	0	0	0, 4, 1		0	0	0	2	0.0	0.0	0.25	0.0
26	26	1/2	1/2	4/4	2	1	I|IAC}{					Bb	V		I	I						IAC	}{	M	0	0	-1, 3, 0		-1	-1	0	3	0.0	0.0	0.5	0.0
26	26	3/4	3/4	4/4	2	1	I6					Bb	V		I6	I		6						M	0	0	3, 0, -1		-1	3	1	3	0.25	0.125	0.625	0.16666666666666666
27	27	0	0	4/4	2	1	IV					Bb	V		IV	IV								M	0	0	-2, 2, -1		-2	-2	1	3	0.25	0.0625	0.4375	0.125
27	27	1/4	1/4	4/4	2	1	I6					Bb	V		I6	I		6						M	0	0	3, 0, -1		-1	3	2	2	0.5	0.125	0.375	0.25
27	27	1/2	1/2	4/4	2	1	ii				viio6	Bb	V		ii	ii								m	0	0	1, -2, 2		1	1	2	2	0.5	0.125	0.375	0.25
27	27	3/4	3/4	4/4	2	1	I					Bb	V		I	I								M	0	0	-1, 3, 0		-1	-1	2	2	0.5	0.125	0.375	0.25
28	28	0	0	4/4	2	1	ii6					Bb	V		ii6	ii		6						m	0	0	-2, 2, 1		1	-2	2	2	0.5	0.125	0.375	0.25
