mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	volta	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	3/4	2	1	d.i{			d	i		i	i						{	m	1	1	2, -1, 3		2	2	0	7	0.0	0.0	1.375	0.0
1	1	1/2	1/2	3/4	2	1	iio6			d	i		iio6	ii	o	6					o	1	1	1, -2, 4		4	1	1	4	0.2	0.0625	0.75	0.07692307692307693
2	2	0	0	3/4	2	1	V7(9)			d	i		V7(9)	V		7	9				Mm7	1	1	3, 7, 4, 1	-2	3	3	0	6	0.0	0.0	1.25	0.0
2	2	1/4	1/4	3/4	2	1	V(6)			d	i		V(6)	V			6				M	1	1	3, 7, -1		3	3	0	3	0.0	0.0	0.5625	0.0
2	2	7/16	7/16	3/4	2	1	V7			d	i		V7	V		7					Mm7	1	1	3, 7, 4, 1		3	3	0	3	0.0	0.0	0.1875	0.0
2	2	1/2	1/2	3/4	2	1	i64		V(64)	d	i		i64	i		64					m	1	1	3, 2, -1		2	3	0	4	0.0	0.0	0.8125	0.0
3	3	0	0	3/4	2	1	V7(4)			d	i		V7(4)	V		7	4				Mm7	1	1	3, 2, 4, 1		3	3	0	5	0.0	0.0	1.0	0.0
3	3	1/4	1/4	3/4	2	1	V7			d	i		V7	V		7					Mm7	1	1	3, 7, 4, 1		3	3	3	3	0.5	0.1875	0.5625	0.25
3	3	1/2	1/2	3/4	2	1	V6			d	i		V6	V		6					M	1	1	7, 4, 3		3	7	0	3	0.0	0.0	0.625	0.0
3	3	11/16	11/16	3/4	2	1	V7			d	i		V7	V		7					Mm7	1	1	3, 7, 4, 1		3	3	0	2	0.0	0.0	0.125	0.0
4	4	0	0	3/4	2	1	i(9)}{			d	i		i(9)	i			9			}{	m	1	1	2, -1, 3	4	2	2	0	5	0.0	0.0	1.25	0.0
4	4	1/4	1/4	3/4	2	1	i|PAC			d	i		i	i					PAC		m	1	1	2, -1, 3		2	2	3	6	0.3333333333333333	0.4375	1.0625	0.2916666666666667
5	5	0	0	3/4	2	1	iv			d	i		iv	iv							m	1	1	1, -2, 2		1	1	0	3	0.0	0.0	0.6875	0.0
5	5	3/16	3/16	3/4	2	1	#viio64			d	i		#viio64	#vii	o	64					o	1	1	1, 7, 4		7	1	0	2	0.0	0.0	0.125	0.0
5	5	1/4	1/4	3/4	2	1	i6(62)			d	i		i6(62)	i		6	62				m	1	1	-1, -2, 4		2	-1	1	3	0.25	0.25	0.625	0.2857142857142857
5	5	7/16	7/16	3/4	2	1	i6			d	i		i6	i		6					m	1	1	-1, 3, 2		2	-1	0	2	0.0	0.0	0.125	0.0
5	5	1/2	1/2	3/4	2	1	#viio6(62)			d	i		#viio6(62)	#vii	o	6	62				o	1	1	4, 3, 2		7	4	0	4	0.0	0.0	0.875	0.0
5	5	11/16	11/16	3/4	2	1	#viio6			d	i		#viio6	#vii	o	6					o	1	1	4, 1, 7		7	4	0	2	0.0	0.0	0.125	0.0
6	6	0	0	3/4	2	1	i			d	i		i	i							m	1	1	2, -1, 3		2	2	3	8	0.2727272727272727	0.3125	1.5	0.1724137931034483
6	6	1/2	1/2	3/4	2	1	iv			d	i		iv	iv							m	1	1	1, -2, 2		1	1	1	4	0.2	0.0625	0.9375	0.0625
7	7	0	0	3/4	2	1	V/III			d	i		V/III	V				III			M	1	1	0, 4, 1		0	0	1	4	0.2	0.0625	0.9375	0.0625
7	7	1/4	1/4	3/4	2	1	vi/III			d	i		vi/III	vi				III			m	1	1	2, -1, 3		2	2	2	4	0.3333333333333333	0.125	0.875	0.125
7	7	1/2	1/2	3/4	2	1	IVM7/III			d	i		IVM7/III	IV	M	7		III			MM7	1	1	-2, 2, -1, 3		-2	-2	1	5	0.16666666666666666	0.0625	0.9375	0.0625
8	8	0	0	3/4	2	1	I6/III			d	i		I6/III	I		6		III			M	1	1	3, 0, -1		-1	3	2	5	0.2857142857142857	0.125	1.125	0.1
8	8	1/4	1/4	3/4	2	1	V/III			d	i		V/III	V				III			M	1	1	0, 4, 1		0	0	3	4	0.42857142857142855	0.1875	1.0625	0.15
8	8	1/2	1/2	3/4	2	1	V6/III			d	i		V6/III	V		6		III			M	1	1	4, 1, 0		0	4	1	3	0.25	0.0625	0.6875	0.08333333333333333
9	9	0	0	3/4	2	1	I(9)/III}{			d	i		I(9)/III	I			9	III		}{	M	1	1	-1, 3, 0	1	-1	-1	0	5	0.0	0.0	1.5	0.0
9	9	1/4	1/4	3/4	2	1	I/III|IAC			d	i		I/III	I				III	IAC		M	1	1	-1, 3, 0		-1	-1	2	3	0.4	0.125	0.625	0.16666666666666666
9	9	1/2	1/2	3/4	2	1	vi/III			d	i		vi/III	vi				III			m	1	1	2, -1, 3		2	2	2	3	0.4	0.125	0.625	0.16666666666666666
10	10	0	0	3/4	2	1	V/VII			d	i		V/VII	V				VII			M	1	1	1, 5, 2		1	1	2	4	0.3333333333333333	0.125	1.125	0.1
10	10	1/4	1/4	3/4	2	1	V(64)/VII			d	i		V(64)/VII	V			64	VII			M	1	1	1, 0, 4		1	1	2	3	0.4	0.3125	0.5625	0.35714285714285715
10	10	1/2	1/2	3/4	2	1	ii/VII			d	i		ii/VII	ii				VII			m	1	1	2, -1, 3		2	2	0	3	0.0	0.0	0.6875	0.0
10	10	5/8	5/8	3/4	2	1	V43/VII			d	i		V43/VII	V		43		VII			Mm7	1	1	2, -1, 1, 5		1	2	0	2	0.0	0.0	0.1875	0.0
11	11	0	0	3/4	2	1	I(11)/VII			d	i		I(11)/VII	I			11	VII			M	1	1	0, 4, 1	-1	0	0	1	4	0.2	0.0625	0.9375	0.0625
11	11	1/4	1/4	3/4	2	1	I/VII			d	i		I/VII	I				VII			M	1	1	0, 4, 1		0	0	3	4	0.42857142857142855	0.1875	0.8125	0.1875
11	11	1/2	1/2	3/4	2	1	v.ii%7			d	v		ii%7	ii	%	7					%7	1	1	5, 2, -1, 3		5	5	0	5	0.0	0.0	1.125	0.0
11	11	11/16	11/16	3/4	2	1	V43			d	v		V43	V		43					Mm7	1	1	5, 2, 4, 8		4	5	0	2	0.0	0.0	0.125	0.0
12	12	0	0	3/4	2	1	i(64)}{			d	v		i(64)	i			64			}{	m	1	1	3, 2, -1		3	3	1	4	0.2	0.0625	1.1875	0.05
12	12	1/4	1/4	3/4	2	1	i|IAC			d	v		i	i					IAC		m	1	1	3, 0, 4		3	3	2	3	0.4	0.125	0.625	0.16666666666666666
12	12	1/2	1/2	3/4	2	1	iv6			d	v		iv6	iv		6					m	1	1	-1, 3, 2		2	-1	1	5	0.16666666666666666	0.1875	0.875	0.17647058823529413
13	13	0	0	3/4	2	1	V			d	v		V	V							M	1	1	4, 8, 5		4	4	2	4	0.3333333333333333	0.125	0.875	0.125
13	13	1/4	1/4	3/4	2	1	V(6)			d	v		V(6)	V			6				M	1	1	4, 8, 0		4	4	0	4	0.0	0.0	0.75	0.0
13	13	7/16	7/16	3/4	2	1	V7			d	v		V7	V		7					Mm7	1	1	4, 8, 5, 2		4	4	0	4	0.0	0.0	0.25	0.0
13	13	1/2	1/2	3/4	2	1	i			d	v		i	i							m	1	1	3, 0, 4		3	3	2	4	0.3333333333333333	0.125	0.875	0.125
14	14	0	0	3/4	2	1	iv			d	v		iv	iv							m	1	1	2, -1, 3		2	2	2	4	0.3333333333333333	0.125	0.875	0.125
14	14	1/4	1/4	3/4	2	1	iv6			d	v		iv6	iv		6					m	1	1	-1, 3, 2		2	-1	3	4	0.42857142857142855	0.1875	0.8125	0.1875
14	14	1/2	1/2	3/4	2	1	iio6			d	v		iio6	ii	o	6					o	1	1	2, -1, 5		5	2	1	4	0.2	0.0625	0.9375	0.0625
15	15	0	0	3/4	2	1	V65			d	v		V65	V		65					Mm7	1	1	8, 5, 2, 4		4	8	1	5	0.16666666666666666	0.0625	0.9375	0.0625
15	15	1/4	1/4	3/4	2	1	V(6)			d	v		V(6)	V			6				M	1	1	4, 8, 0		4	4	1	3	0.25	0.1875	0.625	0.23076923076923078
15	15	7/16	7/16	3/4	2	1	V7			d	v		V7	V		7					Mm7	1	1	4, 8, 5, 2		4	4	0	3	0.0	0.0	0.1875	0.0
15	15	1/2	1/2	3/4	2	1	i}			d	v		i	i						}	m	1	1	3, 0, 4		3	3	0	5	0.0	0.0	1.0	0.0
16	16	0	0	3/4	2	1	iv(9){			d	v		iv(9)	iv			9			{	m	1	1	2, -1, 3	4	2	2	1	5	0.16666666666666666	0.0625	1.4375	0.041666666666666664
16	16	1/4	1/4	3/4	2	1	iv			d	v		iv	iv							m	1	1	2, -1, 3		2	2	0	2	0.0	0.0	0.25	0.0
16	16	1/2	1/2	3/4	2	1	bII6			d	v		bII6	bII		6					M	1	1	2, -1, -2		-2	2	0	3	0.0	0.0	0.5	0.0
17	17	0	0	3/4	2	1	V(9)			d	v		V(9)	V			9				M	1	1	4, 8, 5	-1	4	4	1	5	0.16666666666666666	0.0625	1.4375	0.041666666666666664
17	17	1/4	1/4	3/4	2	1	V			d	v		V	V							M	1	1	4, 8, 5		4	4	1	1	0.5	0.0625	0.1875	0.25
17	17	1/2	1/2	3/4	2	1	V7			d	v		V7	V		7					Mm7	1	1	4, 8, 5, 2		4	4	0	3	0.0	0.0	0.5	0.0
18	18	0	0	3/4	2	1	iv65(6)|DC			d	v		iv65(6)	iv		65	6		DC		mm7	1	1	-1, 5, 0, 2		2	-1	1	4	0.2	0.0625	1.1875	0.05
18	18	1/4	1/4	3/4	2	1	iv65			d	v		iv65	iv		65					mm7	1	1	-1, 3, 0, 2		2	-1	1	4	0.2	0.0625	0.6875	0.08333333333333333
18	18	1/2	1/2	3/4	2	1	iv			d	v		iv	iv							m	1	1	2, -1, 3		2	2	0	4	0.0	0.0	0.625	0.0
19	19	0	0	3/4	2	1	V65}{			d	v		V65	V		65				}{	Mm7	1	1	8, 5, 2, 4		4	8	1	4	0.2	0.1875	1.0	0.15789473684210525
19	19	7/16	7/16	3/4	2	1	V			d	v		V	V							M	1	1	4, 8, 5		4	4	0	2	0.0	0.0	0.125	0.0
19	19	1/2	1/2	3/4	2	1	VI			d	v		VI	VI							M	1	1	-1, 3, 0		-1	-1	0	3	0.0	0.0	0.5625	0.0
20	20	0	0	3/4	2	1	iv			d	v		iv	iv							m	1	1	2, -1, 3		2	2	1	3	0.25	0.0625	0.6875	0.08333333333333333
20	20	1/4	1/4	3/4	2	1	iio			d	v		iio	ii	o						o	1	1	5, 2, -1		5	5	0	3	0.0	0.0	0.875	0.0
20	20	1/2	1/2	3/4	2	1	V43			d	v		V43	V		43					Mm7	1	1	5, 2, 4, 8		4	5	1	5	0.16666666666666666	0.0625	1.0625	0.05555555555555555
21	21	0	0	3/4	2	1	i|IAC}{			d	v		i	i					IAC	}{	m	1	1	3, 0, 4		3	3	1	5	0.16666666666666666	0.0625	1.1875	0.05
21	21	7/16	7/16	3/4	2	1	V			d	v		V	V							M	1	1	4, 8, 5		4	4	0	2	0.0	0.0	0.125	0.0
21	21	1/2	1/2	3/4	2	1	VI			d	v		VI	VI							M	1	1	-1, 3, 0		-1	-1	0	5	0.0	0.0	1.0	0.0
22	22	0	0	3/4	2	1	iv			d	v		iv	iv							m	1	1	2, -1, 3		2	2	1	4	0.2	0.0625	0.6875	0.08333333333333333
22	22	1/4	1/4	3/4	2	1	V(64)			d	v		V(64)	V			64				M	1	1	4, 3, 0		4	4	2	3	0.4	0.75	0.75	0.5
22	22	1/2	1/2	3/4	2	1	V7			d	v		V7	V		7					Mm7	1	1	4, 8, 5, 2		4	4	1	3	0.25	0.125	0.75	0.14285714285714285
23	23	0	0	3/4	2	1	i|PAC}			d	v		i	i					PAC	}	m	1	1	3, 0, 4		3	3	6	8	0.42857142857142855	0.75	1.3125	0.36363636363636365
24	24	0	0	3/4	2	1	i.V			d	i		V	V							M	1	1	3, 7, 4		3	3	5	7	0.4166666666666667	0.6875	0.8125	0.4583333333333333
25	25	0	0	3/4	2	1	i{			d	i		i	i						{	m	1	1	2, -1, 3		2	2	0	7	0.0	0.0	1.5	0.0
25	25	7/16	7/16	3/4	2	1	VI6			d	i		VI6	VI		6					M	1	1	2, -1, -2		-2	2	0	4	0.0	0.0	0.25	0.0
25	25	1/2	1/2	3/4	2	1	V/III			d	i		V/III	V				III			M	1	1	0, 4, 1		0	0	1	4	0.2	0.0625	0.9375	0.0625
26	26	0	0	3/4	2	1	I6/III			d	i		I6/III	I		6		III			M	1	1	3, 0, -1		-1	3	0	5	0.0	0.0	1.0	0.0
26	26	1/4	1/4	3/4	2	1	ii6/III			d	i		ii6/III	ii		6		III			m	1	1	-2, 2, 1		1	-2	4	6	0.4	0.375	1.625	0.1875
