mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	3/8	2	1	e.i{				e	i		i	i						{	m	1	1	4, 1, 5		4	4	3	15	0.16666666666666666	0.1875	1.9375	0.08823529411764706
3	3	0	0	3/8	2	1	V6(#7)				e	i		V6(#7)	V		6	#7				M	1	1	9, 6, 10		5	9	0	3	0.0	0.0	0.375	0.0
3	3	1/8	1/8	3/8	2	1	V6				e	i		V6	V		6					M	1	1	9, 6, 5		5	9	0	5	0.0	0.0	0.75	0.0
4	4	0	0	3/8	2	1	i				e	i		i	i							m	1	1	4, 1, 5		4	4	3	8	0.2727272727272727	0.1875	0.8125	0.1875
5	5	0	0	3/8	2	1	V6(#7)				e	i		V6(#7)	V		6	#7				M	1	1	9, 6, 10		5	9	0	3	0.0	0.0	0.375	0.0
5	5	1/8	1/8	3/8	2	1	V6				e	i		V6	V		6					M	1	1	9, 6, 5		5	9	0	5	0.0	0.0	0.75	0.0
6	6	0	0	3/8	2	1	i				e	i		i	i							m	1	1	4, 1, 5		4	4	2	10	0.16666666666666666	0.125	1.0	0.1111111111111111
7	7	0	0	3/8	2	1	iv				e	i		iv	iv							m	1	1	3, 0, 4		3	3	3	9	0.25	0.1875	0.9375	0.16666666666666666
8	8	0	0	3/8	2	1	V(64)				e	i		V(64)	V			64				M	1	1	5, 4, 1		5	5	0	5	0.0	0.0	0.5	0.0
8	8	1/4	1/4	3/8	2	1	V				e	i		V	V							M	1	1	5, 9, 6		5	5	0	3	0.0	0.0	0.25	0.0
9	9	0	0	3/8	2	1	i|DC				e	i		i	i					DC		m	1	1	4, 1, 5		4	4	2	2	0.5	0.375	0.75	0.3333333333333333
10	10	0	0	3/8	2	1	i				e	i		i	i							m	1	1	4, 1, 5		4	4	2	7	0.2222222222222222	0.125	1.375	0.08333333333333333
11	11	0	0	3/8	2	1	iv				e	i		iv	iv							m	1	1	3, 0, 4		3	3	3	6	0.3333333333333333	0.1875	1.3125	0.125
12	12	0	0	3/8	2	1	V(64)				e	i		V(64)	V			64				M	1	1	5, 4, 1		5	5	0	7	0.0	0.0	1.0	0.0
12	12	1/4	1/4	3/8	2	1	V(+4)				e	i		V(+4)	V			+4				M	1	1	5, 9, 6	4	5	5	0	5	0.0	0.0	0.5	0.0
13	13	0	0	3/8	2	1	i|PAC}				e	i		i	i					PAC	}	m	1	1	4, 1, 5		4	4	1	3	0.25	0.0	1.125	0.0
14	14	0	0	3/8	2	1	i{				e	i		i	i						{	m	1	1	4, 1, 5		4	4	4	7	0.36363636363636365	0.25	0.4375	0.36363636363636365
15	15	0	0	3/8	2	1	iv(+7)				e	i		iv(+7)	iv			+7				m	1	1	3, 0, 4	1	3	3	3	9	0.25	0.1875	0.5625	0.25
16	16	0	0	3/8	2	1	i6				e	i		i6	i		6					m	1	1	1, 5, 4		4	1	4	8	0.3333333333333333	0.25	0.5	0.3333333333333333
17	17	0	0	3/8	2	1	#viio6(+4+2)				e	i		#viio6(+4+2)	#vii	o	6	+4+2				o	1	1	6, 3, 9	1, 4	9	6	0	12	0.0	0.0	0.75	0.0
18	18	0	0	3/8	2	1	i				e	i		i	i							m	1	1	4, 1, 5		4	4	4	8	0.3333333333333333	0.25	0.5	0.3333333333333333
