mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	volta	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	2/4	2	1	f.i{						f	i		i	i						{	m	1	1	-1, -4, 0		-1	-1	1	5	0.16666666666666666	0.0	1.0	0.0
1	1	1/4	1/4	2/4	2	1	#viio6						f	i		#viio6	#vii	o	6					o	1	1	1, -2, 4		4	1	1	4	0.2	0.0625	0.6875	0.08333333333333333
2	2	0	0	2/4	2	1	i6						f	i		i6	i		6					m	1	1	-4, 0, -1		-1	-4	3	5	0.375	0.25	1.0	0.2
2	2	3/8	3/8	2/4	2	1	i						f	i		i	i							m	1	1	-1, -4, 0		-1	-1	0	2	0.0	0.0	0.25	0.0
3	3	0	0	2/4	2	1	iio6						f	i		iio6	ii	o	6					o	1	1	-2, -5, 1		1	-2	1	3	0.25	0.0625	0.3125	0.16666666666666666
3	3	1/8	1/8	2/4	2	1	i6						f	i		i6	i		6					m	1	1	-4, 0, -1		-1	-4	1	3	0.25	0.0625	0.3125	0.16666666666666666
3	3	1/4	1/4	2/4	2	1	#viio6						f	i		#viio6	#vii	o	6					o	1	1	1, -2, 4		4	1	1	3	0.25	0.0625	0.3125	0.16666666666666666
3	3	3/8	3/8	2/4	2	1	i						f	i		i	i							m	1	1	-1, -4, 0		-1	-1	1	3	0.25	0.0625	0.3125	0.16666666666666666
4	4	0	0	2/4	2	1	V|HC}						f	i		V	V					HC	}	M	1	1	0, 4, 1		0	0	3	5	0.375	0.125	0.8125	0.13333333333333333
5	5	0	0	2/4	2	1	i{						f	i		i	i						{	m	1	1	-1, -4, 0		-1	-1	1	5	0.16666666666666666	0.0	1.0	0.0
5	5	1/4	1/4	2/4	2	1	#viio6						f	i		#viio6	#vii	o	6					o	1	1	1, -2, 4		4	1	1	4	0.2	0.0625	0.6875	0.08333333333333333
6	6	0	0	2/4	2	1	i6						f	i		i6	i		6					m	1	1	-4, 0, -1		-1	-4	3	5	0.375	0.25	1.0	0.2
6	6	3/8	3/8	2/4	2	1	i						f	i		i	i							m	1	1	-1, -4, 0		-1	-1	0	2	0.0	0.0	0.25	0.0
7	7	0	0	2/4	2	1	iio6						f	i		iio6	ii	o	6					o	1	1	-2, -5, 1		1	-2	1	6	0.14285714285714285	0.0625	0.6875	0.08333333333333333
7	7	1/4	1/4	2/4	2	1	V(64)						f	i		V(64)	V			64				M	1	1	0, -1, -4		0	0	0	3	0.0	0.0	0.25	0.0
7	7	3/8	3/8	2/4	2	1	V						f	i		V	V							M	1	1	0, 4, 1		0	0	0	3	0.0	0.0	0.25	0.0
8	8	0	0	2/4	2	1	i|PAC}						f	i		i	i					PAC	}	m	1	1	-1, -4, 0		-1	-1	1	4	0.2	0.0	1.0	0.0
9	9	0	0	2/4	2	1	iv64						f	i		iv64	iv		64					m	1	1	-1, -2, -5		-2	-1	3	9	0.25	0.1875	0.8125	0.1875
10	10	0	0	2/4	2	1	i(64)						f	i		i(64)	i			64				m	1	1	-1, -2, -5		-1	-1	0	2	0.0	0.0	0.25	0.0
10	10	1/8	1/8	2/4	2	1	i						f	i		i	i							m	1	1	-1, -4, 0		-1	-1	0	5	0.0	0.0	0.75	0.0
11	11	0	0	2/4	2	1	iv64						f	i		iv64	iv		64					m	1	1	-1, -2, -5		-2	-1	3	9	0.25	0.1875	0.8125	0.1875
12	12	0	0	2/4	2	1	i(64)						f	i		i(64)	i			64				m	1	1	-1, -2, -5		-1	-1	0	2	0.0	0.0	0.25	0.0
12	12	1/8	1/8	2/4	2	1	i						f	i		i	i							m	1	1	-1, -4, 0		-1	-1	2	5	0.2857142857142857	0.125	0.625	0.16666666666666666
13	13	0	0	2/4	2	1	III.ii6						f	III		ii6	ii		6					m	1	0	-5, -1, -2		-2	-5	1	2	0.3333333333333333	0.0625	0.1875	0.25
13	13	1/8	1/8	2/4	2	1	I6						f	III		I6	I		6					M	1	0	0, -3, -4		-4	0	1	2	0.3333333333333333	0.0625	0.1875	0.25
13	13	1/4	1/4	2/4	2	1	viio6						f	III		viio6	vii	o	6					o	1	0	-2, -5, 1		1	-2	1	2	0.3333333333333333	0.0625	0.1875	0.25
13	13	3/8	3/8	2/4	2	1	vi6						f	III		vi6	vi		6					m	1	0	-4, 0, -1		-1	-4	1	2	0.3333333333333333	0.0625	0.1875	0.25
14	14	0	0	2/4	2	1	V6						f	III		V6	V		6					M	1	0	1, -2, -3		-3	1	1	2	0.3333333333333333	0.0625	0.1875	0.25
14	14	1/8	1/8	2/4	2	1	IV6						f	III		IV6	IV		6					M	1	0	-1, -4, -5		-5	-1	1	2	0.3333333333333333	0.0625	0.1875	0.25
14	14	1/4	1/4	2/4	2	1	iii6						f	III		iii6	iii		6					m	1	0	-3, 1, 0		0	-3	1	2	0.3333333333333333	0.0625	0.1875	0.25
14	14	3/8	3/8	2/4	2	1	ii6						f	III		ii6	ii		6					m	1	0	-5, -1, -2		-2	-5	1	2	0.3333333333333333	0.0625	0.1875	0.25
15	15	0	0	2/4	2	1	I6						f	III		I6	I		6					M	1	0	0, -3, -4		-4	0	1	5	0.16666666666666666	0.0625	0.4375	0.125
15	15	1/4	1/4	2/4	2	1	ii6						f	III		ii6	ii		6					m	1	0	-5, -1, -2		-2	-5	0	3	0.0	0.0	0.25	0.0
15	15	3/8	3/8	2/4	2	1	viio/V						f	III		viio/V	vii	o			V			o	1	0	2, -1, -4		2	2	1	2	0.3333333333333333	0.0625	0.1875	0.25
16	16	0	0	2/4	2	1	V|HC}						f	III		V	V					HC	}	M	1	0	-3, 1, -2		-3	-3	2	3	0.4	0.125	0.1875	0.4
16	16	1/4	1/4	2/4	2	1	V7						f	III		V7	V		7					Mm7	1	0	-3, 1, -2, -5		-3	-3	1	3	0.25	0.0625	0.1875	0.25
17	17	0	0	2/4	2	1	I6						f	III		I6	I		6					M	1	0	0, -3, -4		-4	0	2	2	0.5	0.125	0.125	0.5
17	17	1/4	1/4	2/4	2	1	viio						f	III		viio	vii	o						o	1	0	1, -2, -5		1	1	2	2	0.5	0.125	0.125	0.5
18	18	0	0	2/4	2	1	I6{						f	III		I6	I		6				{	M	1	0	0, -3, -4		-4	0	0	3	0.0	0.0	0.25	0.0
18	18	1/8	1/8	2/4	2	1	vii						f	III		vii	vii							m	1	0	1, -2, 2		1	1	1	2	0.3333333333333333	0.0625	0.1875	0.25
18	18	1/4	1/4	2/4	2	1	I						f	III		I	I							M	1	0	-4, 0, -3		-4	-4	0	3	0.0	0.0	0.25	0.0
18	18	3/8	3/8	2/4	2	1	V						f	III		V	V							M	1	0	-3, 1, -2		-3	-3	0	3	0.0	0.0	0.25	0.0
19	19	0	0	2/4	2	1	vi						f	III		vi	vi							m	1	0	-1, -4, 0		-1	-1	0	3	0.0	0.0	0.25	0.0
19	19	1/8	1/8	2/4	2	1	iii						f	III		iii	iii							m	1	0	0, -3, 1		0	0	0	3	0.0	0.0	0.25	0.0
19	19	1/4	1/4	2/4	2	1	IV						f	III		IV	IV							M	1	0	-5, -1, -4		-5	-5	0	3	0.0	0.0	0.25	0.0
19	19	3/8	3/8	2/4	2	1	I						f	III		I	I							M	1	0	-4, 0, -3		-4	-4	0	3	0.0	0.0	0.25	0.0
20	20	0	0	2/4	2	1	V						f	III		V	V							M	1	0	-3, 1, -2		-3	-3	4	6	0.4	0.25	0.6875	0.26666666666666666
21	21	0	0	2/4	2	1	I						f	III		I	I							M	1	0	-4, 0, -3		-4	-4	0	3	0.0	0.0	0.25	0.0
21	21	1/8	1/8	2/4	2	1	V7						f	III		V7	V		7					Mm7	1	0	-3, 1, -2, -5		-3	-3	0	3	0.0	0.0	0.25	0.0
21	21	1/4	1/4	2/4	2	1	I						f	III		I	I							M	1	0	-4, 0, -3		-4	-4	0	3	0.0	0.0	0.25	0.0
21	21	3/8	3/8	2/4	2	1	V						f	III		V	V							M	1	0	-3, 1, -2		-3	-3	0	3	0.0	0.0	0.25	0.0
22	22	0	0	2/4	2	1	vi						f	III		vi	vi							m	1	0	-1, -4, 0		-1	-1	0	3	0.0	0.0	0.25	0.0
22	22	1/8	1/8	2/4	2	1	iii						f	III		iii	iii							m	1	0	0, -3, 1		0	0	0	3	0.0	0.0	0.25	0.0
22	22	1/4	1/4	2/4	2	1	IV						f	III		IV	IV							M	1	0	-5, -1, -4		-5	-5	0	3	0.0	0.0	0.25	0.0
22	22	3/8	3/8	2/4	2	1	I						f	III		I	I							M	1	0	-4, 0, -3		-4	-4	0	3	0.0	0.0	0.25	0.0
