mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	volta	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	12/8	2	1	c.i{		c	i		i		i						{	m	1	1	0, -3, 1		0	0	2	4	0.3333333333333333	0.09375	0.28125	0.25
1	1	3/8	3/8	12/8	2	1	V		c	i		V		V							M	1	1	1, 5, 2		1	1	5	10	0.3333333333333333	0.625	1.25	0.3333333333333333
2	2	3/4	3/4	12/8	2	1	i}{		c	i		i		i						}{	m	1	1	0, -3, 1		0	0	2	3	0.4	0.125	0.25	0.3333333333333333
2	2	9/8	9/8	12/8	2	1	#viio64		c	i		#viio64		#vii	o	64					o	1	1	-1, 5, 2		5	-1	2	4	0.3333333333333333	0.25	0.5	0.3333333333333333
3	3	0	0	12/8	2	1	i6		c	i		i6		i		6					m	1	1	-3, 1, 0		0	-3	3	5	0.375	0.25	0.5	0.3333333333333333
3	3	3/8	3/8	12/8	2	1	#viio64		c	i		#viio64		#vii	o	64					o	1	1	-1, 5, 2		5	-1	2	4	0.3333333333333333	0.25	0.5	0.3333333333333333
3	3	3/4	3/4	12/8	2	1	i6		c	i		i6		i		6					m	1	1	-3, 1, 0		0	-3	3	5	0.375	0.25	0.5	0.3333333333333333
3	3	9/8	9/8	12/8	2	1	#viio64		c	i		#viio64		#vii	o	64					o	1	1	-1, 5, 2		5	-1	2	4	0.3333333333333333	0.25	0.5	0.3333333333333333
4	4	0	0	12/8	2	1	i6}{		c	i		i6		i		6				}{	m	1	1	-3, 1, 0		0	-3	0	3	0.0	0.0	0.625	0.0
4	4	1/4	1/4	12/8	2	1	VI		c	i		VI		VI							M	1	1	-4, 0, -3		-4	-4	0	1	0.0	0.0	0.125	0.0
4	4	3/8	3/8	12/8	2	1	iv		c	i		iv		iv							m	1	1	-1, -4, 0		-1	-1	1	2	0.3333333333333333	0.125	0.375	0.25
4	4	5/8	5/8	12/8	2	1	V7		c	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1	0	5	0.0	0.0	0.625	0.0
4	4	3/4	3/4	12/8	2	1	i		c	i		i		i							m	1	1	0, -3, 1		0	0	2	4	0.3333333333333333	0.25	0.5	0.3333333333333333
4	4	1	1	12/8	2	1	VI		c	i		VI		VI							M	1	1	-4, 0, -3		-4	-4	0	2	0.0	0.0	0.25	0.0
4	4	9/8	9/8	12/8	2	1	iv		c	i		iv		iv							m	1	1	-1, -4, 0		-1	-1	1	2	0.3333333333333333	0.125	0.375	0.25
4	4	11/8	11/8	12/8	2	1	V7		c	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1	0	5	0.0	0.0	0.625	0.0
5	5	0	0	12/8	2	1	i		c	i		i		i							m	1	1	0, -3, 1		0	0	2	4	0.3333333333333333	0.25	0.5	0.3333333333333333
5	5	1/4	1/4	12/8	2	1	VI		c	i		VI		VI							M	1	1	-4, 0, -3		-4	-4	0	2	0.0	0.0	0.25	0.0
5	5	3/8	3/8	12/8	2	1	iv		c	i		iv		iv							m	1	1	-1, -4, 0		-1	-1	1	2	0.3333333333333333	0.125	0.375	0.25
5	5	5/8	5/8	12/8	2	1	V7		c	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1	0	5	0.0	0.0	0.625	0.0
5	5	3/4	3/4	12/8	2	1	i		c	i		i		i							m	1	1	0, -3, 1		0	0	1	5	0.16666666666666666	0.125	1.375	0.08333333333333333
5	5	9/8	9/8	12/8	2	1	iv(9)		c	i		iv(9)		iv			9				m	1	1	-1, -4, 0	1	-1	-1	0	3	0.0	0.0	0.875	0.0
5	5	5/4	5/4	12/8	2	1	iv		c	i		iv		iv							m	1	1	-1, -4, 0		-1	-1	2	2	0.5	0.125	0.125	0.5
6	6	0	0	12/8	2	1	V[V|HC}{		c	i	V	V		V					HC	}{	M	1	1	1, 5, 2		1	1	0	5	0.0	0.0	1.125	0.0
6	6	3/8	3/8	12/8	2	1	V7		c	i	V	V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1	1	4	0.2	0.125	1.0	0.1111111111111111
6	6	3/4	3/4	12/8	2	1	viio7/V		c	i	V	viio7/V		vii	o	7		V			o7	1	1	6, 3, 0, -3		6	6	3	9	0.25	1.0	1.625	0.38095238095238093
7	7	0	0	12/8	2	1	V		c	i	V	V		V							M	1	1	1, 5, 2		1	1	0	4	0.0	0.0	1.125	0.0
7	7	3/8	3/8	12/8	2	1	V7		c	i	V	V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1	2	5	0.2857142857142857	0.25	0.875	0.2222222222222222
7	7	3/4	3/4	12/8	2	1	viio7/V		c	i	V	viio7/V		vii	o	7		V			o7	1	1	6, 3, 0, -3		6	6	3	9	0.25	1.0	1.625	0.38095238095238093
8	8	0	0	12/8	2	1	V		c	i	V	V		V							M	1	1	1, 5, 2		1	1	3	8	0.2727272727272727	0.375	1.875	0.16666666666666666
8	8	3/4	3/4	12/8	2	1	#viio7/v]		c	i	V	#viio7/v		#vii	o	7		v			o7	1	1	6, 3, 0, -3		6	6	3	9	0.25	1.0	1.625	0.38095238095238093
9	9	0	0	12/8	2	1	v.V[i		c	v	V	i		i							m	1	1	1, -2, 2		1	1	3	11	0.21428571428571427	0.375	1.875	0.16666666666666666
9	9	3/4	3/4	12/8	2	1	V7		c	v	V	V7		V		7					Mm7	1	1	2, 6, 3, 0		2	2	2	10	0.16666666666666666	0.25	2.375	0.09523809523809523
10	10	0	0	12/8	2	1	i		c	v	V	i		i							m	1	1	1, -2, 2		1	1	2	9	0.18181818181818182	0.25	2.0	0.1111111111111111
10	10	3/4	3/4	12/8	2	1	V7]		c	v	V	V7		V		7					Mm7	1	1	2, 6, 3, 0		2	2	2	10	0.16666666666666666	0.25	2.375	0.09523809523809523
11	11	0	0	12/8	2	1	VI		c	v		VI		VI							M	1	1	-3, 1, -2		-3	-3	0	4	0.0	0.0	0.75	0.0
11	11	3/8	3/8	12/8	2	1	#viio64		c	v		#viio64		#vii	o	64					o	1	1	0, 6, 3		6	0	0	5	0.0	0.0	1.125	0.0
11	11	3/4	3/4	12/8	2	1	i6		c	v		i6		i		6					m	1	1	-2, 2, 1		1	-2	0	5	0.0	0.0	1.125	0.0
11	11	9/8	9/8	12/8	2	1	#viio6		c	v		#viio6		#vii	o	6					o	1	1	3, 0, 6		6	3	0	5	0.0	0.0	1.125	0.0
12	12	0	0	12/8	2	1	i|IAC}		c	v		i		i					IAC	}	m	1	1	1, -2, 2		1	1	1	17	0.05555555555555555	0.125	2.875	0.041666666666666664
13	13	3/8	3/8	12/8	2	1	i6		c	v		i6		i		6					m	1	1	-2, 2, 1		1	-2	1	4	0.2	0.125	1.375	0.08333333333333333
13	13	3/4	3/4	12/8	2	1	iv		c	v		iv		iv							m	1	1	0, -3, 1		0	0	2	2	0.5	0.25	0.5	0.3333333333333333
13	13	9/8	9/8	12/8	2	1	It6		c	v		It6	It	vii	o	6	b3	V			It	1	1	-3, 1, 7		7	-3	2	3	0.4	0.25	0.875	0.2222222222222222
14	14	0	0	12/8	2	1	V		c	v		V		V							M	1	1	2, 6, 3		2	2	1	3	0.25	0.125	0.625	0.16666666666666666
14	14	3/8	3/8	12/8	2	1	i6		c	v		i6		i		6					m	1	1	-2, 2, 1		1	-2	1	4	0.2	0.125	1.375	0.08333333333333333
14	14	3/4	3/4	12/8	2	1	iv		c	v		iv		iv							m	1	1	0, -3, 1		0	0	2	2	0.5	0.25	0.5	0.3333333333333333
14	14	9/8	9/8	12/8	2	1	It6		c	v		It6	It	vii	o	6	b3	V			It	1	1	-3, 1, 7		7	-3	2	3	0.4	0.25	0.875	0.2222222222222222
15	15	0	0	12/8	2	1	V		c	v		V		V							M	1	1	2, 6, 3		2	2	1	3	0.25	0.125	0.625	0.16666666666666666
15	15	3/8	3/8	12/8	2	1	i6		c	v		i6		i		6					m	1	1	-2, 2, 1		1	-2	1	4	0.2	0.125	1.375	0.08333333333333333
15	15	3/4	3/4	12/8	2	1	iv		c	v		iv		iv							m	1	1	0, -3, 1		0	0	2	2	0.5	0.25	0.5	0.3333333333333333
15	15	9/8	9/8	12/8	2	1	It6		c	v		It6	It	vii	o	6	b3	V			It	1	1	-3, 1, 7		7	-3	2	3	0.4	0.25	0.875	0.2222222222222222
16	16	0	0	12/8	2	1	V7|HC}{		c	v		V7		V		7			HC	}{	Mm7	1	1	2, 6, 3, 0		2	2	1	7	0.125	0.125	1.375	0.08333333333333333
16	16	3/4	3/4	12/8	2	1	i		c	v		i		i							m	1	1	1, -2, 2		1	1	1	8	0.1111111111111111	0.125	2.125	0.05555555555555555
17	17	0	0	12/8	2	1	V7		c	v		V7		V		7					Mm7	1	1	2, 6, 3, 0		2	2	1	8	0.1111111111111111	0.125	2.125	0.05555555555555555
17	17	3/4	3/4	12/8	2	1	i		c	v		i		i							m	1	1	1, -2, 2		1	1	1	8	0.1111111111111111	0.125	2.125	0.05555555555555555
18	18	0	0	12/8	2	1	V7		c	v		V7		V		7					Mm7	1	1	2, 6, 3, 0		2	2	1	8	0.1111111111111111	0.125	2.125	0.05555555555555555
18	18	3/4	3/4	12/8	2	1	i		c	v		i		i							m	1	1	1, -2, 2		1	1	0	4	0.0	0.0	0.75	0.0
18	18	9/8	9/8	12/8	2	1	ii%65		c	v		ii%65		ii	%	65					%7	1	1	0, -3, 1, 3		3	0	0	4	0.0	0.0	0.75	0.0
19	19	0	0	12/8	2	1	V(64)		c	v		V(64)		V			64				M	1	1	2, 1, -2		2	2	0	4	0.0	0.0	0.75	0.0
19	19	3/8	3/8	12/8	2	1	V7		c	v		V7		V		7					Mm7	1	1	2, 6, 3, 0		2	2	0	4	0.0	0.0	0.75	0.0
19	19	3/4	3/4	12/8	2	1	i|EC}{		c	v		i		i					EC	}{	m	1	1	1, -2, 2		1	1	1	8	0.1111111111111111	0.125	2.125	0.05555555555555555
20	20	0	0	12/8	2	1	V7		c	v		V7		V		7					Mm7	1	1	2, 6, 3, 0		2	2	1	8	0.1111111111111111	0.125	2.125	0.05555555555555555
20	20	3/4	3/4	12/8	2	1	i		c	v		i		i							m	1	1	1, -2, 2		1	1	1	8	0.1111111111111111	0.125	2.125	0.05555555555555555
21	21	0	0	12/8	2	1	V7		c	v		V7		V		7					Mm7	1	1	2, 6, 3, 0		2	2	1	8	0.1111111111111111	0.125	2.125	0.05555555555555555
21	21	3/4	3/4	12/8	2	1	i		c	v		i		i							m	1	1	1, -2, 2		1	1	0	4	0.0	0.0	0.75	0.0
21	21	9/8	9/8	12/8	2	1	ii%65		c	v		ii%65		ii	%	65					%7	1	1	0, -3, 1, 3		3	0	0	4	0.0	0.0	0.75	0.0
22	22	0	0	12/8	2	1	V(64)		c	v		V(64)		V			64				M	1	1	2, 1, -2		2	2	0	4	0.0	0.0	0.75	0.0
22	22	3/8	3/8	12/8	2	1	V7		c	v		V7		V		7					Mm7	1	1	2, 6, 3, 0		2	2	0	4	0.0	0.0	0.75	0.0
22	22	3/4	3/4	12/8	2	1	i|PAC}{		c	v		i		i					PAC	}{	m	1	1	1, -2, 2		1	1	2	4	0.3333333333333333	0.25	1.125	0.18181818181818182
22	22	9/8	9/8	12/8	2	1	iv6		c	v		iv6		iv		6					m	1	1	-3, 1, 0		0	-3	2	4	0.3333333333333333	0.25	1.0	0.2
23	23	0	0	12/8	2	1	iio6		c	v		iio6		ii	o	6					o	1	1	0, -3, 3		3	0	2	6	0.25	0.25	1.5	0.14285714285714285
23	23	3/8	3/8	12/8	2	1	#viio6		c	v		#viio6		#vii	o	6					o	1	1	3, 0, 6		6	3	2	4	0.3333333333333333	0.25	1.25	0.16666666666666666
23	23	3/4	3/4	12/8	2	1	#viio7		c	v		#viio7		#vii	o	7					o7	1	1	6, 3, 0, -3		6	6	0	6	0.0	0.0	1.25	0.0
23	23	9/8	9/8	12/8	2	1	V7(9)		c	v		V7(9)		V		7	9				Mm7	1	1	2, 6, 3, 0	-3	2	2	0	6	0.0	0.0	1.0	0.0
24	24	0	0	12/8	2	1	i		c	v		i		i							m	1	1	1, -2, 2		1	1	1	2	0.3333333333333333	0.125	0.375	0.25
24	24	1/4	1/4	12/8	2	1	VI		c	v		VI		VI							M	1	1	-3, 1, -2		-3	-3	0	3	0.0	0.0	0.375	0.0
24	24	3/8	3/8	12/8	2	1	iio6		c	v		iio6		ii	o	6					o	1	1	0, -3, 3		3	0	2	3	0.4	0.25	0.5	0.3333333333333333
24	24	5/8	5/8	12/8	2	1	V		c	v		V		V							M	1	1	2, 6, 3		2	2	0	3	0.0	0.0	0.375	0.0
24	24	3/4	3/4	12/8	2	1	i|PAC}{		c	v		i		i					PAC	}{	m	1	1	1, -2, 2		1	1	2	5	0.2857142857142857	0.25	1.375	0.15384615384615385
24	24	9/8	9/8	12/8	2	1	iv6		c	v		iv6		iv		6					m	1	1	-3, 1, 0		0	-3	2	4	0.3333333333333333	0.25	1.0	0.2
25	25	0	0	12/8	2	1	iio6		c	v		iio6		ii	o	6					o	1	1	0, -3, 3		3	0	2	6	0.25	0.25	1.5	0.14285714285714285
