rel_paths	fnames	last_mc	last_mn	KeySig	TimeSig	label_count	composer	workTitle	movementNumber	movementTitle	workNumber	poet	lyricist	arranger	copyright	creationDate	mscVersion	platform	source	translator	musescore	ambitus	staff_1_ambitus	staff_1_instrument	staff_2_ambitus	staff_2_instrument
MS3	K057	182	182	1: -2	1: 3/8	0	Franz Schubert	Menuett Nr. 1								2019-08-01	3.02	Linux			3.6.2	34-84 (Bb1-C6)	36-84 (C2-C6)	Piano	34-74 (Bb1-D5)	Piano
MS3	K059	31	31	1: -1	1: 4/4	0	Franz Schubert	Menuett Nr. 1								2019-08-01	3.02	Linux			3.6.2	31-84 (G1-C6)	48-84 (C3-C6)	Piano	31-67 (G1-G4)	Piano
MS3	K061	156	156	1: 0	1: 2/4	0	Franz Schubert	Menuett Nr. 1								2019-08-01	3.02	Linux			3.6.2	40-84 (E2-C6)	57-84 (A3-C6)	Piano	40-64 (E2-E4)	Piano
MS3	K062	109	109	1: 3	1: 3/8	0	Franz Schubert	Menuett Nr. 1								2019-08-01	3.02	Linux			3.6.2	40-84 (E2-C6)	52-84 (E3-C6)	Piano	40-72 (E2-C5)	Piano
MS3	K065	74	74	1: 3	1: 3/8	0	Franz Schubert	Menuett Nr. 1								2019-08-01	3.02	Linux			3.6.2	40-83 (E2-B5)	51-83 (D#3-B5)	Piano	40-83 (E2-B5)	Piano
MS3	K066	34	32	1: -2	1: 4/4	0	Franz Schubert	Menuett Nr. 1								2019-08-01	3.02	Linux			3.6.2	36-84 (C2-C6)	45-84 (A2-C6)	Piano	36-79 (C2-G5)	Piano
MS3	K067	22	22	1: 3	1: 4/4	0	Franz Schubert	Menuett Nr. 1								2019-08-01	3.02	Linux			3.6.2	37-83 (C#2-B5)	61-83 (C#4-B5)	Piano	37-68 (C#2-G#4)	Piano
MS3	K068	116	116	1: -3	1: 3/8	0	Franz Schubert	Menuett Nr. 1								2019-08-01	3.02	Linux			3.6.2	41-84 (F2-C6)	53-84 (F3-C6)	Piano	41-75 (F2-Eb5)	Piano
MS3	K069	64	63	1: -4	1: 3/4	0	Franz Schubert	Menuett Nr. 1								2019-08-01	3.02	Linux			3.6.2	41-84 (F2-C6)	41-84 (F2-C6)	Piano	41-70 (F2-Bb4)	Piano
MS3	K071	29	29	1: 1	1: 4/4	0	Franz Schubert	Menuett Nr. 1								2019-08-01	3.02	Linux			3.6.2	38-84 (D2-C6)	61-84 (C#4-C6)	Piano	38-67 (D2-G4)	Piano
