mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0	0.0		0	0	2/4	1	1	0	appoggiatura	1/32	1		-1	77	F5	5	0
1	1	0	0	0.0		0	0	2/4	1	1	0	appoggiatura	1/32	1		1	79	G5	5	1
1	1	0	0	1.0		0	0	2/4	1	2	1/4		1/4	1		-1	65	F4	4	6
1	1	0	0	1.0		0	0	2/4	1	2	1/4		1/4	1		-4	68	Ab4	4	6
1	1	0	0	1.0		0	0	2/4	1	2	1/4		1/4	1		0	72	C5	5	6
1	1	0	0	1.0		0	0	2/4	1	1	1/4		1/4	1		-4	80	Ab5	5	2
1	1	1	1	1.0		1/4	1/4	2/4	1	2	1/4		1/4	1		1	67	G4	4	7
1	1	1	1	1.0		1/4	1/4	2/4	1	2	1/4		1/4	1		-2	70	Bb4	4	7
1	1	1	1	0.5		1/4	1/4	2/4	1	1	1/8		1/8	1		1	79	G5	5	3
1	1	3/2	3/2	0.25		3/8	3/8	2/4	1	1	1/16		1/16	1		-1	77	F5	5	4
1	1	7/4	7/4	0.25		7/16	7/16	2/4	1	1	1/16		1/16	1		4	76	E5	5	5
2	2	2	2	0.0		0	0	2/4	1	1	0	appoggiatura	1/32	1		4	76	E5	5	8
2	2	2	2	0.5		0	0	2/4	1	2	1/8		1/8	1		-4	68	Ab4	4	11
2	2	2	2	0.5		0	0	2/4	1	2	1/8		1/8	1		0	72	C5	5	11
2	2	2	2	1.5		0	0	2/4	1	1	3/8		1/4	3/2		-1	77	F5	5	9
2	2	5/2	5/2	0.5		1/8	1/8	2/4	1	2	1/8		1/8	1		1	67	G4	4	12
2	2	5/2	5/2	0.5		1/8	1/8	2/4	1	2	1/8		1/8	1		-2	70	Bb4	4	12
2	2	3	3	0.5		1/4	1/4	2/4	1	2	1/8		1/8	1		-4	68	Ab4	4	13
2	2	3	3	1.0		1/4	1/4	2/4	1	3	1/4		1/4	1		0	72	C5	5	15
2	2	7/2	7/2	0.5		3/8	3/8	2/4	1	2	1/8		1/8	1		-1	65	F4	4	14
2	2	7/2	7/2	0.5		3/8	3/8	2/4	1	1	1/8		1/8	1		-4	80	Ab5	5	10
3	3	4	4	0.5		0	0	2/4	1	2	1/8		1/8	1		-2	70	Bb4	4	24
3	3	4	4	0.5		0	0	2/4	1	2	1/8		1/8	1		-5	73	Db5	5	24
3	3	4	4	0.25		0	0	2/4	1	1	1/16		1/16	1		-4	80	Ab5	5	16
3	3	17/4	17/4	0.25		1/16	1/16	2/4	1	1	1/16		1/16	1		1	79	G5	5	17
3	3	9/2	9/2	0.5		1/8	1/8	2/4	1	2	1/8		1/8	1		-4	68	Ab4	4	25
3	3	9/2	9/2	0.5		1/8	1/8	2/4	1	2	1/8		1/8	1		0	72	C5	5	25
3	3	9/2	9/2	0.25		1/8	1/8	2/4	1	1	1/16		1/16	1		1	79	G5	5	18
3	3	19/4	19/4	0.25		3/16	3/16	2/4	1	1	1/16		1/16	1		-1	77	F5	5	19
3	3	5	5	0.5		1/4	1/4	2/4	1	2	1/8		1/8	1		1	67	G4	4	26
3	3	5	5	0.5		1/4	1/4	2/4	1	2	1/8		1/8	1		-2	70	Bb4	4	26
3	3	5	5	0.25		1/4	1/4	2/4	1	1	1/16		1/16	1		-1	77	F5	5	20
3	3	21/4	21/4	0.25		5/16	5/16	2/4	1	1	1/16		1/16	1		4	76	E5	5	21
3	3	11/2	11/2	0.5		3/8	3/8	2/4	1	2	1/8		1/8	1		-1	65	F4	4	27
3	3	11/2	11/2	0.5		3/8	3/8	2/4	1	2	1/8		1/8	1		-4	68	Ab4	4	27
3	3	11/2	11/2	0.25		3/8	3/8	2/4	1	1	1/16		1/16	1		4	76	E5	5	22
3	3	23/4	23/4	0.25		7/16	7/16	2/4	1	1	1/16		1/16	1		-1	77	F5	5	23
4	4	6	6	0.0		0	0	2/4	1	1	0	appoggiatura	1/32	1		-1	77	F5	5	28
4	4	6	6	0.5		0	0	2/4	1	2	1/8		1/8	1		0	60	C4	4	31
4	4	6	6	1.0		0	0	2/4	1	1	1/4		1/4	1		1	79	G5	5	29
4	4	13/2	13/2	0.5		1/8	1/8	2/4	1	2	1/8		1/8	1		0	72	C5	5	32
4	4	7	7	1.0		1/4	1/4	2/4	1	1	1/4		1/4	1		0	72	C5	5	30
4	4	29/4	29/4	0.25		5/16	5/16	2/4	1	2	1/16		1/16	1		-2	70	Bb4	4	33
