mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	chord_id
1	1	0	0	3/8	1	1	1/8		1/8	1		3	81	0
1	1	1/8	1/8	3/8	1	1	1/8		1/8	1		4	76	1
1	1	1/4	1/4	3/8	1	1	1/8		1/8	1		7	73	2
2	2	0	0	3/8	1	1	1/8		1/8	1		3	69	3
2	2	1/8	1/8	3/8	1	1	1/8		1/8	1		4	64	4
2	2	1/4	1/4	3/8	1	1	1/8		1/8	1		7	61	5
3	3	0	0	3/8	1	1	1/16		1/16	1		3	57	6
3	3	1/16	1/16	3/8	2	1	1/16		1/16	1		3	45	8
3	3	1/8	1/8	3/8	2	1	1/16		1/16	1		7	49	9
3	3	3/16	3/16	3/8	2	1	1/16		1/16	1		4	52	10
3	3	1/4	1/4	3/8	2	1	1/16		1/16	1		3	57	11
3	3	5/16	5/16	3/8	1	1	1/16		1/16	1		7	61	7
3	3	5/16	5/16	3/8	1	1	1/16		1/16	1		4	64	7
4	4	0	0	3/8	2	1	1/16		1/16	1		2	62	16
4	4	0	0	3/8	2	1	1/16		1/16	1		6	66	16
4	4	1/16	1/16	3/8	1	1	1/16		1/16	1		3	81	12
4	4	1/8	1/8	3/8	1	1	1/16		1/16	1		6	78	13
4	4	3/16	3/16	3/8	1	1	1/16		1/16	1		2	74	14
4	4	1/4	1/4	3/8	1	1	1/16		1/16	1		3	69	15
4	4	5/16	5/16	3/8	2	1	1/16		1/16	1		2	62	17
4	4	5/16	5/16	3/8	2	1	1/16		1/16	1		6	66	17
5	5	0	0	3/8	1	1	1/16		1/16	1		7	61	18
5	5	0	0	3/8	1	1	1/16		1/16	1		4	64	18
5	5	1/16	1/16	3/8	2	1	1/16		1/16	1		3	45	20
5	5	1/8	1/8	3/8	2	1	1/16		1/16	1		7	49	21
5	5	3/16	3/16	3/8	2	1	1/16		1/16	1		4	52	22
5	5	1/4	1/4	3/8	2	1	1/16		1/16	1		3	57	23
