mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	0	0	0	0.16666666666666666	0	11/8	12/8	1	1	1/24	1/16	2/3		2	74	D5	5	0
1	0	1/6	1/6	0.16666666666666666	1/24	17/12	12/8	1	1	1/24	1/16	2/3		4	76	E5	5	1
1	0	1/3	1/3	0.16666666666666666	1/12	35/24	12/8	1	1	1/24	1/16	2/3		6	78	F#5	5	2
2	1	1/2	1/2	0.5	0	0	12/8	1	1	1/8	1/8	1		1	79	G5	5	3
2	1	1	1	0.5	1/8	1/8	12/8	1	1	1/8	1/8	1		2	74	D5	5	4
2	1	3/2	3/2	0.5	1/4	1/4	12/8	1	1	1/8	1/8	1		5	71	B4	4	5
2	1	2	2	0.5	3/8	3/8	12/8	1	1	1/8	1/8	1		1	67	G4	4	6
2	1	5/2	5/2	0.5	1/2	1/2	12/8	1	1	1/8	1/8	1		2	62	D4	4	7
2	1	3	3	0.5	5/8	5/8	12/8	1	1	1/8	1/8	1		5	59	B3	3	8
2	1	7/2	7/2	0.5	3/4	3/4	12/8	2	1	1/8	1/8	1		1	55	G3	3	11
2	1	4	4	0.5	7/8	7/8	12/8	2	1	1/8	1/8	1		2	50	D3	3	12
2	1	9/2	9/2	0.5	1	1	12/8	2	1	1/8	1/8	1		5	47	B2	2	13
2	1	5	5	0.5	9/8	9/8	12/8	2	1	1/8	1/8	1		1	43	G2	2	14
2	1	11/2	11/2	0.5	5/4	5/4	12/8	1	1	1/8	1/8	1		1	79	G5	5	9
2	1	6	6	0.5	11/8	11/8	12/8	1	1	1/8	1/8	1		2	74	D5	5	10
3	2	13/2	13/2	0.5	0	0	12/8	1	1	1/8	1/8	1		0	72	C5	5	15
3	2	7	7	0.25	1/8	1/8	12/8	1	1	1/16	1/16	1		4	76	E5	5	16
3	2	29/4	29/4	0.25	3/16	3/16	12/8	1	1	1/16	1/16	1		6	78	F#5	5	17
3	2	15/2	15/2	0.25	1/4	1/4	12/8	1	1	1/16	1/16	1		1	79	G5	5	18
3	2	31/4	31/4	0.125	5/16	5/16	12/8	1	1	1/32	1/32	1		3	81	A5	5	19
3	2	63/8	63/8	0.125	11/32	11/32	12/8	1	1	1/32	1/32	1		5	83	B5	5	20
3	2	8	8	1.5	3/8	3/8	12/8	1	2	3/8	1/4	3/2		3	69	A4	4	32
3	2	8	8	0.5	3/8	3/8	12/8	1	1	1/8	1/8	1		0	84	C6	6	21
3	2	17/2	17/2	0.5	1/2	1/2	12/8	1	1	1/8	1/8	1		3	81	A5	5	22
3	2	9	9	0.5	5/8	5/8	12/8	1	1	1/8	1/8	1		6	78	F#5	5	23
3	2	19/2	19/2	1.0	3/4	3/4	12/8	1	2	1/4	1/4	1		5	71	B4	4	33
3	2	10	10	0.25	7/8	7/8	12/8	1	1	1/16	1/16	1		2	74	D5	5	24
3	2	41/4	41/4	0.25	15/16	15/16	12/8	1	1	1/16	1/16	1		4	76	E5	5	25
3	2	21/2	21/2	0.25	1	1	12/8	1	1	1/16	1/16	1		6	78	F#5	5	26
3	2	43/4	43/4	0.125	17/16	17/16	12/8	1	1	1/32	1/32	1		1	79	G5	5	27
3	2	87/8	87/8	0.125	35/32	35/32	12/8	1	1	1/32	1/32	1		3	81	A5	5	28
3	2	11	11	1.5	9/8	9/8	12/8	1	2	3/8	1/4	3/2		1	67	G4	4	34
3	2	11	11	0.5	9/8	9/8	12/8	1	1	1/8	1/8	1		5	83	B5	5	29
3	2	23/2	23/2	0.5	5/4	5/4	12/8	1	1	1/8	1/8	1		1	79	G5	5	30
3	2	12	12	0.5	11/8	11/8	12/8	1	1	1/8	1/8	1		4	76	E5	5	31
4	3	25/2	25/2	0.5	0	0	12/8	1	2	1/8	1/8	1		3	69	A4	4	51
4	3	13	13	0.25	1/8	1/8	12/8	1	1	1/16	1/16	1		0	72	C5	5	35
4	3	53/4	53/4	0.25	3/16	3/16	12/8	1	1	1/16	1/16	1		2	74	D5	5	36
4	3	27/2	27/2	0.25	1/4	1/4	12/8	1	1	1/16	1/16	1		4	76	E5	5	37
4	3	55/4	55/4	0.125	5/16	5/16	12/8	1	1	1/32	1/32	1		6	78	F#5	5	38
4	3	111/8	111/8	0.125	11/32	11/32	12/8	1	1	1/32	1/32	1		1	79	G5	5	39
4	3	14	14	1.5	3/8	3/8	12/8	1	2	3/8	1/4	3/2		6	66	F#4	4	52
4	3	14	14	0.5	3/8	3/8	12/8	1	1	1/8	1/8	1		3	81	A5	5	40
4	3	29/2	29/2	0.5	1/2	1/2	12/8	1	1	1/8	1/8	1		6	78	F#5	5	41
4	3	15	15	0.5	5/8	5/8	12/8	1	1	1/8	1/8	1		2	74	D5	5	42
4	3	31/2	31/2	0.5	3/4	3/4	12/8	1	2	1/8	1/8	1		1	67	G4	4	53
4	3	16	16	0.25	7/8	7/8	12/8	1	1	1/16	1/16	1		5	71	B4	4	43
4	3	65/4	65/4	0.25	15/16	15/16	12/8	1	1	1/16	1/16	1		0	72	C5	5	44
4	3	33/2	33/2	0.25	1	1	12/8	1	1	1/16	1/16	1		2	74	D5	5	45
4	3	67/4	67/4	0.125	17/16	17/16	12/8	1	1	1/32	1/32	1		4	76	E5	5	46
4	3	135/8	135/8	0.125	35/32	35/32	12/8	1	1	1/32	1/32	1		6	78	F#5	5	47
4	3	17	17	1.5	9/8	9/8	12/8	1	2	3/8	1/4	3/2		5	71	B4	4	54
4	3	17	17	0.5	9/8	9/8	12/8	1	1	1/8	1/8	1		1	79	G5	5	48
4	3	35/2	35/2	0.5	5/4	5/4	12/8	1	1	1/8	1/8	1		2	74	D5	5	49
4	3	18	18	0.5	11/8	11/8	12/8	1	1	1/8	1/8	1		6	78	F#5	5	50
5	4	37/2	37/2	1.0	0	0	12/8	1	2	1/4	1/4	1		0	72	C5	5	65
5	4	37/2	37/2	0.5	0	0	12/8	1	1	1/8	1/8	1		6	78	F#5	5	55
5	4	19	19	0.5	1/8	1/8	12/8	1	1	1/8	1/8	1		4	76	E5	5	56
5	4	39/2	39/2	0.5	1/4	1/4	12/8	1	2	1/8	1/8	1		5	71	B4	4	66
5	4	39/2	39/2	0.5	1/4	1/4	12/8	1	1	1/8	1/8	1		2	74	D5	5	57
5	4	20	20	1.0	3/8	3/8	12/8	1	2	1/4	1/4	1		3	69	A4	4	67
5	4	20	20	0.5	3/8	3/8	12/8	1	1	1/8	1/8	1		2	74	D5	5	58
5	4	41/2	41/2	0.5	1/2	1/2	12/8	1	1	1/8	1/8	1		0	72	C5	5	59
5	4	21	21	0.5	5/8	5/8	12/8	1	2	1/8	1/8	1		1	67	G4	4	68
5	4	21	21	0.5	5/8	5/8	12/8	1	1	1/8	1/8	1		5	71	B4	4	60
5	4	43/2	43/2	0.5	3/4	3/4	12/8	1	2	1/8	1/8	1		2	62	D4	4	69
5	4	43/2	43/2	1.5	3/4	3/4	12/8	1	1	3/8	1/4	3/2	1	3	69	A4	4	61
5	4	22	22	0.5	7/8	7/8	12/8	1	2	1/8	1/8	1		3	57	A3	3	70
5	4	45/2	45/2	0.5	1	1	12/8	1	2	1/8	1/8	1		6	54	F#3	3	71
5	4	23	23	1.5	9/8	9/8	12/8	2	1	3/8	1/4	3/2		2	38	D2	2	72
5	4	23	23	0.5	9/8	9/8	12/8	1	1	1/8	1/8	1	-1	3	69	A4	4	62
5	4	47/2	47/2	0.5	5/4	5/4	12/8	1	1	1/8	1/8	1		2	74	D5	5	63
5	4	24	24	0.5	11/8	11/8	12/8	1	1	1/8	1/8	1		2	62	D4	4	64
6	5	49/2	49/2	0.5	0	0	12/8	1	2	1/8	1/8	1		2	62	D4	4	81
6	5	49/2	49/2	1.5	0	0	12/8	1	1	3/8	1/4	3/2	1	5	71	B4	4	73
6	5	25	25	0.5	1/8	1/8	12/8	1	2	1/8	1/8	1		5	59	B3	3	82
6	5	51/2	51/2	0.5	1/4	1/4	12/8	1	2	1/8	1/8	1		1	55	G3	3	83
6	5	26	26	1.5	3/8	3/8	12/8	2	1	3/8	1/4	3/2		2	38	D2	2	87
6	5	26	26	0.5	3/8	3/8	12/8	1	1	1/8	1/8	1	-1	5	71	B4	4	74
6	5	53/2	53/2	0.5	1/2	1/2	12/8	1	1	1/8	1/8	1		2	74	D5	5	75
6	5	27	27	0.5	5/8	5/8	12/8	1	1	1/8	1/8	1		2	62	D4	4	76
6	5	55/2	55/2	0.5	3/4	3/4	12/8	1	2	1/8	1/8	1		2	62	D4	4	84
6	5	55/2	55/2	1.5	3/4	3/4	12/8	1	1	3/8	1/4	3/2	1	3	69	A4	4	77
6	5	28	28	0.5	7/8	7/8	12/8	1	2	1/8	1/8	1		3	57	A3	3	85
6	5	57/2	57/2	0.5	1	1	12/8	1	2	1/8	1/8	1		6	54	F#3	3	86
6	5	29	29	1.5	9/8	9/8	12/8	2	1	3/8	1/4	3/2		2	38	D2	2	88
6	5	29	29	0.5	9/8	9/8	12/8	1	1	1/8	1/8	1	-1	3	69	A4	4	78
6	5	59/2	59/2	0.5	5/4	5/4	12/8	1	1	1/8	1/8	1		2	74	D5	5	79
6	5	30	30	0.5	11/8	11/8	12/8	1	1	1/8	1/8	1		2	62	D4	4	80
7	6	61/2	61/2	0.5	0	0	12/8	2	1	1/8	1/8	1		2	62	D4	4	97
7	6	61/2	61/2	1.5	0	0	12/8	1	1	3/8	1/4	3/2	1	5	71	B4	4	89
7	6	31	31	0.5	1/8	1/8	12/8	2	1	1/8	1/8	1		5	59	B3	3	98
7	6	63/2	63/2	0.5	1/4	1/4	12/8	2	1	1/8	1/8	1		1	55	G3	3	99
7	6	32	32	1.5	3/8	3/8	12/8	2	1	3/8	1/4	3/2		2	38	D2	2	100
7	6	32	32	0.5	3/8	3/8	12/8	1	1	1/8	1/8	1	-1	5	71	B4	4	90
7	6	65/2	65/2	0.5	1/2	1/2	12/8	1	1	1/8	1/8	1		2	74	D5	5	91
7	6	33	33	0.5	5/8	5/8	12/8	1	1	1/8	1/8	1		2	62	D4	4	92
7	6	67/2	67/2	0.5	3/4	3/4	12/8	2	1	1/8	1/8	1		2	62	D4	4	101
7	6	67/2	67/2	1.5	3/4	3/4	12/8	1	1	3/8	1/4	3/2	1	3	69	A4	4	93
7	6	34	34	0.5	7/8	7/8	12/8	2	1	1/8	1/8	1		3	57	A3	3	102
7	6	69/2	69/2	0.5	1	1	12/8	2	1	1/8	1/8	1		6	54	F#3	3	103
7	6	35	35	1.5	9/8	9/8	12/8	2	1	3/8	1/4	3/2		2	38	D2	2	104
7	6	35	35	0.5	9/8	9/8	12/8	1	1	1/8	1/8	1	-1	3	69	A4	4	94
7	6	71/2	71/2	0.5	5/4	5/4	12/8	1	1	1/8	1/8	1		2	74	D5	5	95
7	6	36	36	0.5	11/8	11/8	12/8	1	1	1/8	1/8	1		3	69	A4	4	96
8	7	73/2	73/2	0.5	0	0	12/8	1	2	1/8	1/8	1		1	67	G4	4	121
8	7	37	37	0.25	1/8	1/8	12/8	1	1	1/16	1/16	1		5	71	B4	4	105
8	7	149/4	149/4	0.25	3/16	3/16	12/8	1	1	1/16	1/16	1		7	73	C#5	5	106
8	7	75/2	75/2	0.25	1/4	1/4	12/8	1	1	1/16	1/16	1		2	74	D5	5	107
8	7	151/4	151/4	0.125	5/16	5/16	12/8	1	1	1/32	1/32	1		4	76	E5	5	108
8	7	303/8	303/8	0.125	11/32	11/32	12/8	1	1	1/32	1/32	1		6	78	F#5	5	109
8	7	38	38	1.5	3/8	3/8	12/8	1	2	3/8	1/4	3/2		4	64	E4	4	122
8	7	38	38	0.5	3/8	3/8	12/8	1	1	1/8	1/8	1		1	79	G5	5	110
8	7	77/2	77/2	0.5	1/2	1/2	12/8	1	1	1/8	1/8	1		4	76	E5	5	111
8	7	39	39	0.5	5/8	5/8	12/8	1	1	1/8	1/8	1		7	73	C#5	5	112
8	7	79/2	79/2	0.5	3/4	3/4	12/8	1	2	1/8	1/8	1		6	66	F#4	4	123
8	7	40	40	0.25	7/8	7/8	12/8	1	1	1/16	1/16	1		3	69	A4	4	113
8	7	161/4	161/4	0.25	15/16	15/16	12/8	1	1	1/16	1/16	1		5	71	B4	4	114
8	7	81/2	81/2	0.25	1	1	12/8	1	1	1/16	1/16	1		7	73	C#5	5	115
8	7	163/4	163/4	0.125	17/16	17/16	12/8	1	1	1/32	1/32	1		2	74	D5	5	116
8	7	327/8	327/8	0.125	35/32	35/32	12/8	1	1	1/32	1/32	1		4	76	E5	5	117
8	7	41	41	1.5	9/8	9/8	12/8	1	2	3/8	1/4	3/2		2	62	D4	4	124
8	7	41	41	0.5	9/8	9/8	12/8	1	1	1/8	1/8	1		6	78	F#5	5	118
8	7	83/2	83/2	0.5	5/4	5/4	12/8	1	1	1/8	1/8	1		2	74	D5	5	119
8	7	42	42	0.5	11/8	11/8	12/8	1	1	1/8	1/8	1		5	71	B4	4	120
9	8	85/2	85/2	0.5	0	0	12/8	1	2	1/8	1/8	1		4	64	E4	4	141
9	8	43	43	0.25	1/8	1/8	12/8	1	1	1/16	1/16	1		1	67	G4	4	125
9	8	173/4	173/4	0.25	3/16	3/16	12/8	1	1	1/16	1/16	1		3	69	A4	4	126
9	8	87/2	87/2	0.25	1/4	1/4	12/8	1	1	1/16	1/16	1		5	71	B4	4	127
9	8	175/4	175/4	0.125	5/16	5/16	12/8	1	1	1/32	1/32	1		7	73	C#5	5	128
9	8	351/8	351/8	0.125	11/32	11/32	12/8	1	1	1/32	1/32	1		2	74	D5	5	129
9	8	44	44	1.5	3/8	3/8	12/8	2	1	3/8	1/4	3/2		7	61	C#4	4	144
9	8	44	44	0.5	3/8	3/8	12/8	1	1	1/8	1/8	1		4	76	E5	5	130
9	8	89/2	89/2	0.5	1/2	1/2	12/8	1	1	1/8	1/8	1		7	73	C#5	5	131
9	8	45	45	0.5	5/8	5/8	12/8	1	1	1/8	1/8	1		3	69	A4	4	132
9	8	91/2	91/2	0.5	3/4	3/4	12/8	1	2	1/8	1/8	1		2	62	D4	4	142
9	8	46	46	0.25	7/8	7/8	12/8	1	1	1/16	1/16	1		6	66	F#4	4	133
9	8	185/4	185/4	0.25	15/16	15/16	12/8	1	1	1/16	1/16	1		1	67	G4	4	134
9	8	93/2	93/2	0.25	1	1	12/8	1	1	1/16	1/16	1		3	69	A4	4	135
9	8	187/4	187/4	0.125	17/16	17/16	12/8	1	1	1/32	1/32	1		5	71	B4	4	136
9	8	375/8	375/8	0.125	35/32	35/32	12/8	1	1	1/32	1/32	1		7	73	C#5	5	137
9	8	47	47	1.5	9/8	9/8	12/8	1	2	3/8	1/4	3/2		6	66	F#4	4	143
9	8	47	47	0.5	9/8	9/8	12/8	1	1	1/8	1/8	1		2	74	D5	5	138
9	8	95/2	95/2	0.5	5/4	5/4	12/8	1	1	1/8	1/8	1		3	69	A4	4	139
9	8	48	48	0.5	11/8	11/8	12/8	1	1	1/8	1/8	1		7	73	C#5	5	140
10	9	97/2	97/2	1.5	0	0	12/8	1	2	3/8	1/4	3/2		1	67	G4	4	158
10	9	97/2	97/2	0.5	0	0	12/8	1	1	1/8	1/8	1		5	71	B4	4	145
10	9	49	49	0.5	1/8	1/8	12/8	1	1	1/8	1/8	1		1	79	G5	5	146
10	9	99/2	99/2	0.5	1/4	1/4	12/8	1	1	1/8	1/8	1	1	6	78	F#5	5	147
10	9	50	50	1.5	3/8	3/8	12/8	1	2	3/8	1/4	3/2		8	68	G#4	4	159
10	9	50	50	0.5	3/8	3/8	12/8	1	1	1/8	1/8	1	-1	6	78	F#5	5	148
10	9	101/2	101/2	0.5	1/2	1/2	12/8	1	1	1/8	1/8	1		4	76	E5	5	149
