mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0	0.5	0	0	3/8	1	1	1/8		1/8	1		-1	65	F4	4	0
1	1	1/2	1/2	0.5	1/8	1/8	3/8	2	1	1/8		1/8	1		2	62	D4	4	2
1	1	1/2	1/2	1.0	1/8	1/8	3/8	1	1	1/4		1/4	1		-2	70	Bb4	4	1
1	1	1	1	0.5	1/4	1/4	3/8	2	1	1/8		1/8	1		-2	58	Bb3	3	3
2	2	3/2	3/2	0.5	0	0	3/8	2	1	1/8		1/8	1		-2	70	Bb4	4	5
2	2	2	2	0.5	1/8	1/8	3/8	2	1	1/8		1/8	1		-2	58	Bb3	3	6
2	2	2	2	1.0	1/8	1/8	3/8	1	1	1/4		1/4	1		2	74	D5	5	4
2	2	5/2	5/2	0.5	1/4	1/4	3/8	2	1	1/8		1/8	1		-1	53	F3	3	7
3	3	3	3	0.5	0	0	3/8	2	1	1/8		1/8	1		2	74	D5	5	9
3	3	7/2	7/2	0.5	1/8	1/8	3/8	2	1	1/8		1/8	1		-1	53	F3	3	10
3	3	7/2	7/2	1.0	1/8	1/8	3/8	1	1	1/4		1/4	1		-1	77	F5	5	8
3	3	4	4	0.5	1/4	1/4	3/8	2	1	1/8		1/8	1		2	50	D3	3	11
4	4	9/2	9/2	0.5	0	0	3/8	2	1	1/8		1/8	1		-2	46	Bb2	2	14
4	4	9/2	9/2	0.5	0	0	3/8	1	1	1/8		1/8	1		-1	77	F5	5	12
4	4	5	5	0.5	1/8	1/8	3/8	2	1	1/8		1/8	1		-1	41	F2	2	15
4	4	5	5	1.0	1/8	1/8	3/8	1	1	1/4		1/4	1		-2	82	Bb5	5	13
4	4	11/2	11/2	0.5	1/4	1/4	3/8	2	1	1/8		1/8	1		2	38	D2	2	16
5	5	6	6	0.25	0	0	3/8	2	1	1/16		1/16	1		-2	34	Bb1	1	21
5	5	13/2	13/2	0.25	1/8	1/8	3/8	1	1	1/16		1/16	1		-2	82	Bb5	5	17
5	5	27/4	27/4	0.25	3/16	3/16	3/8	1	1	1/16		1/16	1		-1	77	F5	5	18
5	5	7	7	0.25	1/4	1/4	3/8	1	1	1/16		1/16	1		2	74	D5	5	19
