mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0	0.5		0	0	4/4	2	2	1/8	1/8	1		2	50	D3	3	6
1	1	0	0	1.5		0	0	4/4	2	1	3/8	1/4	3/2		2	62	D4	4	4
1	1	0	0	1.5		0	0	4/4	1	1	3/8	1/4	3/2		-1	65	F4	4	0
1	1	0	0	1.5		0	0	4/4	1	1	3/8	1/4	3/2		2	74	D5	5	0
1	1	1/2	1/2	0.5		1/8	1/8	4/4	2	2	1/8	1/8	1		-2	58	Bb3	3	7
1	1	1	1	0.5		1/4	1/4	4/4	2	2	1/8	1/8	1		3	57	A3	3	8
1	1	3/2	3/2	0.5		3/8	3/8	4/4	2	2	1/8	1/8	1		1	55	G3	3	9
1	1	3/2	3/2	0.5		3/8	3/8	4/4	1	1	1/8	1/8	1		1	67	G4	4	1
1	1	3/2	3/2	0.5		3/8	3/8	4/4	1	1	1/8	1/8	1		7	73	C#5	5	1
1	1	3/2	3/2	0.5		3/8	3/8	4/4	1	1	1/8	1/8	1		4	76	E5	5	1
1	1	2	2	0.5		1/2	1/2	4/4	2	2	1/8	1/8	1		-1	53	F3	3	10
1	1	2	2	1.0		1/2	1/2	4/4	2	1	1/4	1/4	1		2	62	D4	4	5
1	1	2	2	1.5		1/2	1/2	4/4	1	1	3/8	1/4	3/2		3	69	A4	4	2
1	1	2	2	1.5		1/2	1/2	4/4	1	1	3/8	1/4	3/2		2	74	D5	5	2
1	1	2	2	1.5		1/2	1/2	4/4	1	1	3/8	1/4	3/2		-1	77	F5	5	2
1	1	5/2	5/2	0.5		5/8	5/8	4/4	2	2	1/8	1/8	1		4	52	E3	3	11
1	1	3	3	0.5		3/4	3/4	4/4	2	2	1/8	1/8	1		2	50	D3	3	12
1	1	7/2	7/2	0.5		7/8	7/8	4/4	2	2	1/8	1/8	1		7	49	C#3	3	13
1	1	7/2	7/2	0.5		7/8	7/8	4/4	1	1	1/8	1/8	1		-2	70	Bb4	4	3
1	1	7/2	7/2	0.5		7/8	7/8	4/4	1	1	1/8	1/8	1		1	79	G5	5	3
2	2	4	4	0.5		0	0	4/4	2	2	1/8	1/8	1		2	50	D3	3	24
2	2	4	4	1.0		0	0	4/4	2	1	1/4	1/4	1		2	62	D4	4	22
2	2	4	4	0.5		0	0	4/4	1	1	1/8	1/8	1		3	69	A4	4	14
2	2	4	4	0.5		0	0	4/4	1	1	1/8	1/8	1		2	74	D5	5	14
2	2	4	4	0.5		0	0	4/4	1	1	1/8	1/8	1		-1	77	F5	5	14
2	2	9/2	9/2	0.5		1/8	1/8	4/4	2	2	1/8	1/8	1		4	52	E3	3	25
2	2	9/2	9/2	1.0		1/8	1/8	4/4	1	1	1/4	1/4	1		1	67	G4	4	15
2	2	9/2	9/2	1.0		1/8	1/8	4/4	1	1	1/4	1/4	1		4	76	E5	5	15
2	2	5	5	0.5		1/4	1/4	4/4	2	2	1/8	1/8	1		-1	53	F3	3	26
2	2	11/2	11/2	0.5		3/8	3/8	4/4	2	2	1/8	1/8	1		1	55	G3	3	27
2	2	11/2	11/2	0.5		3/8	3/8	4/4	1	1	1/8	1/8	1		-1	65	F4	4	16
2	2	11/2	11/2	0.5		3/8	3/8	4/4	1	1	1/8	1/8	1		2	74	D5	5	16
2	2	6	6	0.5		1/2	1/2	4/4	2	2	1/8	1/8	1		3	57	A3	3	28
2	2	6	6	1.0		1/2	1/2	4/4	2	1	1/4	1/4	1		4	64	E4	4	23
2	2	6	6	1.5		1/2	1/2	4/4	1	2	3/8	1/4	3/2		3	69	A4	4	20
2	2	6	6	0.5		1/2	1/2	4/4	1	1	1/8	1/8	1		7	73	C#5	5	17
2	2	13/2	13/2	0.5		5/8	5/8	4/4	2	2	1/8	1/8	1		5	59	B3	3	29
2	2	13/2	13/2	0.5		5/8	5/8	4/4	1	1	1/8	1/8	1		2	74	D5	5	18
2	2	7	7	0.5		3/4	3/4	4/4	2	2	1/8	1/8	1		7	61	C#4	4	30
2	2	7	7	1.0		3/4	3/4	4/4	1	1	1/4	1/4	1	1	4	76	E5	5	19
2	2	15/2	15/2	0.5		7/8	7/8	4/4	2	2	1/8	1/8	1		3	57	A3	3	31
2	2	15/2	15/2	0.5		7/8	7/8	4/4	1	2	1/8	1/8	1		1	67	G4	4	21
3	3	8	8	0.5		0	0	4/4	2	1	1/8	1/8	1		2	62	D4	4	40
3	3	8	8	1.0		0	0	4/4	1	2	1/4	1/4	1		-1	65	F4	4	37
3	3	8	8	0.5		0	0	4/4	1	1	1/8	1/8	1	-1	4	76	E5	5	32
3	3	17/2	17/2	0.5		1/8	1/8	4/4	2	1	1/8	1/8	1		-1	53	F3	3	41
3	3	17/2	17/2	1.0		1/8	1/8	4/4	1	1	1/4	1/4	1		2	74	D5	5	33
3	3	9	9	0.5		1/4	1/4	4/4	2	1	1/8	1/8	1		1	55	G3	3	42
3	3	9	9	0.5		1/4	1/4	4/4	1	2	1/8	1/8	1		4	64	E4	4	38
3	3	19/2	19/2	0.5		3/8	3/8	4/4	2	1	1/8	1/8	1		3	57	A3	3	43
3	3	19/2	19/2	0.5		3/8	3/8	4/4	1	2	1/8	1/8	1		7	61	C#4	4	39
3	3	19/2	19/2	0.5		3/8	3/8	4/4	1	1	1/8	1/8	1		4	76	E5	5	34
3	3	10	10	0.5		1/2	1/2	4/4	2	1	1/8	1/8	1		2	50	D3	3	44
3	3	10	10	1.5		1/2	1/2	4/4	1	1	3/8	1/4	3/2		3	69	A4	4	35
3	3	10	10	1.5		1/2	1/2	4/4	1	1	3/8	1/4	3/2		2	74	D5	5	35
3	3	10	10	1.5		1/2	1/2	4/4	1	1	3/8	1/4	3/2		-1	77	F5	5	35
3	3	21/2	21/2	0.5		5/8	5/8	4/4	2	1	1/8	1/8	1		2	62	D4	4	45
3	3	11	11	0.5		3/4	3/4	4/4	2	1	1/8	1/8	1		0	60	C4	4	46
3	3	23/2	23/2	0.5		7/8	7/8	4/4	2	1	1/8	1/8	1		-2	58	Bb3	3	47
3	3	23/2	23/2	0.5		7/8	7/8	4/4	1	1	1/8	1/8	1		-2	70	Bb4	4	36
3	3	23/2	23/2	0.5		7/8	7/8	4/4	1	1	1/8	1/8	1		4	76	E5	5	36
3	3	23/2	23/2	0.5		7/8	7/8	4/4	1	1	1/8	1/8	1		1	79	G5	5	36
4	4	12	12	0.5		0	0	4/4	2	1	1/8	1/8	1		3	57	A3	3	57
4	4	12	12	0.5		0	0	4/4	2	1	1/8	1/8	1		0	60	C4	4	57
4	4	12	12	1.5		0	0	4/4	1	1	3/8	1/4	3/2		0	72	C5	5	48
4	4	12	12	1.5		0	0	4/4	1	1	3/8	1/4	3/2		-1	77	F5	5	48
4	4	12	12	1.5		0	0	4/4	1	1	3/8	1/4	3/2		3	81	A5	5	48
4	4	25/2	25/2	0.5		1/8	1/8	4/4	2	1	1/8	1/8	1		1	55	G3	3	58
4	4	25/2	25/2	0.5		1/8	1/8	4/4	2	1	1/8	1/8	1		-2	58	Bb3	3	58
4	4	13	13	0.5		1/4	1/4	4/4	2	1	1/8	1/8	1		-1	53	F3	3	59
4	4	13	13	0.5		1/4	1/4	4/4	2	1	1/8	1/8	1		3	57	A3	3	59
4	4	27/2	27/2	0.5		3/8	3/8	4/4	2	1	1/8	1/8	1		1	55	G3	3	60
4	4	27/2	27/2	0.5		3/8	3/8	4/4	2	1	1/8	1/8	1		-2	58	Bb3	3	60
4	4	27/2	27/2	0.5		3/8	3/8	4/4	1	2	1/8	1/8	1		-2	70	Bb4	4	55
4	4	27/2	27/2	0.25		3/8	3/8	4/4	1	1	1/16	1/16	1		4	76	E5	5	49
4	4	27/2	27/2	0.5		3/8	3/8	4/4	1	2	1/8	1/8	1		1	79	G5	5	55
4	4	55/4	55/4	0.25		7/16	7/16	4/4	1	1	1/16	1/16	1		2	74	D5	5	50
4	4	14	14	1.0		1/2	1/2	4/4	2	1	1/4	1/4	1		3	57	A3	3	61
4	4	14	14	1.0		1/2	1/2	4/4	2	1	1/4	1/4	1		0	60	C4	4	61
4	4	14	14	0.5		1/2	1/2	4/4	1	1	1/8	1/8	1		3	69	A4	4	51
4	4	14	14	0.5		1/2	1/2	4/4	1	1	1/8	1/8	1		0	72	C5	5	51
4	4	14	14	0.5		1/2	1/2	4/4	1	1	1/8	1/8	1		-1	77	F5	5	51
4	4	29/2	29/2	1.0		5/8	5/8	4/4	1	1	1/4	1/4	1		1	67	G4	4	52
4	4	29/2	29/2	1.0		5/8	5/8	4/4	1	1	1/4	1/4	1		4	76	E5	5	52
4	4	15	15	1.0		3/4	3/4	4/4	2	1	1/4	1/4	1	1	-2	58	Bb3	3	62
4	4	15	15	1.0		3/4	3/4	4/4	2	1	1/4	1/4	1		2	62	D4	4	62
4	4	31/2	31/2	0.5		7/8	7/8	4/4	1	2	1/8	1/8	1		-1	65	F4	4	56
4	4	31/2	31/2	0.25		7/8	7/8	4/4	1	1	1/16	1/16	1		-2	70	Bb4	4	53
4	4	31/2	31/2	0.5		7/8	7/8	4/4	1	2	1/8	1/8	1		2	74	D5	5	56
4	4	63/4	63/4	0.25		15/16	15/16	4/4	1	1	1/16	1/16	1		3	69	A4	4	54
5	5	16	16	0.5		0	0	4/4	2	2	1/8	1/8	1	-1	-2	58	Bb3	3	76
5	5	16	16	1.0		0	0	4/4	2	1	1/4	1/4	1		0	60	C4	4	73
5	5	16	16	0.5		0	0	4/4	1	2	1/8	1/8	1		4	64	E4	4	67
5	5	16	16	0.5		0	0	4/4	1	2	1/8	1/8	1		1	67	G4	4	67
5	5	16	16	1.0		0	0	4/4	1	1	1/4	1/4	1		0	72	C5	5	63
5	5	33/2	33/2	0.5		1/8	1/8	4/4	2	2	1/8	1/8	1		3	57	A3	3	77
5	5	33/2	33/2	0.5		1/8	1/8	4/4	1	2	1/8	1/8	1		-1	65	F4	4	68
5	5	17	17	0.5		1/4	1/4	4/4	2	2	1/8	1/8	1		1	55	G3	3	78
5	5	17	17	0.5		1/4	1/4	4/4	1	2	1/8	1/8	1		1	67	G4	4	69
5	5	35/2	35/2	0.5		3/8	3/8	4/4	2	2	1/8	1/8	1		-1	53	F3	3	79
5	5	35/2	35/2	0.5		3/8	3/8	4/4	1	2	1/8	1/8	1		3	69	A4	4	70
5	5	18	18	1.0		1/2	1/2	4/4	2	1	1/4	1/4	1		4	52	E3	3	74
5	5	18	18	1.0		1/2	1/2	4/4	2	1	1/4	1/4	1		1	55	G3	3	74
5	5	18	18	1.0		1/2	1/2	4/4	2	1	1/4	1/4	1		-2	58	Bb3	3	74
5	5	18	18	1.0		1/2	1/2	4/4	2	2	1/4	1/4	1		0	60	C4	4	80
5	5	18	18	1.0		1/2	1/2	4/4	1	2	1/4	1/4	1		1	67	G4	4	71
5	5	18	18	0.5		1/2	1/2	4/4	1	1	1/8	1/8	1		-2	70	Bb4	4	64
5	5	37/2	37/2	1.0		5/8	5/8	4/4	1	1	1/4	1/4	1		1	79	G5	5	65
5	5	19	19	1.0		3/4	3/4	4/4	2	2	1/4	1/4	1		-1	53	F3	3	81
5	5	19	19	1.0		3/4	3/4	4/4	2	2	1/4	1/4	1		3	57	A3	3	81
5	5	19	19	1.0		3/4	3/4	4/4	2	1	1/4	1/4	1		0	60	C4	4	75
5	5	19	19	1.0		3/4	3/4	4/4	1	2	1/4	1/4	1		3	69	A4	4	72
5	5	39/2	39/2	0.5		7/8	7/8	4/4	1	1	1/8	1/8	1		-1	77	F5	5	66
6	6	20	20	1.0		0	0	4/4	2	2	1/4	1/4	1		0	48	C3	3	101
6	6	20	20	0.5		0	0	4/4	2	1	1/8	1/8	1		1	55	G3	3	95
6	6	20	20	0.5		0	0	4/4	1	2	1/8	1/8	1		1	67	G4	4	88
6	6	20	20	0.5		0	0	4/4	1	1	1/8	1/8	1		4	76	E5	5	82
6	6	41/2	41/2	0.5		1/8	1/8	4/4	2	1	1/8	1/8	1		0	60	C4	4	96
6	6	41/2	41/2	0.5		1/8	1/8	4/4	1	2	1/8	1/8	1		3	69	A4	4	89
6	6	41/2	41/2	0.5		1/8	1/8	4/4	1	1	1/8	1/8	1		-1	77	F5	5	83
6	6	21	21	0.5		1/4	1/4	4/4	2	1	1/8	1/8	1		-2	58	Bb3	3	97
6	6	21	21	0.5		1/4	1/4	4/4	1	2	1/8	1/8	1		-2	70	Bb4	4	90
6	6	21	21	0.5		1/4	1/4	4/4	1	1	1/8	1/8	1		1	79	G5	5	84
6	6	43/2	43/2	0.5		3/8	3/8	4/4	2	1	1/8	1/8	1		3	57	A3	3	98
6	6	43/2	43/2	0.5		3/8	3/8	4/4	1	2	1/8	1/8	1		0	72	C5	5	91
6	6	43/2	43/2	0.5		3/8	3/8	4/4	1	1	1/8	1/8	1		3	81	A5	5	85
6	6	22	22	1.0		1/2	1/2	4/4	2	2	1/4	1/4	1		1	55	G3	3	102
6	6	22	22	1.0		1/2	1/2	4/4	2	1	1/4	1/4	1		-2	58	Bb3	3	99
