mc	mn	quarterbeats	duration_qb	volta	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0.5		0	0	4/4	2	2	1/8	1/8	1		2	50	D3	3	6
1	1	0	1.5		0	0	4/4	2	1	3/8	1/4	3/2		2	62	D4	4	4
1	1	0	1.5		0	0	4/4	1	1	3/8	1/4	3/2		-1	65	F4	4	0
1	1	0	1.5		0	0	4/4	1	1	3/8	1/4	3/2		2	74	D5	5	0
1	1	1/2	0.5		1/8	1/8	4/4	2	2	1/8	1/8	1		-2	58	Bb3	3	7
1	1	1	0.5		1/4	1/4	4/4	2	2	1/8	1/8	1		3	57	A3	3	8
1	1	3/2	0.5		3/8	3/8	4/4	2	2	1/8	1/8	1		1	55	G3	3	9
1	1	3/2	0.5		3/8	3/8	4/4	1	1	1/8	1/8	1		1	67	G4	4	1
1	1	3/2	0.5		3/8	3/8	4/4	1	1	1/8	1/8	1		7	73	C#5	5	1
1	1	3/2	0.5		3/8	3/8	4/4	1	1	1/8	1/8	1		4	76	E5	5	1
1	1	2	0.5		1/2	1/2	4/4	2	2	1/8	1/8	1		-1	53	F3	3	10
1	1	2	1.0		1/2	1/2	4/4	2	1	1/4	1/4	1		2	62	D4	4	5
1	1	2	1.5		1/2	1/2	4/4	1	1	3/8	1/4	3/2		3	69	A4	4	2
1	1	2	1.5		1/2	1/2	4/4	1	1	3/8	1/4	3/2		2	74	D5	5	2
1	1	2	1.5		1/2	1/2	4/4	1	1	3/8	1/4	3/2		-1	77	F5	5	2
1	1	5/2	0.5		5/8	5/8	4/4	2	2	1/8	1/8	1		4	52	E3	3	11
1	1	3	0.5		3/4	3/4	4/4	2	2	1/8	1/8	1		2	50	D3	3	12
1	1	7/2	0.5		7/8	7/8	4/4	2	2	1/8	1/8	1		7	49	C#3	3	13
1	1	7/2	0.5		7/8	7/8	4/4	1	1	1/8	1/8	1		-2	70	Bb4	4	3
1	1	7/2	0.5		7/8	7/8	4/4	1	1	1/8	1/8	1		1	79	G5	5	3
2	2	4	0.5		0	0	4/4	2	2	1/8	1/8	1		2	50	D3	3	24
2	2	4	1.0		0	0	4/4	2	1	1/4	1/4	1		2	62	D4	4	22
2	2	4	0.5		0	0	4/4	1	1	1/8	1/8	1		3	69	A4	4	14
2	2	4	0.5		0	0	4/4	1	1	1/8	1/8	1		2	74	D5	5	14
