mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0	2.0	0	0	3/4	2	1	1/2		1/2	1		0	60	C4	4	4
1	1	0	0	2.0	0	0	3/4	2	1	1/2		1/2	1		-3	63	Eb4	4	4
1	1	0	0	0.5	0	0	3/4	1	1	1/8		1/8	1		0	72	C5	5	0
1	1	1/2	1/2	0.5	1/8	1/8	3/4	1	1	1/8		1/8	1		1	79	G5	5	1
1	1	1	1	1.0	1/4	1/4	3/4	1	1	1/4		1/4	1		0	72	C5	5	2
1	1	2	2	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1		2	62	D4	4	5
1	1	2	2	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1		-1	65	F4	4	5
1	1	2	2	1.0	1/2	1/2	3/4	1	1	1/4		1/4	1		5	71	B4	4	3
2	2	3	3	2.0	0	0	3/4	2	1	1/2		1/2	1		-3	63	Eb4	4	10
2	2	3	3	2.0	0	0	3/4	2	1	1/2		1/2	1		1	67	G4	4	10
2	2	3	3	0.5	0	0	3/4	1	1	1/8		1/8	1		0	72	C5	5	6
2	2	7/2	7/2	0.5	1/8	1/8	3/4	1	1	1/8		1/8	1		-4	80	Ab5	5	7
2	2	4	4	1.0	1/4	1/4	3/4	1	1	1/4		1/4	1		0	72	C5	5	8
2	2	5	5	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1		2	62	D4	4	11
2	2	5	5	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1		-1	65	F4	4	11
2	2	5	5	1.0	1/2	1/2	3/4	1	1	1/4		1/4	1		5	71	B4	4	9
3	3	6	6	2.0	0	0	3/4	2	1	1/2		1/2	1		0	60	C4	4	16
3	3	6	6	2.0	0	0	3/4	2	1	1/2		1/2	1		-3	63	Eb4	4	16
3	3	6	6	0.5	0	0	3/4	1	1	1/8		1/8	1		0	72	C5	5	12
3	3	13/2	13/2	0.5	1/8	1/8	3/4	1	1	1/8		1/8	1		1	79	G5	5	13
3	3	7	7	1.0	1/4	1/4	3/4	1	1	1/4		1/4	1		0	72	C5	5	14
3	3	8	8	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1		2	62	D4	4	17
3	3	8	8	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1		-1	65	F4	4	17
3	3	8	8	1.0	1/2	1/2	3/4	1	1	1/4		1/4	1		5	71	B4	4	15
4	4	9	9	1.0	0	0	3/4	2	1	1/4		1/4	1		-3	63	Eb4	4	24
4	4	9	9	1.0	0	0	3/4	2	1	1/4		1/4	1		1	67	G4	4	24
4	4	9	9	0.5	0	0	3/4	1	1	1/8		1/8	1		0	72	C5	5	18
4	4	19/2	19/2	0.5	1/8	1/8	3/4	1	1	1/8		1/8	1		-4	80	Ab5	5	19
4	4	10	10	1.0	1/4	1/4	3/4	2	1	1/4		1/4	1		2	62	D4	4	25
4	4	10	10	1.0	1/4	1/4	3/4	2	1	1/4		1/4	1		-1	65	F4	4	25
4	4	10	10	0.5	1/4	1/4	3/4	1	1	1/8		1/8	1		5	71	B4	4	20
4	4	21/2	21/2	0.5	3/8	3/8	3/4	1	1	1/8		1/8	1		1	79	G5	5	21
4	4	11	11	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1		0	60	C4	4	26
4	4	11	11	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1		-3	63	Eb4	4	26
4	4	11	11	0.5	1/2	1/2	3/4	1	1	1/8		1/8	1		-4	68	Ab4	4	22
4	4	23/2	23/2	0.5	5/8	5/8	3/4	1	1	1/8		1/8	1		-1	77	F5	5	23
5	5	12	12	1.5	0	0	3/4	2	1	3/8		1/4	3/2		5	59	B3	3	33
5	5	12	12	1.5	0	0	3/4	2	1	3/8		1/4	3/2		2	62	D4	4	33
5	5	12	12	0.5	0	0	3/4	1	1	1/8		1/8	1		1	67	G4	4	27
5	5	25/2	25/2	0.5	1/8	1/8	3/4	1	1	1/8		1/8	1		-1	77	F5	5	28
5	5	13	13	0.5	1/4	1/4	3/4	1	1	1/8		1/8	1		-3	75	Eb5	5	29
5	5	27/2	27/2	0.5	3/8	3/8	3/4	2	1	1/8		1/8	1		5	59	B3	3	34
5	5	27/2	27/2	0.5	3/8	3/8	3/4	2	1	1/8		1/8	1		2	62	D4	4	34
5	5	27/2	27/2	0.5	3/8	3/8	3/4	1	1	1/8		1/8	1		2	74	D5	5	30
5	5	14	14	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1		0	60	C4	4	35
5	5	14	14	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1		-3	63	Eb4	4	35
5	5	14	14	0.5	1/2	1/2	3/4	1	1	1/8		1/8	1		-3	75	Eb5	5	31
5	5	29/2	29/2	0.5	5/8	5/8	3/4	1	1	1/8		1/8	1		1	67	G4	4	32
6	6	15	15	1.5	0	0	3/4	2	1	3/8		1/4	3/2		5	59	B3	3	42
6	6	15	15	1.5	0	0	3/4	2	1	3/8		1/4	3/2		2	62	D4	4	42
6	6	15	15	0.5	0	0	3/4	1	1	1/8		1/8	1		-1	65	F4	4	36
6	6	31/2	31/2	0.5	1/8	1/8	3/4	1	1	1/8		1/8	1		-1	77	F5	5	37
6	6	16	16	0.5	1/4	1/4	3/4	1	1	1/8		1/8	1		-3	75	Eb5	5	38
6	6	33/2	33/2	0.5	3/8	3/8	3/4	2	1	1/8		1/8	1		5	59	B3	3	43
6	6	33/2	33/2	0.5	3/8	3/8	3/4	2	1	1/8		1/8	1		2	62	D4	4	43
6	6	33/2	33/2	0.5	3/8	3/8	3/4	1	1	1/8		1/8	1		2	74	D5	5	39
6	6	17	17	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1		0	60	C4	4	44
6	6	17	17	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1		-3	63	Eb4	4	44
6	6	17	17	0.5	1/2	1/2	3/4	1	1	1/8		1/8	1		-3	75	Eb5	5	40
6	6	35/2	35/2	0.5	5/8	5/8	3/4	1	1	1/8		1/8	1		0	72	C5	5	41
7	7	18	18	1.0	0	0	3/4	2	1	1/4		1/4	1		-1	53	F3	3	49
7	7	18	18	1.0	0	0	3/4	2	1	1/4		1/4	1		-4	56	Ab3	3	49
7	7	18	18	0.5	0	0	3/4	1	1	1/8		1/8	1		2	74	D5	5	45
7	7	37/2	37/2	0.5	1/8	1/8	3/4	1	1	1/8		1/8	1		-1	77	F5	5	46
7	7	19	19	2.0	1/4	1/4	3/4	2	1	1/2		1/2	1		1	55	G3	3	50
7	7	19	19	1.0	1/4	1/4	3/4	1	1	1/4		1/4	1		0	72	C5	5	47
7	7	20	20	1.0	1/2	1/2	3/4	2	2	1/4		1/4	1		1	43	G2	2	51
7	7	20	20	1.0	1/2	1/2	3/4	1	1	1/4		1/4	1		5	71	B4	4	48
8	8	21	21	0.0	0	0	3/4	1	1	0	appoggiatura	1/16	1		5	71	B4	4	52
8	8	21	21	3.0	0	0	3/4	2	1	3/4		1/2	3/2		0	48	C3	3	54
8	8	21	21	3.0	0	0	3/4	1	1	3/4		1/2	3/2		0	72	C5	5	53
9	9	24	24	2.0	0	0	3/4	2	1	1/2		1/2	1		0	60	C4	4	59
9	9	24	24	0.5	0	0	3/4	1	1	1/8		1/8	1		1	79	G5	5	55
9	9	49/2	49/2	0.5	1/8	1/8	3/4	1	1	1/8		1/8	1		-4	80	Ab5	5	56
9	9	25	25	1.0	1/4	1/4	3/4	1	1	1/4		1/4	1		4	76	E5	5	57
9	9	26	26	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1		-4	56	Ab3	3	60
9	9	26	26	1.0	1/2	1/2	3/4	1	1	1/4		1/4	1		-1	77	F5	5	58
10	10	27	27	1.0	0	0	3/4	2	2	1/4		1/4	1		4	52	E3	3	67
10	10	27	27	2.0	0	0	3/4	2	1	1/2		1/2	1		1	55	G3	3	65
10	10	27	27	0.5	0	0	3/4	1	1	1/8		1/8	1		-2	70	Bb4	4	61
10	10	55/2	55/2	0.5	1/8	1/8	3/4	1	1	1/8		1/8	1		0	72	C5	5	62
10	10	28	28	1.0	1/4	1/4	3/4	2	2	1/4		1/4	1		0	48	C3	3	68
10	10	28	28	1.0	1/4	1/4	3/4	1	1	1/4		1/4	1		1	67	G4	4	63
10	10	29	29	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1		-1	53	F3	3	66
10	10	29	29	1.0	1/2	1/2	3/4	2	2	1/4		1/4	1		-1	53	F3	3	69
10	10	29	29	1.0	1/2	1/2	3/4	1	1	1/4		1/4	1		-4	68	Ab4	4	64
11	11	30	30	1.0	0	0	3/4	2	1	1/4		1/4	1		-2	58	Bb3	3	74
11	11	30	30	0.5	0	0	3/4	1	1	1/8		1/8	1		1	79	G5	5	70
11	11	61/2	61/2	0.5	1/8	1/8	3/4	1	1	1/8		1/8	1		-4	80	Ab5	5	71
11	11	31	31	2.0	1/4	1/4	3/4	2	1	1/2		1/2	1		0	60	C4	4	75
11	11	31	31	1.0	1/4	1/4	3/4	1	1	1/4		1/4	1		-1	77	F5	5	72
11	11	32	32	1.0	1/2	1/2	3/4	2	2	1/4		1/4	1		0	48	C3	3	76
11	11	32	32	1.0	1/2	1/2	3/4	1	1	1/4		1/4	1		4	76	E5	5	73
12	12	33	33	0.0	0	0	3/4	1	1	0	appoggiatura	1/32	1		4	76	E5	5	77
12	12	33	33	1.0	0	0	3/4	2	1	1/4		1/4	1		-1	53	F3	3	79
12	12	33	33	3.0	0	0	3/4	1	1	3/4		1/2	3/2		-1	77	F5	5	78
12	12	34	34	2.0	1/4	1/4	3/4	2	1	1/2		1/2	1		-1	41	F2	2	80
13	13	36	36	2.0	0	0	3/4	2	1	1/2		1/2	1		-2	58	Bb3	3	85
13	13	36	36	2.0	0	0	3/4	2	1	1/2		1/2	1		2	62	D4	4	85
13	13	36	36	0.5	0	0	3/4	1	1	1/8		1/8	1		-1	77	F5	5	81
13	13	73/2	73/2	0.5	1/8	1/8	3/4	1	1	1/8		1/8	1		1	79	G5	5	82
13	13	37	37	1.0	1/4	1/4	3/4	1	1	1/4		1/4	1		2	74	D5	5	83
13	13	38	38	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1		0	60	C4	4	86
13	13	38	38	1.0	1/2	1/2	3/4	1	1	1/4		1/4	1		-3	75	Eb5	5	84
14	14	39	39	2.0	0	0	3/4	2	1	1/2		1/2	1		-1	53	F3	3	91
14	14	39	39	0.5	0	0	3/4	1	1	1/8		1/8	1		-4	68	Ab4	4	87
14	14	79/2	79/2	0.5	1/8	1/8	3/4	1	1	1/8		1/8	1		-2	70	Bb4	4	88
14	14	40	40	1.0	1/4	1/4	3/4	2	2	1/4		1/4	1		2	50	D3	3	93
14	14	40	40	1.0	1/4	1/4	3/4	1	1	1/4		1/4	1		-1	65	F4	4	89
14	14	41	41	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1		-3	51	Eb3	3	92
14	14	41	41	1.0	1/2	1/2	3/4	1	1	1/4		1/4	1		1	67	G4	4	90
15	15	42	42	1.0	0	0	3/4	2	1	1/4		1/4	1		-4	56	Ab3	3	98
15	15	42	42	0.5	0	0	3/4	1	1	1/8		1/8	1		-1	77	F5	5	94
15	15	85/2	85/2	0.5	1/8	1/8	3/4	1	1	1/8		1/8	1		1	79	G5	5	95
15	15	43	43	0.0	1/4	1/4	3/4	1	1	0	grace16	1/16	1		-3	75	Eb5	5	96
15	15	43	43	2.0	1/4	1/4	3/4	2	1	1/2		1/2	1		-2	58	Bb3	3	99
15	15	43	43	2.0	1/4	1/4	3/4	1	1	1/2		1/2	1		2	74	D5	5	97
15	15	44	44	1.0	1/2	1/2	3/4	2	2	1/4		1/4	1		-2	46	Bb2	2	100
16	16	45	45	2.0	0	0	3/4	2	2	1/2		1/2	1		-3	51	Eb3	3	106
16	16	45	45	0.5	0	0	3/4	1	1	1/8		1/8	1		-3	75	Eb5	5	101
16	16	91/2	91/2	0.5	1/8	1/8	3/4	1	1	1/8		1/8	1		-1	77	F5	5	102
16	16	46	46	1.0	1/4	1/4	3/4	2	1	1/4		1/4	1		-3	63	Eb4	4	105
16	16	46	46	1.0	1/4	1/4	3/4	1	1	1/4		1/4	1		1	79	G5	5	103
16	16	47	47	1.0	1/2	1/2	3/4	2	2	1/4		1/4	1		-3	51	Eb3	3	107
16	16	47	47	1.0	1/2	1/2	3/4	1	1	1/4		1/4	1		1	67	G4	4	104
17	17	48	48	2.0	0	0	3/4	2	1	1/2		1/2	1		2	50	D3	3	114
17	17	48	48	0.5	0	0	3/4	1	1	1/8		1/8	1		-1	65	F4	4	108
17	17	97/2	97/2	0.5	1/8	1/8	3/4	1	1	1/8		1/8	1		2	74	D5	5	109
17	17	49	49	1.0	1/4	1/4	3/4	2	2	1/4		1/4	1		5	47	B2	2	116
17	17	49	49	0.5	1/4	1/4	3/4	1	1	1/8		1/8	1		-1	65	F4	4	110
17	17	99/2	99/2	0.5	3/8	3/8	3/4	1	1	1/8		1/8	1		2	74	D5	5	111
17	17	50	50	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1		0	48	C3	3	115
17	17	50	50	1.0	1/2	1/2	3/4	2	2	1/4		1/4	1		0	48	C3	3	117
17	17	50	50	0.5	1/2	1/2	3/4	1	1	1/8		1/8	1		-3	63	Eb4	4	112
17	17	101/2	101/2	0.5	5/8	5/8	3/4	1	1	1/8		1/8	1		0	72	C5	5	113
18	18	51	51	2.0	0	0	3/4	2	2	1/2		1/2	1		1	43	G2	2	126
18	18	51	51	0.5	0	0	3/4	1	1	1/8		1/8	1		2	62	D4	4	118
