mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	chord_id
1	1	0	0	3/8	1	2	1/8		1/8	1		-1	65	3
1	1	0	0	3/8	1	1	1/8		1/8	1		-1	77	0
1	1	1/8	1/8	3/8	1	2	1/8		1/8	1		0	60	4
1	1	1/8	1/8	3/8	1	1	1/8		1/8	1		0	72	1
1	1	1/4	1/4	3/8	1	2	1/8		1/8	1		-1	53	5
1	1	1/4	1/4	3/8	1	1	1/8		1/8	1		-1	65	2
2	2	0	0	3/8	2	1	1/8		1/8	1		0	60	9
2	2	0	0	3/8	1	1	1/8		1/8	1		0	72	6
2	2	1/8	1/8	3/8	2	1	1/8		1/8	1		1	55	10
2	2	1/8	1/8	3/8	1	1	1/8		1/8	1		1	67	7
2	2	1/4	1/4	3/8	2	1	1/8		1/8	1		0	48	11
2	2	1/4	1/4	3/8	1	1	1/8		1/8	1		0	60	8
3	3	0	0	3/8	2	1	1/8		1/8	1		-1	53	15
3	3	0	0	3/8	1	1	1/8		1/8	1		-1	65	12
3	3	1/8	1/8	3/8	2	1	1/8		1/8	1		0	48	16
3	3	1/8	1/8	3/8	1	1	1/8		1/8	1		0	60	13
3	3	1/4	1/4	3/8	2	1	1/8		1/8	1		-1	41	17
3	3	1/4	1/4	3/8	1	1	1/8		1/8	1		-1	53	14
4	4	0	0	3/8	1	1	1/16		1/16	1		-1	65	18
4	4	1/16	1/16	3/8	1	1	1/16		1/16	1		-1	65	19
4	4	1/8	1/8	3/8	1	1	1/16		1/16	1		3	69	20
4	4	3/16	3/16	3/8	1	1	1/16		1/16	1		3	69	21
4	4	1/4	1/4	3/8	1	1	1/16		1/16	1		0	72	22
4	4	5/16	5/16	3/8	1	1	1/16		1/16	1		0	72	23
5	5	0	0	3/8	1	1	1/8		1/8	1		-1	77	24
5	5	1/8	1/8	3/8	1	1	1/16		1/16	1		4	76	25
5	5	3/16	3/16	3/8	1	1	1/16		1/16	1		2	74	26
5	5	1/4	1/4	3/8	1	1	1/16		1/16	1		0	72	27
5	5	5/16	5/16	3/8	1	1	1/16		1/16	1		-2	70	28
6	6	0	0	3/8	1	2	1/8		1/8	1		-1	65	33
6	6	0	0	3/8	1	1	1/16		1/16	1		3	69	29
6	6	1/16	1/16	3/8	1	1	1/16		1/16	1		-2	70	30
6	6	1/8	1/8	3/8	1	1	0	appoggiatura	1/32	1		3	69	31
6	6	1/8	1/8	3/8	1	2	1/4		1/4	1		0	60	34
6	6	1/8	1/8	3/8	1	1	1/4		1/4	1		1	67	32
7	7	0	0	3/8	2	1	1/8		1/8	1		-1	53	38
7	7	0	0	3/8	1	1	1/8		1/8	1		-1	65	35
7	7	1/8	1/8	3/8	2	1	1/8		1/8	1		0	48	39
7	7	1/8	1/8	3/8	1	1	1/8		1/8	1		0	60	36
7	7	1/4	1/4	3/8	2	1	1/8		1/8	1		-1	41	40
7	7	1/4	1/4	3/8	1	1	1/8		1/8	1		-1	53	37
8	8	0	0	3/8	1	1	1/16		1/16	1		-1	65	41
8	8	1/16	1/16	3/8	1	1	1/16		1/16	1		-1	65	42
8	8	1/8	1/8	3/8	1	1	1/16		1/16	1		3	69	43
8	8	3/16	3/16	3/8	1	1	1/16		1/16	1		3	69	44
8	8	1/4	1/4	3/8	1	1	1/16		1/16	1		0	72	45
8	8	5/16	5/16	3/8	1	1	1/16		1/16	1		0	72	46
9	9	0	0	3/8	1	1	1/8		1/8	1		-1	77	47
9	9	1/8	1/8	3/8	1	1	1/16		1/16	1		4	76	48
9	9	3/16	3/16	3/8	1	1	1/16		1/16	1		2	74	49
9	9	1/4	1/4	3/8	1	1	1/16		1/16	1		0	72	50
9	9	5/16	5/16	3/8	1	1	1/16		1/16	1		-2	70	51
10	10	0	0	3/8	1	2	1/8		1/8	1		-1	65	56
10	10	0	0	3/8	1	1	1/16		1/16	1		3	69	52
10	10	1/16	1/16	3/8	1	1	1/16		1/16	1		-2	70	53
